tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P
0,1730.0,1731.0,1732.0,1733.0,1650.0,1652.0,5141.0,1773.0,1774.0,1651.0,4784.0,608.0,4791.0,4792.0,662.0,663.0,1196.0,1197.0,4473.0,250.0,251.0,4597.0,255.0,218.0,219.0,220.0,221.0,222.0,223.0,224.0,225.0,226.0,114.0,1646.0,7571.0
5010629,28200.0,28230.0,28261.0,28314.0,28379.0,28453.0,28493.0,28554.0,28633.0,28712.0,28829.0,28920.0,28996.0,29054.0,29131.0,29230.0,29391.0,29465.0,29555.0,29613.0,29655.0,29872.0,30063.0,30114.0,30271.0,30486.0,30525.0,30553.0,30589.0,30617.0,30653.0,30700.0,30753.0,30928.0,31036.0
5010631,36600.0,36628.0,36659.0,36695.0,36739.0,36790.0,36817.0,36859.0,36913.0,36967.0,37048.0,37122.0,37184.0,37218.0,37263.0,37321.0,37415.0,37459.0,37563.0,37622.0,37647.0,37876.0,38063.0,38088.0,38166.0,38242.0,38283.0,38312.0,38350.0,38379.0,38416.0,38465.0,38505.0,38639.0,38721.0
5010633,43800.0,43827.0,43967.0,43999.0,44037.0,44081.0,44105.0,44141.0,44188.0,44235.0,44304.0,44400.0,44482.0,44515.0,44558.0,44613.0,44703.0,44744.0,44846.0,44908.0,44989.0,45178.0,45336.0,45364.0,45448.0,45580.0,45624.0,45655.0,45696.0,45728.0,45769.0,45822.0,45864.0,46004.0,46091.0
5010635,51000.0,51027.0,51167.0,51199.0,51237.0,51281.0,51305.0,51341.0,51388.0,51435.0,51504.0,51600.0,51682.0,51715.0,51758.0,51813.0,51903.0,51944.0,52046.0,52108.0,52189.0,52378.0,52536.0,52564.0,52648.0,52780.0,52824.0,52855.0,52896.0,52928.0,52969.0,53022.0,53064.0,53204.0,53291.0
5010639,65400.0,65428.0,65555.0,65590.0,65632.0,65680.0,65706.0,65745.0,65797.0,65848.0,65924.0,66018.0,66098.0,66133.0,66179.0,66238.0,66334.0,66378.0,66464.0,66522.0,66585.0,66775.0,66933.0,66962.0,67050.0,67201.0,67242.0,67271.0,67309.0,67338.0,67375.0,67424.0,67463.0,67591.0,67669.0
5014023,25200.0,25230.0,25263.0,25299.0,25343.0,25394.0,25421.0,25462.0,25516.0,25570.0,25650.0,25709.0,25759.0,25787.0,25824.0,25871.0,25948.0,25983.0,26075.0,26133.0,26160.0,26332.0,26485.0,26505.0,26566.0,26644.0,26681.0,26707.0,26742.0,26769.0,26803.0,26848.0,26885.0,27006.0,27080.0
5014025,33000.0,33025.0,33148.0,33181.0,33221.0,33266.0,33291.0,33328.0,33377.0,33425.0,33496.0,33597.0,33683.0,33716.0,33760.0,33817.0,33909.0,33952.0,34039.0,34105.0,34182.0,34357.0,34500.0,34522.0,34591.0,34699.0,34740.0,34769.0,34807.0,34836.0,34874.0,34923.0,34963.0,35096.0,35177.0
5014027,40200.0,40227.0,40367.0,40399.0,40437.0,40481.0,40505.0,40541.0,40588.0,40635.0,40704.0,40800.0,40882.0,40915.0,40958.0,41013.0,41103.0,41144.0,41246.0,41308.0,41389.0,41578.0,41736.0,41764.0,41848.0,41980.0,42024.0,42055.0,42096.0,42128.0,42169.0,42222.0,42264.0,42404.0,42491.0
5014029,47400.0,47427.0,47567.0,47599.0,47637.0,47681.0,47705.0,47741.0,47788.0,47835.0,47904.0,48000.0,48082.0,48115.0,48158.0,48213.0,48303.0,48344.0,48446.0,48508.0,48589.0,48778.0,48936.0,48964.0,49048.0,49180.0,49224.0,49255.0,49296.0,49328.0,49369.0,49422.0,49464.0,49604.0,49691.0
