tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P
0,7571.0,1644.0,1605.0,228.0,229.0,227.0,230.0,231.0,232.0,233.0,242.0,243.0,253.0,244.0,245.0,4474.0,4790.0,1220.0,1221.0,674.0,4389.0,4390.0,530.0,4785.0,1764.0,1765.0,1766.0,1767.0,7129.0,1744.0,1745.0,1746.0,1747.0,1748.0,1749.0
5010630,33000.0,33106.0,33183.0,33359.0,33410.0,33493.0,33544.0,33613.0,33700.0,33744.0,33773.0,33805.0,33933.0,34205.0,34232.0,34270.0,34308.0,34410.0,34454.0,34511.0,34558.0,34616.0,34665.0,34721.0,34851.0,34918.0,34967.0,34987.0,35041.0,35081.0,35111.0,35139.0,35180.0,35208.0,35230.0
5010632,40200.0,40283.0,40343.0,40481.0,40519.0,40581.0,40619.0,40671.0,40781.0,40836.0,40876.0,40910.0,41048.0,41234.0,41274.0,41324.0,41374.0,41497.0,41551.0,41621.0,41678.0,41734.0,41782.0,41836.0,41956.0,42018.0,42063.0,42082.0,42132.0,42168.0,42196.0,42222.0,42266.0,42298.0,42322.0
5010634,47400.0,47483.0,47543.0,47681.0,47719.0,47781.0,47819.0,47871.0,47981.0,48036.0,48076.0,48110.0,48248.0,48434.0,48474.0,48524.0,48574.0,48697.0,48751.0,48821.0,48878.0,48934.0,48982.0,49036.0,49156.0,49218.0,49263.0,49282.0,49332.0,49368.0,49396.0,49422.0,49466.0,49498.0,49522.0
5010636,54600.0,54689.0,54754.0,54902.0,54940.0,55002.0,55040.0,55091.0,55206.0,55264.0,55308.0,55339.0,55466.0,55648.0,55684.0,55731.0,55778.0,55900.0,55942.0,55996.0,56041.0,56105.0,56160.0,56221.0,56350.0,56417.0,56465.0,56485.0,56539.0,56578.0,56608.0,56638.0,56678.0,56705.0,56726.0
5010638,61800.0,61912.0,61994.0,62180.0,62220.0,62286.0,62326.0,62380.0,62499.0,62559.0,62601.0,62638.0,62786.0,63002.0,63039.0,63092.0,63146.0,63274.0,63321.0,63381.0,63431.0,63489.0,63539.0,63596.0,63737.0,63809.0,63862.0,63884.0,63943.0,63986.0,64019.0,64050.0,64093.0,64125.0,64149.0
5010640,69000.0,69077.0,69133.0,69262.0,69299.0,69360.0,69397.0,69448.0,69555.0,69609.0,69626.0,69654.0,69767.0,69930.0,69972.0,70021.0,70071.0,70153.0,70195.0,70249.0,70293.0,70355.0,70408.0,70469.0,70594.0,70658.0,70705.0,70725.0,70777.0,70815.0,70844.0,70872.0,70915.0,70941.0,70961.0
5011061,47400.0,47474.0,47528.0,47652.0,47687.0,47744.0,47779.0,47827.0,47974.0,48048.0,48110.0,48130.0,48212.0,48346.0,48381.0,48427.0,48474.0,48598.0,48634.0,48681.0,48719.0,48771.0,48815.0,48865.0,48992.0,49057.0,49105.0,49125.0,49178.0,49217.0,49247.0,49274.0,49323.0,49355.0,49379.0
5014024,28800.0,28913.0,28995.0,29182.0,29233.0,29316.0,29367.0,29435.0,29557.0,29618.0,29697.0,29738.0,29901.0,30061.0,30094.0,30136.0,30179.0,30330.0,30400.0,30491.0,30566.0,30671.0,30761.0,30863.0,31005.0,31078.0,31131.0,31154.0,31214.0,31257.0,31290.0,31322.0,31372.0,31404.0,31428.0
5014026,36600.0,36684.0,36745.0,36884.0,36922.0,36984.0,37022.0,37072.0,37193.0,37254.0,37286.0,37321.0,37460.0,37631.0,37666.0,37697.0,37728.0,37825.0,37872.0,37932.0,37982.0,38034.0,38078.0,38128.0,38245.0,38305.0,38349.0,38367.0,38416.0,38452.0,38479.0,38505.0,38547.0,38574.0,38594.0
5014028,43800.0,43883.0,43943.0,44081.0,44119.0,44181.0,44219.0,44271.0,44381.0,44436.0,44476.0,44510.0,44648.0,44834.0,44874.0,44924.0,44974.0,45097.0,45151.0,45221.0,45278.0,45334.0,45382.0,45436.0,45556.0,45618.0,45663.0,45682.0,45732.0,45768.0,45796.0,45822.0,45866.0,45898.0,45922.0
5014030,51000.0,51083.0,51143.0,51281.0,51319.0,51381.0,51419.0,51471.0,51581.0,51636.0,51676.0,51710.0,51848.0,52034.0,52074.0,52124.0,52174.0,52297.0,52351.0,52421.0,52478.0,52534.0,52582.0,52636.0,52756.0,52818.0,52863.0,52882.0,52932.0,52968.0,52996.0,53022.0,53066.0,53098.0,53122.0
5014032,58200.0,58289.0,58354.0,58502.0,58540.0,58602.0,58640.0,58691.0,58806.0,58864.0,58908.0,58939.0,59066.0,59248.0,59284.0,59331.0,59378.0,59500.0,59542.0,59596.0,59641.0,59705.0,59760.0,59821.0,59950.0,60017.0,60065.0,60085.0,60139.0,60178.0,60208.0,60238.0,60278.0,60305.0,60326.0
5014034,65400.0,65488.0,65552.0,65698.0,65729.0,65781.0,65813.0,65855.0,65958.0,66009.0,66055.0,66082.0,66193.0,66335.0,66376.0,66417.0,66458.0,66584.0,66637.0,66705.0,66760.0,66816.0,66864.0,66918.0,67041.0,67104.0,67150.0,67169.0,67221.0,67259.0,67288.0,67315.0,67350.0,67371.0,67387.0
5014036,76200.0,76265.0,76312.0,76421.0,76441.0,76473.0,76493.0,76519.0,76588.0,76622.0,76653.0,76674.0,76757.0,76860.0,76883.0,76911.0,76940.0,77018.0,77052.0,77095.0,77131.0,77182.0,77226.0,77275.0,77367.0,77414.0,77449.0,77464.0,77503.0,77531.0,77552.0,77572.0,77609.0,77631.0,77648.0
5088218,51000.0,51116.0,51164.0,51275.0,51314.0,51377.0,51416.0,51468.0,51583.0,51640.0,51716.0,51745.0,51860.0,52048.0,52084.0,52120.0,52156.0,52276.0,52318.0,52373.0,52418.0,52470.0,52515.0,52565.0,52674.0,52730.0,52771.0,52788.0,52834.0,52867.0,52892.0,52916.0,52947.0,52969.0,52985.0
5088220,58200.0,58327.0,58380.0,58500.0,58536.0,58595.0,58631.0,58680.0,58760.0,58800.0,58860.0,58896.0,59040.0,59220.0,59340.0,59429.0,59520.0,59700.0,59754.0,59823.0,59880.0,59943.0,59998.0,60060.0,60153.0,60201.0,60236.0,60251.0,60290.0,60318.0,60340.0,60360.0,60420.0,60454.0,60480.0
5088222,65400.0,65527.0,65580.0,65700.0,65748.0,65827.0,65875.0,65940.0,66020.0,66060.0,66120.0,66156.0,66300.0,66480.0,66600.0,66689.0,66780.0,66900.0,66954.0,67023.0,67080.0,67122.0,67159.0,67200.0,67274.0,67312.0,67340.0,67352.0,67383.0,67406.0,67423.0,67440.0,67500.0,67534.0,67560.0
5089322,33000.0,33146.0,33207.0,33345.0,33394.0,33474.0,33523.0,33589.0,33673.0,33715.0,33743.0,33774.0,33897.0,34159.0,34185.0,34221.0,34258.0,34356.0,34398.0,34453.0,34498.0,34553.0,34601.0,34655.0,34780.0,34844.0,34891.0,34911.0,34963.0,35001.0,35030.0,35057.0,35096.0,35123.0,35144.0
5089324,40200.0,40314.0,40361.0,40470.0,40507.0,40567.0,40604.0,40653.0,40759.0,40812.0,40850.0,40883.0,41015.0,41194.0,41232.0,41280.0,41328.0,41446.0,41498.0,41565.0,41620.0,41674.0,41720.0,41772.0,41887.0,41946.0,41989.0,42007.0,42055.0,42090.0,42117.0,42143.0,42185.0,42216.0,42239.0
5089326,47400.0,47514.0,47561.0,47670.0,47707.0,47767.0,47804.0,47853.0,47959.0,48012.0,48050.0,48083.0,48215.0,48394.0,48432.0,48480.0,48528.0,48646.0,48698.0,48765.0,48820.0,48874.0,48920.0,48972.0,49087.0,49146.0,49189.0,49207.0,49255.0,49290.0,49317.0,49343.0,49385.0,49416.0,49439.0
5089328,54600.0,54723.0,54774.0,54890.0,54926.0,54986.0,55023.0,55072.0,55183.0,55238.0,55280.0,55310.0,55432.0,55607.0,55642.0,55687.0,55732.0,55849.0,55890.0,55942.0,55985.0,56046.0,56099.0,56158.0,56282.0,56346.0,56393.0,56413.0,56465.0,56503.0,56532.0,56559.0,56597.0,56623.0,56643.0
5089330,61800.0,61954.0,62018.0,62165.0,62203.0,62266.0,62305.0,62357.0,62472.0,62529.0,62569.0,62604.0,62747.0,62955.0,62991.0,63042.0,63094.0,63217.0,63262.0,63320.0,63368.0,63424.0,63473.0,63527.0,63663.0,63733.0,63784.0,63805.0,63862.0,63903.0,63935.0,63964.0,64005.0,64036.0,64059.0
5089332,69000.0,69106.0,69150.0,69252.0,69288.0,69347.0,69383.0,69431.0,69534.0,69586.0,69602.0,69629.0,69738.0,69895.0,69935.0,69982.0,70030.0,70109.0,70149.0,70201.0,70244.0,70304.0,70356.0,70413.0,70533.0,70595.0,70640.0,70659.0,70710.0,70747.0,70775.0,70801.0,70842.0,70867.0,70886.0
5096046,43800.0,43916.0,43964.0,44075.0,44114.0,44177.0,44216.0,44268.0,44383.0,44440.0,44516.0,44545.0,44660.0,44848.0,44884.0,44920.0,44956.0,45076.0,45118.0,45173.0,45218.0,45270.0,45315.0,45365.0,45474.0,45530.0,45571.0,45588.0,45634.0,45667.0,45692.0,45716.0,45747.0,45769.0,45785.0
5099962,36600.0,36715.0,36763.0,36873.0,36909.0,36968.0,37004.0,37054.0,37171.0,37229.0,37260.0,37293.0,37427.0,37591.0,37625.0,37655.0,37685.0,37778.0,37823.0,37881.0,37929.0,37978.0,38021.0,38069.0,38182.0,38240.0,38282.0,38300.0,38347.0,38381.0,38407.0,38432.0,38472.0,38498.0,38517.0
5099964,43800.0,43914.0,43961.0,44070.0,44107.0,44167.0,44204.0,44253.0,44359.0,44412.0,44450.0,44483.0,44615.0,44794.0,44832.0,44880.0,44928.0,45046.0,45098.0,45165.0,45220.0,45274.0,45320.0,45372.0,45487.0,45546.0,45589.0,45607.0,45655.0,45690.0,45717.0,45743.0,45785.0,45816.0,45839.0
