tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P
0,7639.0,7640.0,5047.0,3134.0,3143.0,3144.0,3221.0,3222.0,3223.0,3224.0,3225.0,3226.0,3227.0,3228.0,3229.0,7472.0,3230.0,3232.0,3233.0,3234.0,4462.0,3235.0,3236.0,3237.0,6103.0,7554.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2039.0,2037.0,3046.0,3047.0,3048.0,3049.0,3050.0,3051.0,3052.0,3053.0,3054.0,3055.0,3056.0,3057.0
5007460,27000.0,27109.0,27240.0,27259.0,27308.0,27331.0,27389.0,27420.0,27537.0,27600.0,27691.0,27780.0,27824.0,27876.0,27895.0,27930.0,27960.0,28095.0,28140.0,28173.0,28225.0,28263.0,28320.0,28560.0,28800.0,28858.0,28927.0,28980.0,29039.0,29074.0,29160.0,29289.0,29400.0,29580.0,29630.0,29696.0,29760.0,29815.0,29856.0,29940.0,30021.0,30120.0,30177.0,30227.0,30259.0,30300.0
5007462,34200.0,34248.0,34305.0,34344.0,34448.0,34496.0,34618.0,34682.0,34801.0,34865.0,34928.0,34990.0,35037.0,35093.0,35114.0,35151.0,35181.0,35294.0,35332.0,35388.0,35474.0,35538.0,35631.0,35679.0,35727.0,35820.0,35931.0,36017.0,36047.0,36065.0,36108.0,36204.0,36287.0,36328.0,36412.0,36522.0,36630.0,36675.0,36709.0,36779.0,36812.0,36853.0,36889.0,36920.0,36940.0,36966.0
5007464,41400.0,41448.0,41505.0,41544.0,41648.0,41696.0,41818.0,41882.0,42001.0,42065.0,42128.0,42190.0,42237.0,42293.0,42314.0,42351.0,42381.0,42494.0,42532.0,42588.0,42674.0,42738.0,42831.0,42879.0,42927.0,43020.0,43131.0,43217.0,43247.0,43265.0,43308.0,43404.0,43487.0,43528.0,43612.0,43722.0,43830.0,43875.0,43909.0,43979.0,44012.0,44053.0,44089.0,44120.0,44140.0,44166.0
5007470,63000.0,63027.0,63060.0,63079.0,63128.0,63151.0,63209.0,63240.0,63357.0,63420.0,63511.0,63600.0,63644.0,63696.0,63715.0,63750.0,63780.0,63915.0,63960.0,63993.0,64045.0,64083.0,64140.0,64320.0,64560.0,64618.0,64687.0,64740.0,64799.0,64834.0,64920.0,65049.0,65160.0,65340.0,65390.0,65456.0,65520.0,65575.0,65616.0,65700.0,65781.0,65880.0,65937.0,65987.0,66019.0,66060.0
5007472,70200.0,70227.0,70260.0,70279.0,70328.0,70351.0,70409.0,70440.0,70557.0,70620.0,70711.0,70800.0,70844.0,70896.0,70915.0,70950.0,70980.0,71115.0,71160.0,71193.0,71245.0,71283.0,71340.0,71520.0,71760.0,71818.0,71887.0,71940.0,71999.0,72034.0,72120.0,72249.0,72360.0,72540.0,72590.0,72656.0,72720.0,72775.0,72816.0,72900.0,72981.0,73080.0,73137.0,73187.0,73219.0,73260.0
5007474,77400.0,77427.0,77460.0,77479.0,77528.0,77551.0,77609.0,77640.0,77757.0,77820.0,77911.0,78000.0,78044.0,78096.0,78115.0,78150.0,78180.0,78315.0,78360.0,78393.0,78445.0,78483.0,78540.0,78720.0,78960.0,79018.0,79087.0,79140.0,79199.0,79234.0,79320.0,79449.0,79560.0,79740.0,79790.0,79856.0,79920.0,79975.0,80016.0,80100.0,80181.0,80280.0,80337.0,80387.0,80419.0,80460.0
5007476,84600.0,84627.0,84660.0,84679.0,84728.0,84751.0,84809.0,84840.0,84957.0,85020.0,85111.0,85200.0,85244.0,85296.0,85315.0,85350.0,85380.0,85515.0,85560.0,85593.0,85645.0,85683.0,85740.0,85920.0,86160.0,86218.0,86287.0,86340.0,86399.0,86434.0,86520.0,86649.0,86760.0,86940.0,86990.0,87056.0,87120.0,87175.0,87216.0,87300.0,87381.0,87480.0,87537.0,87587.0,87619.0,87660.0
5018401,27000.0,27082.0,27180.0,27199.0,27248.0,27271.0,27329.0,27360.0,27477.0,27540.0,27631.0,27720.0,27764.0,27816.0,27835.0,27870.0,27900.0,28035.0,28080.0,28113.0,28165.0,28203.0,28260.0,28440.0,28620.0,28678.0,28747.0,28800.0,28859.0,28894.0,28980.0,29077.0,29160.0,29340.0,29390.0,29456.0,29520.0,29575.0,29616.0,29700.0,29781.0,29880.0,29937.0,29987.0,30019.0,30060.0
5018403,34200.0,34282.0,34380.0,34399.0,34448.0,34471.0,34529.0,34560.0,34638.0,34680.0,34771.0,34860.0,34904.0,34956.0,34975.0,35010.0,35040.0,35175.0,35220.0,35242.0,35276.0,35302.0,35340.0,35520.0,35700.0,35758.0,35827.0,35880.0,35939.0,35974.0,36060.0,36157.0,36240.0,36420.0,36470.0,36536.0,36600.0,36655.0,36696.0,36780.0,36861.0,36960.0,37017.0,37067.0,37099.0,37140.0
