tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P
0,6200.0,6201.0,6196.0,3532.0,3533.0,3491.0,6007.0,4349.0,3184.0,449.0,450.0,3181.0,5142.0,3187.0,3188.0,3189.0,3190.0,3191.0,3192.0,3193.0,3194.0,3195.0,3196.0,3198.0,3199.0,3200.0,3201.0,3085.0
5002365,25800.0,25818.0,25926.0,25980.0,26043.0,26100.0,26220.0,26310.0,26340.0,26400.0,26430.0,26491.0,26520.0,26700.0,26729.0,26751.0,26776.0,26802.0,26820.0,26940.0,26994.0,27019.0,27060.0,27132.0,27180.0,27300.0,27349.0,27420.0
5002367,30600.0,30616.0,30712.0,30760.0,30809.0,30854.0,30908.0,31034.0,31076.0,31174.0,31223.0,31323.0,31369.0,31445.0,31503.0,31546.0,31596.0,31648.0,31680.0,31890.0,31954.0,31983.0,32030.0,32119.0,32178.0,32245.0,32372.0,32554.0
5002369,35400.0,35416.0,35512.0,35560.0,35609.0,35654.0,35708.0,35834.0,35876.0,35974.0,36023.0,36123.0,36169.0,36245.0,36303.0,36346.0,36396.0,36448.0,36480.0,36690.0,36754.0,36783.0,36830.0,36919.0,36978.0,37045.0,37172.0,37354.0
5002371,40200.0,40211.0,40279.0,40314.0,40362.0,40405.0,40469.0,40581.0,40618.0,40724.0,40778.0,40887.0,40937.0,40992.0,41039.0,41074.0,41114.0,41156.0,41183.0,41269.0,41329.0,41356.0,41402.0,41478.0,41529.0,41580.0,41691.0,41850.0
5002373,54600.0,54613.0,54694.0,54735.0,54782.0,54825.0,54863.0,54960.0,54992.0,55104.0,55161.0,55276.0,55328.0,55394.0,55450.0,55492.0,55540.0,55590.0,55623.0,55786.0,55851.0,55880.0,55929.0,56014.0,56071.0,56123.0,56236.0,56399.0
5002375,59700.0,59713.0,59794.0,59835.0,59882.0,59925.0,59963.0,60060.0,60092.0,60204.0,60261.0,60376.0,60428.0,60494.0,60550.0,60592.0,60640.0,60690.0,60723.0,60886.0,60951.0,60980.0,61029.0,61114.0,61171.0,61223.0,61336.0,61499.0
5002378,73200.0,73211.0,73279.0,73313.0,73355.0,73394.0,73421.0,73497.0,73523.0,73600.0,73639.0,73718.0,73753.0,73802.0,73838.0,73865.0,73896.0,73929.0,73950.0,74043.0,74094.0,74117.0,74156.0,74221.0,74264.0,74302.0,74413.0,74573.0
5002380,77700.0,77713.0,77794.0,77835.0,77873.0,77908.0,77934.0,77987.0,78005.0,78062.0,78091.0,78150.0,78177.0,78212.0,78243.0,78266.0,78292.0,78320.0,78337.0,78411.0,78452.0,78471.0,78502.0,78569.0,78614.0,78648.0,78709.0,78796.0
5002961,30600.0,30612.0,30687.0,30725.0,30773.0,30817.0,30872.0,31019.0,31068.0,31150.0,31191.0,31275.0,31314.0,31359.0,31409.0,31446.0,31489.0,31533.0,31561.0,31667.0,31728.0,31755.0,31801.0,31895.0,31958.0,32012.0,32128.0,32294.0
