tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P
0,3085.0,3082.0,3165.0,3166.0,3167.0,3168.0,3169.0,3171.0,3173.0,3174.0,3175.0,3176.0,3177.0,3178.0,3179.0,4984.0,448.0,4457.0,3182.0,3183.0,4350.0,5143.0,2833.0,6006.0,3493.0,3494.0,6197.0,6198.0,6199.0
5002366,27900.0,27977.0,28019.0,28082.0,28098.0,28125.0,28182.0,28231.0,28280.0,28328.0,28373.0,28429.0,28473.0,28543.0,28621.0,28693.0,28743.0,28782.0,28849.0,28888.0,28972.0,29015.0,29048.0,29114.0,29179.0,29209.0,29278.0,29340.0,29349.0
5002368,33000.0,33051.0,33079.0,33120.0,33209.0,33360.0,33392.0,33420.0,33450.0,33480.0,33660.0,33712.0,33753.0,33819.0,33892.0,33960.0,34260.0,34300.0,34371.0,34412.0,34500.0,34572.0,34628.0,34740.0,34800.0,34920.0,35008.0,35088.0,35100.0
5002370,37800.0,37883.0,37928.0,37996.0,38023.0,38068.0,38139.0,38200.0,38254.0,38307.0,38356.0,38417.0,38465.0,38541.0,38626.0,38703.0,38738.0,38781.0,38856.0,38900.0,38993.0,39035.0,39067.0,39132.0,39200.0,39231.0,39308.0,39378.0,39389.0
5002372,52200.0,52307.0,52365.0,52452.0,52476.0,52516.0,52609.0,52689.0,52736.0,52782.0,52848.0,52916.0,52970.0,53056.0,53152.0,53238.0,53276.0,53330.0,53424.0,53479.0,53595.0,53644.0,53682.0,53760.0,53847.0,53876.0,53946.0,54009.0,54018.0
5002374,57600.0,57723.0,57790.0,57891.0,57917.0,57961.0,58056.0,58137.0,58194.0,58249.0,58360.0,58434.0,58493.0,58586.0,58690.0,58785.0,58830.0,58884.0,58978.0,59033.0,59150.0,59204.0,59246.0,59332.0,59453.0,59481.0,59553.0,59618.0,59627.0
5002376,62100.0,62223.0,62290.0,62391.0,62417.0,62461.0,62556.0,62637.0,62694.0,62749.0,62860.0,62934.0,62993.0,63086.0,63190.0,63285.0,63330.0,63384.0,63478.0,63533.0,63650.0,63704.0,63746.0,63832.0,63953.0,63981.0,64053.0,64118.0,64127.0
5002377,71100.0,71184.0,71230.0,71299.0,71319.0,71354.0,71422.0,71480.0,71514.0,71548.0,71585.0,71631.0,71668.0,71726.0,71791.0,71850.0,71882.0,71916.0,71976.0,72011.0,72085.0,72125.0,72156.0,72217.0,72294.0,72319.0,72396.0,72466.0,72477.0
5002379,75600.0,75674.0,75714.0,75774.0,75793.0,75825.0,75887.0,75939.0,75977.0,76014.0,76050.0,76092.0,76125.0,76178.0,76238.0,76293.0,76315.0,76342.0,76390.0,76418.0,76478.0,76517.0,76547.0,76608.0,76675.0,76706.0,76771.0,76830.0,76839.0
5002960,27900.0,27976.0,28017.0,28079.0,28095.0,28121.0,28172.0,28216.0,28256.0,28295.0,28330.0,28377.0,28414.0,28474.0,28541.0,28602.0,28627.0,28655.0,28705.0,28734.0,28795.0,28824.0,28847.0,28893.0,28949.0,28974.0,29046.0,29112.0,29121.0
5002962,33000.0,33077.0,33119.0,33182.0,33196.0,33220.0,33275.0,33321.0,33366.0,33410.0,33446.0,33506.0,33553.0,33628.0,33712.0,33787.0,33810.0,33843.0,33900.0,33933.0,34005.0,34044.0,34074.0,34134.0,34192.0,34223.0,34301.0,34372.0,34383.0
5002964,37800.0,37907.0,37965.0,38054.0,38073.0,38106.0,38177.0,38238.0,38277.0,38316.0,38355.0,38429.0,38487.0,38580.0,38684.0,38779.0,38810.0,38857.0,38939.0,38986.0,39087.0,39140.0,39181.0,39264.0,39378.0,39404.0,39492.0,39572.0,39583.0
5002966,52200.0,52296.0,52348.0,52428.0,52447.0,52480.0,52544.0,52598.0,52639.0,52679.0,52721.0,52769.0,52807.0,52867.0,52934.0,52996.0,53014.0,53052.0,53119.0,53158.0,53242.0,53294.0,53334.0,53415.0,53515.0,53539.0,53598.0,53652.0,53660.0
5002968,57600.0,57708.0,57767.0,57856.0,57878.0,57915.0,57974.0,58024.0,58074.0,58122.0,58155.0,58213.0,58259.0,58332.0,58413.0,58486.0,58512.0,58541.0,58592.0,58622.0,58685.0,58718.0,58743.0,58794.0,58867.0,58889.0,58962.0,59028.0,59038.0
5002970,62100.0,62208.0,62267.0,62356.0,62378.0,62415.0,62474.0,62524.0,62574.0,62622.0,62655.0,62713.0,62759.0,62832.0,62913.0,62986.0,63012.0,63041.0,63092.0,63122.0,63185.0,63218.0,63243.0,63294.0,63367.0,63389.0,63462.0,63528.0,63538.0
5002971,71100.0,71208.0,71267.0,71356.0,71374.0,71405.0,71468.0,71521.0,71554.0,71587.0,71616.0,71655.0,71685.0,71734.0,71788.0,71837.0,71851.0,71881.0,71933.0,71963.0,72026.0,72055.0,72078.0,72123.0,72177.0,72200.0,72267.0,72328.0,72337.0
5002973,75600.0,75695.0,75747.0,75825.0,75844.0,75876.0,75928.0,75972.0,76030.0,76087.0,76114.0,76143.0,76166.0,76202.0,76242.0,76279.0,76313.0,76341.0,76391.0,76420.0,76481.0,76517.0,76545.0,76600.0,76645.0,76673.0,76737.0,76795.0,76804.0
5004728,25800.0,25877.0,25919.0,25982.0,25998.0,26025.0,26082.0,26131.0,26180.0,26228.0,26273.0,26329.0,26373.0,26443.0,26521.0,26593.0,26643.0,26682.0,26749.0,26788.0,26872.0,26915.0,26948.0,27014.0,27079.0,27109.0,27178.0,27240.0,27249.0
5004730,30600.0,30651.0,30679.0,30720.0,30809.0,30960.0,30992.0,31020.0,31050.0,31080.0,31260.0,31312.0,31353.0,31419.0,31492.0,31560.0,31860.0,31900.0,31971.0,32012.0,32100.0,32172.0,32228.0,32340.0,32400.0,32520.0,32608.0,32688.0,32700.0
5004732,41400.0,41483.0,41528.0,41596.0,41623.0,41668.0,41739.0,41800.0,41854.0,41907.0,41956.0,42017.0,42065.0,42141.0,42226.0,42303.0,42338.0,42381.0,42456.0,42500.0,42593.0,42635.0,42667.0,42732.0,42800.0,42831.0,42908.0,42978.0,42989.0
5004734,46200.0,46307.0,46365.0,46452.0,46476.0,46516.0,46609.0,46689.0,46736.0,46782.0,46848.0,46916.0,46970.0,47056.0,47152.0,47238.0,47276.0,47330.0,47424.0,47479.0,47595.0,47644.0,47682.0,47760.0,47847.0,47876.0,47946.0,48009.0,48018.0
5004955,49200.0,49307.0,49365.0,49452.0,49476.0,49516.0,49609.0,49689.0,49736.0,49782.0,49848.0,49916.0,49970.0,50056.0,50152.0,50238.0,50276.0,50330.0,50424.0,50479.0,50595.0,50644.0,50682.0,50760.0,50847.0,50876.0,50946.0,51009.0,51018.0
5004957,54000.0,54123.0,54190.0,54291.0,54317.0,54361.0,54456.0,54537.0,54594.0,54649.0,54760.0,54834.0,54893.0,54986.0,55090.0,55185.0,55230.0,55284.0,55378.0,55433.0,55550.0,55604.0,55646.0,55732.0,55853.0,55881.0,55953.0,56018.0,56027.0
5004959,64200.0,64323.0,64390.0,64491.0,64517.0,64561.0,64656.0,64737.0,64794.0,64849.0,64960.0,65034.0,65093.0,65186.0,65290.0,65385.0,65430.0,65484.0,65578.0,65633.0,65750.0,65804.0,65846.0,65932.0,66053.0,66081.0,66153.0,66218.0,66227.0
5004961,69000.0,69084.0,69130.0,69199.0,69219.0,69254.0,69322.0,69380.0,69414.0,69448.0,69485.0,69531.0,69568.0,69626.0,69691.0,69750.0,69782.0,69816.0,69876.0,69911.0,69985.0,70025.0,70056.0,70117.0,70194.0,70219.0,70296.0,70366.0,70377.0
5004963,72600.0,72684.0,72730.0,72799.0,72819.0,72854.0,72922.0,72980.0,73014.0,73048.0,73085.0,73131.0,73168.0,73226.0,73291.0,73350.0,73382.0,73416.0,73476.0,73511.0,73585.0,73625.0,73656.0,73717.0,73794.0,73819.0,73896.0,73966.0,73977.0
5008170,49200.0,49296.0,49348.0,49428.0,49447.0,49480.0,49544.0,49598.0,49639.0,49679.0,49721.0,49769.0,49807.0,49867.0,49934.0,49996.0,50014.0,50052.0,50119.0,50158.0,50242.0,50294.0,50334.0,50415.0,50515.0,50539.0,50598.0,50652.0,50660.0
5008172,54000.0,54108.0,54167.0,54256.0,54278.0,54315.0,54374.0,54424.0,54474.0,54522.0,54555.0,54613.0,54659.0,54732.0,54813.0,54886.0,54912.0,54941.0,54992.0,55022.0,55085.0,55118.0,55143.0,55194.0,55267.0,55289.0,55362.0,55428.0,55438.0
