tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P
0,6122.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,7603.0,45.0,46.0,47.0,48.0,49.0,51.0,52.0,261.0,271.0,404.0,747.0,842.0,845.0,846.0,847.0,848.0,849.0,850.0,851.0,852.0,853.0,854.0,855.0,856.0,857.0,858.0,859.0,860.0,861.0,862.0,3014.0,3015.0,3016.0,3017.0,3018.0,3019.0,3020.0,3021.0,3022.0,441.0,442.0,443.0,444.0,445.0,4779.0,7057.0,4847.0,4848.0,449.0
5002642,25200.0,25233.0,25260.0,25296.0,25343.0,25371.0,25420.0,25450.0,25486.0,25533.0,25566.0,25598.0,25635.0,25673.0,25719.0,25764.0,25828.0,25886.0,25918.0,26037.0,26178.0,26343.0,26416.0,26467.0,26501.0,26538.0,26572.0,26611.0,26663.0,26712.0,26743.0,26768.0,26812.0,26832.0,26885.0,26918.0,26948.0,26986.0,27018.0,27062.0,27099.0,27123.0,27170.0,27191.0,27221.0,27255.0,27292.0,27316.0,27346.0,27366.0,27390.0,27400.0,27430.0,27458.0,27490.0,27528.0,27568.0,27618.0,27655.0,27724.0,27770.0
5002644,32400.0,32442.0,32476.0,32521.0,32580.0,32614.0,32671.0,32705.0,32746.0,32795.0,32829.0,32862.0,32901.0,32956.0,33022.0,33074.0,33148.0,33232.0,33278.0,33361.0,33586.0,33794.0,33885.0,33974.0,34032.0,34098.0,34158.0,34205.0,34275.0,34341.0,34383.0,34416.0,34461.0,34481.0,34529.0,34559.0,34586.0,34630.0,34667.0,34726.0,34776.0,34799.0,34843.0,34879.0,34909.0,34944.0,34983.0,35023.0,35074.0,35098.0,35126.0,35139.0,35169.0,35197.0,35229.0,35267.0,35307.0,35357.0,35394.0,35463.0,35509.0
5002646,41400.0,41448.0,41487.0,41538.0,41605.0,41645.0,41718.0,41762.0,41815.0,41882.0,41929.0,41975.0,42028.0,42096.0,42176.0,42229.0,42305.0,42409.0,42465.0,42594.0,42822.0,43062.0,43167.0,43259.0,43319.0,43372.0,43420.0,43460.0,43522.0,43581.0,43618.0,43647.0,43712.0,43741.0,43796.0,43831.0,43862.0,43913.0,43955.0,44027.0,44088.0,44123.0,44192.0,44222.0,44259.0,44301.0,44347.0,44386.0,44437.0,44467.0,44502.0,44518.0,44548.0,44576.0,44608.0,44646.0,44686.0,44736.0,44773.0,44842.0,44888.0
5002648,52200.0,52253.0,52296.0,52353.0,52428.0,52471.0,52540.0,52582.0,52631.0,52687.0,52726.0,52764.0,52809.0,52860.0,52920.0,52982.0,53070.0,53144.0,53185.0,53270.0,53500.0,53841.0,53990.0,54078.0,54136.0,54189.0,54237.0,54284.0,54352.0,54417.0,54458.0,54490.0,54560.0,54591.0,54639.0,54669.0,54695.0,54748.0,54793.0,54865.0,54926.0,54957.0,55016.0,55049.0,55090.0,55137.0,55189.0,55223.0,55266.0,55294.0,55328.0,55343.0,55373.0,55401.0,55433.0,55471.0,55511.0,55561.0,55598.0,55667.0,55713.0
5002650,63000.0,63037.0,63067.0,63106.0,63158.0,63189.0,63238.0,63268.0,63304.0,63351.0,63384.0,63416.0,63454.0,63500.0,63554.0,63598.0,63661.0,63738.0,63780.0,63880.0,64110.0,64371.0,64486.0,64573.0,64630.0,64684.0,64734.0,64778.0,64851.0,64920.0,64964.0,64999.0,65070.0,65101.0,65150.0,65181.0,65208.0,65259.0,65302.0,65362.0,65413.0,65444.0,65504.0,65543.0,65580.0,65623.0,65671.0,65693.0,65722.0,65753.0,65790.0,65807.0,65837.0,65864.0,65896.0,65934.0,65974.0,66023.0,66060.0,66129.0,66175.0
5003279,45000.0,45053.0,45096.0,45153.0,45228.0,45271.0,45340.0,45382.0,45431.0,45487.0,45526.0,45564.0,45609.0,45660.0,45720.0,45782.0,45870.0,45944.0,45985.0,46070.0,46300.0,46641.0,46790.0,46878.0,46936.0,46989.0,47037.0,47084.0,47152.0,47217.0,47258.0,47290.0,47360.0,47391.0,47439.0,47469.0,47495.0,47548.0,47593.0,47665.0,47726.0,47757.0,47816.0,47849.0,47890.0,47937.0,47989.0,48023.0,48066.0,48094.0,48128.0,48143.0,48173.0,48201.0,48233.0,48271.0,48311.0,48361.0,48398.0,48467.0,48513.0
5003281,55800.0,55837.0,55867.0,55906.0,55958.0,55989.0,56038.0,56068.0,56104.0,56151.0,56184.0,56216.0,56254.0,56300.0,56354.0,56398.0,56461.0,56538.0,56580.0,56680.0,56910.0,57171.0,57286.0,57373.0,57430.0,57484.0,57534.0,57578.0,57651.0,57720.0,57764.0,57799.0,57870.0,57901.0,57950.0,57981.0,58008.0,58059.0,58102.0,58162.0,58213.0,58244.0,58304.0,58343.0,58380.0,58423.0,58471.0,58493.0,58522.0,58553.0,58590.0,58607.0,58637.0,58664.0,58696.0,58734.0,58774.0,58823.0,58860.0,58929.0,58975.0
5003283,66600.0,66637.0,66667.0,66706.0,66758.0,66789.0,66838.0,66868.0,66904.0,66951.0,66984.0,67016.0,67054.0,67100.0,67154.0,67198.0,67261.0,67338.0,67380.0,67480.0,67710.0,67971.0,68086.0,68173.0,68230.0,68284.0,68334.0,68378.0,68451.0,68520.0,68564.0,68599.0,68670.0,68701.0,68750.0,68781.0,68808.0,68859.0,68902.0,68962.0,69013.0,69044.0,69104.0,69143.0,69180.0,69223.0,69271.0,69293.0,69322.0,69353.0,69390.0,69407.0,69437.0,69464.0,69496.0,69534.0,69574.0,69623.0,69660.0,69729.0,69775.0
5003834,34200.0,34258.0,34306.0,34368.0,34450.0,34499.0,34577.0,34624.0,34681.0,34767.0,34827.0,34886.0,34955.0,35038.0,35136.0,35209.0,35313.0,35415.0,35471.0,35596.0,35854.0,36291.0,36482.0,36598.0,36673.0,36740.0,36801.0,36846.0,36923.0,36996.0,37042.0,37077.0,37146.0,37176.0,37227.0,37259.0,37288.0,37349.0,37400.0,37463.0,37517.0,37542.0,37591.0,37619.0,37656.0,37698.0,37746.0,37774.0,37810.0,37831.0,37856.0,37868.0,37898.0,37925.0,37957.0,37995.0,38034.0,38083.0,38119.0,38188.0,38234.0
