tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P
0,449.0,450.0,3181.0,451.0,447.0,5045.0,4460.0,453.0,454.0,4475.0,3023.0,3024.0,3025.0,3026.0,3027.0,3028.0,3029.0,3030.0,3031.0,875.0,876.0,878.0,879.0,880.0,881.0,882.0,883.0,884.0,885.0,886.0,887.0,903.0,904.0,906.0,907.0,908.0,909.0,786.0,793.0,7576.0,7586.0,7587.0,345.0,320.0,278.0,7615.0,10.0,12.0,14.0,15.0,17.0,18.0,19.0,21.0,7602.0,22.0,23.0,24.0,25.0,27.0,28.0,29.0,4680.0,31.0,32.0,33.0,7220.0,6122.0
5002643,28800.0,28825.0,28875.0,28897.0,28932.0,28969.0,29009.0,29022.0,29044.0,29060.0,29096.0,29117.0,29134.0,29156.0,29167.0,29210.0,29238.0,29280.0,29304.0,29341.0,29401.0,29454.0,29478.0,29523.0,29554.0,29589.0,29615.0,29667.0,29696.0,29721.0,29756.0,29794.0,29843.0,29902.0,29947.0,29984.0,30033.0,30084.0,30210.0,30219.0,30347.0,30447.0,30518.0,30568.0,30716.0,30770.0,30778.0,30833.0,30852.0,30870.0,30951.0,30996.0,31015.0,31058.0,31084.0,31118.0,31150.0,31188.0,31220.0,31291.0,31325.0,31354.0,31376.0,31424.0,31447.0,31492.0,31534.0,31585.0
5003835,55800.0,55842.0,55927.0,55964.0,56024.0,56087.0,56155.0,56178.0,56215.0,56243.0,56302.0,56334.0,56362.0,56430.0,56466.0,56522.0,56558.0,56611.0,56655.0,56723.0,56779.0,56853.0,56886.0,56950.0,57003.0,57063.0,57108.0,57198.0,57250.0,57310.0,57394.0,57452.0,57527.0,57619.0,57685.0,57739.0,57811.0,57884.0,58065.0,58078.0,58369.0,58597.0,58758.0,58872.0,59209.0,59316.0,59338.0,59488.0,59571.0,59651.0,59772.0,59867.0,59907.0,59999.0,60043.0,60100.0,60155.0,60220.0,60277.0,60405.0,60466.0,60502.0,60530.0,60591.0,60620.0,60677.0,60730.0,60793.0
5004178,51900.0,51920.0,51961.0,51979.0,52007.0,52037.0,52070.0,52081.0,52099.0,52112.0,52140.0,52237.0,52320.0,52438.0,52500.0,52592.0,52651.0,52740.0,52787.0,52860.0,52920.0,52972.0,52995.0,53040.0,53068.0,53100.0,53143.0,53230.0,53280.0,53330.0,53400.0,53478.0,53580.0,53760.0,53790.0,53814.0,53846.0,53880.0,54048.0,54060.0,54183.0,54280.0,54348.0,54396.0,54540.0,54600.0,54623.0,54780.0,54872.0,54960.0,55080.0,55155.0,55187.0,55260.0,55296.0,55343.0,55387.0,55440.0,55482.0,55575.0,55620.0,55640.0,55656.0,55690.0,55706.0,55737.0,55766.0,55800.0
5004556,41400.0,41410.0,41430.0,41439.0,41453.0,41468.0,41484.0,41489.0,41498.0,41505.0,41520.0,41552.0,41580.0,41619.0,41640.0,41709.0,41753.0,41820.0,41844.0,41880.0,41940.0,41992.0,42015.0,42060.0,42088.0,42120.0,42149.0,42207.0,42240.0,42265.0,42300.0,42352.0,42420.0,42540.0,42570.0,42594.0,42626.0,42660.0,42828.0,42840.0,42917.0,42978.0,43021.0,43051.0,43140.0,43200.0,43223.0,43380.0,43441.0,43500.0,43560.0,43610.0,43631.0,43680.0,43704.0,43735.0,43765.0,43800.0,43842.0,43935.0,43980.0,44000.0,44016.0,44050.0,44066.0,44097.0,44126.0,44160.0
5004558,52200.0,52235.0,52306.0,52337.0,52387.0,52439.0,52496.0,52515.0,52546.0,52569.0,52618.0,52666.0,52706.0,52780.0,52819.0,52871.0,52904.0,52954.0,52995.0,53057.0,53113.0,53177.0,53206.0,53262.0,53306.0,53355.0,53391.0,53463.0,53504.0,53552.0,53620.0,53653.0,53695.0,53754.0,53780.0,53801.0,53830.0,53860.0,54073.0,54088.0,54280.0,54431.0,54537.0,54612.0,54835.0,54965.0,54985.0,55122.0,55189.0,55254.0,55316.0,55389.0,55420.0,55491.0,55528.0,55576.0,55622.0,55676.0,55725.0,55835.0,55889.0,55921.0,55946.0,56001.0,56027.0,56078.0,56126.0,56184.0
5004560,63000.0,63010.0,63030.0,63039.0,63053.0,63068.0,63084.0,63089.0,63098.0,63105.0,63120.0,63152.0,63180.0,63259.0,63300.0,63346.0,63375.0,63420.0,63444.0,63480.0,63540.0,63592.0,63615.0,63660.0,63688.0,63720.0,63749.0,63807.0,63840.0,63890.0,63960.0,64012.0,64080.0,64200.0,64230.0,64254.0,64286.0,64320.0,64488.0,64500.0,64608.0,64693.0,64753.0,64795.0,64920.0,65040.0,65071.0,65280.0,65402.0,65520.0,65640.0,65715.0,65747.0,65820.0,65844.0,65875.0,65905.0,65940.0,65982.0,66075.0,66120.0,66140.0,66156.0,66190.0,66206.0,66237.0,66266.0,66300.0
5004928,30000.0,30051.0,30154.0,30199.0,30271.0,30347.0,30429.0,30457.0,30502.0,30535.0,30605.0,30644.0,30677.0,30758.0,30800.0,30866.0,30908.0,30971.0,31036.0,31135.0,31205.0,31303.0,31347.0,31431.0,31462.0,31496.0,31540.0,31629.0,31681.0,31733.0,31806.0,31942.0,32118.0,32258.0,32315.0,32362.0,32424.0,32488.0,32706.0,32722.0,32983.0,33188.0,33332.0,33434.0,33735.0,33818.0,33837.0,33962.0,34020.0,34076.0,34165.0,34221.0,34244.0,34299.0,34331.0,34374.0,34414.0,34463.0,34496.0,34570.0,34606.0,34637.0,34662.0,34715.0,34740.0,34789.0,34835.0,34891.0
5005144,24000.0,24033.0,24099.0,24128.0,24174.0,24223.0,24276.0,24294.0,24323.0,24344.0,24389.0,24433.0,24471.0,24531.0,24563.0,24629.0,24671.0,24734.0,24800.0,24902.0,24962.0,25049.0,25088.0,25164.0,25193.0,25226.0,25252.0,25305.0,25336.0,25381.0,25443.0,25493.0,25558.0,25688.0,25735.0,25774.0,25826.0,25879.0,26027.0,26038.0,26182.0,26295.0,26375.0,26431.0,26598.0,26675.0,26692.0,26804.0,26868.0,26929.0,26993.0,27041.0,27061.0,27108.0,27140.0,27182.0,27221.0,27268.0,27304.0,27384.0,27422.0,27457.0,27485.0,27545.0,27573.0,27629.0,27681.0,27743.0
5006344,26400.0,26433.0,26499.0,26528.0,26574.0,26623.0,26676.0,26694.0,26723.0,26744.0,26789.0,26833.0,26871.0,26931.0,26963.0,27029.0,27071.0,27134.0,27200.0,27302.0,27362.0,27449.0,27488.0,27564.0,27593.0,27626.0,27652.0,27705.0,27736.0,27781.0,27843.0,27893.0,27958.0,28088.0,28135.0,28174.0,28226.0,28279.0,28427.0,28438.0,28582.0,28695.0,28775.0,28831.0,28998.0,29075.0,29092.0,29204.0,29268.0,29329.0,29393.0,29441.0,29461.0,29508.0,29540.0,29582.0,29621.0,29668.0,29704.0,29784.0,29822.0,29857.0,29885.0,29945.0,29973.0,30029.0,30081.0,30143.0
