tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P
0,485.0,487.0,488.0,489.0,490.0,491.0,492.0,493.0,494.0,495.0,400.0,279.0,3.0,192.0,795.0,796.0,56.0,58.0,4499.0,4934.0,4500.0,4481.0,4485.0,822.0,823.0,824.0,825.0,826.0,827.0,71.0,72.0,5144.0,7027.0,4538.0,7396.0,5145.0,276.0
5002431,60000.0,60103.0,60170.0,60232.0,60292.0,60352.0,60403.0,60486.0,60611.0,60738.0,60840.0,61327.0,61553.0,61701.0,61744.0,61803.0,62030.0,62100.0,62143.0,62175.0,62217.0,62266.0,62310.0,62361.0,62386.0,62434.0,62483.0,62539.0,62570.0,62606.0,62635.0,62715.0,62797.0,62898.0,62960.0,63038.0,63097.0
5003244,62400.0,62503.0,62570.0,62632.0,62692.0,62752.0,62803.0,62886.0,63011.0,63138.0,63240.0,63727.0,63953.0,64101.0,64144.0,64203.0,64430.0,64500.0,64543.0,64575.0,64617.0,64666.0,64710.0,64761.0,64786.0,64834.0,64883.0,64939.0,64970.0,65006.0,65035.0,65115.0,65197.0,65298.0,65360.0,65438.0,65497.0
5012163,61200.0,61303.0,61370.0,61432.0,61492.0,61552.0,61603.0,61686.0,61811.0,61938.0,62040.0,62527.0,62753.0,62901.0,62944.0,63003.0,63230.0,63300.0,63343.0,63375.0,63417.0,63466.0,63510.0,63561.0,63586.0,63634.0,63683.0,63739.0,63770.0,63806.0,63835.0,63915.0,63997.0,64098.0,64160.0,64238.0,64297.0
5088421,61200.0,61299.0,61363.0,61423.0,61480.0,61538.0,61587.0,61667.0,61787.0,61909.0,62007.0,62475.0,62692.0,62834.0,62875.0,62932.0,63150.0,63217.0,63259.0,63290.0,63330.0,63377.0,63419.0,63468.0,63492.0,63538.0,63585.0,63639.0,63669.0,63704.0,63732.0,63809.0,63887.0,63984.0,64043.0,64120.0,64177.0
5089134,60000.0,60099.0,60163.0,60223.0,60280.0,60338.0,60387.0,60467.0,60587.0,60709.0,60807.0,61275.0,61492.0,61634.0,61675.0,61732.0,61950.0,62017.0,62059.0,62090.0,62130.0,62177.0,62219.0,62268.0,62292.0,62338.0,62385.0,62439.0,62469.0,62504.0,62532.0,62609.0,62687.0,62784.0,62843.0,62920.0,62977.0
5094723,62400.0,62499.0,62563.0,62623.0,62680.0,62738.0,62787.0,62867.0,62987.0,63109.0,63207.0,63675.0,63892.0,64034.0,64075.0,64132.0,64350.0,64417.0,64459.0,64490.0,64530.0,64577.0,64619.0,64668.0,64692.0,64738.0,64785.0,64839.0,64869.0,64904.0,64932.0,65009.0,65087.0,65184.0,65243.0,65320.0,65377.0
5108692,61200.0,61299.0,61363.0,61423.0,61480.0,61538.0,61587.0,61667.0,61787.0,61909.0,62007.0,62475.0,62692.0,62834.0,62875.0,62932.0,63150.0,63217.0,63259.0,63290.0,63330.0,63377.0,63419.0,63468.0,63492.0,63538.0,63585.0,63639.0,63669.0,63704.0,63732.0,63809.0,63887.0,63984.0,64043.0,64120.0,64177.0
5114977,60000.0,60099.0,60163.0,60223.0,60280.0,60338.0,60387.0,60467.0,60587.0,60709.0,60807.0,61275.0,61492.0,61634.0,61675.0,61732.0,61950.0,62017.0,62059.0,62090.0,62130.0,62177.0,62219.0,62268.0,62292.0,62338.0,62385.0,62439.0,62469.0,62504.0,62532.0,62609.0,62687.0,62784.0,62843.0,62920.0,62977.0
5117211,62400.0,62499.0,62563.0,62623.0,62680.0,62738.0,62787.0,62867.0,62987.0,63109.0,63207.0,63675.0,63892.0,64034.0,64075.0,64132.0,64350.0,64417.0,64459.0,64490.0,64530.0,64577.0,64619.0,64668.0,64692.0,64738.0,64785.0,64839.0,64869.0,64904.0,64932.0,65009.0,65087.0,65184.0,65243.0,65320.0,65377.0
