tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P
0,4525.0,4526.0,1700.0,1701.0,1702.0,16.0,73.0,74.0,4371.0,832.0,833.0,77.0,78.0,79.0,80.0,82.0,83.0,84.0,51.0,52.0,263.0,271.0,1278.0,1282.0,4456.0,1284.0,1285.0,1286.0,1288.0,1289.0,1360.0,1362.0,1363.0,1364.0,1365.0,1366.0,1367.0,7455.0,7438.0,1410.0,1411.0,1412.0,1413.0,1414.0,1415.0,1417.0,1418.0,5149.0,1419.0,6094.0
5003390,31200.0,31287.0,31419.0,31471.0,31507.0,31571.0,31646.0,31721.0,31781.0,31833.0,31874.0,32007.0,32177.0,32308.0,32502.0,32655.0,32871.0,32936.0,33161.0,33241.0,33355.0,33574.0,33885.0,34077.0,34157.0,34221.0,34350.0,34463.0,34521.0,34569.0,34630.0,34690.0,34784.0,34812.0,34838.0,34895.0,34919.0,34959.0,35023.0,35056.0,35094.0,35129.0,35168.0,35205.0,35251.0,35293.0,35331.0,35357.0,35381.0,35415.0
5003392,40800.0,40870.0,40975.0,41018.0,41047.0,41100.0,41168.0,41242.0,41302.0,41353.0,41393.0,41474.0,41578.0,41634.0,41716.0,41865.0,42076.0,42139.0,42358.0,42437.0,42563.0,42761.0,42993.0,43136.0,43219.0,43283.0,43412.0,43538.0,43602.0,43656.0,43715.0,43773.0,43864.0,43892.0,43917.0,43979.0,44005.0,44049.0,44119.0,44155.0,44196.0,44234.0,44276.0,44316.0,44366.0,44412.0,44454.0,44483.0,44509.0,44546.0
5003394,50400.0,50473.0,50583.0,50627.0,50657.0,50713.0,50781.0,50856.0,50917.0,50969.0,51011.0,51088.0,51186.0,51228.0,51289.0,51403.0,51564.0,51612.0,51779.0,51840.0,51975.0,52193.0,52449.0,52607.0,52695.0,52760.0,52891.0,53026.0,53095.0,53153.0,53220.0,53286.0,53389.0,53423.0,53454.0,53524.0,53553.0,53603.0,53682.0,53723.0,53769.0,53812.0,53860.0,53905.0,53960.0,54010.0,54056.0,54087.0,54115.0,54155.0
5003396,60000.0,60078.0,60197.0,60240.0,60269.0,60322.0,60392.0,60456.0,60511.0,60558.0,60596.0,60663.0,60748.0,60791.0,60855.0,60971.0,61135.0,61184.0,61354.0,61416.0,61556.0,61756.0,62047.0,62226.0,62316.0,62386.0,62526.0,62693.0,62779.0,62851.0,62919.0,62987.0,63092.0,63127.0,63158.0,63232.0,63263.0,63316.0,63399.0,63442.0,63491.0,63537.0,63588.0,63636.0,63694.0,63745.0,63791.0,63823.0,63852.0,63892.0
5003398,69600.0,69666.0,69765.0,69803.0,69829.0,69876.0,69929.0,69991.0,70038.0,70079.0,70111.0,70158.0,70218.0,70248.0,70293.0,70377.0,70496.0,70532.0,70655.0,70699.0,70816.0,70982.0,71213.0,71355.0,71447.0,71504.0,71618.0,71737.0,71798.0,71849.0,71906.0,71963.0,72051.0,72084.0,72114.0,72175.0,72200.0,72243.0,72312.0,72348.0,72388.0,72426.0,72468.0,72507.0,72556.0,72603.0,72645.0,72674.0,72701.0,72738.0
5003400,78300.0,78357.0,78442.0,78473.0,78494.0,78532.0,78575.0,78615.0,78661.0,78700.0,78731.0,78770.0,78820.0,78846.0,78884.0,78943.0,79027.0,79052.0,79139.0,79171.0,79257.0,79429.0,79630.0,79754.0,79834.0,79882.0,79978.0,80083.0,80137.0,80182.0,80226.0,80270.0,80339.0,80370.0,80397.0,80451.0,80473.0,80511.0,80571.0,80602.0,80638.0,80671.0,80708.0,80743.0,80785.0,80830.0,80871.0,80899.0,80925.0,80960.0
5003717,36000.0,36070.0,36175.0,36218.0,36247.0,36300.0,36368.0,36442.0,36502.0,36553.0,36593.0,36674.0,36778.0,36834.0,36916.0,37065.0,37276.0,37339.0,37558.0,37637.0,37763.0,37961.0,38193.0,38336.0,38419.0,38483.0,38612.0,38738.0,38802.0,38856.0,38915.0,38973.0,39064.0,39092.0,39117.0,39179.0,39205.0,39249.0,39319.0,39355.0,39396.0,39434.0,39476.0,39516.0,39566.0,39612.0,39654.0,39683.0,39709.0,39746.0
5003719,45600.0,45673.0,45783.0,45827.0,45857.0,45913.0,45981.0,46056.0,46117.0,46169.0,46211.0,46288.0,46386.0,46428.0,46489.0,46603.0,46764.0,46812.0,46979.0,47040.0,47175.0,47393.0,47649.0,47807.0,47895.0,47960.0,48091.0,48226.0,48295.0,48353.0,48420.0,48486.0,48589.0,48623.0,48654.0,48724.0,48753.0,48803.0,48882.0,48923.0,48969.0,49012.0,49060.0,49105.0,49160.0,49210.0,49256.0,49287.0,49315.0,49355.0
5003721,55200.0,55278.0,55397.0,55440.0,55469.0,55522.0,55592.0,55656.0,55711.0,55758.0,55796.0,55863.0,55948.0,55991.0,56055.0,56171.0,56335.0,56384.0,56554.0,56616.0,56756.0,56956.0,57247.0,57426.0,57516.0,57586.0,57726.0,57893.0,57979.0,58051.0,58119.0,58187.0,58292.0,58327.0,58358.0,58432.0,58463.0,58516.0,58599.0,58642.0,58691.0,58737.0,58788.0,58836.0,58894.0,58945.0,58991.0,59023.0,59052.0,59092.0
