tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P
0,1423.0,1424.0,1425.0,1426.0,1427.0,1428.0,1429.0,1430.0,1432.0,1433.0,1434.0,1435.0,7439.0,7454.0,1380.0,1381.0,1382.0,1383.0,1384.0,1385.0,1348.0,1349.0,1350.0,1352.0,1353.0,7589.0,1355.0,1357.0,1359.0,279.0,3.0,12.0,14.0,53.0,54.0,55.0,56.0,58.0,59.0,60.0,820.0,821.0,63.0,64.0,65.0,66.0,4498.0,1660.0,1661.0,4523.0,4524.0,4322.0
5003389,26400.0,26439.0,26487.0,26560.0,26609.0,26655.0,26703.0,26768.0,26802.0,26862.0,26914.0,26957.0,26997.0,27053.0,27127.0,27157.0,27212.0,27261.0,27310.0,27418.0,27530.0,27594.0,27665.0,27785.0,27841.0,27931.0,27947.0,28025.0,28153.0,28406.0,28523.0,28658.0,28719.0,28791.0,28839.0,28890.0,29030.0,29081.0,29121.0,29168.0,29213.0,29253.0,29325.0,29353.0,29385.0,29416.0,29472.0,29581.0,29656.0,29791.0,29841.0,29933.0
5003391,36000.0,36039.0,36088.0,36162.0,36210.0,36254.0,36300.0,36362.0,36395.0,36452.0,36502.0,36543.0,36582.0,36636.0,36708.0,36737.0,36791.0,36846.0,36900.0,37004.0,37111.0,37159.0,37212.0,37301.0,37343.0,37466.0,37486.0,37583.0,37750.0,38081.0,38373.0,38537.0,38600.0,38674.0,38723.0,38776.0,38920.0,38985.0,39035.0,39095.0,39153.0,39203.0,39288.0,39322.0,39360.0,39398.0,39439.0,39527.0,39588.0,39698.0,39742.0,39822.0
5003393,45600.0,45641.0,45691.0,45767.0,45817.0,45861.0,45907.0,45969.0,46002.0,46059.0,46109.0,46150.0,46188.0,46242.0,46313.0,46342.0,46396.0,46445.0,46494.0,46587.0,46683.0,46733.0,46788.0,46881.0,46924.0,47049.0,47074.0,47189.0,47370.0,47729.0,47966.0,48130.0,48198.0,48278.0,48332.0,48389.0,48548.0,48621.0,48677.0,48744.0,48804.0,48856.0,48939.0,48977.0,49020.0,49062.0,49107.0,49223.0,49302.0,49446.0,49493.0,49580.0
5003395,55200.0,55236.0,55281.0,55349.0,55394.0,55436.0,55480.0,55540.0,55571.0,55626.0,55674.0,55713.0,55750.0,55801.0,55869.0,55896.0,55948.0,55997.0,56045.0,56141.0,56240.0,56288.0,56342.0,56432.0,56474.0,56600.0,56623.0,56731.0,56909.0,57260.0,57461.0,57617.0,57696.0,57789.0,57851.0,57918.0,58102.0,58171.0,58224.0,58288.0,58348.0,58400.0,58485.0,58520.0,58559.0,58598.0,58640.0,58762.0,58846.0,58997.0,59043.0,59128.0
5003397,64800.0,64836.0,64881.0,64949.0,64994.0,65036.0,65080.0,65140.0,65171.0,65226.0,65274.0,65313.0,65350.0,65401.0,65469.0,65496.0,65548.0,65597.0,65645.0,65741.0,65840.0,65888.0,65942.0,66032.0,66074.0,66200.0,66223.0,66331.0,66509.0,66860.0,67061.0,67217.0,67296.0,67389.0,67451.0,67518.0,67702.0,67771.0,67824.0,67888.0,67948.0,68000.0,68085.0,68120.0,68159.0,68198.0,68240.0,68362.0,68446.0,68597.0,68643.0,68728.0
5003399,73800.0,73836.0,73880.0,73947.0,73991.0,74031.0,74073.0,74129.0,74158.0,74210.0,74255.0,74292.0,74327.0,74375.0,74439.0,74465.0,74513.0,74560.0,74607.0,74682.0,74760.0,74808.0,74861.0,74951.0,74993.0,75116.0,75138.0,75244.0,75399.0,75706.0,75926.0,76053.0,76118.0,76194.0,76245.0,76299.0,76448.0,76502.0,76544.0,76595.0,76649.0,76697.0,76772.0,76805.0,76842.0,76879.0,76919.0,77001.0,77057.0,77160.0,77210.0,77300.0
5003401,82800.0,82831.0,82870.0,82929.0,82967.0,83001.0,83037.0,83085.0,83110.0,83154.0,83193.0,83225.0,83255.0,83297.0,83352.0,83374.0,83416.0,83453.0,83490.0,83554.0,83621.0,83662.0,83708.0,83785.0,83820.0,83923.0,83943.0,84039.0,84196.0,84507.0,84656.0,84764.0,84809.0,84862.0,84898.0,84936.0,85041.0,85089.0,85126.0,85171.0,85218.0,85260.0,85338.0,85369.0,85404.0,85439.0,85474.0,85534.0,85575.0,85649.0,85696.0,85781.0
5003716,31200.0,31243.0,31296.0,31377.0,31430.0,31484.0,31540.0,31616.0,31656.0,31726.0,31787.0,31837.0,31884.0,31950.0,32037.0,32072.0,32136.0,32192.0,32248.0,32376.0,32508.0,32593.0,32688.0,32847.0,32920.0,33053.0,33073.0,33167.0,33340.0,33681.0,33814.0,33957.0,34014.0,34081.0,34126.0,34174.0,34306.0,34359.0,34400.0,34450.0,34500.0,34544.0,34620.0,34646.0,34675.0,34704.0,34740.0,34829.0,34890.0,35002.0,35043.0,35117.0
5003718,40800.0,40839.0,40888.0,40962.0,41010.0,41054.0,41100.0,41162.0,41195.0,41252.0,41302.0,41343.0,41382.0,41436.0,41508.0,41537.0,41591.0,41646.0,41700.0,41804.0,41911.0,41959.0,42012.0,42101.0,42143.0,42266.0,42286.0,42383.0,42550.0,42881.0,43173.0,43337.0,43400.0,43474.0,43523.0,43576.0,43720.0,43785.0,43835.0,43895.0,43953.0,44003.0,44088.0,44122.0,44160.0,44198.0,44239.0,44327.0,44388.0,44498.0,44542.0,44622.0
