tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P
0,1491.0,1492.0,1493.0,1482.0,1494.0,1495.0,1496.0,1515.0,1499.0,1485.0,4518.0,509.0,510.0,511.0,513.0,4513.0,272.0,335.0,1278.0,1934.0,1935.0,1937.0,1938.0,1939.0,1940.0,1941.0,4516.0,1369.0,1370.0,1371.0,1454.0,1455.0,1453.0,1456.0,1457.0,1458.0,1459.0,1460.0,1462.0,5149.0,1419.0,6094.0,2102.0,2103.0,7154.0,7153.0,6056.0
5003323,58200.0,58271.0,58303.0,58323.0,58389.0,58429.0,58485.0,58506.0,58570.0,58644.0,58691.0,58749.0,58783.0,58836.0,58958.0,59038.0,59234.0,59506.0,59688.0,59815.0,59902.0,59993.0,60062.0,60163.0,60238.0,60288.0,60460.0,60603.0,60669.0,60744.0,60774.0,60848.0,60888.0,60912.0,60949.0,61000.0,61035.0,61070.0,61117.0,61160.0,61188.0,61251.0,61378.0,61449.0,61530.0,61572.0,61615.0
5003325,67500.0,67557.0,67582.0,67598.0,67651.0,67688.0,67741.0,67760.0,67819.0,67888.0,67932.0,67986.0,68015.0,68061.0,68175.0,68249.0,68421.0,68656.0,68813.0,68923.0,68998.0,69078.0,69138.0,69213.0,69270.0,69308.0,69439.0,69554.0,69601.0,69655.0,69677.0,69732.0,69763.0,69787.0,69823.0,69870.0,69902.0,69935.0,69979.0,70019.0,70044.0,70097.0,70205.0,70263.0,70329.0,70363.0,70400.0
5004073,26100.0,26168.0,26198.0,26217.0,26280.0,26333.0,26408.0,26436.0,26521.0,26620.0,26683.0,26760.0,26783.0,26820.0,26892.0,26940.0,27060.0,27231.0,27346.0,27426.0,27480.0,27549.0,27600.0,27660.0,27706.0,27736.0,27840.0,27960.0,27988.0,28020.0,28045.0,28107.0,28140.0,28164.0,28200.0,28251.0,28286.0,28322.0,28370.0,28413.0,28440.0,28479.0,28560.0,28614.0,28675.0,28707.0,28740.0
5004075,33300.0,33353.0,33377.0,33392.0,33441.0,33481.0,33538.0,33559.0,33624.0,33699.0,33747.0,33807.0,33839.0,33890.0,34000.0,34072.0,34229.0,34424.0,34554.0,34645.0,34707.0,34778.0,34832.0,34884.0,34931.0,34962.0,35069.0,35157.0,35194.0,35236.0,35257.0,35309.0,35338.0,35362.0,35399.0,35440.0,35468.0,35497.0,35535.0,35570.0,35592.0,35640.0,35737.0,35817.0,35908.0,35955.0,36004.0
5004077,40800.0,40875.0,40908.0,40929.0,41000.0,41046.0,41112.0,41136.0,41210.0,41297.0,41352.0,41421.0,41458.0,41516.0,41640.0,41721.0,41928.0,42206.0,42392.0,42522.0,42611.0,42719.0,42800.0,42900.0,42971.0,43018.0,43178.0,43303.0,43356.0,43415.0,43439.0,43498.0,43529.0,43556.0,43598.0,43652.0,43689.0,43727.0,43777.0,43823.0,43851.0,43906.0,44017.0,44081.0,44154.0,44192.0,44231.0
5004079,48900.0,48975.0,49008.0,49029.0,49100.0,49146.0,49212.0,49236.0,49310.0,49397.0,49452.0,49521.0,49558.0,49616.0,49740.0,49821.0,50028.0,50306.0,50492.0,50622.0,50711.0,50819.0,50900.0,51000.0,51071.0,51118.0,51278.0,51403.0,51456.0,51515.0,51539.0,51598.0,51629.0,51656.0,51698.0,51752.0,51789.0,51827.0,51877.0,51923.0,51951.0,52006.0,52117.0,52181.0,52254.0,52292.0,52331.0
5004083,65100.0,65177.0,65211.0,65233.0,65306.0,65340.0,65389.0,65407.0,65462.0,65526.0,65567.0,65617.0,65645.0,65689.0,65791.0,65858.0,66034.0,66265.0,66420.0,66528.0,66602.0,66701.0,66776.0,66850.0,66900.0,66934.0,67049.0,67181.0,67221.0,67267.0,67293.0,67357.0,67392.0,67413.0,67446.0,67500.0,67537.0,67575.0,67625.0,67671.0,67699.0,67753.0,67864.0,67936.0,68018.0,68060.0,68104.0
5004085,73800.0,73850.0,73872.0,73886.0,73934.0,73965.0,74009.0,74025.0,74075.0,74133.0,74170.0,74217.0,74243.0,74283.0,74378.0,74440.0,74582.0,74857.0,75042.0,75171.0,75259.0,75338.0,75398.0,75439.0,75479.0,75506.0,75598.0,75706.0,75745.0,75790.0,75809.0,75856.0,75882.0,75905.0,75941.0,75987.0,76018.0,76050.0,76093.0,76132.0,76157.0,76200.0,76287.0,76339.0,76399.0,76430.0,76462.0
5004087,82200.0,82250.0,82272.0,82286.0,82334.0,82365.0,82409.0,82425.0,82475.0,82533.0,82570.0,82617.0,82643.0,82683.0,82778.0,82840.0,82982.0,83257.0,83442.0,83571.0,83659.0,83738.0,83798.0,83839.0,83879.0,83906.0,83998.0,84106.0,84145.0,84190.0,84209.0,84256.0,84282.0,84305.0,84341.0,84387.0,84418.0,84450.0,84493.0,84532.0,84557.0,84600.0,84687.0,84739.0,84799.0,84830.0,84862.0
