tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P
0,1772.0,1773.0,1774.0,1775.0,1776.0,1777.0,1778.0,1755.0,1756.0,1757.0,1794.0,7469.0,1724.0,1725.0,1726.0,1727.0,1728.0,1729.0,1730.0,1731.0,1732.0,1733.0,1734.0,1735.0,1736.0,1737.0,1738.0,1739.0,614.0,615.0,616.0,617.0,618.0,619.0,675.0,620.0,621.0,293.0
5002889,25800.0,25844.0,25910.0,25963.0,26009.0,26042.0,26086.0,26108.0,26175.0,26198.0,26240.0,26300.0,26348.0,26390.0,26422.0,26469.0,26494.0,26556.0,26604.0,26643.0,26701.0,26742.0,26789.0,26844.0,26889.0,26941.0,27018.0,27063.0,27189.0,27261.0,27320.0,27376.0,27431.0,27510.0,27552.0,27668.0,27744.0,27845.0
5002891,30840.0,30893.0,30971.0,31034.0,31089.0,31128.0,31180.0,31206.0,31286.0,31312.0,31355.0,31416.0,31465.0,31508.0,31541.0,31589.0,31616.0,31670.0,31725.0,31770.0,31825.0,31874.0,31932.0,32000.0,32054.0,32120.0,32218.0,32276.0,32436.0,32526.0,32600.0,32664.0,32727.0,32829.0,32884.0,33013.0,33097.0,33210.0
5002892,59700.0,59738.0,59794.0,59839.0,59879.0,59907.0,59945.0,59964.0,60021.0,60040.0,60076.0,60128.0,60170.0,60206.0,60234.0,60275.0,60298.0,60348.0,60387.0,60419.0,60459.0,60489.0,60524.0,60558.0,60586.0,60618.0,60665.0,60693.0,60769.0,60826.0,60873.0,60913.0,60953.0,61002.0,61028.0,61158.0,61243.0,61355.0
5002894,65700.0,65736.0,65789.0,65832.0,65870.0,65896.0,65932.0,65950.0,66004.0,66022.0,66054.0,66099.0,66135.0,66166.0,66190.0,66225.0,66248.0,66289.0,66328.0,66360.0,66401.0,66433.0,66470.0,66500.0,66525.0,66554.0,66597.0,66623.0,66695.0,66743.0,66782.0,66820.0,66857.0,66903.0,66927.0,67056.0,67140.0,67251.0
5002896,70500.0,70536.0,70589.0,70632.0,70670.0,70697.0,70733.0,70751.0,70806.0,70824.0,70854.0,70896.0,70930.0,70960.0,70983.0,71016.0,71037.0,71083.0,71116.0,71143.0,71180.0,71210.0,71244.0,71272.0,71294.0,71323.0,71366.0,71391.0,71463.0,71508.0,71545.0,71583.0,71620.0,71662.0,71685.0,71800.0,71875.0,71975.0
5002898,75300.0,75328.0,75370.0,75404.0,75434.0,75455.0,75483.0,75497.0,75540.0,75554.0,75579.0,75615.0,75644.0,75669.0,75688.0,75716.0,75736.0,75767.0,75797.0,75822.0,75854.0,75877.0,75903.0,75929.0,75950.0,75971.0,76003.0,76022.0,76074.0,76111.0,76141.0,76168.0,76195.0,76226.0,76243.0,76342.0,76407.0,76493.0
5002900,80100.0,80128.0,80170.0,80204.0,80234.0,80255.0,80283.0,80297.0,80340.0,80354.0,80379.0,80415.0,80444.0,80469.0,80488.0,80516.0,80536.0,80567.0,80597.0,80622.0,80654.0,80677.0,80703.0,80729.0,80750.0,80771.0,80803.0,80822.0,80874.0,80911.0,80941.0,80968.0,80995.0,81026.0,81043.0,81142.0,81207.0,81293.0
5002902,84600.0,84628.0,84670.0,84704.0,84734.0,84755.0,84783.0,84797.0,84840.0,84854.0,84879.0,84915.0,84944.0,84969.0,84988.0,85016.0,85036.0,85067.0,85097.0,85122.0,85154.0,85177.0,85203.0,85229.0,85250.0,85271.0,85303.0,85322.0,85374.0,85411.0,85441.0,85468.0,85495.0,85526.0,85543.0,85642.0,85707.0,85793.0
5004272,23400.0,23431.0,23476.0,23513.0,23545.0,23568.0,23598.0,23613.0,23659.0,23675.0,23701.0,23738.0,23768.0,23794.0,23814.0,23842.0,23873.0,23912.0,23942.0,23966.0,23999.0,24024.0,24054.0,24089.0,24118.0,24141.0,24176.0,24196.0,24253.0,24303.0,24345.0,24382.0,24418.0,24468.0,24495.0,24583.0,24641.0,24718.0
5004274,27000.0,27044.0,27110.0,27163.0,27209.0,27242.0,27286.0,27308.0,27375.0,27398.0,27440.0,27500.0,27548.0,27590.0,27622.0,27669.0,27694.0,27756.0,27804.0,27843.0,27901.0,27942.0,27989.0,28044.0,28089.0,28141.0,28218.0,28263.0,28389.0,28461.0,28520.0,28576.0,28631.0,28710.0,28752.0,28868.0,28944.0,29045.0
5004276,32100.0,32144.0,32209.0,32261.0,32307.0,32339.0,32382.0,32403.0,32469.0,32493.0,32531.0,32585.0,32628.0,32666.0,32695.0,32737.0,32763.0,32810.0,32854.0,32890.0,32937.0,32979.0,33027.0,33071.0,33106.0,33145.0,33203.0,33237.0,33332.0,33393.0,33443.0,33496.0,33549.0,33616.0,33651.0,33777.0,33859.0,33969.0
5004278,63300.0,63337.0,63392.0,63436.0,63475.0,63502.0,63539.0,63557.0,63613.0,63631.0,63667.0,63718.0,63759.0,63795.0,63823.0,63862.0,63886.0,63921.0,63954.0,63981.0,64022.0,64050.0,64082.0,64113.0,64138.0,64172.0,64223.0,64253.0,64336.0,64391.0,64436.0,64474.0,64512.0,64563.0,64590.0,64724.0,64811.0,64928.0
5004280,68700.0,68736.0,68789.0,68832.0,68870.0,68897.0,68933.0,68951.0,69006.0,69024.0,69054.0,69096.0,69130.0,69160.0,69183.0,69216.0,69237.0,69283.0,69316.0,69343.0,69380.0,69410.0,69444.0,69472.0,69494.0,69523.0,69566.0,69591.0,69663.0,69708.0,69745.0,69783.0,69820.0,69862.0,69885.0,70000.0,70075.0,70175.0
5004281,29400.0,29453.0,29531.0,29594.0,29649.0,29688.0,29740.0,29766.0,29846.0,29872.0,29915.0,29976.0,30025.0,30068.0,30101.0,30149.0,30176.0,30230.0,30285.0,30330.0,30385.0,30434.0,30492.0,30560.0,30614.0,30680.0,30778.0,30836.0,30996.0,31086.0,31160.0,31224.0,31287.0,31389.0,31444.0,31573.0,31657.0,31770.0
5004283,35100.0,35144.0,35209.0,35261.0,35307.0,35339.0,35382.0,35403.0,35469.0,35493.0,35531.0,35585.0,35628.0,35666.0,35695.0,35737.0,35763.0,35810.0,35854.0,35890.0,35937.0,35979.0,36027.0,36071.0,36106.0,36145.0,36203.0,36237.0,36332.0,36393.0,36443.0,36496.0,36549.0,36616.0,36651.0,36777.0,36859.0,36969.0
5004285,39900.0,39941.0,40001.0,40049.0,40091.0,40121.0,40161.0,40181.0,40242.0,40263.0,40297.0,40346.0,40385.0,40419.0,40446.0,40485.0,40510.0,40579.0,40620.0,40653.0,40695.0,40730.0,40770.0,40807.0,40836.0,40867.0,40912.0,40939.0,41013.0,41065.0,41109.0,41155.0,41200.0,41249.0,41275.0,41397.0,41476.0,41582.0
5004287,44700.0,44744.0,44809.0,44861.0,44907.0,44939.0,44982.0,45003.0,45069.0,45093.0,45128.0,45178.0,45218.0,45253.0,45280.0,45318.0,45343.0,45395.0,45435.0,45467.0,45504.0,45535.0,45572.0,45609.0,45639.0,45669.0,45713.0,45739.0,45811.0,45870.0,45919.0,45964.0,46008.0,46060.0,46087.0,46219.0,46305.0,46420.0
5004289,49500.0,49544.0,49609.0,49661.0,49707.0,49739.0,49782.0,49803.0,49869.0,49893.0,49928.0,49978.0,50018.0,50053.0,50080.0,50118.0,50143.0,50195.0,50235.0,50267.0,50304.0,50335.0,50372.0,50409.0,50439.0,50469.0,50513.0,50539.0,50611.0,50670.0,50719.0,50764.0,50808.0,50860.0,50887.0,51019.0,51105.0,51220.0
5004291,54300.0,54338.0,54394.0,54439.0,54479.0,54507.0,54545.0,54564.0,54621.0,54640.0,54676.0,54728.0,54770.0,54806.0,54834.0,54875.0,54898.0,54948.0,54987.0,55019.0,55059.0,55089.0,55124.0,55158.0,55186.0,55218.0,55265.0,55293.0,55369.0,55426.0,55473.0,55513.0,55553.0,55602.0,55628.0,55758.0,55843.0,55955.0
5004293,59100.0,59138.0,59194.0,59239.0,59279.0,59307.0,59345.0,59364.0,59421.0,59440.0,59476.0,59528.0,59570.0,59606.0,59634.0,59675.0,59698.0,59748.0,59787.0,59819.0,59859.0,59889.0,59924.0,59958.0,59986.0,60018.0,60065.0,60093.0,60169.0,60226.0,60273.0,60313.0,60353.0,60402.0,60428.0,60558.0,60643.0,60755.0
5004295,65100.0,65136.0,65189.0,65232.0,65270.0,65296.0,65332.0,65350.0,65404.0,65422.0,65454.0,65499.0,65535.0,65566.0,65590.0,65625.0,65648.0,65689.0,65728.0,65760.0,65801.0,65833.0,65870.0,65900.0,65925.0,65954.0,65997.0,66023.0,66095.0,66143.0,66182.0,66220.0,66257.0,66303.0,66327.0,66456.0,66540.0,66651.0
5004749,25200.0,25231.0,25276.0,25313.0,25345.0,25368.0,25398.0,25413.0,25459.0,25475.0,25504.0,25545.0,25578.0,25607.0,25629.0,25660.0,25682.0,25722.0,25750.0,25773.0,25803.0,25825.0,25850.0,25871.0,25888.0,25911.0,25945.0,25965.0,26020.0,26053.0,26080.0,26107.0,26134.0,26174.0,26196.0,26308.0,26381.0,26478.0
5004751,29700.0,29729.0,29772.0,29807.0,29838.0,29860.0,29889.0,29903.0,29947.0,29963.0,29997.0,30045.0,30083.0,30116.0,30142.0,30179.0,30203.0,30245.0,30276.0,30302.0,30336.0,30367.0,30403.0,30436.0,30463.0,30490.0,30529.0,30552.0,30617.0,30667.0,30709.0,30738.0,30767.0,30815.0,30841.0,30937.0,31000.0,31083.0
5004753,34200.0,34241.0,34302.0,34351.0,34394.0,34424.0,34465.0,34485.0,34547.0,34568.0,34603.0,34653.0,34693.0,34728.0,34755.0,34795.0,34830.0,34869.0,34909.0,34941.0,34973.0,35001.0,35033.0,35067.0,35095.0,35127.0,35174.0,35202.0,35280.0,35345.0,35398.0,35428.0,35458.0,35506.0,35532.0,35628.0,35691.0,35774.0
5004755,38700.0,38740.0,38799.0,38847.0,38889.0,38918.0,38958.0,38978.0,39039.0,39059.0,39106.0,39173.0,39226.0,39273.0,39309.0,39361.0,39384.0,39451.0,39500.0,39541.0,39591.0,39637.0,39690.0,39731.0,39764.0,39797.0,39846.0,39875.0,39956.0,40002.0,40040.0,40077.0,40114.0,40158.0,40181.0,40307.0,40389.0,40498.0
5004757,43200.0,43245.0,43312.0,43366.0,43413.0,43446.0,43491.0,43513.0,43581.0,43605.0,43652.0,43718.0,43771.0,43817.0,43853.0,43905.0,43934.0,43996.0,44043.0,44082.0,44127.0,44164.0,44207.0,44254.0,44291.0,44324.0,44373.0,44402.0,44483.0,44551.0,44608.0,44653.0,44698.0,44744.0,44769.0,44899.0,44984.0,45096.0
5004759,48600.0,48645.0,48712.0,48766.0,48813.0,48846.0,48891.0,48913.0,48981.0,49005.0,49052.0,49118.0,49171.0,49217.0,49253.0,49305.0,49334.0,49396.0,49443.0,49482.0,49527.0,49564.0,49607.0,49654.0,49691.0,49724.0,49773.0,49802.0,49883.0,49951.0,50008.0,50053.0,50098.0,50144.0,50169.0,50299.0,50384.0,50496.0
5004763,59400.0,59443.0,59507.0,59558.0,59603.0,59635.0,59678.0,59699.0,59764.0,59785.0,59832.0,59899.0,59952.0,59999.0,60035.0,60087.0,60111.0,60208.0,60257.0,60297.0,60343.0,60374.0,60409.0,60447.0,60477.0,60512.0,60564.0,60595.0,60681.0,60734.0,60778.0,60812.0,60845.0,60893.0,60919.0,61059.0,61150.0,61271.0
5004765,64200.0,64236.0,64289.0,64331.0,64368.0,64394.0,64429.0,64446.0,64500.0,64519.0,64553.0,64602.0,64641.0,64675.0,64701.0,64740.0,64760.0,64817.0,64870.0,64914.0,64955.0,64986.0,65021.0,65061.0,65093.0,65117.0,65153.0,65174.0,65234.0,65273.0,65306.0,65345.0,65384.0,65437.0,65465.0,65591.0,65673.0,65782.0
5005286,26100.0,26131.0,26176.0,26213.0,26245.0,26268.0,26298.0,26313.0,26359.0,26375.0,26404.0,26445.0,26478.0,26507.0,26529.0,26560.0,26582.0,26622.0,26650.0,26673.0,26703.0,26725.0,26750.0,26771.0,26788.0,26811.0,26845.0,26865.0,26920.0,26953.0,26980.0,27007.0,27034.0,27074.0,27096.0,27208.0,27281.0,27378.0
