tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P,075_P,076_P,077_P,078_P,079_P,080_P,081_P,082_P,083_P,084_P,085_P,086_P,087_P,088_P,089_P,090_P,091_P
0,324.0,6235.0,327.0,6016.0,6017.0,7192.0,4683.0,107.0,6125.0,7092.0,110.0,112.0,113.0,114.0,115.0,37.0,38.0,39.0,116.0,117.0,118.0,119.0,44.0,7603.0,45.0,46.0,47.0,48.0,49.0,51.0,52.0,261.0,270.0,335.0,4521.0,1935.0,1937.0,1938.0,1939.0,1940.0,1941.0,1942.0,1943.0,1944.0,1945.0,1946.0,1947.0,1948.0,1949.0,1950.0,1951.0,1952.0,1953.0,1954.0,1955.0,1956.0,1957.0,1958.0,1959.0,1960.0,4379.0,1963.0,4549.0,1964.0,4674.0,4663.0,4664.0,2160.0,2161.0,4665.0,4666.0,4667.0,4668.0,4677.0,2136.0,2137.0,7201.0,2138.0,2139.0,2140.0,2141.0,2142.0,2143.0,2145.0,4670.0,2165.0,2166.0,4545.0,4552.0,4554.0,7230.0
5002522,24300.0,24320.0,24492.0,24716.0,24785.0,24811.0,24862.0,24928.0,24980.0,25032.0,25066.0,25127.0,25192.0,25204.0,25247.0,25281.0,25322.0,25346.0,25441.0,25464.0,25508.0,25559.0,25598.0,25629.0,25666.0,25723.0,25792.0,25870.0,25982.0,26042.0,26075.0,26175.0,26299.0,26478.0,26596.0,26790.0,26873.0,26935.0,27008.0,27074.0,27118.0,27192.0,27224.0,27285.0,27354.0,27441.0,27463.0,27526.0,27561.0,27615.0,27701.0,27728.0,27759.0,27791.0,27821.0,27880.0,27906.0,27927.0,28014.0,28069.0,28172.0,28286.0,28307.0,28347.0,28401.0,28476.0,28546.0,28605.0,28626.0,28647.0,28692.0,28728.0,28802.0,28892.0,28934.0,28961.0,28992.0,29027.0,29061.0,29118.0,29153.0,29175.0,29215.0,29256.0,29282.0,29304.0,29315.0,29378.0,29451.0,29472.0,29626.0
5003527,27000.0,27014.0,27139.0,27302.0,27388.0,27421.0,27485.0,27569.0,27635.0,27700.0,27743.0,27820.0,27902.0,27920.0,27988.0,28035.0,28092.0,28126.0,28283.0,28322.0,28395.0,28480.0,28544.0,28592.0,28649.0,28726.0,28818.0,28896.0,29008.0,29114.0,29172.0,29286.0,29470.0,29667.0,29796.0,30009.0,30120.0,30204.0,30279.0,30362.0,30417.0,30510.0,30537.0,30600.0,30671.0,30769.0,30793.0,30864.0,30905.0,30968.0,31068.0,31095.0,31125.0,31156.0,31189.0,31253.0,31276.0,31295.0,31362.0,31410.0,31512.0,31614.0,31633.0,31668.0,31745.0,31852.0,31941.0,32000.0,32021.0,32042.0,32088.0,32125.0,32199.0,32290.0,32332.0,32359.0,32391.0,32426.0,32460.0,32518.0,32553.0,32575.0,32615.0,32656.0,32682.0,32704.0,32715.0,32778.0,32851.0,32872.0,33026.0
5008000,25200.0,25214.0,25339.0,25502.0,25588.0,25621.0,25685.0,25769.0,25835.0,25900.0,25943.0,26020.0,26102.0,26120.0,26188.0,26235.0,26292.0,26326.0,26483.0,26522.0,26595.0,26680.0,26744.0,26792.0,26849.0,26926.0,27018.0,27096.0,27208.0,27314.0,27372.0,27486.0,27670.0,27867.0,27996.0,28209.0,28320.0,28404.0,28479.0,28562.0,28617.0,28710.0,28737.0,28800.0,28871.0,28969.0,28993.0,29064.0,29105.0,29168.0,29268.0,29295.0,29325.0,29356.0,29389.0,29453.0,29476.0,29495.0,29562.0,29610.0,29712.0,29814.0,29833.0,29868.0,29945.0,30052.0,30141.0,30200.0,30221.0,30242.0,30288.0,30325.0,30399.0,30490.0,30532.0,30559.0,30591.0,30626.0,30660.0,30718.0,30753.0,30775.0,30815.0,30856.0,30882.0,30904.0,30915.0,30978.0,31051.0,31072.0,31226.0
5010589,54600.0,54615.0,54742.0,54907.0,54983.0,55012.0,55068.0,55142.0,55200.0,55257.0,55295.0,55362.0,55435.0,55457.0,55539.0,55587.0,55646.0,55681.0,55779.0,55803.0,55849.0,55902.0,55942.0,55976.0,56017.0,56078.0,56150.0,56201.0,56274.0,56376.0,56432.0,56536.0,56709.0,56979.0,57156.0,57449.0,57547.0,57620.0,57697.0,57766.0,57812.0,57890.0,57927.0,58123.0,58344.0,58464.0,58494.0,58582.0,58668.0,58800.0,59011.0,59045.0,59084.0,59124.0,59161.0,59232.0,59255.0,59274.0,59366.0,59411.0,59517.0,59643.0,59666.0,59710.0,59763.0,59837.0,59924.0,59993.0,60017.0,60041.0,60094.0,60136.0,60222.0,60327.0,60376.0,60407.0,60444.0,60485.0,60524.0,60591.0,60632.0,60658.0,60705.0,60753.0,60779.0,60801.0,60812.0,60875.0,60948.0,60969.0,61123.0
5011663,23400.0,23420.0,23592.0,23816.0,23885.0,23911.0,23962.0,24028.0,24080.0,24132.0,24166.0,24227.0,24292.0,24304.0,24347.0,24381.0,24422.0,24446.0,24541.0,24564.0,24608.0,24659.0,24698.0,24729.0,24766.0,24823.0,24892.0,24970.0,25082.0,25142.0,25175.0,25275.0,25399.0,25578.0,25696.0,25890.0,25973.0,26035.0,26108.0,26174.0,26218.0,26292.0,26324.0,26385.0,26454.0,26541.0,26563.0,26626.0,26661.0,26715.0,26801.0,26828.0,26859.0,26891.0,26921.0,26980.0,27006.0,27027.0,27114.0,27169.0,27272.0,27386.0,27407.0,27447.0,27501.0,27576.0,27646.0,27705.0,27726.0,27747.0,27792.0,27828.0,27902.0,27992.0,28034.0,28061.0,28092.0,28127.0,28161.0,28218.0,28253.0,28275.0,28315.0,28356.0,28382.0,28404.0,28415.0,28478.0,28551.0,28572.0,28726.0
5018739,21600.0,21623.0,21822.0,22082.0,22150.0,22176.0,22227.0,22293.0,22345.0,22396.0,22430.0,22490.0,22555.0,22567.0,22610.0,22643.0,22683.0,22706.0,22790.0,22811.0,22850.0,22896.0,22930.0,22959.0,22993.0,23052.0,23122.0,23187.0,23281.0,23350.0,23387.0,23462.0,23545.0,23673.0,23757.0,23896.0,23970.0,24026.0,24091.0,24140.0,24173.0,24228.0,24251.0,24301.0,24357.0,24407.0,24419.0,24455.0,24476.0,24508.0,24560.0,24574.0,24590.0,24607.0,24634.0,24685.0,24701.0,24714.0,24771.0,24809.0,24916.0,25008.0,25025.0,25057.0,25103.0,25167.0,25229.0,25266.0,25279.0,25292.0,25321.0,25344.0,25391.0,25448.0,25474.0,25491.0,25511.0,25533.0,25554.0,25590.0,25612.0,25626.0,25651.0,25676.0,25702.0,25724.0,25735.0,25798.0,25871.0,25892.0,26046.0
5018744,67500.0,67513.0,67626.0,67774.0,67832.0,67854.0,67897.0,67953.0,67997.0,68041.0,68070.0,68121.0,68176.0,68196.0,68273.0,68318.0,68373.0,68405.0,68504.0,68528.0,68574.0,68628.0,68669.0,68711.0,68761.0,68813.0,68876.0,68932.0,69012.0,69098.0,69145.0,69252.0,69378.0,69539.0,69644.0,69818.0,69912.0,69982.0,70096.0,70188.0,70250.0,70353.0,70379.0,70434.0,70496.0,70575.0,70595.0,70653.0,70678.0,70717.0,70780.0,70798.0,70819.0,70840.0,70858.0,70894.0,70907.0,70917.0,70992.0,71017.0,71110.0,71213.0,71232.0,71267.0,71321.0,71396.0,71465.0,71524.0,71545.0,71566.0,71612.0,71648.0,71722.0,71812.0,71854.0,71881.0,71912.0,71947.0,71981.0,72038.0,72073.0,72095.0,72135.0,72176.0,72202.0,72224.0,72235.0,72298.0,72371.0,72392.0,72546.0
5090170,23400.0,23419.0,23584.0,23800.0,23866.0,23891.0,23940.0,24004.0,24054.0,24104.0,24137.0,24195.0,24258.0,24269.0,24311.0,24343.0,24383.0,24406.0,24497.0,24519.0,24561.0,24610.0,24648.0,24678.0,24713.0,24768.0,24834.0,24909.0,25017.0,25075.0,25106.0,25202.0,25321.0,25493.0,25606.0,25793.0,25872.0,25932.0,26002.0,26066.0,26108.0,26179.0,26210.0,26269.0,26335.0,26418.0,26439.0,26500.0,26534.0,26586.0,26668.0,26694.0,26724.0,26755.0,26784.0,26841.0,26866.0,26886.0,26970.0,27023.0,27122.0,27232.0,27252.0,27290.0,27342.0,27414.0,27481.0,27538.0,27558.0,27578.0,27622.0,27657.0,27728.0,27815.0,27855.0,27881.0,27911.0,27945.0,27977.0,28032.0,28066.0,28087.0,28125.0,28164.0,28189.0,28210.0,28220.0,28280.0,28350.0,28370.0,28520.0
5094396,27000.0,27014.0,27134.0,27290.0,27373.0,27405.0,27467.0,27548.0,27611.0,27674.0,27716.0,27790.0,27867.0,27884.0,27950.0,27995.0,28050.0,28083.0,28234.0,28271.0,28341.0,28423.0,28485.0,28531.0,28586.0,28660.0,28749.0,28824.0,28932.0,29034.0,29090.0,29200.0,29377.0,29566.0,29690.0,29895.0,30002.0,30083.0,30155.0,30235.0,30288.0,30377.0,30403.0,30464.0,30532.0,30626.0,30649.0,30718.0,30757.0,30817.0,30914.0,30940.0,30969.0,30999.0,31031.0,31092.0,31114.0,31132.0,31196.0,31242.0,31340.0,31438.0,31456.0,31490.0,31564.0,31667.0,31753.0,31810.0,31830.0,31850.0,31894.0,31929.0,32001.0,32088.0,32128.0,32154.0,32184.0,32218.0,32251.0,32306.0,32340.0,32361.0,32400.0,32441.0,32466.0,32487.0,32497.0,32557.0,32627.0,32647.0,32797.0
