tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P,075_P,076_P,077_P,078_P,079_P,080_P,081_P,082_P,083_P,084_P,085_P,086_P,087_P,088_P,089_P,090_P
0,7230.0,4617.0,4555.0,4576.0,3418.0,3419.0,2374.0,2146.0,2147.0,2148.0,2149.0,2150.0,2151.0,2152.0,2153.0,2154.0,6245.0,4671.0,4672.0,3465.0,4673.0,2172.0,2159.0,4409.0,4550.0,4551.0,1965.0,1966.0,1975.0,1977.0,1978.0,1980.0,1981.0,1982.0,4406.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2001.0,2002.0,1359.0,319.0,281.0,7.0,11.0,14.0,15.0,17.0,18.0,19.0,21.0,85.0,86.0,87.0,88.0,89.0,27.0,28.0,29.0,4680.0,90.0,91.0,92.0,93.0,94.0,102.0,6239.0,104.0,6241.0,105.0,6253.0,7191.0,6238.0,6182.0,322.0,323.0,6234.0,332.0
5002523,30300.0,30494.0,30515.0,30598.0,30662.0,30686.0,30714.0,30756.0,30789.0,30816.0,30845.0,30884.0,30904.0,30938.0,31003.0,31051.0,31097.0,31207.0,31308.0,31401.0,31435.0,31475.0,31585.0,31610.0,31671.0,31764.0,31821.0,31893.0,31982.0,32129.0,32157.0,32241.0,32295.0,32327.0,32363.0,32415.0,32505.0,32583.0,32619.0,32692.0,32774.0,32851.0,32946.0,33025.0,33103.0,33196.0,33283.0,33335.0,33446.0,33539.0,33606.0,33747.0,33968.0,34086.0,34336.0,34451.0,34577.0,34635.0,34702.0,34775.0,34823.0,34843.0,34890.0,34968.0,35007.0,35042.0,35068.0,35104.0,35159.0,35193.0,35222.0,35244.0,35265.0,35296.0,35319.0,35360.0,35427.0,35482.0,35519.0,35586.0,35621.0,35644.0,35661.0,35705.0,35790.0,35825.0,35852.0,35973.0,36125.0,36141.0
5003528,33900.0,34079.0,34098.0,34175.0,34234.0,34256.0,34282.0,34321.0,34351.0,34376.0,34403.0,34439.0,34458.0,34489.0,34543.0,34583.0,34622.0,34713.0,34797.0,34875.0,34904.0,34938.0,35029.0,35049.0,35112.0,35198.0,35250.0,35317.0,35400.0,35452.0,35466.0,35555.0,35611.0,35644.0,35667.0,35701.0,35738.0,35787.0,35809.0,35854.0,35931.0,36003.0,36091.0,36184.0,36244.0,36315.0,36370.0,36403.0,36492.0,36567.0,36622.0,36751.0,36988.0,37114.0,37381.0,37657.0,37828.0,37901.0,37984.0,38103.0,38166.0,38192.0,38253.0,38353.0,38410.0,38460.0,38498.0,38551.0,38631.0,38679.0,38714.0,38741.0,38767.0,38804.0,38841.0,38905.0,38985.0,39051.0,39096.0,39176.0,39214.0,39239.0,39258.0,39306.0,39399.0,39431.0,39455.0,39565.0,39703.0,39718.0
5008001,32100.0,32294.0,32315.0,32398.0,32462.0,32486.0,32514.0,32556.0,32589.0,32616.0,32645.0,32684.0,32704.0,32738.0,32803.0,32851.0,32897.0,33007.0,33108.0,33201.0,33235.0,33275.0,33385.0,33410.0,33471.0,33564.0,33621.0,33693.0,33782.0,33929.0,33957.0,34041.0,34095.0,34127.0,34163.0,34215.0,34305.0,34383.0,34419.0,34492.0,34574.0,34651.0,34746.0,34825.0,34903.0,34996.0,35083.0,35135.0,35246.0,35339.0,35406.0,35547.0,35768.0,35886.0,36136.0,36251.0,36377.0,36435.0,36502.0,36575.0,36623.0,36643.0,36690.0,36768.0,36807.0,36842.0,36868.0,36904.0,36959.0,36993.0,37022.0,37044.0,37065.0,37096.0,37119.0,37160.0,37227.0,37282.0,37319.0,37386.0,37421.0,37444.0,37461.0,37505.0,37590.0,37625.0,37652.0,37773.0,37925.0,37941.0
5010590,62040.0,62253.0,62276.0,62367.0,62437.0,62463.0,62494.0,62540.0,62576.0,62606.0,62638.0,62681.0,62703.0,62739.0,62789.0,62827.0,62863.0,62948.0,63026.0,63098.0,63125.0,63156.0,63241.0,63260.0,63320.0,63419.0,63479.0,63555.0,63655.0,63724.0,63759.0,63848.0,63895.0,63922.0,63977.0,64055.0,64176.0,64245.0,64276.0,64340.0,64398.0,64452.0,64519.0,64591.0,64632.0,64680.0,64760.0,64808.0,64898.0,64974.0,65029.0,65170.0,65442.0,65587.0,65895.0,66028.0,66156.0,66225.0,66304.0,66396.0,66465.0,66494.0,66560.0,66657.0,66716.0,66768.0,66807.0,66861.0,66943.0,66993.0,67021.0,67043.0,67064.0,67095.0,67125.0,67176.0,67255.0,67321.0,67365.0,67443.0,67478.0,67501.0,67518.0,67562.0,67648.0,67680.0,67704.0,67814.0,67952.0,67967.0
5011664,29520.0,29740.0,29764.0,29858.0,29930.0,29957.0,29989.0,30036.0,30073.0,30103.0,30136.0,30180.0,30203.0,30242.0,30307.0,30355.0,30401.0,30511.0,30612.0,30706.0,30740.0,30781.0,30891.0,30915.0,30989.0,31092.0,31154.0,31233.0,31425.0,31584.0,31613.0,31711.0,31768.0,31801.0,31843.0,31903.0,32033.0,32118.0,32157.0,32236.0,32337.0,32431.0,32547.0,32618.0,32687.0,32769.0,32841.0,32885.0,32999.0,33095.0,33164.0,33285.0,33516.0,33639.0,33901.0,34022.0,34138.0,34198.0,34267.0,34343.0,34398.0,34421.0,34475.0,34556.0,34609.0,34656.0,34692.0,34741.0,34816.0,34861.0,34896.0,34924.0,34950.0,34988.0,35014.0,35059.0,35126.0,35182.0,35219.0,35286.0,35321.0,35344.0,35361.0,35404.0,35486.0,35516.0,35539.0,35642.0,35771.0,35785.0
5018740,28080.0,28300.0,28324.0,28418.0,28490.0,28517.0,28549.0,28596.0,28633.0,28663.0,28696.0,28740.0,28763.0,28802.0,28867.0,28915.0,28961.0,29071.0,29172.0,29266.0,29300.0,29341.0,29451.0,29475.0,29549.0,29652.0,29714.0,29793.0,29985.0,30144.0,30173.0,30271.0,30328.0,30361.0,30403.0,30463.0,30593.0,30678.0,30717.0,30796.0,30897.0,30991.0,31107.0,31178.0,31247.0,31329.0,31401.0,31445.0,31559.0,31655.0,31724.0,31845.0,32076.0,32199.0,32461.0,32582.0,32698.0,32758.0,32827.0,32903.0,32958.0,32981.0,33035.0,33116.0,33169.0,33216.0,33252.0,33301.0,33376.0,33421.0,33456.0,33484.0,33510.0,33548.0,33574.0,33619.0,33686.0,33742.0,33779.0,33846.0,33881.0,33904.0,33921.0,33964.0,34046.0,34076.0,34099.0,34202.0,34331.0,34345.0
5090171,29520.0,29731.0,29754.0,29845.0,29914.0,29940.0,29971.0,30017.0,30052.0,30081.0,30112.0,30154.0,30176.0,30214.0,30276.0,30323.0,30368.0,30474.0,30571.0,30661.0,30694.0,30733.0,30838.0,30861.0,30932.0,31031.0,31091.0,31167.0,31352.0,31505.0,31533.0,31627.0,31682.0,31714.0,31754.0,31812.0,31937.0,32019.0,32056.0,32132.0,32229.0,32319.0,32431.0,32499.0,32565.0,32644.0,32714.0,32756.0,32865.0,32957.0,33024.0,33140.0,33362.0,33481.0,33732.0,33848.0,33960.0,34018.0,34084.0,34157.0,34210.0,34232.0,34284.0,34362.0,34413.0,34458.0,34492.0,34539.0,34611.0,34655.0,34689.0,34716.0,34741.0,34777.0,34802.0,34845.0,34910.0,34963.0,34999.0,35063.0,35096.0,35118.0,35134.0,35176.0,35255.0,35284.0,35306.0,35405.0,35530.0,35543.0
5094397,33900.0,34072.0,34091.0,34165.0,34222.0,34243.0,34268.0,34305.0,34334.0,34358.0,34384.0,34419.0,34437.0,34466.0,34518.0,34557.0,34594.0,34682.0,34762.0,34837.0,34864.0,34896.0,34984.0,35004.0,35065.0,35148.0,35198.0,35262.0,35342.0,35392.0,35405.0,35491.0,35545.0,35577.0,35600.0,35632.0,35668.0,35715.0,35736.0,35780.0,35854.0,35923.0,36008.0,36097.0,36155.0,36223.0,36276.0,36308.0,36394.0,36466.0,36519.0,36643.0,36871.0,36992.0,37249.0,37514.0,37678.0,37748.0,37828.0,37942.0,38002.0,38027.0,38086.0,38182.0,38237.0,38285.0,38322.0,38373.0,38450.0,38495.0,38528.0,38554.0,38579.0,38615.0,38650.0,38712.0,38789.0,38853.0,38896.0,38973.0,39010.0,39034.0,39052.0,39098.0,39187.0,39218.0,39241.0,39347.0,39480.0,39494.0
5095285,30300.0,30487.0,30507.0,30587.0,30648.0,30671.0,30698.0,30738.0,30769.0,30795.0,30823.0,30860.0,30880.0,30913.0,30975.0,31022.0,31067.0,31173.0,31270.0,31360.0,31393.0,31432.0,31537.0,31559.0,31618.0,31708.0,31762.0,31831.0,31917.0,32058.0,32085.0,32166.0,32218.0,32249.0,32284.0,32334.0,32421.0,32496.0,32530.0,32601.0,32680.0,32754.0,32845.0,32921.0,32996.0,33085.0,33168.0,33219.0,33326.0,33416.0,33480.0,33616.0,33829.0,33942.0,34182.0,34293.0,34414.0,34470.0,34534.0,34604.0,34651.0,34670.0,34715.0,34790.0,34828.0,34861.0,34886.0,34921.0,34974.0,35006.0,35033.0,35055.0,35075.0,35105.0,35128.0,35167.0,35231.0,35284.0,35320.0,35384.0,35418.0,35440.0,35456.0,35498.0,35580.0,35614.0,35640.0,35757.0,35903.0,35918.0
5097407,62040.0,62245.0,62267.0,62355.0,62422.0,62447.0,62477.0,62521.0,62555.0,62583.0,62613.0,62654.0,62675.0,62712.0,62760.0,62796.0,62831.0,62913.0,62988.0,63058.0,63084.0,63114.0,63196.0,63213.0,63271.0,63366.0,63424.0,63497.0,63593.0,63659.0,63693.0,63779.0,63824.0,63850.0,63903.0,63978.0,64094.0,64160.0,64190.0,64252.0,64308.0,64360.0,64424.0,64493.0,64532.0,64579.0,64656.0,64702.0,64789.0,64862.0,64915.0,65051.0,65313.0,65453.0,65748.0,65876.0,65999.0,66065.0,66141.0,66229.0,66295.0,66323.0,66387.0,66480.0,66537.0,66587.0,66625.0,66677.0,66756.0,66803.0,66830.0,66851.0,66871.0,66901.0,66929.0,66979.0,67055.0,67118.0,67160.0,67236.0,67270.0,67292.0,67308.0,67351.0,67433.0,67464.0,67487.0,67593.0,67726.0,67740.0
