tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P
0,7149.0,7277.0,6363.0,6361.0,6367.0,4985.0,6219.0,6229.0,6364.0,1558.0,4542.0,1531.0,1532.0,1533.0,1534.0,1535.0,1536.0,1537.0,186.0,187.0,188.0,189.0,190.0,191.0,819.0,264.0,6059.0,334.0,7581.0,1283.0,7579.0,1285.0,1016.0,1017.0,1018.0,1019.0,1020.0,1076.0,1021.0,6042.0,1022.0,1023.0,1024.0,895.0
5006053,36600.0,36668.0,36764.0,36830.0,36859.0,36881.0,36961.0,37014.0,37058.0,37155.0,37350.0,37420.0,37464.0,37512.0,37567.0,37613.0,37671.0,37739.0,37824.0,37905.0,37980.0,38064.0,38114.0,38199.0,38285.0,38414.0,38575.0,38738.0,38954.0,39084.0,39177.0,39305.0,39415.0,39451.0,39487.0,39521.0,39563.0,39621.0,39675.0,39696.0,39707.0,39756.0,39779.0,39812.0
5006055,49800.0,49864.0,49955.0,50017.0,50047.0,50070.0,50154.0,50210.0,50260.0,50370.0,50572.0,50639.0,50687.0,50746.0,50814.0,50878.0,50942.0,51009.0,51092.0,51169.0,51248.0,51337.0,51386.0,51469.0,51553.0,51704.0,51870.0,52020.0,52218.0,52337.0,52440.0,52597.0,52732.0,52784.0,52837.0,52872.0,52916.0,52976.0,53034.0,53056.0,53067.0,53118.0,53141.0,53175.0
5006057,58200.0,58252.0,58327.0,58378.0,58407.0,58428.0,58507.0,58560.0,58605.0,58703.0,58893.0,58961.0,58992.0,59039.0,59094.0,59149.0,59199.0,59271.0,59360.0,59432.0,59494.0,59565.0,59613.0,59695.0,59778.0,59888.0,60037.0,60207.0,60431.0,60566.0,60661.0,60827.0,60970.0,61053.0,61137.0,61179.0,61231.0,61303.0,61370.0,61393.0,61405.0,61458.0,61483.0,61518.0
5006059,67200.0,67250.0,67321.0,67370.0,67396.0,67416.0,67489.0,67538.0,67580.0,67672.0,67845.0,67906.0,67943.0,67991.0,68046.0,68091.0,68132.0,68195.0,68274.0,68346.0,68410.0,68482.0,68521.0,68588.0,68656.0,68808.0,68933.0,69102.0,69325.0,69460.0,69564.0,69715.0,69844.0,69891.0,69938.0,69974.0,70018.0,70079.0,70137.0,70159.0,70170.0,70220.0,70243.0,70275.0
5006062,82800.0,82842.0,82902.0,82944.0,82967.0,82984.0,83048.0,83091.0,83123.0,83192.0,83341.0,83387.0,83415.0,83452.0,83494.0,83533.0,83570.0,83616.0,83674.0,83720.0,83764.0,83813.0,83846.0,83901.0,83957.0,84067.0,84213.0,84338.0,84503.0,84603.0,84688.0,84784.0,84866.0,84907.0,84948.0,84973.0,85004.0,85047.0,85089.0,85108.0,85118.0,85162.0,85182.0,85210.0
5006171,22800.0,22853.0,22928.0,22980.0,23018.0,23046.0,23150.0,23220.0,23239.0,23280.0,23460.0,23520.0,23580.0,23636.0,23700.0,23760.0,23820.0,23873.0,23940.0,24000.0,24056.0,24120.0,24147.0,24193.0,24240.0,24360.0,24480.0,24595.0,24748.0,24840.0,24960.0,25025.0,25080.0,25110.0,25140.0,25161.0,25188.0,25225.0,25260.0,25279.0,25289.0,25332.0,25352.0,25380.0
5006173,30000.0,30048.0,30116.0,30163.0,30194.0,30217.0,30302.0,30358.0,30389.0,30458.0,30608.0,30663.0,30711.0,30766.0,30829.0,30864.0,30905.0,30963.0,31035.0,31089.0,31134.0,31185.0,31223.0,31287.0,31351.0,31495.0,31610.0,31723.0,31873.0,31964.0,32043.0,32139.0,32222.0,32248.0,32274.0,32300.0,32332.0,32376.0,32417.0,32436.0,32446.0,32490.0,32510.0,32540.0
5006179,52800.0,52862.0,52950.0,53011.0,53038.0,53058.0,53132.0,53181.0,53225.0,53323.0,53488.0,53571.0,53613.0,53658.0,53709.0,53783.0,53854.0,53913.0,53986.0,54099.0,54171.0,54252.0,54291.0,54358.0,54425.0,54695.0,55042.0,55195.0,55398.0,55520.0,55600.0,55741.0,55862.0,55904.0,55947.0,55997.0,56060.0,56147.0,56229.0,56257.0,56271.0,56335.0,56365.0,56408.0
5006183,70200.0,70249.0,70319.0,70366.0,70394.0,70415.0,70492.0,70543.0,70585.0,70676.0,70841.0,70892.0,70939.0,70992.0,71054.0,71104.0,71148.0,71208.0,71283.0,71338.0,71390.0,71449.0,71492.0,71566.0,71641.0,71759.0,71905.0,72088.0,72330.0,72476.0,72559.0,72687.0,72798.0,72834.0,72870.0,72902.0,72942.0,72997.0,73050.0,73073.0,73084.0,73136.0,73160.0,73194.0
5006766,24000.0,24053.0,24128.0,24180.0,24218.0,24246.0,24350.0,24420.0,24439.0,24480.0,24660.0,24720.0,24780.0,24836.0,24900.0,24960.0,25020.0,25073.0,25140.0,25200.0,25256.0,25320.0,25347.0,25393.0,25440.0,25560.0,25680.0,25795.0,25948.0,26040.0,26160.0,26225.0,26280.0,26310.0,26340.0,26361.0,26388.0,26425.0,26460.0,26479.0,26489.0,26532.0,26552.0,26580.0
5006768,31200.0,31248.0,31316.0,31363.0,31394.0,31417.0,31502.0,31558.0,31589.0,31658.0,31808.0,31863.0,31911.0,31966.0,32029.0,32064.0,32105.0,32163.0,32235.0,32289.0,32334.0,32385.0,32423.0,32487.0,32551.0,32695.0,32810.0,32923.0,33073.0,33164.0,33243.0,33339.0,33422.0,33448.0,33474.0,33500.0,33532.0,33576.0,33617.0,33636.0,33646.0,33690.0,33710.0,33740.0
