tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P
0,3605.0,3606.0,3607.0,6051.0,6053.0,7327.0,3629.0,3630.0,3631.0,3632.0,3633.0,3634.0,3635.0,3636.0,905.0,4331.0,4339.0,6010.0,3656.0,7194.0,7196.0,6310.0,6311.0,7399.0,7398.0,7397.0,6252.0,301.0,336.0,7581.0,1283.0,7579.0,1285.0,1016.0,1017.0,1018.0,1019.0,1020.0,1076.0,1021.0,6042.0,1022.0,1023.0,1024.0,895.0,1025.0,1026.0,1027.0,1028.0,2818.0,2819.0,3012.0,877.0
5006169,26700.0,26748.0,26803.0,26817.0,26861.0,26921.0,26959.0,26996.0,27038.0,27069.0,27116.0,27173.0,27230.0,27238.0,27354.0,27498.0,27593.0,27794.0,27961.0,28015.0,28120.0,28201.0,28218.0,29935.0,30083.0,30116.0,30153.0,30246.0,30294.0,30370.0,30421.0,30534.0,30705.0,30852.0,30903.0,30955.0,30986.0,31025.0,31079.0,31130.0,31155.0,31168.0,31226.0,31253.0,31290.0,31361.0,31436.0,31463.0,31485.0,31657.0,31705.0,31731.0,31985.0
5013759,27900.0,27948.0,28003.0,28017.0,28061.0,28121.0,28159.0,28196.0,28238.0,28269.0,28316.0,28373.0,28430.0,28438.0,28554.0,28698.0,28793.0,28994.0,29161.0,29215.0,29320.0,29401.0,29418.0,31135.0,31283.0,31316.0,31353.0,31446.0,31494.0,31570.0,31621.0,31734.0,31905.0,32052.0,32103.0,32155.0,32186.0,32225.0,32279.0,32330.0,32355.0,32368.0,32426.0,32453.0,32490.0,32561.0,32636.0,32663.0,32685.0,32857.0,32905.0,32931.0,33185.0
5014914,27300.0,27348.0,27403.0,27417.0,27461.0,27521.0,27559.0,27596.0,27638.0,27669.0,27716.0,27773.0,27830.0,27838.0,27954.0,28098.0,28193.0,28394.0,28561.0,28615.0,28720.0,28801.0,28818.0,30535.0,30683.0,30716.0,30753.0,30846.0,30894.0,30970.0,31021.0,31134.0,31305.0,31452.0,31503.0,31555.0,31586.0,31625.0,31679.0,31730.0,31755.0,31768.0,31826.0,31853.0,31890.0,31961.0,32036.0,32063.0,32085.0,32257.0,32305.0,32331.0,32585.0
5016329,28500.0,28548.0,28603.0,28617.0,28661.0,28721.0,28759.0,28796.0,28838.0,28869.0,28916.0,28973.0,29030.0,29038.0,29154.0,29298.0,29393.0,29594.0,29761.0,29815.0,29920.0,30001.0,30018.0,31735.0,31883.0,31916.0,31953.0,32046.0,32094.0,32170.0,32221.0,32334.0,32505.0,32652.0,32703.0,32755.0,32786.0,32825.0,32879.0,32930.0,32955.0,32968.0,33026.0,33053.0,33090.0,33161.0,33236.0,33263.0,33285.0,33457.0,33505.0,33531.0,33785.0
5086849,26700.0,26746.0,26799.0,26812.0,26854.0,26912.0,26949.0,26984.0,27024.0,27054.0,27100.0,27155.0,27210.0,27218.0,27329.0,27467.0,27559.0,27752.0,27912.0,27964.0,28065.0,28143.0,28160.0,29878.0,30026.0,30059.0,30096.0,30189.0,30237.0,30313.0,30363.0,30472.0,30636.0,30778.0,30827.0,30877.0,30907.0,30944.0,30996.0,31045.0,31069.0,31081.0,31136.0,31162.0,31199.0,31267.0,31339.0,31365.0,31386.0,31551.0,31598.0,31623.0,31867.0
5087892,27300.0,27346.0,27399.0,27412.0,27454.0,27512.0,27549.0,27584.0,27624.0,27654.0,27700.0,27755.0,27810.0,27818.0,27929.0,28067.0,28159.0,28352.0,28512.0,28564.0,28665.0,28743.0,28760.0,30478.0,30626.0,30659.0,30696.0,30789.0,30837.0,30913.0,30963.0,31072.0,31236.0,31378.0,31427.0,31477.0,31507.0,31544.0,31596.0,31645.0,31669.0,31681.0,31736.0,31762.0,31799.0,31867.0,31939.0,31965.0,31986.0,32151.0,32198.0,32223.0,32467.0
5088116,27900.0,27946.0,27999.0,28012.0,28054.0,28112.0,28149.0,28184.0,28224.0,28254.0,28300.0,28355.0,28410.0,28418.0,28529.0,28667.0,28759.0,28952.0,29112.0,29164.0,29265.0,29343.0,29360.0,31078.0,31226.0,31259.0,31296.0,31389.0,31437.0,31513.0,31563.0,31672.0,31836.0,31978.0,32027.0,32077.0,32107.0,32144.0,32196.0,32245.0,32269.0,32281.0,32336.0,32362.0,32399.0,32467.0,32539.0,32565.0,32586.0,32751.0,32798.0,32823.0,33067.0
5110607,27900.0,27946.0,27999.0,28012.0,28054.0,28112.0,28149.0,28184.0,28224.0,28254.0,28300.0,28355.0,28410.0,28418.0,28529.0,28667.0,28759.0,28952.0,29112.0,29164.0,29265.0,29343.0,29360.0,31078.0,31226.0,31259.0,31296.0,31389.0,31437.0,31513.0,31563.0,31672.0,31836.0,31978.0,32027.0,32077.0,32107.0,32144.0,32196.0,32245.0,32269.0,32281.0,32336.0,32362.0,32399.0,32467.0,32539.0,32565.0,32586.0,32751.0,32798.0,32823.0,33067.0
5111498,26700.0,26746.0,26799.0,26812.0,26854.0,26912.0,26949.0,26984.0,27024.0,27054.0,27100.0,27155.0,27210.0,27218.0,27329.0,27467.0,27559.0,27752.0,27912.0,27964.0,28065.0,28143.0,28160.0,29878.0,30026.0,30059.0,30096.0,30189.0,30237.0,30313.0,30363.0,30472.0,30636.0,30778.0,30827.0,30877.0,30907.0,30944.0,30996.0,31045.0,31069.0,31081.0,31136.0,31162.0,31199.0,31267.0,31339.0,31365.0,31386.0,31551.0,31598.0,31623.0,31867.0
