tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P
0,877.0,876.0,3011.0,2896.0,2897.0,1062.0,1063.0,1064.0,1065.0,1066.0,1067.0,1068.0,1069.0,1070.0,1071.0,4528.0,1072.0,7577.0,1353.0,1354.0,7589.0,7578.0,7582.0,407.0,2498.0,2499.0,2500.0,2501.0,7623.0,6312.0,7197.0,7195.0,3653.0,6055.0,1073.0,3641.0,3642.0,3643.0,3583.0,3584.0,3585.0,3625.0,3626.0,3627.0,3628.0,6052.0,3613.0,3615.0,3616.0
5006170,59700.0,59866.0,59970.0,60008.0,60038.0,60144.0,60178.0,60202.0,60266.0,60323.0,60384.0,60449.0,60546.0,60604.0,60683.0,60725.0,60783.0,60882.0,60967.0,61080.0,61098.0,61196.0,61362.0,61854.0,61880.0,61901.0,61935.0,61977.0,62030.0,63305.0,63389.0,63478.0,63526.0,63672.0,63892.0,63968.0,64020.0,64197.0,64279.0,64296.0,64377.0,64486.0,64531.0,64563.0,64605.0,64790.0,64814.0,64838.0,64909.0
5013760,61500.0,61666.0,61770.0,61808.0,61838.0,61944.0,61978.0,62002.0,62066.0,62123.0,62184.0,62249.0,62346.0,62404.0,62483.0,62525.0,62583.0,62682.0,62767.0,62880.0,62898.0,62996.0,63162.0,63654.0,63680.0,63701.0,63735.0,63777.0,63830.0,65105.0,65189.0,65278.0,65326.0,65472.0,65692.0,65768.0,65820.0,65997.0,66079.0,66096.0,66177.0,66286.0,66331.0,66363.0,66405.0,66590.0,66614.0,66638.0,66709.0
5014915,60600.0,60766.0,60870.0,60908.0,60938.0,61044.0,61078.0,61102.0,61166.0,61223.0,61284.0,61349.0,61446.0,61504.0,61583.0,61625.0,61683.0,61782.0,61867.0,61980.0,61998.0,62096.0,62262.0,62754.0,62780.0,62801.0,62835.0,62877.0,62930.0,64205.0,64289.0,64378.0,64426.0,64572.0,64792.0,64868.0,64920.0,65097.0,65179.0,65196.0,65277.0,65386.0,65431.0,65463.0,65505.0,65690.0,65714.0,65738.0,65809.0
5016330,63300.0,63466.0,63570.0,63608.0,63638.0,63744.0,63778.0,63802.0,63866.0,63923.0,63984.0,64049.0,64146.0,64204.0,64283.0,64325.0,64383.0,64482.0,64567.0,64680.0,64698.0,64796.0,64962.0,65454.0,65480.0,65501.0,65535.0,65577.0,65630.0,66905.0,66989.0,67078.0,67126.0,67272.0,67492.0,67568.0,67620.0,67797.0,67879.0,67896.0,67977.0,68086.0,68131.0,68163.0,68205.0,68390.0,68414.0,68438.0,68509.0
5086693,63300.0,63460.0,63560.0,63596.0,63624.0,63727.0,63760.0,63783.0,63845.0,63899.0,63957.0,64020.0,64113.0,64169.0,64245.0,64285.0,64341.0,64437.0,64519.0,64627.0,64644.0,64738.0,64898.0,65371.0,65396.0,65416.0,65448.0,65489.0,65540.0,66766.0,66847.0,66933.0,66979.0,67119.0,67331.0,67404.0,67454.0,67624.0,67703.0,67719.0,67797.0,67902.0,67945.0,67975.0,68016.0,68194.0,68217.0,68240.0,68308.0
5086850,59700.0,59860.0,59960.0,59996.0,60024.0,60127.0,60160.0,60183.0,60245.0,60299.0,60357.0,60420.0,60513.0,60569.0,60645.0,60685.0,60741.0,60837.0,60919.0,61027.0,61044.0,61138.0,61298.0,61771.0,61796.0,61816.0,61848.0,61889.0,61940.0,63166.0,63247.0,63333.0,63379.0,63519.0,63731.0,63804.0,63854.0,64024.0,64103.0,64119.0,64197.0,64302.0,64345.0,64375.0,64416.0,64594.0,64617.0,64640.0,64708.0
5088117,61500.0,61660.0,61760.0,61796.0,61824.0,61927.0,61960.0,61983.0,62045.0,62099.0,62157.0,62220.0,62313.0,62369.0,62445.0,62485.0,62541.0,62637.0,62719.0,62827.0,62844.0,62938.0,63098.0,63571.0,63596.0,63616.0,63648.0,63689.0,63740.0,64966.0,65047.0,65133.0,65179.0,65319.0,65531.0,65604.0,65654.0,65824.0,65903.0,65919.0,65997.0,66102.0,66145.0,66175.0,66216.0,66394.0,66417.0,66440.0,66508.0
5110608,61500.0,61660.0,61760.0,61796.0,61824.0,61927.0,61960.0,61983.0,62045.0,62099.0,62157.0,62220.0,62313.0,62369.0,62445.0,62485.0,62541.0,62637.0,62719.0,62827.0,62844.0,62938.0,63098.0,63571.0,63596.0,63616.0,63648.0,63689.0,63740.0,64966.0,65047.0,65133.0,65179.0,65319.0,65531.0,65604.0,65654.0,65824.0,65903.0,65919.0,65997.0,66102.0,66145.0,66175.0,66216.0,66394.0,66417.0,66440.0,66508.0
5110703,60600.0,60760.0,60860.0,60896.0,60924.0,61027.0,61060.0,61083.0,61145.0,61199.0,61257.0,61320.0,61413.0,61469.0,61545.0,61585.0,61641.0,61737.0,61819.0,61927.0,61944.0,62038.0,62198.0,62671.0,62696.0,62716.0,62748.0,62789.0,62840.0,64066.0,64147.0,64233.0,64279.0,64419.0,64631.0,64704.0,64754.0,64924.0,65003.0,65019.0,65097.0,65202.0,65245.0,65275.0,65316.0,65494.0,65517.0,65540.0,65608.0
