tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P
0,4320.0,1476.0,7453.0,1478.0,1479.0,7622.0,334.0,406.0,747.0,842.0,845.0,846.0,847.0,848.0,2795.0,756.0,757.0,758.0,759.0,760.0,761.0,762.0,763.0,2007.0,2008.0,2009.0,2010.0,435.0,7353.0,4571.0,2013.0,2014.0,4636.0,2016.0,2015.0,2017.0,3259.0,7361.0,7362.0,3129.0,7638.0,3130.0,3131.0,3132.0,3133.0,3134.0,3135.0,3136.0,3138.0,3139.0,4124.0,4125.0,4126.0,4127.0,4128.0,4129.0,4130.0,4131.0,7294.0,4132.0,4171.0,4172.0,4173.0,2962.0,2963.0,2964.0,4175.0,5091.0,5092.0,7574.0
5002327,34200.0,34334.0,34429.0,34491.0,34533.0,34696.0,34817.0,35009.0,35116.0,35204.0,35261.0,35323.0,35380.0,35432.0,35472.0,35527.0,35579.0,35607.0,35705.0,35778.0,35807.0,35832.0,35885.0,35942.0,35995.0,36038.0,36107.0,36165.0,36212.0,36325.0,36357.0,36406.0,36451.0,36536.0,36576.0,36604.0,36638.0,36691.0,36773.0,36849.0,36869.0,36894.0,36920.0,36956.0,36987.0,37038.0,37091.0,37164.0,37211.0,37298.0,37325.0,37380.0,37395.0,37428.0,37448.0,37610.0,37707.0,37765.0,37856.0,37957.0,38012.0,38083.0,38151.0,38198.0,38256.0,38312.0,38390.0,38419.0,38468.0,38546.0
5002329,45900.0,46020.0,46106.0,46187.0,46243.0,46452.0,46606.0,46852.0,46989.0,47068.0,47120.0,47187.0,47249.0,47300.0,47339.0,47394.0,47447.0,47495.0,47570.0,47625.0,47656.0,47682.0,47726.0,47790.0,47849.0,47897.0,47974.0,48030.0,48079.0,48167.0,48210.0,48264.0,48298.0,48363.0,48404.0,48433.0,48477.0,48530.0,48612.0,48671.0,48687.0,48718.0,48747.0,48789.0,48825.0,48887.0,48942.0,49009.0,49052.0,49135.0,49165.0,49225.0,49238.0,49267.0,49287.0,49525.0,49685.0,49742.0,49832.0,49933.0,49980.0,50040.0,50107.0,50153.0,50222.0,50278.0,50342.0,50365.0,50405.0,50470.0
5002331,58500.0,58628.0,58720.0,58808.0,58868.0,59084.0,59244.0,59470.0,59595.0,59685.0,59744.0,59802.0,59855.0,59908.0,59949.0,59989.0,60027.0,60065.0,60131.0,60180.0,60214.0,60243.0,60289.0,60368.0,60442.0,60483.0,60550.0,60610.0,60683.0,60802.0,60842.0,60899.0,60941.0,61020.0,61063.0,61093.0,61142.0,61207.0,61308.0,61373.0,61390.0,61424.0,61453.0,61494.0,61529.0,61588.0,61636.0,61703.0,61747.0,61825.0,61853.0,61909.0,61920.0,61945.0,61969.0,62048.0,62151.0,62222.0,62334.0,62459.0,62516.0,62589.0,62660.0,62710.0,62770.0,62828.0,62900.0,62926.0,62972.0,63045.0
5002333,70200.0,70310.0,70388.0,70478.0,70540.0,70830.0,71044.0,71277.0,71406.0,71489.0,71544.0,71614.0,71678.0,71723.0,71757.0,71819.0,71878.0,71920.0,72020.0,72095.0,72126.0,72153.0,72205.0,72267.0,72325.0,72373.0,72449.0,72512.0,72565.0,72675.0,72712.0,72758.0,72800.0,72881.0,72924.0,72955.0,72991.0,73046.0,73132.0,73229.0,73255.0,73290.0,73323.0,73368.0,73407.0,73472.0,73525.0,73601.0,73650.0,73731.0,73762.0,73825.0,73838.0,73867.0,73886.0,73974.0,74040.0,74086.0,74158.0,74238.0,74280.0,74334.0,74400.0,74446.0,74514.0,74573.0,74639.0,74663.0,74705.0,74770.0
5002335,81000.0,81100.0,81172.0,81224.0,81260.0,81441.0,81575.0,81782.0,81897.0,81987.0,82046.0,82118.0,82184.0,82228.0,82262.0,82308.0,82353.0,82388.0,82447.0,82490.0,82512.0,82531.0,82575.0,82631.0,82684.0,82719.0,82774.0,82826.0,82871.0,82968.0,83008.0,83047.0,83077.0,83134.0,83180.0,83213.0,83243.0,83291.0,83366.0,83449.0,83471.0,83501.0,83530.0,83573.0,83610.0,83674.0,83725.0,83791.0,83834.0,83909.0,83937.0,83995.0,84005.0,84029.0,84047.0,84111.0,84168.0,84199.0,84247.0,84301.0,84341.0,84392.0,84452.0,84494.0,84558.0,84613.0,84674.0,84696.0,84734.0,84795.0
5002356,59700.0,59909.0,60058.0,60153.0,60217.0,60505.0,60718.0,60986.0,61135.0,61247.0,61320.0,61408.0,61489.0,61564.0,61621.0,61698.0,61771.0,61814.0,61914.0,61989.0,62028.0,62062.0,62114.0,62199.0,62278.0,62338.0,62435.0,62509.0,62569.0,62692.0,62740.0,62822.0,62868.0,62957.0,63010.0,63048.0,63100.0,63167.0,63272.0,63358.0,63381.0,63416.0,63454.0,63508.0,63554.0,63633.0,63691.0,63775.0,63830.0,63949.0,63979.0,64041.0,64053.0,64081.0,64102.0,64298.0,64407.0,64460.0,64543.0,64637.0,64684.0,64743.0,64817.0,64868.0,64931.0,64987.0,65072.0,65103.0,65157.0,65241.0
5003083,66600.0,66710.0,66788.0,66878.0,66940.0,67230.0,67444.0,67677.0,67806.0,67889.0,67944.0,68014.0,68078.0,68123.0,68157.0,68219.0,68278.0,68320.0,68420.0,68495.0,68526.0,68553.0,68605.0,68667.0,68725.0,68773.0,68849.0,68912.0,68965.0,69075.0,69112.0,69158.0,69200.0,69281.0,69324.0,69355.0,69391.0,69446.0,69532.0,69629.0,69655.0,69690.0,69723.0,69768.0,69807.0,69872.0,69925.0,70001.0,70050.0,70131.0,70162.0,70225.0,70238.0,70267.0,70286.0,70374.0,70440.0,70486.0,70558.0,70638.0,70680.0,70734.0,70800.0,70846.0,70914.0,70973.0,71039.0,71063.0,71105.0,71170.0
5003085,78600.0,78700.0,78772.0,78824.0,78860.0,79041.0,79175.0,79382.0,79497.0,79587.0,79646.0,79718.0,79784.0,79828.0,79862.0,79908.0,79953.0,79988.0,80047.0,80090.0,80112.0,80131.0,80175.0,80231.0,80284.0,80319.0,80374.0,80426.0,80471.0,80568.0,80608.0,80647.0,80677.0,80734.0,80780.0,80813.0,80843.0,80891.0,80966.0,81049.0,81071.0,81101.0,81130.0,81173.0,81210.0,81274.0,81325.0,81391.0,81434.0,81509.0,81537.0,81595.0,81605.0,81629.0,81647.0,81711.0,81768.0,81799.0,81847.0,81901.0,81941.0,81992.0,82052.0,82094.0,82158.0,82213.0,82274.0,82296.0,82334.0,82395.0
5003111,28200.0,28339.0,28438.0,28587.0,28689.0,28997.0,29225.0,29467.0,29602.0,29727.0,29808.0,29892.0,29969.0,30040.0,30094.0,30159.0,30222.0,30266.0,30368.0,30444.0,30481.0,30512.0,30584.0,30654.0,30720.0,30770.0,30849.0,30909.0,30955.0,31071.0,31116.0,31189.0,31230.0,31308.0,31351.0,31381.0,31434.0,31487.0,31571.0,31679.0,31707.0,31732.0,31756.0,31797.0,31833.0,31893.0,31949.0,32022.0,32070.0,32150.0,32175.0,32226.0,32237.0,32263.0,32285.0,32399.0,32513.0,32563.0,32641.0,32728.0,32775.0,32835.0,32897.0,32941.0,32994.0,33039.0,33133.0,33167.0,33226.0,33320.0
