tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P,075_P,076_P
0,248.0,249.0,250.0,251.0,252.0,255.0,234.0,235.0,236.0,1190.0,1191.0,1192.0,1193.0,1194.0,1195.0,664.0,665.0,666.0,667.0,668.0,614.0,615.0,616.0,617.0,618.0,619.0,675.0,4415.0,301.0,336.0,7581.0,1283.0,7579.0,1285.0,1016.0,1017.0,1018.0,1019.0,1020.0,1076.0,1077.0,1078.0,1079.0,1080.0,1081.0,2914.0,2989.0,2990.0,1042.0,1043.0,1044.0,1045.0,4710.0,1046.0,1047.0,1048.0,1049.0,4333.0,4334.0,4712.0,2853.0,2854.0,2855.0,2856.0,2857.0,2858.0,2859.0,2860.0,2861.0,2862.0,2863.0,2864.0,4486.0,2865.0,2866.0,6044.0
5002837,54000.0,54052.0,54148.0,54203.0,54266.0,54313.0,54358.0,54414.0,54435.0,54509.0,54543.0,54571.0,54608.0,54635.0,54682.0,54730.0,54770.0,54811.0,54852.0,54950.0,55020.0,55059.0,55091.0,55155.0,55219.0,55277.0,55308.0,55367.0,55689.0,55852.0,55996.0,56091.0,56172.0,56319.0,56446.0,56491.0,56537.0,56571.0,56614.0,56673.0,56728.0,56768.0,56815.0,56851.0,56903.0,56945.0,57020.0,57052.0,57094.0,57163.0,57194.0,57222.0,57276.0,57370.0,57492.0,57570.0,57609.0,57666.0,57716.0,57736.0,57777.0,57816.0,57854.0,57893.0,57940.0,57968.0,57998.0,58024.0,58049.0,58098.0,58110.0,58179.0,58259.0,58306.0,58354.0,58376.0
5002839,66600.0,66634.0,66696.0,66732.0,66785.0,66824.0,66862.0,66909.0,66926.0,66988.0,67021.0,67049.0,67085.0,67111.0,67157.0,67203.0,67237.0,67272.0,67307.0,67385.0,67442.0,67491.0,67532.0,67589.0,67645.0,67705.0,67737.0,67799.0,68097.0,68295.0,68488.0,68614.0,68699.0,68825.0,68933.0,68967.0,69001.0,69041.0,69090.0,69158.0,69222.0,69272.0,69329.0,69360.0,69404.0,69440.0,69504.0,69545.0,69599.0,69666.0,69696.0,69713.0,69746.0,69812.0,69898.0,69952.0,69985.0,70034.0,70077.0,70103.0,70157.0,70188.0,70218.0,70249.0,70285.0,70326.0,70371.0,70396.0,70420.0,70468.0,70477.0,70530.0,70592.0,70628.0,70656.0,70669.0
5002841,76800.0,76830.0,76885.0,76916.0,76970.0,77010.0,77049.0,77097.0,77115.0,77179.0,77216.0,77247.0,77287.0,77316.0,77367.0,77419.0,77451.0,77483.0,77516.0,77589.0,77642.0,77695.0,77739.0,77788.0,77837.0,77895.0,77926.0,77986.0,78171.0,78483.0,78710.0,78859.0,78963.0,79102.0,79221.0,79276.0,79333.0,79360.0,79394.0,79440.0,79483.0,79518.0,79558.0,79585.0,79623.0,79654.0,79709.0,79748.0,79799.0,79872.0,79905.0,79925.0,79962.0,80013.0,80079.0,80121.0,80155.0,80207.0,80252.0,80282.0,80346.0,80379.0,80411.0,80444.0,80483.0,80526.0,80573.0,80599.0,80624.0,80673.0,80680.0,80719.0,80764.0,80791.0,80818.0,80831.0
5003345,30600.0,30645.0,30728.0,30776.0,30822.0,30856.0,30889.0,30930.0,30945.0,31001.0,31036.0,31065.0,31102.0,31129.0,31177.0,31225.0,31264.0,31303.0,31342.0,31401.0,31444.0,31489.0,31526.0,31575.0,31624.0,31677.0,31705.0,31758.0,31932.0,32109.0,32214.0,32282.0,32369.0,32472.0,32561.0,32602.0,32643.0,32669.0,32701.0,32745.0,32786.0,32815.0,32848.0,32875.0,32914.0,32946.0,33004.0,33043.0,33096.0,33166.0,33198.0,33218.0,33255.0,33308.0,33377.0,33421.0,33445.0,33488.0,33525.0,33546.0,33590.0,33619.0,33647.0,33676.0,33711.0,33748.0,33788.0,33810.0,33831.0,33872.0,33881.0,33934.0,33996.0,34032.0,34081.0,34104.0
5003351,64800.0,64831.0,64888.0,64921.0,64978.0,65021.0,65062.0,65113.0,65132.0,65200.0,65227.0,65250.0,65279.0,65300.0,65337.0,65375.0,65405.0,65436.0,65467.0,65565.0,65636.0,65685.0,65726.0,65768.0,65809.0,65878.0,65915.0,65985.0,66169.0,66479.0,66691.0,66830.0,66946.0,67124.0,67277.0,67314.0,67352.0,67388.0,67432.0,67493.0,67550.0,67596.0,67650.0,67677.0,67715.0,67746.0,67801.0,67839.0,67889.0,67973.0,68012.0,68036.0,68083.0,68151.0,68239.0,68295.0,68335.0,68392.0,68441.0,68469.0,68527.0,68558.0,68588.0,68619.0,68655.0,68703.0,68755.0,68779.0,68802.0,68848.0,68859.0,68918.0,68987.0,69028.0,69066.0,69084.0
5004858,48000.0,48049.0,48140.0,48192.0,48260.0,48311.0,48360.0,48421.0,48444.0,48525.0,48566.0,48600.0,48644.0,48676.0,48732.0,48789.0,48825.0,48862.0,48899.0,48979.0,49037.0,49088.0,49130.0,49186.0,49241.0,49311.0,49348.0,49419.0,49724.0,49960.0,50172.0,50311.0,50410.0,50564.0,50696.0,50740.0,50784.0,50820.0,50865.0,50927.0,50985.0,51035.0,51093.0,51128.0,51178.0,51218.0,51290.0,51336.0,51398.0,51487.0,51528.0,51551.0,51594.0,51668.0,51765.0,51827.0,51860.0,51913.0,51960.0,51986.0,52039.0,52078.0,52116.0,52155.0,52203.0,52252.0,52306.0,52338.0,52369.0,52429.0,52443.0,52524.0,52619.0,52676.0,52719.0,52739.0
5004860,60000.0,60038.0,60109.0,60150.0,60212.0,60258.0,60303.0,60359.0,60380.0,60452.0,60486.0,60514.0,60550.0,60576.0,60622.0,60668.0,60700.0,60732.0,60764.0,60835.0,60887.0,60938.0,60981.0,61029.0,61077.0,61135.0,61166.0,61226.0,61437.0,61704.0,61898.0,62025.0,62136.0,62291.0,62424.0,62469.0,62515.0,62548.0,62589.0,62646.0,62699.0,62747.0,62803.0,62838.0,62888.0,62928.0,62999.0,63035.0,63083.0,63171.0,63211.0,63238.0,63290.0,63370.0,63474.0,63540.0,63585.0,63636.0,63680.0,63703.0,63751.0,63787.0,63823.0,63859.0,63903.0,63948.0,63997.0,64029.0,64060.0,64120.0,64136.0,64227.0,64333.0,64395.0,64453.0,64480.0
5004862,72000.0,72034.0,72096.0,72132.0,72185.0,72224.0,72262.0,72309.0,72326.0,72388.0,72421.0,72449.0,72485.0,72511.0,72557.0,72603.0,72637.0,72672.0,72707.0,72785.0,72842.0,72891.0,72932.0,72989.0,73045.0,73105.0,73137.0,73199.0,73497.0,73695.0,73888.0,74014.0,74099.0,74225.0,74333.0,74367.0,74401.0,74441.0,74490.0,74558.0,74622.0,74672.0,74729.0,74760.0,74804.0,74840.0,74904.0,74945.0,74999.0,75066.0,75096.0,75113.0,75146.0,75212.0,75298.0,75352.0,75385.0,75434.0,75477.0,75503.0,75557.0,75588.0,75618.0,75649.0,75685.0,75726.0,75771.0,75796.0,75820.0,75868.0,75877.0,75930.0,75992.0,76028.0,76056.0,76069.0
5004864,82200.0,82230.0,82285.0,82316.0,82370.0,82410.0,82449.0,82497.0,82515.0,82579.0,82616.0,82647.0,82687.0,82716.0,82767.0,82819.0,82851.0,82883.0,82916.0,82989.0,83042.0,83095.0,83139.0,83188.0,83237.0,83295.0,83326.0,83386.0,83571.0,83883.0,84110.0,84259.0,84363.0,84502.0,84621.0,84676.0,84733.0,84760.0,84794.0,84840.0,84883.0,84918.0,84958.0,84985.0,85023.0,85054.0,85109.0,85148.0,85199.0,85272.0,85305.0,85325.0,85362.0,85413.0,85479.0,85521.0,85555.0,85607.0,85652.0,85682.0,85746.0,85779.0,85811.0,85844.0,85883.0,85926.0,85973.0,85999.0,86024.0,86073.0,86080.0,86119.0,86164.0,86191.0,86218.0,86231.0
5004964,26100.0,26144.0,26226.0,26273.0,26363.0,26430.0,26495.0,26576.0,26606.0,26712.0,26767.0,26813.0,26873.0,26916.0,26992.0,27069.0,27120.0,27172.0,27224.0,27346.0,27434.0,27508.0,27570.0,27644.0,27717.0,27847.0,27916.0,28048.0,28345.0,28652.0,28822.0,28933.0,29033.0,29218.0,29377.0,29436.0,29496.0,29527.0,29566.0,29620.0,29671.0,29719.0,29775.0,29813.0,29868.0,29912.0,29991.0,30034.0,30092.0,30177.0,30216.0,30242.0,30291.0,30358.0,30446.0,30502.0,30533.0,30582.0,30625.0,30652.0,30710.0,30752.0,30793.0,30835.0,30885.0,30939.0,30999.0,31036.0,31072.0,31142.0,31155.0,31228.0,31314.0,31365.0,31408.0,31428.0
5004966,57600.0,57640.0,57715.0,57758.0,57835.0,57892.0,57947.0,58016.0,58041.0,58132.0,58166.0,58194.0,58231.0,58258.0,58305.0,58353.0,58393.0,58433.0,58473.0,58550.0,58606.0,58661.0,58707.0,58755.0,58802.0,58870.0,58906.0,58974.0,59211.0,59457.0,59638.0,59756.0,59867.0,60026.0,60162.0,60249.0,60338.0,60383.0,60439.0,60517.0,60590.0,60635.0,60687.0,60728.0,60787.0,60834.0,60920.0,60969.0,61035.0,61136.0,61182.0,61208.0,61258.0,61333.0,61431.0,61494.0,61531.0,61583.0,61628.0,61656.0,61715.0,61750.0,61784.0,61819.0,61861.0,61910.0,61963.0,61992.0,62020.0,62075.0,62085.0,62139.0,62202.0,62239.0,62281.0,62300.0
5005619,32400.0,32442.0,32520.0,32565.0,32665.0,32740.0,32812.0,32902.0,32935.0,33054.0,33108.0,33153.0,33212.0,33254.0,33328.0,33404.0,33453.0,33503.0,33554.0,33667.0,33748.0,33832.0,33901.0,33969.0,34036.0,34140.0,34196.0,34302.0,34620.0,35028.0,35203.0,35317.0,35420.0,35591.0,35739.0,35784.0,35830.0,35859.0,35895.0,35945.0,35993.0,36033.0,36080.0,36111.0,36155.0,36190.0,36254.0,36290.0,36339.0,36408.0,36440.0,36459.0,36495.0,36551.0,36623.0,36669.0,36697.0,36742.0,36781.0,36804.0,36851.0,36881.0,36911.0,36941.0,36978.0,37022.0,37071.0,37100.0,37128.0,37182.0,37193.0,37253.0,37323.0,37364.0,37421.0,37448.0
5005621,43200.0,43242.0,43320.0,43365.0,43434.0,43485.0,43535.0,43597.0,43620.0,43701.0,43738.0,43769.0,43809.0,43838.0,43889.0,43942.0,43981.0,44021.0,44061.0,44138.0,44193.0,44253.0,44303.0,44354.0,44404.0,44470.0,44505.0,44573.0,44849.0,45064.0,45231.0,45341.0,45431.0,45577.0,45702.0,45741.0,45780.0,45811.0,45849.0,45902.0,45952.0,45991.0,46037.0,46068.0,46112.0,46148.0,46212.0,46251.0,46303.0,46378.0,46412.0,46432.0,46469.0,46531.0,46611.0,46662.0,46694.0,46740.0,46781.0,46806.0,46857.0,46889.0,46920.0,46952.0,46989.0,47037.0,47090.0,47115.0,47139.0,47186.0,47197.0,47259.0,47331.0,47373.0,47425.0,47449.0
5005623,54900.0,54940.0,55015.0,55058.0,55135.0,55192.0,55247.0,55316.0,55341.0,55432.0,55466.0,55494.0,55531.0,55558.0,55605.0,55653.0,55693.0,55733.0,55773.0,55850.0,55906.0,55961.0,56007.0,56055.0,56102.0,56170.0,56206.0,56274.0,56511.0,56757.0,56938.0,57056.0,57167.0,57326.0,57462.0,57549.0,57638.0,57683.0,57739.0,57817.0,57890.0,57935.0,57987.0,58028.0,58087.0,58134.0,58220.0,58269.0,58335.0,58436.0,58482.0,58508.0,58558.0,58633.0,58731.0,58794.0,58831.0,58883.0,58928.0,58956.0,59015.0,59050.0,59084.0,59119.0,59161.0,59210.0,59263.0,59292.0,59320.0,59375.0,59385.0,59439.0,59502.0,59539.0,59581.0,59600.0
5005625,68400.0,68433.0,68494.0,68528.0,68592.0,68640.0,68686.0,68744.0,68765.0,68842.0,68874.0,68900.0,68934.0,68958.0,69001.0,69045.0,69077.0,69109.0,69141.0,69215.0,69268.0,69327.0,69376.0,69417.0,69458.0,69511.0,69539.0,69594.0,69827.0,70144.0,70336.0,70462.0,70563.0,70714.0,70843.0,70890.0,70938.0,70974.0,71018.0,71080.0,71137.0,71185.0,71241.0,71272.0,71316.0,71352.0,71416.0,71456.0,71510.0,71587.0,71622.0,71641.0,71678.0,71742.0,71825.0,71877.0,71912.0,71964.0,72009.0,72035.0,72090.0,72122.0,72154.0,72186.0,72226.0,72272.0,72322.0,72347.0,72371.0,72417.0,72426.0,72477.0,72537.0,72573.0,72620.0,72642.0
5005627,79200.0,79232.0,79291.0,79324.0,79371.0,79406.0,79440.0,79482.0,79498.0,79553.0,79578.0,79599.0,79626.0,79646.0,79681.0,79717.0,79746.0,79776.0,79806.0,79875.0,79925.0,79974.0,80014.0,80050.0,80086.0,80134.0,80160.0,80208.0,80445.0,80670.0,80836.0,80945.0,81039.0,81161.0,81266.0,81308.0,81351.0,81382.0,81420.0,81473.0,81523.0,81562.0,81607.0,81637.0,81680.0,81714.0,81776.0,81812.0,81859.0,81929.0,81961.0,81981.0,82019.0,82075.0,82148.0,82195.0,82228.0,82276.0,82317.0,82341.0,82390.0,82422.0,82454.0,82486.0,82526.0,82564.0,82606.0,82628.0,82649.0,82691.0,82698.0,82740.0,82788.0,82817.0,82861.0,82882.0
5005675,36000.0,36042.0,36120.0,36165.0,36234.0,36285.0,36335.0,36397.0,36420.0,36501.0,36538.0,36569.0,36609.0,36638.0,36689.0,36742.0,36781.0,36821.0,36861.0,36938.0,36993.0,37053.0,37103.0,37154.0,37204.0,37270.0,37305.0,37373.0,37649.0,37864.0,38031.0,38141.0,38231.0,38377.0,38502.0,38541.0,38580.0,38611.0,38649.0,38702.0,38752.0,38791.0,38837.0,38868.0,38912.0,38948.0,39012.0,39051.0,39103.0,39178.0,39212.0,39232.0,39269.0,39331.0,39411.0,39462.0,39494.0,39540.0,39581.0,39606.0,39657.0,39689.0,39720.0,39752.0,39789.0,39837.0,39890.0,39915.0,39939.0,39986.0,39997.0,40059.0,40131.0,40173.0,40225.0,40249.0
5005677,48000.0,48043.0,48123.0,48169.0,48241.0,48295.0,48347.0,48412.0,48436.0,48521.0,48559.0,48591.0,48632.0,48662.0,48714.0,48767.0,48808.0,48850.0,48892.0,48960.0,49009.0,49068.0,49117.0,49165.0,49212.0,49273.0,49306.0,49368.0,49613.0,49845.0,50032.0,50155.0,50264.0,50424.0,50561.0,50614.0,50668.0,50708.0,50758.0,50827.0,50892.0,50936.0,50986.0,51021.0,51072.0,51113.0,51186.0,51234.0,51299.0,51383.0,51422.0,51446.0,51493.0,51563.0,51654.0,51712.0,51745.0,51801.0,51849.0,51878.0,51939.0,51982.0,52024.0,52067.0,52119.0,52171.0,52227.0,52256.0,52285.0,52341.0,52352.0,52412.0,52482.0,52523.0,52587.0,52617.0
5005679,59400.0,59440.0,59514.0,59556.0,59631.0,59686.0,59740.0,59807.0,59832.0,59919.0,59958.0,59991.0,60033.0,60064.0,60118.0,60173.0,60208.0,60244.0,60280.0,60360.0,60417.0,60489.0,60548.0,60591.0,60633.0,60697.0,60731.0,60796.0,61142.0,61440.0,61661.0,61806.0,61932.0,62143.0,62324.0,62431.0,62540.0,62585.0,62641.0,62718.0,62790.0,62847.0,62913.0,62957.0,63020.0,63070.0,63161.0,63210.0,63275.0,63371.0,63415.0,63439.0,63486.0,63569.0,63677.0,63745.0,63786.0,63843.0,63893.0,63923.0,63987.0,64023.0,64058.0,64094.0,64138.0,64198.0,64263.0,64295.0,64327.0,64388.0,64398.0,64457.0,64526.0,64566.0,64606.0,64624.0
5005738,30600.0,30642.0,30720.0,30765.0,30865.0,30940.0,31012.0,31102.0,31135.0,31254.0,31308.0,31353.0,31412.0,31454.0,31528.0,31604.0,31653.0,31703.0,31754.0,31867.0,31948.0,32032.0,32101.0,32169.0,32236.0,32340.0,32396.0,32502.0,32820.0,33228.0,33403.0,33517.0,33620.0,33791.0,33939.0,33984.0,34030.0,34059.0,34095.0,34145.0,34193.0,34233.0,34280.0,34311.0,34355.0,34390.0,34454.0,34490.0,34539.0,34608.0,34640.0,34659.0,34695.0,34751.0,34823.0,34869.0,34897.0,34942.0,34981.0,35004.0,35051.0,35081.0,35111.0,35141.0,35178.0,35222.0,35271.0,35300.0,35328.0,35382.0,35393.0,35453.0,35523.0,35564.0,35621.0,35648.0
