tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P,075_P
0,6041.0,2826.0,2842.0,2843.0,2844.0,2845.0,2846.0,2847.0,4397.0,2848.0,2849.0,2850.0,2851.0,2852.0,4707.0,4708.0,4336.0,1051.0,1052.0,1053.0,1054.0,1036.0,4709.0,1037.0,1038.0,2998.0,2999.0,3000.0,3001.0,3002.0,1166.0,1167.0,1168.0,1169.0,1170.0,1069.0,1070.0,1071.0,4528.0,1072.0,7577.0,1353.0,1354.0,7589.0,7578.0,7582.0,297.0,496.0,7490.0,497.0,515.0,516.0,4384.0,519.0,521.0,522.0,7659.0,523.0,669.0,670.0,671.0,672.0,4382.0,1185.0,1186.0,1187.0,1188.0,216.0,217.0,242.0,243.0,244.0,245.0,246.0,248.0
5002836,48000.0,48125.0,48174.0,48236.0,48267.0,48331.0,48394.0,48426.0,48451.0,48536.0,48572.0,48612.0,48647.0,48676.0,48724.0,48766.0,48810.0,48895.0,48956.0,49016.0,49104.0,49165.0,49191.0,49282.0,49316.0,49405.0,49465.0,49526.0,49595.0,49619.0,49687.0,49736.0,49783.0,49836.0,49885.0,49945.0,49999.0,50074.0,50133.0,50215.0,50311.0,50394.0,50503.0,50520.0,50661.0,50822.0,51200.0,51337.0,51358.0,51383.0,51465.0,51528.0,51570.0,51622.0,51652.0,51694.0,51720.0,51739.0,51797.0,51853.0,51885.0,51935.0,51960.0,52009.0,52068.0,52127.0,52185.0,52261.0,52304.0,52367.0,52396.0,52469.0,52517.0,52569.0,52642.0
5002838,60000.0,60135.0,60183.0,60244.0,60278.0,60350.0,60420.0,60451.0,60475.0,60557.0,60593.0,60633.0,60668.0,60695.0,60745.0,60789.0,60835.0,60891.0,60922.0,60973.0,61047.0,61099.0,61114.0,61165.0,61190.0,61256.0,61298.0,61345.0,61398.0,61417.0,61469.0,61507.0,61544.0,61591.0,61635.0,61683.0,61727.0,61788.0,61826.0,61878.0,61961.0,62032.0,62126.0,62140.0,62273.0,62467.0,62922.0,63015.0,63029.0,63055.0,63141.0,63206.0,63255.0,63314.0,63349.0,63399.0,63430.0,63452.0,63520.0,63586.0,63613.0,63656.0,63677.0,63723.0,63779.0,63834.0,63893.0,63971.0,64015.0,64079.0,64109.0,64184.0,64233.0,64312.0,64421.0
5002842,81900.0,81987.0,82049.0,82128.0,82148.0,82190.0,82231.0,82257.0,82278.0,82348.0,82377.0,82410.0,82439.0,82462.0,82510.0,82552.0,82596.0,82660.0,82702.0,82761.0,82848.0,82909.0,82926.0,82984.0,83007.0,83066.0,83100.0,83134.0,83172.0,83186.0,83224.0,83251.0,83278.0,83306.0,83333.0,83376.0,83415.0,83468.0,83499.0,83541.0,83631.0,83709.0,83811.0,83827.0,84056.0,84294.0,84851.0,84959.0,84976.0,84998.0,85070.0,85124.0,85164.0,85213.0,85243.0,85286.0,85312.0,85328.0,85375.0,85421.0,85451.0,85498.0,85522.0,85562.0,85610.0,85657.0,85706.0,85770.0,85806.0,85858.0,85882.0,85943.0,85984.0,86018.0,86064.0
5003344,25200.0,25262.0,25290.0,25325.0,25342.0,25377.0,25410.0,25430.0,25446.0,25500.0,25524.0,25551.0,25575.0,25595.0,25629.0,25659.0,25691.0,25744.0,25775.0,25818.0,25881.0,25924.0,25933.0,25967.0,25985.0,26031.0,26061.0,26094.0,26131.0,26144.0,26180.0,26206.0,26231.0,26255.0,26278.0,26301.0,26322.0,26352.0,26384.0,26429.0,26467.0,26500.0,26543.0,26549.0,26592.0,26671.0,26855.0,26919.0,26929.0,26946.0,27002.0,27045.0,27078.0,27118.0,27134.0,27157.0,27170.0,27180.0,27210.0,27240.0,27261.0,27295.0,27312.0,27340.0,27373.0,27406.0,27440.0,27485.0,27511.0,27548.0,27565.0,27608.0,27638.0,27680.0,27737.0
5003348,46800.0,46925.0,46974.0,47036.0,47067.0,47131.0,47194.0,47226.0,47251.0,47336.0,47372.0,47412.0,47447.0,47476.0,47524.0,47566.0,47610.0,47695.0,47756.0,47816.0,47904.0,47965.0,47991.0,48082.0,48116.0,48205.0,48265.0,48326.0,48395.0,48419.0,48487.0,48536.0,48583.0,48636.0,48685.0,48745.0,48799.0,48874.0,48933.0,49015.0,49111.0,49194.0,49303.0,49320.0,49461.0,49622.0,50000.0,50137.0,50158.0,50183.0,50265.0,50328.0,50370.0,50422.0,50452.0,50494.0,50520.0,50539.0,50597.0,50653.0,50685.0,50735.0,50760.0,50809.0,50868.0,50927.0,50985.0,51061.0,51104.0,51167.0,51196.0,51269.0,51317.0,51369.0,51442.0
5003352,70200.0,70347.0,70405.0,70479.0,70502.0,70550.0,70596.0,70627.0,70652.0,70735.0,70771.0,70811.0,70846.0,70874.0,70924.0,70968.0,71013.0,71067.0,71096.0,71162.0,71259.0,71328.0,71345.0,71403.0,71436.0,71524.0,71574.0,71635.0,71704.0,71728.0,71796.0,71845.0,71892.0,71931.0,71968.0,72015.0,72058.0,72116.0,72174.0,72255.0,72339.0,72411.0,72506.0,72522.0,72672.0,72926.0,73522.0,73634.0,73651.0,73683.0,73789.0,73871.0,73920.0,73979.0,74009.0,74051.0,74077.0,74092.0,74136.0,74179.0,74209.0,74257.0,74282.0,74329.0,74386.0,74443.0,74499.0,74572.0,74613.0,74673.0,74701.0,74771.0,74818.0,74874.0,74951.0
5004859,54000.0,54157.0,54214.0,54287.0,54316.0,54377.0,54437.0,54467.0,54491.0,54572.0,54605.0,54642.0,54674.0,54699.0,54749.0,54793.0,54839.0,54907.0,54960.0,55018.0,55104.0,55164.0,55178.0,55227.0,55252.0,55319.0,55364.0,55421.0,55485.0,55508.0,55571.0,55617.0,55662.0,55716.0,55766.0,55815.0,55860.0,55922.0,55953.0,55997.0,56093.0,56175.0,56284.0,56301.0,56433.0,56640.0,57126.0,57220.0,57234.0,57258.0,57337.0,57398.0,57445.0,57503.0,57545.0,57605.0,57642.0,57663.0,57725.0,57785.0,57824.0,57886.0,57917.0,57965.0,58023.0,58081.0,58148.0,58236.0,58285.0,58357.0,58391.0,58475.0,58531.0,58593.0,58678.0
5004861,66600.0,66747.0,66805.0,66879.0,66902.0,66950.0,66996.0,67027.0,67052.0,67135.0,67171.0,67211.0,67246.0,67274.0,67324.0,67368.0,67413.0,67467.0,67496.0,67562.0,67659.0,67728.0,67745.0,67803.0,67836.0,67924.0,67974.0,68035.0,68104.0,68128.0,68196.0,68245.0,68292.0,68331.0,68368.0,68415.0,68458.0,68516.0,68574.0,68655.0,68739.0,68811.0,68906.0,68922.0,69072.0,69326.0,69922.0,70034.0,70051.0,70083.0,70189.0,70271.0,70320.0,70379.0,70409.0,70451.0,70477.0,70492.0,70536.0,70579.0,70609.0,70657.0,70682.0,70729.0,70786.0,70843.0,70899.0,70972.0,71013.0,71073.0,71101.0,71171.0,71218.0,71274.0,71351.0
5004863,76800.0,76887.0,76949.0,77028.0,77048.0,77090.0,77131.0,77157.0,77178.0,77248.0,77277.0,77310.0,77339.0,77362.0,77410.0,77452.0,77496.0,77560.0,77602.0,77661.0,77748.0,77809.0,77826.0,77884.0,77907.0,77966.0,78000.0,78034.0,78072.0,78086.0,78124.0,78151.0,78178.0,78206.0,78233.0,78276.0,78315.0,78368.0,78399.0,78441.0,78531.0,78609.0,78711.0,78727.0,78956.0,79194.0,79751.0,79859.0,79876.0,79898.0,79970.0,80024.0,80064.0,80113.0,80143.0,80186.0,80212.0,80228.0,80275.0,80321.0,80351.0,80398.0,80422.0,80462.0,80510.0,80557.0,80606.0,80670.0,80706.0,80758.0,80782.0,80843.0,80884.0,80918.0,80964.0
