tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P
0,7662.0,4495.0,1279.0,1934.0,2310.0,2311.0,5025.0,4854.0,1438.0,4855.0,1439.0,1440.0,1386.0,1387.0,1388.0,1389.0,3355.0,3356.0,1441.0,1442.0,7414.0,1396.0,2317.0,2318.0,2319.0,2320.0,2321.0,2322.0,6163.0,1095.0,1096.0,1097.0,1099.0,6132.0,4861.0,4862.0
5085724,23700.0,23707.0,23792.0,23842.0,23925.0,24005.0,24139.0,24225.0,24259.0,24295.0,24347.0,24408.0,24453.0,24489.0,24541.0,24588.0,24614.0,24648.0,24670.0,24702.0,24738.0,24774.0,24823.0,24847.0,24891.0,24952.0,25001.0,25043.0,25053.0,25091.0,25108.0,25149.0,25175.0,25266.0,25298.0,25341.0
5085726,30300.0,30308.0,30402.0,30457.0,30548.0,30694.0,30868.0,30979.0,31023.0,31071.0,31131.0,31202.0,31268.0,31322.0,31399.0,31468.0,31506.0,31554.0,31586.0,31624.0,31690.0,31755.0,31843.0,31881.0,31949.0,32075.0,32176.0,32240.0,32256.0,32314.0,32336.0,32388.0,32421.0,32537.0,32577.0,32631.0
5085728,36600.0,36610.0,36735.0,36808.0,36932.0,37058.0,37189.0,37272.0,37311.0,37353.0,37407.0,37471.0,37518.0,37557.0,37612.0,37661.0,37689.0,37732.0,37761.0,37802.0,37848.0,37894.0,37956.0,37997.0,38071.0,38181.0,38269.0,38320.0,38333.0,38379.0,38398.0,38442.0,38470.0,38569.0,38603.0,38649.0
5085730,42600.0,42612.0,42758.0,42843.0,42986.0,43105.0,43241.0,43328.0,43373.0,43422.0,43484.0,43557.0,43612.0,43657.0,43721.0,43778.0,43810.0,43855.0,43885.0,43926.0,43971.0,44016.0,44077.0,44115.0,44183.0,44292.0,44379.0,44437.0,44452.0,44505.0,44524.0,44569.0,44597.0,44697.0,44732.0,44780.0
5085732,48600.0,48612.0,48758.0,48843.0,48986.0,49105.0,49241.0,49328.0,49373.0,49422.0,49484.0,49557.0,49612.0,49657.0,49721.0,49778.0,49810.0,49855.0,49885.0,49926.0,49971.0,50016.0,50077.0,50115.0,50183.0,50292.0,50379.0,50437.0,50452.0,50505.0,50524.0,50569.0,50597.0,50697.0,50732.0,50780.0
5085734,54600.0,54612.0,54755.0,54839.0,54979.0,55097.0,55216.0,55292.0,55338.0,55388.0,55447.0,55517.0,55572.0,55617.0,55681.0,55739.0,55772.0,55825.0,55860.0,55905.0,55957.0,56009.0,56079.0,56119.0,56191.0,56331.0,56443.0,56504.0,56519.0,56575.0,56596.0,56645.0,56676.0,56785.0,56823.0,56874.0
5085736,60900.0,60913.0,61065.0,61154.0,61303.0,61435.0,61568.0,61653.0,61695.0,61741.0,61809.0,61889.0,61945.0,61990.0,62055.0,62113.0,62146.0,62191.0,62221.0,62268.0,62312.0,62355.0,62413.0,62448.0,62511.0,62629.0,62724.0,62799.0,62818.0,62887.0,62909.0,62960.0,62992.0,63106.0,63146.0,63200.0
5085738,67800.0,67812.0,67959.0,68045.0,68190.0,68302.0,68420.0,68495.0,68534.0,68576.0,68628.0,68689.0,68741.0,68783.0,68844.0,68898.0,68929.0,68975.0,69006.0,69049.0,69092.0,69134.0,69191.0,69226.0,69288.0,69366.0,69429.0,69492.0,69508.0,69565.0,69584.0,69630.0,69659.0,69761.0,69797.0,69845.0
5085740,73800.0,73810.0,73929.0,73999.0,74116.0,74198.0,74289.0,74347.0,74383.0,74422.0,74464.0,74513.0,74560.0,74599.0,74654.0,74704.0,74732.0,74773.0,74800.0,74838.0,74872.0,74906.0,74951.0,74977.0,75023.0,75085.0,75135.0,75183.0,75195.0,75238.0,75255.0,75296.0,75322.0,75414.0,75446.0,75489.0
