tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P
0,4863.0,4864.0,4865.0,4577.0,4578.0,1100.0,100.0,1111.0,2323.0,2324.0,2325.0,2326.0,5150.0,2327.0,2328.0,2329.0,2330.0,2331.0,1397.0,1398.0,1399.0,5148.0,1401.0,1402.0,1403.0,1404.0,1405.0,4856.0,4857.0,307.0,308.0,309.0,7412.0,7413.0,2383.0,2003.0,1358.0,4495.0,7663.0
5085727,33300.0,33341.0,33371.0,33401.0,33455.0,33532.0,33571.0,33614.0,33689.0,33724.0,33761.0,33794.0,33838.0,33861.0,33921.0,33950.0,33985.0,34213.0,34281.0,34336.0,34384.0,34427.0,34457.0,34490.0,34572.0,34614.0,34658.0,34703.0,34752.0,34784.0,34839.0,34862.0,35058.0,35186.0,35332.0,35550.0,35654.0,35758.0,35863.0
5085729,39600.0,39632.0,39655.0,39679.0,39721.0,39782.0,39812.0,39846.0,39907.0,39937.0,39970.0,40012.0,40068.0,40097.0,40171.0,40208.0,40250.0,40338.0,40398.0,40448.0,40502.0,40552.0,40591.0,40634.0,40709.0,40748.0,40788.0,40830.0,40878.0,40908.0,40965.0,40989.0,41086.0,41150.0,41223.0,41401.0,41487.0,41573.0,41660.0
5085731,45600.0,45634.0,45659.0,45684.0,45728.0,45792.0,45824.0,45860.0,45923.0,45954.0,45987.0,46033.0,46094.0,46126.0,46207.0,46247.0,46293.0,46370.0,46434.0,46486.0,46542.0,46593.0,46641.0,46694.0,46784.0,46830.0,46878.0,46928.0,46982.0,47017.0,47080.0,47107.0,47197.0,47256.0,47323.0,47480.0,47559.0,47638.0,47716.0
5085733,51600.0,51634.0,51659.0,51684.0,51728.0,51792.0,51824.0,51860.0,51923.0,51954.0,51987.0,52033.0,52094.0,52126.0,52207.0,52247.0,52293.0,52370.0,52434.0,52486.0,52542.0,52593.0,52641.0,52694.0,52784.0,52830.0,52878.0,52928.0,52982.0,53017.0,53080.0,53107.0,53197.0,53256.0,53323.0,53480.0,53559.0,53638.0,53716.0
5085735,57600.0,57642.0,57673.0,57704.0,57759.0,57838.0,57878.0,57922.0,58000.0,58036.0,58076.0,58130.0,58202.0,58239.0,58335.0,58383.0,58438.0,58585.0,58665.0,58731.0,58787.0,58838.0,58885.0,58938.0,59032.0,59080.0,59131.0,59183.0,59236.0,59269.0,59319.0,59340.0,59421.0,59474.0,59534.0,59707.0,59784.0,59861.0,59939.0
5085737,64800.0,64835.0,64861.0,64887.0,64933.0,64999.0,65032.0,65069.0,65134.0,65167.0,65202.0,65245.0,65302.0,65332.0,65409.0,65447.0,65490.0,65602.0,65679.0,65742.0,65795.0,65843.0,65886.0,65934.0,66016.0,66058.0,66102.0,66146.0,66198.0,66231.0,66278.0,66298.0,66367.0,66412.0,66464.0,66595.0,66670.0,66745.0,66819.0
5085739,70800.0,70831.0,70854.0,70877.0,70918.0,70977.0,71006.0,71039.0,71096.0,71120.0,71146.0,71178.0,71221.0,71243.0,71300.0,71328.0,71362.0,71440.0,71489.0,71529.0,71571.0,71610.0,71641.0,71675.0,71739.0,71772.0,71806.0,71841.0,71884.0,71912.0,71958.0,71977.0,72047.0,72093.0,72145.0,72267.0,72340.0,72413.0,72485.0
5085741,76800.0,76827.0,76847.0,76867.0,76903.0,76954.0,76980.0,77009.0,77059.0,77079.0,77101.0,77124.0,77154.0,77170.0,77210.0,77230.0,77253.0,77316.0,77359.0,77394.0,77431.0,77465.0,77490.0,77518.0,77575.0,77604.0,77634.0,77665.0,77702.0,77725.0,77768.0,77786.0,77840.0,77875.0,77916.0,78034.0,78112.0,78190.0,78268.0
5085743,82200.0,82227.0,82247.0,82267.0,82303.0,82354.0,82380.0,82409.0,82459.0,82479.0,82501.0,82524.0,82554.0,82570.0,82610.0,82630.0,82653.0,82716.0,82759.0,82794.0,82831.0,82865.0,82890.0,82918.0,82975.0,83004.0,83034.0,83065.0,83102.0,83125.0,83168.0,83186.0,83240.0,83275.0,83316.0,83434.0,83512.0,83590.0,83668.0
