tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P
0,7514.0,2279.0,6251.0,5140.0,1500.0,302.0,301.0,4494.0,4495.0,4522.0,1934.0,2310.0,2311.0,2312.0,2313.0,2314.0,2315.0,2094.0,1406.0,1407.0,1409.0,2095.0,2096.0,2097.0,2099.0,2101.0,2102.0,2726.0,2727.0,2105.0,6140.0,6144.0,6145.0,6146.0,6147.0,6149.0,6150.0,6143.0,6011.0,2133.0,6244.0,2134.0,2135.0,2164.0,2165.0,2166.0,4545.0,4552.0,4554.0,7016.0,4619.0
5002414,29100.0,29184.0,29452.0,29644.0,29816.0,30075.0,30083.0,30182.0,30230.0,30393.0,30540.0,30733.0,30919.0,31020.0,31075.0,31105.0,31166.0,31241.0,31322.0,31388.0,31447.0,31514.0,31568.0,31609.0,31704.0,31727.0,31829.0,31885.0,31917.0,31970.0,32030.0,32099.0,32188.0,32238.0,32286.0,32378.0,32478.0,32566.0,32602.0,32657.0,32706.0,32743.0,32759.0,32796.0,32827.0,32843.0,32934.0,33000.0,33019.0,33103.0,33229.0
5002416,39600.0,39645.0,39786.0,39933.0,40065.0,40263.0,40269.0,40342.0,40385.0,40532.0,40665.0,40839.0,40972.0,41057.0,41103.0,41134.0,41197.0,41281.0,41357.0,41414.0,41465.0,41544.0,41608.0,41649.0,41749.0,41773.0,41880.0,41928.0,41955.0,42005.0,42061.0,42127.0,42205.0,42255.0,42303.0,42385.0,42475.0,42568.0,42605.0,42666.0,42721.0,42765.0,42784.0,42828.0,42864.0,42880.0,42970.0,43031.0,43049.0,43128.0,43268.0
5002418,49200.0,49245.0,49386.0,49533.0,49665.0,49863.0,49869.0,49942.0,49985.0,50132.0,50265.0,50439.0,50572.0,50657.0,50703.0,50734.0,50797.0,50881.0,50957.0,51014.0,51065.0,51144.0,51208.0,51249.0,51349.0,51373.0,51480.0,51528.0,51555.0,51605.0,51661.0,51727.0,51805.0,51855.0,51903.0,51985.0,52075.0,52168.0,52205.0,52266.0,52321.0,52365.0,52384.0,52428.0,52464.0,52480.0,52570.0,52631.0,52649.0,52728.0,52868.0
5002420,58800.0,58845.0,58987.0,59155.0,59305.0,59531.0,59538.0,59637.0,59687.0,59859.0,60014.0,60217.0,60381.0,60465.0,60511.0,60540.0,60599.0,60691.0,60771.0,60831.0,60885.0,60964.0,61029.0,61075.0,61174.0,61198.0,61303.0,61350.0,61377.0,61442.0,61515.0,61599.0,61693.0,61751.0,61806.0,61908.0,62019.0,62130.0,62175.0,62245.0,62309.0,62362.0,62389.0,62451.0,62501.0,62518.0,62618.0,62683.0,62701.0,62784.0,62959.0
5003370,25800.0,25829.0,25920.0,26011.0,26093.0,26216.0,26220.0,26280.0,26306.0,26395.0,26475.0,26580.0,26700.0,26778.0,26820.0,26840.0,26880.0,26940.0,27000.0,27032.0,27060.0,27093.0,27120.0,27180.0,27206.0,27212.0,27240.0,27317.0,27360.0,27378.0,27398.0,27420.0,27600.0,27661.0,27720.0,27749.0,27780.0,27866.0,27900.0,27963.0,28020.0,28140.0,28152.0,28179.0,28200.0,28218.0,28320.0,28390.0,28410.0,28500.0,28620.0
5003372,33000.0,33044.0,33183.0,33268.0,33345.0,33460.0,33464.0,33521.0,33550.0,33647.0,33735.0,33850.0,34006.0,34054.0,34080.0,34102.0,34147.0,34198.0,34241.0,34288.0,34330.0,34367.0,34397.0,34422.0,34482.0,34496.0,34560.0,34588.0,34604.0,34639.0,34679.0,34725.0,34781.0,34829.0,34874.0,34935.0,35001.0,35049.0,35068.0,35114.0,35155.0,35180.0,35191.0,35216.0,35236.0,35248.0,35318.0,35370.0,35385.0,35451.0,35567.0
5003374,40200.0,40243.0,40381.0,40511.0,40628.0,40804.0,40810.0,40895.0,40932.0,41058.0,41172.0,41320.0,41437.0,41525.0,41573.0,41601.0,41657.0,41746.0,41833.0,41883.0,41928.0,41990.0,42040.0,42076.0,42161.0,42182.0,42273.0,42318.0,42343.0,42397.0,42458.0,42528.0,42593.0,42631.0,42667.0,42741.0,42821.0,42906.0,42940.0,42999.0,43052.0,43100.0,43120.0,43167.0,43205.0,43217.0,43287.0,43341.0,43356.0,43425.0,43570.0
5003378,58200.0,58246.0,58391.0,58518.0,58632.0,58803.0,58808.0,58877.0,58930.0,59111.0,59274.0,59487.0,59606.0,59690.0,59736.0,59773.0,59848.0,59926.0,60013.0,60063.0,60107.0,60181.0,60241.0,60300.0,60383.0,60403.0,60492.0,60563.0,60603.0,60657.0,60718.0,60788.0,60893.0,60935.0,60976.0,61046.0,61122.0,61222.0,61262.0,61325.0,61381.0,61419.0,61439.0,61485.0,61522.0,61536.0,61619.0,61679.0,61696.0,61772.0,61902.0
5003380,67800.0,67841.0,67970.0,68106.0,68228.0,68412.0,68418.0,68499.0,68545.0,68700.0,68840.0,69024.0,69154.0,69224.0,69263.0,69287.0,69336.0,69403.0,69475.0,69519.0,69558.0,69611.0,69655.0,69687.0,69766.0,69785.0,69869.0,69909.0,69931.0,69960.0,69992.0,70030.0,70115.0,70143.0,70169.0,70231.0,70298.0,70393.0,70431.0,70487.0,70538.0,70573.0,70598.0,70655.0,70702.0,70714.0,70783.0,70838.0,70854.0,70925.0,71072.0
