tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P
0,4606.0,7142.0,7015.0,4617.0,4555.0,4576.0,3418.0,3419.0,4762.0,4763.0,6245.0,2156.0,6014.0,6242.0,6152.0,6153.0,6243.0,6154.0,6155.0,6141.0,6142.0,2181.0,2182.0,2778.0,2185.0,7043.0,1424.0,2186.0,2187.0,2188.0,2189.0,1436.0,3952.0,2190.0,4434.0,2379.0,2380.0,2382.0,5099.0,2383.0,1479.0,7622.0,297.0,407.0,2498.0,2499.0,2500.0,2501.0,7623.0,2508.0,2278.0
5002413,24300.0,24378.0,24466.0,24547.0,24567.0,24645.0,24704.0,24746.0,24809.0,24846.0,24922.0,24991.0,25042.0,25080.0,25175.0,25256.0,25331.0,25378.0,25437.0,25545.0,25605.0,25643.0,25685.0,25718.0,25764.0,25867.0,25893.0,25956.0,26029.0,26083.0,26119.0,26168.0,26216.0,26278.0,26382.0,26456.0,26502.0,26554.0,26626.0,26738.0,27151.0,27320.0,27456.0,27526.0,27636.0,27664.0,27709.0,27766.0,27837.0,27950.0,28006.0
5002415,34800.0,34875.0,34958.0,35035.0,35052.0,35118.0,35168.0,35205.0,35261.0,35293.0,35372.0,35444.0,35496.0,35534.0,35627.0,35698.0,35765.0,35811.0,35873.0,35984.0,36060.0,36108.0,36152.0,36187.0,36236.0,36348.0,36376.0,36428.0,36488.0,36545.0,36583.0,36633.0,36668.0,36714.0,36812.0,36899.0,36947.0,36989.0,37046.0,37135.0,37520.0,37748.0,37932.0,37990.0,38075.0,38103.0,38148.0,38205.0,38276.0,38389.0,38445.0
5002417,44400.0,44469.0,44552.0,44629.0,44647.0,44717.0,44771.0,44804.0,44853.0,44882.0,44960.0,45031.0,45084.0,45122.0,45217.0,45296.0,45371.0,45421.0,45485.0,45577.0,45641.0,45680.0,45722.0,45756.0,45803.0,45912.0,45940.0,45996.0,46061.0,46119.0,46158.0,46209.0,46242.0,46286.0,46374.0,46456.0,46505.0,46540.0,46588.0,46661.0,46918.0,47116.0,47275.0,47331.0,47412.0,47439.0,47484.0,47540.0,47610.0,47722.0,47780.0
5002419,54000.0,54069.0,54152.0,54229.0,54247.0,54317.0,54371.0,54404.0,54453.0,54482.0,54560.0,54631.0,54684.0,54722.0,54817.0,54896.0,54971.0,55021.0,55085.0,55177.0,55241.0,55280.0,55322.0,55356.0,55403.0,55512.0,55540.0,55596.0,55661.0,55719.0,55758.0,55809.0,55842.0,55886.0,55974.0,56056.0,56105.0,56140.0,56188.0,56261.0,56518.0,56716.0,56875.0,56931.0,57012.0,57039.0,57084.0,57140.0,57210.0,57322.0,57380.0
5002421,64800.0,64882.0,64972.0,65054.0,65085.0,65206.0,65299.0,65330.0,65377.0,65404.0,65479.0,65548.0,65598.0,65637.0,65732.0,65820.0,65902.0,65953.0,66015.0,66082.0,66150.0,66192.0,66234.0,66268.0,66314.0,66423.0,66450.0,66503.0,66564.0,66613.0,66646.0,66689.0,66722.0,66765.0,66851.0,66919.0,66958.0,66995.0,67046.0,67124.0,67341.0,67519.0,67662.0,67724.0,67840.0,67867.0,67911.0,67967.0,68037.0,68149.0,68205.0
5003371,29400.0,29456.0,29532.0,29601.0,29617.0,29679.0,29726.0,29749.0,29784.0,29804.0,29863.0,29917.0,29957.0,29982.0,30044.0,30101.0,30155.0,30189.0,30214.0,30295.0,30341.0,30369.0,30408.0,30439.0,30481.0,30585.0,30611.0,30659.0,30716.0,30743.0,30761.0,30784.0,30818.0,30863.0,30939.0,30973.0,31002.0,31025.0,31056.0,31105.0,31310.0,31385.0,31446.0,31479.0,31507.0,31531.0,31570.0,31619.0,31680.0,31777.0,31826.0
5003373,36600.0,36656.0,36739.0,36816.0,36832.0,36895.0,36943.0,36970.0,37011.0,37034.0,37096.0,37153.0,37194.0,37227.0,37308.0,37373.0,37433.0,37469.0,37527.0,37594.0,37660.0,37701.0,37742.0,37775.0,37820.0,37915.0,37939.0,37977.0,38022.0,38074.0,38109.0,38155.0,38183.0,38219.0,38274.0,38348.0,38394.0,38423.0,38463.0,38526.0,38716.0,38838.0,38937.0,38979.0,39064.0,39088.0,39127.0,39176.0,39238.0,39337.0,39387.0
5003377,53400.0,53486.0,53574.0,53655.0,53674.0,53747.0,53803.0,53840.0,53896.0,53928.0,54007.0,54079.0,54132.0,54180.0,54298.0,54369.0,54435.0,54487.0,54519.0,54593.0,54679.0,54732.0,54778.0,54815.0,54865.0,54962.0,54987.0,55028.0,55075.0,55113.0,55138.0,55172.0,55192.0,55218.0,55292.0,55398.0,55445.0,55471.0,55507.0,55562.0,55751.0,55993.0,56187.0,56262.0,56333.0,56360.0,56404.0,56459.0,56528.0,56638.0,56693.0
5003379,63000.0,63101.0,63180.0,63253.0,63267.0,63322.0,63364.0,63389.0,63426.0,63447.0,63512.0,63571.0,63614.0,63646.0,63723.0,63795.0,63862.0,63887.0,63936.0,64052.0,64104.0,64136.0,64172.0,64201.0,64241.0,64311.0,64329.0,64377.0,64433.0,64484.0,64518.0,64564.0,64586.0,64616.0,64668.0,64747.0,64790.0,64815.0,64850.0,64904.0,65181.0,65451.0,65669.0,65701.0,65772.0,65799.0,65842.0,65896.0,65964.0,66072.0,66127.0
