tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P
0,7649.0,395.0,396.0,397.0,398.0,399.0,400.0,7581.0,1283.0,7579.0,1285.0,1016.0,1017.0,1018.0,1019.0,1020.0,1076.0,1077.0,1078.0,1079.0,1080.0,1081.0,1082.0,1083.0,1085.0,1086.0,1087.0,1088.0,1089.0,1090.0,1091.0,1092.0,1093.0,1094.0,1095.0,1096.0,1101.0,1102.0,1103.0,1104.0
5005884,77400.0,77408.0,77469.0,77503.0,77553.0,77594.0,77666.0,77901.0,78009.0,78092.0,78217.0,78324.0,78365.0,78407.0,78435.0,78469.0,78517.0,78561.0,78595.0,78635.0,78663.0,78703.0,78730.0,78755.0,78798.0,78841.0,78890.0,78939.0,78995.0,79035.0,79078.0,79119.0,79142.0,79171.0,79225.0,79243.0,79275.0,79304.0,79325.0,79362.0
5005886,84600.0,84608.0,84669.0,84703.0,84753.0,84794.0,84866.0,85101.0,85209.0,85292.0,85417.0,85524.0,85565.0,85607.0,85635.0,85669.0,85717.0,85761.0,85795.0,85835.0,85863.0,85903.0,85930.0,85955.0,85998.0,86041.0,86090.0,86139.0,86195.0,86235.0,86278.0,86319.0,86342.0,86371.0,86425.0,86443.0,86475.0,86504.0,86525.0,86562.0
5006209,33000.0,33006.0,33054.0,33080.0,33119.0,33151.0,33208.0,33389.0,33472.0,33536.0,33641.0,33732.0,33751.0,33770.0,33796.0,33829.0,33874.0,33916.0,33947.0,33982.0,34010.0,34050.0,34077.0,34102.0,34143.0,34178.0,34218.0,34258.0,34304.0,34337.0,34384.0,34416.0,34434.0,34457.0,34499.0,34513.0,34563.0,34583.0,34597.0,34642.0
5006211,39000.0,39009.0,39081.0,39121.0,39179.0,39227.0,39312.0,39513.0,39606.0,39676.0,39793.0,39894.0,39927.0,39961.0,39995.0,40038.0,40097.0,40152.0,40192.0,40239.0,40273.0,40322.0,40355.0,40385.0,40436.0,40476.0,40522.0,40568.0,40621.0,40659.0,40713.0,40749.0,40769.0,40794.0,40841.0,40857.0,40895.0,40918.0,40934.0,40983.0
5006215,51000.0,51009.0,51078.0,51116.0,51172.0,51218.0,51299.0,51531.0,51637.0,51735.0,51874.0,51993.0,52025.0,52057.0,52090.0,52131.0,52188.0,52240.0,52286.0,52340.0,52379.0,52435.0,52473.0,52508.0,52566.0,52607.0,52655.0,52702.0,52756.0,52796.0,52844.0,52884.0,52906.0,52934.0,52986.0,53004.0,53047.0,53075.0,53095.0,53134.0
5006217,57000.0,57008.0,57071.0,57106.0,57157.0,57199.0,57272.0,57557.0,57688.0,57778.0,57906.0,58016.0,58056.0,58096.0,58131.0,58175.0,58235.0,58291.0,58331.0,58377.0,58415.0,58470.0,58507.0,58541.0,58600.0,58644.0,58695.0,58746.0,58804.0,58845.0,58890.0,58930.0,58952.0,58980.0,59032.0,59050.0,59088.0,59111.0,59128.0,59160.0
5006219,63000.0,63013.0,63114.0,63170.0,63252.0,63319.0,63440.0,63796.0,63960.0,64053.0,64182.0,64293.0,64339.0,64386.0,64425.0,64473.0,64539.0,64600.0,64638.0,64681.0,64722.0,64780.0,64819.0,64856.0,64918.0,64964.0,65017.0,65069.0,65129.0,65172.0,65226.0,65277.0,65306.0,65342.0,65409.0,65431.0,65498.0,65530.0,65553.0,65594.0
5006221,68400.0,68407.0,68462.0,68493.0,68538.0,68575.0,68640.0,69077.0,69277.0,69391.0,69539.0,69667.0,69704.0,69742.0,69774.0,69814.0,69869.0,69920.0,69964.0,70014.0,70044.0,70087.0,70116.0,70143.0,70189.0,70233.0,70284.0,70335.0,70393.0,70435.0,70469.0,70513.0,70538.0,70569.0,70627.0,70647.0,70684.0,70712.0,70732.0,70773.0
5006223,73800.0,73807.0,73862.0,73893.0,73938.0,73975.0,74040.0,74477.0,74677.0,74791.0,74939.0,75067.0,75104.0,75142.0,75174.0,75214.0,75269.0,75320.0,75364.0,75414.0,75444.0,75487.0,75516.0,75543.0,75589.0,75633.0,75684.0,75735.0,75793.0,75835.0,75869.0,75913.0,75938.0,75969.0,76027.0,76047.0,76084.0,76112.0,76132.0,76173.0
