tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P
0,1105.0,1107.0,1108.0,1109.0,1110.0,1111.0,1112.0,1113.0,1114.0,1115.0,2437.0,1117.0,1118.0,1119.0,1120.0,1164.0,1165.0,1166.0,1167.0,1168.0,1169.0,1170.0,1069.0,1070.0,1071.0,4528.0,1072.0,7577.0,1353.0,1354.0,7589.0,7578.0,7582.0,340.0,407.0,2498.0,2499.0,7216.0,7558.0,353.0,354.0,7650.0
5005885,81000.0,81047.0,81070.0,81087.0,81100.0,81117.0,81166.0,81199.0,81241.0,81274.0,81324.0,81396.0,81427.0,81450.0,81493.0,81555.0,81596.0,81637.0,81664.0,81690.0,81719.0,81747.0,81782.0,81814.0,81859.0,81893.0,81940.0,82001.0,82053.0,82122.0,82133.0,82224.0,82345.0,82561.0,82646.0,82690.0,82724.0,82774.0,82848.0,82912.0,82949.0,82959.0
5006208,30000.0,30049.0,30074.0,30093.0,30108.0,30127.0,30181.0,30211.0,30250.0,30280.0,30325.0,30389.0,30421.0,30445.0,30489.0,30553.0,30594.0,30636.0,30663.0,30690.0,30724.0,30756.0,30788.0,30817.0,30856.0,30884.0,30924.0,30974.0,31017.0,31074.0,31082.0,31147.0,31246.0,31423.0,31509.0,31557.0,31595.0,31650.0,31732.0,31803.0,31844.0,31856.0
5006210,36000.0,36061.0,36091.0,36115.0,36135.0,36163.0,36244.0,36288.0,36346.0,36391.0,36459.0,36562.0,36617.0,36659.0,36734.0,36844.0,36900.0,36956.0,36993.0,37028.0,37074.0,37117.0,37182.0,37241.0,37322.0,37365.0,37425.0,37495.0,37555.0,37634.0,37646.0,37762.0,37889.0,38115.0,38256.0,38307.0,38347.0,38406.0,38493.0,38569.0,38613.0,38626.0
5006212,42000.0,42061.0,42091.0,42115.0,42135.0,42163.0,42244.0,42288.0,42346.0,42391.0,42459.0,42562.0,42617.0,42659.0,42734.0,42844.0,42900.0,42956.0,42993.0,43028.0,43074.0,43117.0,43182.0,43241.0,43322.0,43365.0,43425.0,43495.0,43555.0,43634.0,43646.0,43762.0,43889.0,44115.0,44256.0,44307.0,44347.0,44406.0,44493.0,44569.0,44613.0,44626.0
5006216,54000.0,54053.0,54080.0,54098.0,54112.0,54136.0,54207.0,54250.0,54306.0,54350.0,54417.0,54502.0,54551.0,54588.0,54656.0,54756.0,54809.0,54863.0,54898.0,54932.0,54971.0,55007.0,55056.0,55101.0,55163.0,55200.0,55251.0,55342.0,55420.0,55523.0,55539.0,55644.0,55793.0,56059.0,56168.0,56219.0,56259.0,56318.0,56405.0,56481.0,56525.0,56538.0
5006218,60000.0,60053.0,60080.0,60098.0,60112.0,60136.0,60207.0,60250.0,60306.0,60350.0,60417.0,60502.0,60551.0,60588.0,60656.0,60756.0,60809.0,60863.0,60898.0,60932.0,60971.0,61007.0,61056.0,61101.0,61163.0,61200.0,61251.0,61342.0,61420.0,61523.0,61539.0,61644.0,61793.0,62059.0,62168.0,62219.0,62259.0,62318.0,62405.0,62481.0,62525.0,62538.0
5006220,65700.0,65748.0,65772.0,65790.0,65804.0,65828.0,65900.0,65944.0,66001.0,66046.0,66114.0,66199.0,66254.0,66296.0,66372.0,66484.0,66575.0,66667.0,66727.0,66786.0,66847.0,66904.0,66959.0,67009.0,67077.0,67130.0,67203.0,67310.0,67402.0,67523.0,67542.0,67668.0,67852.0,68180.0,68283.0,68334.0,68374.0,68433.0,68520.0,68596.0,68640.0,68653.0
5006222,71100.0,71153.0,71180.0,71203.0,71221.0,71242.0,71302.0,71343.0,71396.0,71437.0,71501.0,71585.0,71625.0,71655.0,71710.0,71790.0,71841.0,71893.0,71927.0,71960.0,71992.0,72021.0,72062.0,72099.0,72149.0,72185.0,72235.0,72318.0,72389.0,72483.0,72497.0,72640.0,72771.0,73004.0,73076.0,73121.0,73156.0,73207.0,73283.0,73349.0,73387.0,73397.0
5006224,76500.0,76549.0,76574.0,76591.0,76605.0,76626.0,76686.0,76720.0,76764.0,76798.0,76849.0,76918.0,76955.0,76983.0,77034.0,77107.0,77151.0,77195.0,77224.0,77252.0,77290.0,77326.0,77366.0,77402.0,77451.0,77486.0,77534.0,77620.0,77694.0,77792.0,77807.0,77993.0,78145.0,78416.0,78492.0,78539.0,78576.0,78630.0,78710.0,78780.0,78821.0,78833.0
5006226,81900.0,81949.0,81974.0,81991.0,82005.0,82026.0,82086.0,82120.0,82164.0,82198.0,82249.0,82318.0,82355.0,82383.0,82434.0,82507.0,82551.0,82595.0,82624.0,82652.0,82690.0,82726.0,82766.0,82802.0,82851.0,82886.0,82934.0,83020.0,83094.0,83192.0,83207.0,83393.0,83545.0,83816.0,83892.0,83939.0,83976.0,84030.0,84110.0,84180.0,84221.0,84233.0
