tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P
0,7649.0,395.0,396.0,397.0,398.0,399.0,400.0,7581.0,1283.0,7579.0,1285.0,1016.0,1017.0,1018.0,1019.0,1020.0,1076.0,1077.0,1078.0,1079.0,1080.0,1081.0,2914.0,2915.0,2916.0,2917.0,2918.0,1300.0,1301.0,1302.0,1303.0,5129.0,5130.0,1135.0,7064.0,7066.0,2924.0,2925.0,7442.0,7446.0,7070.0,7445.0,6339.0,6324.0,6325.0,6341.0,6277.0,6278.0,6279.0,6280.0
5005318,29220.0,29229.0,29303.0,29344.0,29404.0,29453.0,29541.0,29804.0,29925.0,30003.0,30161.0,30297.0,30356.0,30416.0,30450.0,30492.0,30550.0,30603.0,30645.0,30693.0,30732.0,30788.0,30833.0,30870.0,30934.0,30974.0,31022.0,31093.0,31151.0,31176.0,31220.0,31271.0,31361.0,31457.0,31567.0,31645.0,31726.0,31777.0,31830.0,31894.0,31935.0,31976.0,32002.0,32051.0,32082.0,32142.0,32184.0,32241.0,32398.0,32473.0
5005320,38400.0,38409.0,38478.0,38516.0,38572.0,38618.0,38700.0,38995.0,39131.0,39219.0,39369.0,39498.0,39543.0,39589.0,39623.0,39665.0,39723.0,39777.0,39820.0,39870.0,39906.0,39958.0,40000.0,40034.0,40087.0,40120.0,40160.0,40219.0,40268.0,40297.0,40342.0,40390.0,40474.0,40562.0,40638.0,40691.0,40746.0,40790.0,40833.0,40885.0,40929.0,40973.0,41000.0,41052.0,41085.0,41149.0,41192.0,41227.0,41324.0,41371.0
5005322,48000.0,48009.0,48078.0,48116.0,48172.0,48218.0,48300.0,48595.0,48731.0,48819.0,48969.0,49098.0,49143.0,49189.0,49223.0,49265.0,49323.0,49377.0,49420.0,49470.0,49506.0,49558.0,49600.0,49634.0,49687.0,49720.0,49760.0,49819.0,49868.0,49897.0,49942.0,49990.0,50074.0,50162.0,50238.0,50291.0,50346.0,50390.0,50433.0,50485.0,50529.0,50573.0,50600.0,50652.0,50685.0,50749.0,50792.0,50827.0,50924.0,50971.0
5005324,57600.0,57611.0,57697.0,57745.0,57815.0,57872.0,57975.0,58281.0,58422.0,58529.0,58691.0,58831.0,58917.0,59004.0,59049.0,59105.0,59183.0,59256.0,59305.0,59361.0,59414.0,59490.0,59551.0,59599.0,59680.0,59730.0,59791.0,59880.0,59954.0,59993.0,60049.0,60106.0,60206.0,60311.0,60396.0,60456.0,60517.0,60572.0,60626.0,60690.0,60735.0,60780.0,60808.0,60861.0,60895.0,60961.0,61005.0,61030.0,61099.0,61132.0
5005326,66300.0,66312.0,66408.0,66461.0,66538.0,66602.0,66716.0,67057.0,67214.0,67321.0,67518.0,67688.0,67752.0,67818.0,67860.0,67912.0,67984.0,68050.0,68096.0,68150.0,68196.0,68262.0,68315.0,68358.0,68419.0,68457.0,68503.0,68570.0,68625.0,68662.0,68714.0,68766.0,68858.0,68956.0,69024.0,69072.0,69121.0,69169.0,69222.0,69284.0,69325.0,69366.0,69392.0,69441.0,69472.0,69533.0,69575.0,69597.0,69657.0,69686.0
5005877,39600.0,39609.0,39678.0,39716.0,39772.0,39818.0,39900.0,40195.0,40331.0,40419.0,40569.0,40698.0,40743.0,40789.0,40823.0,40865.0,40923.0,40977.0,41020.0,41070.0,41106.0,41158.0,41200.0,41234.0,41287.0,41320.0,41360.0,41419.0,41468.0,41497.0,41542.0,41590.0,41674.0,41762.0,41838.0,41891.0,41946.0,41990.0,42033.0,42085.0,42129.0,42173.0,42200.0,42252.0,42285.0,42349.0,42392.0,42427.0,42524.0,42571.0
5005879,49200.0,49209.0,49278.0,49316.0,49372.0,49418.0,49500.0,49795.0,49931.0,50019.0,50169.0,50298.0,50343.0,50389.0,50423.0,50465.0,50523.0,50577.0,50620.0,50670.0,50706.0,50758.0,50800.0,50834.0,50887.0,50920.0,50960.0,51019.0,51068.0,51097.0,51142.0,51190.0,51274.0,51362.0,51438.0,51491.0,51546.0,51590.0,51633.0,51685.0,51729.0,51773.0,51800.0,51852.0,51885.0,51949.0,51992.0,52027.0,52124.0,52171.0
5005881,58800.0,58811.0,58897.0,58945.0,59015.0,59072.0,59175.0,59481.0,59622.0,59729.0,59891.0,60031.0,60117.0,60204.0,60249.0,60305.0,60383.0,60456.0,60505.0,60561.0,60614.0,60690.0,60751.0,60799.0,60880.0,60930.0,60991.0,61080.0,61154.0,61193.0,61249.0,61306.0,61406.0,61511.0,61596.0,61656.0,61717.0,61772.0,61826.0,61890.0,61935.0,61980.0,62008.0,62061.0,62095.0,62161.0,62205.0,62230.0,62299.0,62332.0
5005883,67200.0,67212.0,67308.0,67361.0,67438.0,67502.0,67616.0,67957.0,68114.0,68221.0,68418.0,68588.0,68652.0,68718.0,68760.0,68812.0,68884.0,68950.0,68996.0,69050.0,69096.0,69162.0,69215.0,69258.0,69319.0,69357.0,69403.0,69470.0,69525.0,69562.0,69614.0,69666.0,69758.0,69856.0,69924.0,69972.0,70021.0,70069.0,70122.0,70184.0,70225.0,70266.0,70292.0,70341.0,70372.0,70433.0,70475.0,70497.0,70557.0,70586.0
