tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P
0,6285.0,6286.0,6287.0,6288.0,6342.0,6298.0,6336.0,7069.0,7443.0,7444.0,2941.0,2942.0,7065.0,7063.0,1137.0,5131.0,5132.0,1331.0,1332.0,1333.0,1334.0,2985.0,2986.0,2988.0,3001.0,3002.0,1166.0,1167.0,1168.0,1169.0,1170.0,1069.0,1070.0,1071.0,4528.0,1072.0,7577.0,1353.0,1354.0,7589.0,7578.0,7582.0,340.0,407.0,2498.0,2499.0,7216.0,7558.0,353.0,354.0,7650.0
5005317,25200.0,25232.0,25300.0,25339.0,25385.0,25423.0,25477.0,25601.0,25659.0,25747.0,25782.0,25822.0,25929.0,25971.0,26076.0,26170.0,26250.0,26329.0,26391.0,26467.0,26524.0,26590.0,26685.0,26745.0,26830.0,26881.0,27025.0,27129.0,27230.0,27292.0,27349.0,27413.0,27471.0,27550.0,27623.0,27725.0,27837.0,27933.0,28060.0,28080.0,28178.0,28338.0,28624.0,28791.0,28842.0,28882.0,28941.0,29028.0,29104.0,29148.0,29161.0
5005319,33600.0,33626.0,33681.0,33713.0,33750.0,33780.0,33825.0,33928.0,33976.0,34049.0,34076.0,34111.0,34219.0,34262.0,34344.0,34418.0,34481.0,34542.0,34595.0,34650.0,34692.0,34744.0,34818.0,34865.0,34908.0,34934.0,35007.0,35060.0,35112.0,35154.0,35194.0,35244.0,35289.0,35351.0,35400.0,35467.0,35560.0,35640.0,35745.0,35762.0,35857.0,36021.0,36313.0,36415.0,36466.0,36506.0,36565.0,36652.0,36728.0,36772.0,36785.0
5005321,43200.0,43226.0,43282.0,43315.0,43353.0,43384.0,43426.0,43522.0,43566.0,43634.0,43660.0,43693.0,43786.0,43822.0,43909.0,43987.0,44053.0,44118.0,44179.0,44222.0,44254.0,44307.0,44383.0,44430.0,44467.0,44490.0,44553.0,44599.0,44644.0,44683.0,44719.0,44768.0,44813.0,44875.0,44915.0,44971.0,45066.0,45148.0,45256.0,45273.0,45370.0,45508.0,45754.0,45876.0,45927.0,45967.0,46026.0,46113.0,46189.0,46233.0,46246.0
5005323,52800.0,52826.0,52882.0,52915.0,52953.0,52984.0,53026.0,53122.0,53166.0,53234.0,53260.0,53293.0,53386.0,53422.0,53509.0,53587.0,53653.0,53718.0,53779.0,53822.0,53854.0,53907.0,53983.0,54030.0,54067.0,54090.0,54153.0,54199.0,54244.0,54283.0,54319.0,54368.0,54413.0,54475.0,54515.0,54571.0,54666.0,54748.0,54856.0,54873.0,54970.0,55108.0,55354.0,55476.0,55527.0,55567.0,55626.0,55713.0,55789.0,55833.0,55846.0
5005325,62100.0,62124.0,62176.0,62206.0,62241.0,62271.0,62312.0,62406.0,62450.0,62517.0,62543.0,62582.0,62671.0,62706.0,62796.0,62876.0,62945.0,63012.0,63058.0,63099.0,63130.0,63190.0,63276.0,63330.0,63387.0,63422.0,63519.0,63589.0,63659.0,63699.0,63737.0,63789.0,63836.0,63900.0,63938.0,63991.0,64088.0,64171.0,64281.0,64299.0,64407.0,64613.0,64982.0,65119.0,65170.0,65210.0,65269.0,65356.0,65432.0,65476.0,65489.0
5005327,71100.0,71125.0,71179.0,71210.0,71246.0,71278.0,71318.0,71410.0,71453.0,71518.0,71543.0,71574.0,71652.0,71683.0,71761.0,71831.0,71891.0,71949.0,71992.0,72026.0,72052.0,72103.0,72176.0,72222.0,72257.0,72278.0,72337.0,72379.0,72420.0,72456.0,72490.0,72535.0,72576.0,72632.0,72671.0,72726.0,72811.0,72884.0,72980.0,72994.0,73108.0,73242.0,73480.0,73597.0,73647.0,73686.0,73743.0,73828.0,73902.0,73945.0,73958.0
5005876,27000.0,27032.0,27100.0,27139.0,27185.0,27223.0,27277.0,27401.0,27459.0,27547.0,27582.0,27622.0,27729.0,27771.0,27876.0,27970.0,28050.0,28129.0,28191.0,28267.0,28324.0,28390.0,28485.0,28545.0,28630.0,28681.0,28825.0,28929.0,29030.0,29092.0,29149.0,29213.0,29271.0,29350.0,29423.0,29525.0,29637.0,29733.0,29860.0,29880.0,29978.0,30138.0,30424.0,30591.0,30642.0,30682.0,30741.0,30828.0,30904.0,30948.0,30961.0
5005878,44400.0,44426.0,44482.0,44515.0,44553.0,44584.0,44626.0,44722.0,44766.0,44834.0,44860.0,44893.0,44986.0,45022.0,45109.0,45187.0,45253.0,45318.0,45379.0,45422.0,45454.0,45507.0,45583.0,45630.0,45667.0,45690.0,45753.0,45799.0,45844.0,45883.0,45919.0,45968.0,46013.0,46075.0,46115.0,46171.0,46266.0,46348.0,46456.0,46473.0,46570.0,46708.0,46954.0,47076.0,47127.0,47167.0,47226.0,47313.0,47389.0,47433.0,47446.0
5005880,54000.0,54025.0,54078.0,54109.0,54144.0,54173.0,54213.0,54305.0,54348.0,54413.0,54438.0,54465.0,54553.0,54588.0,54669.0,54742.0,54804.0,54865.0,54910.0,54960.0,54998.0,55054.0,55134.0,55185.0,55228.0,55254.0,55327.0,55380.0,55431.0,55469.0,55504.0,55554.0,55599.0,55662.0,55706.0,55766.0,55854.0,55930.0,56030.0,56046.0,56153.0,56301.0,56566.0,56721.0,56772.0,56812.0,56871.0,56958.0,57034.0,57078.0,57091.0
