tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P
0,6318.0,6319.0,7246.0,6320.0,4594.0,4595.0,4596.0,4563.0,1218.0,1270.0,1272.0,1273.0,1274.0,1275.0,1276.0,1277.0,1219.0,1220.0,1221.0,664.0,665.0,666.0,667.0,668.0,614.0,615.0,616.0,617.0,618.0,619.0,675.0,4415.0,301.0,4494.0,4495.0,5190.0,7581.0,1283.0,7579.0,1285.0,1016.0,1017.0,1018.0,1019.0,1020.0,1076.0,1077.0,1078.0,1079.0,1080.0,1081.0,1082.0,1083.0,1085.0,1121.0,1122.0,1123.0,1124.0,1125.0,1127.0,1130.0,1140.0,1141.0,1142.0,1143.0,1144.0,1145.0,4869.0,4870.0,3007.0,6283.0,6282.0
5002405,42300.0,42348.0,42392.0,42484.0,42553.0,42658.0,42707.0,42791.0,42869.0,42948.0,42994.0,43077.0,43158.0,43235.0,43261.0,43309.0,43350.0,43423.0,43502.0,43582.0,43622.0,43662.0,43702.0,43788.0,43851.0,43916.0,43969.0,44022.0,44074.0,44132.0,44163.0,44290.0,44557.0,44620.0,44667.0,44674.0,44849.0,44963.0,45045.0,45164.0,45266.0,45306.0,45346.0,45383.0,45428.0,45491.0,45549.0,45590.0,45637.0,45676.0,45732.0,45769.0,45804.0,45862.0,45902.0,45947.0,45983.0,46014.0,46105.0,46193.0,46285.0,46348.0,46416.0,46457.0,46541.0,46567.0,46611.0,46670.0,46771.0,46801.0,46895.0,47042.0
5002407,54900.0,54930.0,54976.0,55071.0,55135.0,55231.0,55285.0,55354.0,55418.0,55492.0,55536.0,55617.0,55697.0,55772.0,55797.0,55844.0,55880.0,55945.0,56021.0,56098.0,56131.0,56164.0,56198.0,56282.0,56342.0,56397.0,56442.0,56492.0,56542.0,56582.0,56604.0,56733.0,57004.0,57068.0,57115.0,57122.0,57345.0,57490.0,57598.0,57750.0,57880.0,57921.0,57963.0,58000.0,58046.0,58110.0,58171.0,58219.0,58275.0,58312.0,58365.0,58401.0,58434.0,58491.0,58535.0,58585.0,58611.0,58633.0,58700.0,58785.0,58873.0,58945.0,59023.0,59070.0,59166.0,59195.0,59247.0,59314.0,59427.0,59455.0,59542.0,59678.0
5002409,67200.0,67248.0,67293.0,67387.0,67459.0,67568.0,67621.0,67691.0,67755.0,67837.0,67898.0,67983.0,68067.0,68147.0,68174.0,68224.0,68267.0,68344.0,68418.0,68492.0,68534.0,68576.0,68618.0,68724.0,68801.0,68870.0,68927.0,68985.0,69043.0,69113.0,69151.0,69280.0,69552.0,69616.0,69664.0,69671.0,69952.0,70135.0,70223.0,70385.0,70524.0,70560.0,70596.0,70638.0,70690.0,70762.0,70829.0,70891.0,70962.0,70997.0,71048.0,71082.0,71114.0,71167.0,71213.0,71266.0,71299.0,71327.0,71396.0,71473.0,71553.0,71625.0,71702.0,71749.0,71844.0,71873.0,71925.0,71994.0,72087.0,72118.0,72215.0,72367.0
5002411,79200.0,79232.0,79269.0,79346.0,79399.0,79479.0,79522.0,79579.0,79631.0,79696.0,79736.0,79787.0,79838.0,79904.0,79927.0,79968.0,79999.0,80054.0,80100.0,80147.0,80177.0,80207.0,80238.0,80308.0,80359.0,80414.0,80460.0,80504.0,80548.0,80588.0,80610.0,80715.0,80937.0,80989.0,81028.0,81034.0,81270.0,81423.0,81517.0,81677.0,81814.0,81853.0,81893.0,81922.0,81958.0,82008.0,82054.0,82093.0,82139.0,82172.0,82219.0,82250.0,82279.0,82328.0,82360.0,82397.0,82424.0,82447.0,82508.0,82577.0,82649.0,82716.0,82788.0,82832.0,82921.0,82948.0,82997.0,83058.0,83137.0,83164.0,83248.0,83379.0
5003073,29700.0,29737.0,29781.0,29874.0,29974.0,30126.0,30203.0,30281.0,30353.0,30445.0,30493.0,30562.0,30630.0,30728.0,30761.0,30822.0,30860.0,30928.0,31005.0,31083.0,31134.0,31185.0,31237.0,31362.0,31452.0,31536.0,31606.0,31680.0,31753.0,31839.0,31885.0,32081.0,32494.0,32592.0,32664.0,32675.0,32840.0,32948.0,33048.0,33222.0,33372.0,33427.0,33483.0,33514.0,33553.0,33607.0,33658.0,33704.0,33756.0,33789.0,33836.0,33868.0,33898.0,33948.0,33984.0,34024.0,34049.0,34071.0,34143.0,34221.0,34302.0,34369.0,34441.0,34485.0,34575.0,34602.0,34651.0,34713.0,34800.0,34819.0,34880.0,34976.0
5003075,42600.0,42630.0,42667.0,42745.0,42807.0,42902.0,42949.0,43013.0,43072.0,43146.0,43191.0,43264.0,43335.0,43406.0,43430.0,43474.0,43508.0,43568.0,43636.0,43704.0,43743.0,43782.0,43821.0,43899.0,43956.0,44014.0,44063.0,44112.0,44160.0,44217.0,44247.0,44378.0,44654.0,44719.0,44768.0,44776.0,44954.0,45070.0,45173.0,45331.0,45467.0,45511.0,45555.0,45591.0,45635.0,45696.0,45753.0,45797.0,45848.0,45891.0,45953.0,45995.0,46034.0,46100.0,46141.0,46188.0,46213.0,46234.0,46301.0,46377.0,46457.0,46522.0,46592.0,46634.0,46721.0,46747.0,46794.0,46854.0,46948.0,46967.0,47026.0,47117.0
5003077,54600.0,54629.0,54667.0,54746.0,54814.0,54918.0,54961.0,55027.0,55089.0,55163.0,55206.0,55273.0,55339.0,55411.0,55435.0,55480.0,55512.0,55568.0,55630.0,55693.0,55732.0,55772.0,55812.0,55886.0,55940.0,56003.0,56056.0,56101.0,56145.0,56198.0,56226.0,56374.0,56686.0,56760.0,56815.0,56824.0,57015.0,57139.0,57252.0,57414.0,57553.0,57625.0,57698.0,57742.0,57796.0,57871.0,57941.0,57987.0,58039.0,58096.0,58177.0,58232.0,58283.0,58369.0,58422.0,58482.0,58534.0,58579.0,58692.0,58797.0,58906.0,58994.0,59089.0,59147.0,59264.0,59300.0,59363.0,59434.0,59638.0,59659.0,59727.0,59833.0
5003079,67800.0,67830.0,67868.0,67948.0,68004.0,68090.0,68127.0,68183.0,68234.0,68301.0,68348.0,68411.0,68473.0,68536.0,68557.0,68596.0,68626.0,68679.0,68742.0,68806.0,68839.0,68873.0,68907.0,68973.0,69021.0,69076.0,69121.0,69162.0,69203.0,69250.0,69275.0,69406.0,69682.0,69747.0,69796.0,69804.0,70012.0,70147.0,70253.0,70404.0,70534.0,70587.0,70641.0,70678.0,70724.0,70788.0,70847.0,70893.0,70946.0,70983.0,71036.0,71071.0,71104.0,71159.0,71198.0,71243.0,71270.0,71293.0,71368.0,71449.0,71533.0,71602.0,71676.0,71721.0,71813.0,71841.0,71891.0,71960.0,72062.0,72080.0,72136.0,72224.0
5003329,36000.0,36048.0,36092.0,36184.0,36253.0,36358.0,36407.0,36491.0,36569.0,36648.0,36694.0,36777.0,36858.0,36935.0,36961.0,37009.0,37050.0,37123.0,37202.0,37282.0,37322.0,37362.0,37402.0,37488.0,37551.0,37616.0,37669.0,37722.0,37774.0,37832.0,37863.0,37990.0,38257.0,38320.0,38367.0,38374.0,38549.0,38663.0,38745.0,38864.0,38966.0,39006.0,39046.0,39083.0,39128.0,39191.0,39249.0,39290.0,39337.0,39376.0,39432.0,39469.0,39504.0,39562.0,39602.0,39647.0,39683.0,39714.0,39805.0,39893.0,39985.0,40048.0,40116.0,40157.0,40241.0,40267.0,40311.0,40370.0,40471.0,40501.0,40595.0,40742.0
