tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P
0,6282.0,6335.0,6326.0,4886.0,4887.0,1150.0,1151.0,1152.0,1153.0,1154.0,946.0,1155.0,1157.0,1158.0,1159.0,1160.0,1161.0,1162.0,1163.0,1164.0,1165.0,1166.0,1167.0,1168.0,1169.0,1170.0,1069.0,1070.0,1071.0,4528.0,1072.0,7577.0,1353.0,1354.0,7589.0,7578.0,7582.0,299.0,7490.0,497.0,515.0,516.0,4384.0,519.0,521.0,522.0,7659.0,523.0,669.0,670.0,671.0,672.0,4382.0,1196.0,1197.0,1198.0,1199.0,1200.0,4385.0,1201.0,1202.0,1203.0,6115.0,4593.0,7516.0,6079.0,6315.0,6316.0,7236.0,7245.0,6317.0
5002402,23400.0,23427.0,23445.0,23460.0,23520.0,23580.0,23614.0,23630.0,23680.0,23706.0,23762.0,23820.0,23854.0,23880.0,23940.0,23962.0,23981.0,24000.0,24022.0,24060.0,24096.0,24132.0,24156.0,24180.0,24211.0,24240.0,24259.0,24276.0,24300.0,24325.0,24360.0,24417.0,24466.0,24530.0,24540.0,24720.0,24788.0,24960.0,25080.0,25089.0,25118.0,25140.0,25167.0,25200.0,25218.0,25244.0,25260.0,25269.0,25295.0,25320.0,25338.0,25366.0,25380.0,25461.0,25500.0,25560.0,25598.0,25620.0,25637.0,25661.0,25680.0,25740.0,25800.0,25920.0,25941.0,25980.0,26040.0,26220.0,26271.0,26316.0,26340.0
5002404,36000.0,36055.0,36090.0,36121.0,36221.0,36274.0,36333.0,36360.0,36446.0,36491.0,36588.0,36690.0,36749.0,36794.0,36854.0,36890.0,36920.0,36951.0,37010.0,37116.0,37178.0,37240.0,37281.0,37321.0,37368.0,37411.0,37464.0,37513.0,37580.0,37627.0,37692.0,37776.0,37848.0,37943.0,37957.0,38060.0,38179.0,38478.0,38576.0,38603.0,38693.0,38763.0,38815.0,38878.0,38915.0,38967.0,38999.0,39018.0,39076.0,39132.0,39163.0,39212.0,39236.0,39342.0,39393.0,39462.0,39510.0,39539.0,39576.0,39630.0,39671.0,39751.0,39806.0,40031.0,40069.0,40138.0,40195.0,40270.0,40345.0,40412.0,40446.0
5002406,48600.0,48654.0,48689.0,48719.0,48822.0,48873.0,48932.0,48959.0,49045.0,49090.0,49187.0,49290.0,49351.0,49398.0,49459.0,49503.0,49541.0,49579.0,49653.0,49786.0,49844.0,49902.0,49940.0,49977.0,50016.0,50052.0,50119.0,50180.0,50263.0,50308.0,50370.0,50457.0,50532.0,50631.0,50647.0,50768.0,50920.0,51302.0,51405.0,51434.0,51530.0,51604.0,51650.0,51707.0,51738.0,51783.0,51810.0,51830.0,51889.0,51947.0,51978.0,52027.0,52052.0,52139.0,52181.0,52261.0,52325.0,52363.0,52400.0,52454.0,52496.0,52567.0,52654.0,52881.0,52923.0,52998.0,53060.0,53135.0,53175.0,53210.0,53228.0
5002408,61200.0,61240.0,61266.0,61288.0,61373.0,61426.0,61479.0,61504.0,61582.0,61623.0,61711.0,61805.0,61871.0,61921.0,62023.0,62061.0,62094.0,62127.0,62172.0,62253.0,62316.0,62379.0,62420.0,62460.0,62487.0,62513.0,62572.0,62626.0,62701.0,62756.0,62833.0,62951.0,63053.0,63187.0,63208.0,63338.0,63601.0,64261.0,64333.0,64354.0,64422.0,64473.0,64556.0,64658.0,64702.0,64764.0,64802.0,64821.0,64878.0,64934.0,64959.0,64998.0,65017.0,65093.0,65129.0,65210.0,65278.0,65318.0,65361.0,65423.0,65471.0,65530.0,65593.0,65720.0,65771.0,65864.0,65918.0,65992.0,66023.0,66051.0,66065.0
5002410,73200.0,73259.0,73297.0,73331.0,73429.0,73490.0,73547.0,73573.0,73656.0,73700.0,73794.0,73893.0,73964.0,74018.0,74070.0,74095.0,74116.0,74138.0,74176.0,74245.0,74295.0,74345.0,74378.0,74410.0,74449.0,74486.0,74541.0,74591.0,74659.0,74696.0,74747.0,74818.0,74879.0,74960.0,74973.0,75139.0,75352.0,75886.0,75960.0,76001.0,76137.0,76241.0,76299.0,76370.0,76412.0,76472.0,76509.0,76524.0,76570.0,76615.0,76644.0,76689.0,76712.0,76786.0,76822.0,76893.0,76951.0,76985.0,77031.0,77098.0,77149.0,77226.0,77300.0,77400.0,77443.0,77520.0,77571.0,77645.0,77787.0,77914.0,77979.0
5003074,36600.0,36660.0,36699.0,36733.0,36841.0,36903.0,36959.0,36985.0,37067.0,37110.0,37203.0,37300.0,37368.0,37421.0,37471.0,37508.0,37540.0,37572.0,37637.0,37753.0,37817.0,37881.0,37923.0,37964.0,38011.0,38055.0,38110.0,38160.0,38229.0,38281.0,38353.0,38450.0,38533.0,38643.0,38660.0,38755.0,38950.0,39441.0,39558.0,39583.0,39665.0,39727.0,39775.0,39833.0,39860.0,39898.0,39920.0,39938.0,39992.0,40045.0,40074.0,40120.0,40144.0,40223.0,40261.0,40335.0,40388.0,40420.0,40459.0,40515.0,40558.0,40622.0,40683.0,40810.0,40844.0,40906.0,40954.0,41018.0,41075.0,41126.0,41152.0
5003076,48600.0,48660.0,48699.0,48732.0,48828.0,48881.0,48933.0,48957.0,49033.0,49073.0,49158.0,49247.0,49308.0,49354.0,49402.0,49432.0,49457.0,49483.0,49549.0,49666.0,49726.0,49787.0,49827.0,49866.0,49905.0,49942.0,49997.0,50047.0,50116.0,50160.0,50221.0,50319.0,50403.0,50514.0,50532.0,50640.0,50803.0,51213.0,51316.0,51345.0,51441.0,51514.0,51565.0,51628.0,51662.0,51711.0,51740.0,51762.0,51827.0,51890.0,51923.0,51976.0,52003.0,52087.0,52128.0,52220.0,52287.0,52327.0,52374.0,52442.0,52493.0,52565.0,52633.0,52791.0,52829.0,52899.0,52955.0,53024.0,53083.0,53135.0,53162.0
5003078,61200.0,61291.0,61350.0,61401.0,61537.0,61594.0,61650.0,61676.0,61758.0,61801.0,61893.0,61989.0,62056.0,62107.0,62155.0,62184.0,62209.0,62234.0,62289.0,62386.0,62448.0,62510.0,62550.0,62590.0,62628.0,62663.0,62711.0,62755.0,62816.0,62861.0,62924.0,63038.0,63136.0,63266.0,63287.0,63401.0,63645.0,64259.0,64420.0,64470.0,64635.0,64761.0,64824.0,64902.0,64945.0,65007.0,65044.0,65089.0,65226.0,65360.0,65400.0,65464.0,65497.0,65602.0,65652.0,65730.0,65805.0,65850.0,65894.0,65958.0,66007.0,66083.0,66157.0,66291.0,66333.0,66410.0,66474.0,66548.0,66607.0,66659.0,66686.0
5003328,29700.0,29773.0,29820.0,29862.0,29958.0,30039.0,30093.0,30118.0,30198.0,30240.0,30330.0,30425.0,30478.0,30518.0,30582.0,30616.0,30645.0,30674.0,30726.0,30820.0,30870.0,30920.0,30953.0,30986.0,31025.0,31061.0,31101.0,31137.0,31187.0,31231.0,31293.0,31360.0,31417.0,31493.0,31505.0,31580.0,31681.0,31936.0,32030.0,32054.0,32132.0,32192.0,32225.0,32266.0,32293.0,32332.0,32355.0,32373.0,32427.0,32479.0,32510.0,32559.0,32584.0,32658.0,32693.0,32745.0,32788.0,32813.0,32862.0,32933.0,32988.0,33046.0,33116.0,33249.0,33278.0,33332.0,33376.0,33539.0,33565.0,33588.0,33599.0
