tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P
0,1380.0,1381.0,1406.0,1407.0,1409.0,3353.0,3354.0,3355.0,3356.0,1400.0,1391.0,3357.0,3358.0,2449.0,2450.0,2451.0,2434.0,2435.0,2436.0,2437.0,1117.0,1118.0,1119.0,1120.0,1299.0,1300.0,1301.0,1302.0,1303.0,1304.0,1305.0,1306.0,1307.0,1308.0,1309.0,1310.0,1311.0,1312.0,1313.0,1055.0,2868.0,2892.0,2893.0,2894.0,2895.0,3012.0,861.0,862.0,863.0,864.0,865.0,866.0,2052.0,765.0,2007.0,2008.0,2009.0,2010.0,462.0,464.0,465.0,466.0,467.0,468.0,3032.0,3033.0,3085.0
5002589,30000.0,30044.0,30123.0,30196.0,30261.0,30330.0,30364.0,30394.0,30431.0,30483.0,30504.0,30557.0,30579.0,30608.0,30665.0,30802.0,30944.0,30998.0,31022.0,31087.0,31160.0,31229.0,31281.0,31376.0,31521.0,31574.0,31629.0,31662.0,31706.0,31750.0,31832.0,31909.0,31966.0,32009.0,32081.0,32144.0,32198.0,32255.0,32297.0,32356.0,32457.0,32549.0,32588.0,32640.0,32684.0,32745.0,32861.0,32889.0,32917.0,32945.0,32966.0,32996.0,33027.0,33159.0,33290.0,33372.0,33428.0,33517.0,33557.0,33586.0,33600.0,33635.0,33667.0,33718.0,33772.0,33838.0,33979.0
5002631,33300.0,33331.0,33385.0,33435.0,33480.0,33511.0,33526.0,33540.0,33580.0,33637.0,33660.0,33721.0,33747.0,33780.0,33811.0,33885.0,33960.0,34005.0,34025.0,34080.0,34140.0,34163.0,34180.0,34211.0,34260.0,34319.0,34380.0,34500.0,34560.0,34586.0,34635.0,34680.0,34720.0,34750.0,34800.0,34835.0,34865.0,34896.0,34920.0,34964.0,35040.0,35220.0,35296.0,35400.0,35424.0,35457.0,35520.0,35580.0,35640.0,35702.0,35748.0,35813.0,35880.0,35928.0,35976.0,36006.0,36027.0,36060.0,36240.0,36280.0,36300.0,36331.0,36360.0,36396.0,36434.0,36480.0,36600.0
5002802,28200.0,28231.0,28285.0,28335.0,28380.0,28411.0,28426.0,28440.0,28460.0,28489.0,28500.0,28531.0,28544.0,28560.0,28570.0,28595.0,28620.0,28665.0,28685.0,28740.0,28800.0,28823.0,28840.0,28871.0,28920.0,28979.0,29040.0,29100.0,29160.0,29186.0,29235.0,29280.0,29320.0,29350.0,29400.0,29418.0,29433.0,29449.0,29460.0,29504.0,29580.0,29640.0,29665.0,29700.0,29712.0,29728.0,29760.0,29790.0,29820.0,29836.0,29848.0,29864.0,29880.0,29912.0,29944.0,29964.0,29978.0,30000.0,30120.0,30200.0,30240.0,30271.0,30300.0,30336.0,30374.0,30420.0,30540.0
5002804,35400.0,35431.0,35485.0,35535.0,35580.0,35611.0,35626.0,35640.0,35680.0,35737.0,35760.0,35821.0,35847.0,35880.0,35911.0,35985.0,36060.0,36105.0,36125.0,36180.0,36240.0,36263.0,36280.0,36311.0,36360.0,36419.0,36480.0,36600.0,36660.0,36686.0,36735.0,36780.0,36820.0,36850.0,36900.0,36935.0,36965.0,36996.0,37020.0,37064.0,37140.0,37320.0,37396.0,37500.0,37524.0,37557.0,37620.0,37680.0,37740.0,37802.0,37848.0,37913.0,37980.0,38028.0,38076.0,38106.0,38127.0,38160.0,38340.0,38380.0,38400.0,38431.0,38460.0,38496.0,38534.0,38580.0,38700.0
5002809,62700.0,62731.0,62785.0,62835.0,62880.0,62942.0,62973.0,63000.0,63040.0,63097.0,63120.0,63181.0,63207.0,63240.0,63271.0,63345.0,63420.0,63465.0,63485.0,63540.0,63660.0,63683.0,63700.0,63731.0,63780.0,63839.0,63900.0,64020.0,64080.0,64093.0,64117.0,64140.0,64160.0,64175.0,64200.0,64235.0,64265.0,64296.0,64320.0,64364.0,64440.0,64560.0,64611.0,64680.0,64704.0,64737.0,64800.0,64860.0,64920.0,64951.0,64974.0,65007.0,65040.0,65072.0,65104.0,65124.0,65138.0,65160.0,65400.0,65560.0,65640.0,65733.0,65820.0,65856.0,65894.0,65940.0,66060.0
5003419,28800.0,28844.0,28923.0,28996.0,29061.0,29130.0,29164.0,29194.0,29231.0,29283.0,29304.0,29357.0,29379.0,29408.0,29465.0,29602.0,29744.0,29798.0,29822.0,29887.0,29960.0,30029.0,30081.0,30176.0,30321.0,30374.0,30429.0,30462.0,30506.0,30550.0,30632.0,30709.0,30766.0,30809.0,30881.0,30944.0,30998.0,31055.0,31097.0,31156.0,31257.0,31349.0,31388.0,31440.0,31484.0,31545.0,31661.0,31689.0,31717.0,31745.0,31766.0,31796.0,31827.0,31959.0,32090.0,32172.0,32228.0,32317.0,32357.0,32386.0,32400.0,32435.0,32467.0,32518.0,32572.0,32638.0,32779.0
5003422,47100.0,47136.0,47200.0,47259.0,47313.0,47368.0,47395.0,47420.0,47454.0,47502.0,47520.0,47566.0,47586.0,47611.0,47655.0,47762.0,47872.0,47919.0,47940.0,47998.0,48078.0,48137.0,48182.0,48264.0,48391.0,48437.0,48485.0,48510.0,48551.0,48579.0,48632.0,48682.0,48718.0,48745.0,48791.0,48847.0,48894.0,48944.0,48982.0,49029.0,49109.0,49191.0,49219.0,49256.0,49295.0,49349.0,49454.0,49486.0,49517.0,49549.0,49573.0,49607.0,49641.0,49771.0,49900.0,49981.0,50036.0,50124.0,50170.0,50203.0,50220.0,50258.0,50294.0,50352.0,50414.0,50491.0,50538.0
5003424,61500.0,61540.0,61611.0,61676.0,61735.0,61790.0,61817.0,61842.0,61874.0,61919.0,61937.0,61984.0,62004.0,62029.0,62067.0,62157.0,62250.0,62293.0,62312.0,62365.0,62435.0,62489.0,62530.0,62605.0,62721.0,62800.0,62882.0,62914.0,62951.0,62977.0,63026.0,63071.0,63100.0,63122.0,63159.0,63206.0,63246.0,63288.0,63319.0,63366.0,63446.0,63529.0,63554.0,63587.0,63632.0,63695.0,63815.0,63844.0,63873.0,63905.0,63929.0,63963.0,63996.0,64141.0,64285.0,64375.0,64436.0,64535.0,64582.0,64615.0,64632.0,64674.0,64712.0,64771.0,64834.0,64912.0,65050.0
5004843,26400.0,26437.0,26502.0,26562.0,26615.0,26676.0,26706.0,26732.0,26771.0,26826.0,26848.0,26912.0,26939.0,26973.0,27017.0,27123.0,27233.0,27297.0,27326.0,27404.0,27505.0,27587.0,27649.0,27762.0,27935.0,27987.0,28042.0,28079.0,28137.0,28174.0,28243.0,28308.0,28348.0,28378.0,28427.0,28486.0,28536.0,28589.0,28628.0,28705.0,28839.0,29108.0,29176.0,29268.0,29319.0,29390.0,29527.0,29565.0,29602.0,29640.0,29669.0,29709.0,29750.0,29898.0,30045.0,30137.0,30200.0,30301.0,30361.0,30398.0,30417.0,30475.0,30529.0,30607.0,30691.0,30793.0,30874.0
