tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P
0,3085.0,3082.0,3083.0,430.0,431.0,432.0,433.0,434.0,2068.0,2069.0,2070.0,2084.0,4391.0,765.0,867.0,869.0,870.0,873.0,874.0,875.0,876.0,3011.0,2820.0,2822.0,2823.0,5032.0,2867.0,1035.0,1314.0,1316.0,1315.0,1317.0,1318.0,1319.0,1281.0,1329.0,1330.0,1331.0,1332.0,1333.0,1334.0,1335.0,1336.0,1086.0,1087.0,1088.0,1089.0,1090.0,2413.0,2414.0,2415.0,2327.0,2464.0,2465.0,2466.0,3360.0,1392.0,1394.0,1395.0,3361.0,3362.0,1436.0,3952.0,2190.0,1366.0,1367.0
5002590,36000.0,36124.0,36220.0,36286.0,36324.0,36348.0,36374.0,36408.0,36487.0,36516.0,36574.0,36625.0,36798.0,36800.0,36924.0,36973.0,37016.0,37051.0,37091.0,37135.0,37181.0,37241.0,37276.0,37304.0,37358.0,37385.0,37490.0,37574.0,37620.0,37665.0,37696.0,37760.0,37781.0,37814.0,37838.0,37872.0,37900.0,37972.0,38012.0,38052.0,38082.0,38147.0,38182.0,38240.0,38299.0,38341.0,38389.0,38423.0,38461.0,38535.0,38576.0,38638.0,38698.0,38735.0,38760.0,38801.0,38834.0,38912.0,38940.0,38972.0,38994.0,39064.0,39090.0,39124.0,39184.0,39208.0
5002591,47100.0,47244.0,47355.0,47434.0,47480.0,47506.0,47534.0,47572.0,47659.0,47692.0,47758.0,47816.0,48015.0,48017.0,48156.0,48211.0,48259.0,48298.0,48342.0,48393.0,48445.0,48507.0,48544.0,48572.0,48641.0,48676.0,48798.0,48895.0,48941.0,48998.0,49037.0,49121.0,49148.0,49190.0,49220.0,49264.0,49302.0,49363.0,49406.0,49449.0,49481.0,49561.0,49605.0,49677.0,49750.0,49796.0,49849.0,49888.0,49931.0,50015.0,50062.0,50134.0,50200.0,50241.0,50269.0,50311.0,50344.0,50417.0,50443.0,50474.0,50503.0,50597.0,50628.0,50669.0,50742.0,50772.0
5002593,62100.0,62237.0,62342.0,62423.0,62471.0,62497.0,62525.0,62578.0,62699.0,62733.0,62812.0,62881.0,63115.0,63118.0,63290.0,63357.0,63416.0,63464.0,63519.0,63581.0,63634.0,63719.0,63769.0,63809.0,63918.0,63974.0,64123.0,64243.0,64290.0,64353.0,64396.0,64489.0,64514.0,64553.0,64581.0,64622.0,64666.0,64747.0,64793.0,64839.0,64873.0,64950.0,64992.0,65061.0,65130.0,65183.0,65244.0,65288.0,65344.0,65425.0,65470.0,65539.0,65601.0,65640.0,65666.0,65708.0,65742.0,65817.0,65844.0,65875.0,65901.0,65983.0,66012.0,66050.0,66118.0,66146.0
5002630,30000.0,30068.0,30120.0,30196.0,30240.0,30326.0,30420.0,30456.0,30540.0,30720.0,30745.0,30767.0,30840.0,30841.0,30885.0,30902.0,30917.0,30929.0,30943.0,30960.0,31080.0,31138.0,31173.0,31200.0,31280.0,31320.0,31387.0,31440.0,31560.0,31598.0,31624.0,31680.0,31702.0,31737.0,31762.0,31800.0,31920.0,32040.0,32105.0,32170.0,32220.0,32274.0,32303.0,32351.0,32400.0,32420.0,32443.0,32460.0,32580.0,32630.0,32658.0,32700.0,32759.0,32796.0,32820.0,32887.0,32940.0,33008.0,33032.0,33060.0,33089.0,33180.0,33201.0,33229.0,33279.0,33300.0
5002632,41700.0,41768.0,41820.0,41896.0,41940.0,41997.0,42060.0,42096.0,42180.0,42360.0,42385.0,42407.0,42480.0,42481.0,42525.0,42542.0,42557.0,42569.0,42583.0,42600.0,42720.0,42749.0,42766.0,42780.0,42860.0,42900.0,42967.0,43020.0,43080.0,43099.0,43112.0,43140.0,43151.0,43169.0,43182.0,43200.0,43320.0,43440.0,43462.0,43484.0,43500.0,43518.0,43528.0,43544.0,43560.0,43580.0,43603.0,43620.0,43740.0,43790.0,43818.0,43860.0,43919.0,43956.0,43980.0,44047.0,44100.0,44168.0,44192.0,44220.0,44249.0,44340.0,44361.0,44389.0,44439.0,44460.0
5002634,55200.0,55268.0,55320.0,55396.0,55440.0,55526.0,55620.0,55693.0,55860.0,56100.0,56125.0,56147.0,56220.0,56221.0,56265.0,56282.0,56297.0,56309.0,56323.0,56340.0,56460.0,56518.0,56553.0,56580.0,56660.0,56700.0,56767.0,56820.0,57000.0,57038.0,57064.0,57120.0,57142.0,57177.0,57202.0,57240.0,57360.0,57480.0,57524.0,57568.0,57600.0,57636.0,57656.0,57688.0,57720.0,57760.0,57806.0,57840.0,57960.0,58010.0,58038.0,58080.0,58139.0,58176.0,58200.0,58267.0,58320.0,58388.0,58412.0,58440.0,58469.0,58560.0,58581.0,58609.0,58659.0,58680.0
5002636,62400.0,62468.0,62520.0,62596.0,62640.0,62726.0,62820.0,62893.0,63060.0,63300.0,63325.0,63347.0,63420.0,63421.0,63465.0,63482.0,63497.0,63509.0,63523.0,63540.0,63660.0,63718.0,63753.0,63780.0,63860.0,63900.0,63967.0,64020.0,64200.0,64238.0,64264.0,64320.0,64342.0,64377.0,64402.0,64440.0,64560.0,64680.0,64724.0,64768.0,64800.0,64836.0,64856.0,64888.0,64920.0,64960.0,65006.0,65040.0,65160.0,65210.0,65238.0,65280.0,65339.0,65376.0,65400.0,65467.0,65520.0,65588.0,65612.0,65640.0,65669.0,65760.0,65781.0,65809.0,65859.0,65880.0
5002803,32100.0,32168.0,32220.0,32296.0,32340.0,32426.0,32520.0,32556.0,32640.0,32820.0,32845.0,32867.0,32940.0,32941.0,32985.0,33002.0,33017.0,33029.0,33043.0,33060.0,33180.0,33238.0,33273.0,33300.0,33380.0,33420.0,33487.0,33540.0,33660.0,33698.0,33724.0,33780.0,33802.0,33837.0,33862.0,33900.0,34020.0,34140.0,34205.0,34270.0,34320.0,34374.0,34403.0,34451.0,34500.0,34520.0,34543.0,34560.0,34680.0,34730.0,34758.0,34800.0,34859.0,34896.0,34920.0,34987.0,35040.0,35108.0,35132.0,35160.0,35189.0,35280.0,35301.0,35329.0,35379.0,35400.0
5002805,46500.0,46624.0,46720.0,46776.0,46809.0,46829.0,46852.0,46884.0,46957.0,46990.0,47041.0,47086.0,47237.0,47239.0,47347.0,47389.0,47426.0,47456.0,47490.0,47530.0,47588.0,47661.0,47704.0,47737.0,47812.0,47850.0,47945.0,48022.0,48059.0,48120.0,48162.0,48251.0,48277.0,48318.0,48348.0,48393.0,48455.0,48498.0,48541.0,48584.0,48617.0,48682.0,48717.0,48775.0,48833.0,48876.0,48926.0,48962.0,49030.0,49114.0,49161.0,49232.0,49298.0,49339.0,49366.0,49409.0,49443.0,49489.0,49505.0,49525.0,49547.0,49616.0,49653.0,49702.0,49789.0,49825.0
