tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P
0,4657.0,7279.0,4658.0,4659.0,4660.0,4661.0,4238.0,4239.0,4237.0,3442.0,4240.0,4241.0,4242.0,4243.0,4244.0,4277.0,4278.0,4279.0,4280.0,7462.0,7461.0,4281.0,4282.0,4283.0,4284.0,4292.0,4293.0,4294.0,4295.0,4296.0,4297.0,4299.0,4300.0,4301.0,4302.0,5135.0,4303.0,4304.0,4148.0,4149.0,3045.0,4150.0,4151.0,4156.0,4168.0
5004522,23400.0,23450.0,23490.0,23518.0,23567.0,23590.0,23694.0,23716.0,23782.0,24028.0,24189.0,24206.0,24272.0,24306.0,24376.0,24431.0,24456.0,24497.0,24516.0,24625.0,24657.0,24768.0,24787.0,24844.0,24870.0,24915.0,24949.0,25031.0,25099.0,25156.0,25201.0,25259.0,25288.0,25334.0,25352.0,25369.0,25454.0,25501.0,25547.0,25582.0,25671.0,25732.0,25772.0,25902.0,25945.0
5004524,30600.0,30662.0,30712.0,30747.0,30807.0,30835.0,30962.0,30987.0,31059.0,31330.0,31498.0,31517.0,31583.0,31616.0,31686.0,31741.0,31771.0,31822.0,31845.0,31980.0,32019.0,32156.0,32179.0,32251.0,32382.0,32438.0,32479.0,32580.0,32667.0,32739.0,32796.0,32853.0,32878.0,32929.0,32947.0,32964.0,33047.0,33101.0,33154.0,33194.0,33284.0,33346.0,33387.0,33520.0,33564.0
5004526,39600.0,39656.0,39701.0,39732.0,39786.0,39811.0,39926.0,39946.0,40003.0,40218.0,40385.0,40404.0,40473.0,40508.0,40578.0,40633.0,40661.0,40707.0,40728.0,40850.0,40886.0,41010.0,41031.0,41097.0,41166.0,41220.0,41262.0,41347.0,41410.0,41462.0,41517.0,41575.0,41601.0,41651.0,41669.0,41686.0,41774.0,41829.0,41883.0,41924.0,42014.0,42076.0,42117.0,42249.0,42293.0
5004528,48600.0,48655.0,48700.0,48731.0,48785.0,48810.0,48924.0,48944.0,49002.0,49217.0,49387.0,49404.0,49478.0,49515.0,49588.0,49646.0,49674.0,49720.0,49741.0,49864.0,49900.0,50025.0,50046.0,50112.0,50181.0,50236.0,50279.0,50388.0,50460.0,50520.0,50582.0,50641.0,50667.0,50716.0,50735.0,50752.0,50840.0,50902.0,50963.0,51010.0,51100.0,51162.0,51203.0,51335.0,51378.0
5004530,57600.0,57652.0,57694.0,57723.0,57774.0,57798.0,57906.0,57926.0,57983.0,58197.0,58366.0,58382.0,58446.0,58478.0,58544.0,58597.0,58623.0,58666.0,58685.0,58799.0,58832.0,58947.0,58967.0,59027.0,59101.0,59154.0,59197.0,59301.0,59361.0,59410.0,59462.0,59523.0,59551.0,59603.0,59622.0,59640.0,59729.0,59788.0,59846.0,59889.0,59979.0,60041.0,60082.0,60215.0,60259.0
5004532,66600.0,66653.0,66695.0,66725.0,66776.0,66800.0,66908.0,66927.0,66981.0,67184.0,67348.0,67364.0,67431.0,67465.0,67529.0,67580.0,67605.0,67647.0,67666.0,67778.0,67810.0,67924.0,67944.0,68004.0,68058.0,68110.0,68144.0,68227.0,68288.0,68338.0,68383.0,68439.0,68464.0,68508.0,68526.0,68543.0,68630.0,68676.0,68721.0,68755.0,68831.0,68883.0,68917.0,69028.0,69066.0
5004534,75000.0,75050.0,75090.0,75118.0,75167.0,75190.0,75294.0,75313.0,75369.0,75581.0,75750.0,75768.0,75823.0,75851.0,75912.0,75961.0,75984.0,76022.0,76039.0,76141.0,76170.0,76273.0,76291.0,76346.0,76378.0,76423.0,76459.0,76535.0,76583.0,76623.0,76655.0,76709.0,76734.0,76782.0,76800.0,76817.0,76900.0,76938.0,76975.0,77003.0,77078.0,77130.0,77164.0,77275.0,77312.0
5004536,82200.0,82250.0,82290.0,82318.0,82367.0,82390.0,82494.0,82513.0,82569.0,82781.0,82950.0,82968.0,83023.0,83051.0,83112.0,83161.0,83184.0,83222.0,83239.0,83341.0,83370.0,83473.0,83491.0,83546.0,83578.0,83623.0,83659.0,83735.0,83783.0,83823.0,83855.0,83909.0,83934.0,83982.0,84000.0,84017.0,84100.0,84138.0,84175.0,84203.0,84278.0,84330.0,84364.0,84475.0,84512.0
5008065,25200.0,25250.0,25290.0,25318.0,25367.0,25390.0,25494.0,25516.0,25582.0,25828.0,25989.0,26006.0,26072.0,26106.0,26176.0,26231.0,26256.0,26297.0,26316.0,26425.0,26457.0,26568.0,26587.0,26644.0,26670.0,26715.0,26749.0,26831.0,26899.0,26956.0,27001.0,27059.0,27088.0,27134.0,27152.0,27169.0,27254.0,27301.0,27347.0,27382.0,27471.0,27532.0,27572.0,27702.0,27745.0
