tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P
0,4167.0,4170.0,4153.0,4154.0,4416.0,4417.0,4419.0,4420.0,4421.0,2113.0,4183.0,4184.0,4185.0,4584.0,4186.0,4187.0,4188.0,4189.0,4190.0,4097.0,4103.0,4104.0,4105.0,4106.0,6139.0,4108.0
5006957,67500.0,67588.0,67647.0,67701.0,67746.0,67828.0,67866.0,67927.0,67971.0,68018.0,68125.0,68165.0,68189.0,68227.0,68263.0,68323.0,68350.0,68517.0,68616.0,68697.0,68798.0,68857.0,68965.0,68992.0,69049.0,69168.0
5018711,25200.0,25208.0,25214.0,25219.0,25223.0,25231.0,25235.0,25241.0,25245.0,25250.0,25260.0,25320.0,25338.0,25367.0,25394.0,25440.0,25500.0,25560.0,25680.0,25800.0,25920.0,25939.0,25974.0,25983.0,26002.0,26040.0
5018713,30000.0,30017.0,30028.0,30038.0,30047.0,30063.0,30070.0,30082.0,30090.0,30099.0,30120.0,30240.0,30258.0,30287.0,30314.0,30360.0,30480.0,30540.0,30660.0,30720.0,30840.0,30878.0,30948.0,30966.0,31003.0,31080.0
5018715,34800.0,34817.0,34828.0,34838.0,34847.0,34863.0,34870.0,34882.0,34890.0,34899.0,34920.0,35040.0,35058.0,35087.0,35114.0,35160.0,35280.0,35340.0,35460.0,35520.0,35640.0,35678.0,35748.0,35766.0,35803.0,35880.0
5018729,68400.0,68417.0,68428.0,68438.0,68447.0,68463.0,68470.0,68482.0,68490.0,68499.0,68520.0,68640.0,68658.0,68687.0,68714.0,68760.0,68880.0,68940.0,69180.0,69300.0,69420.0,69458.0,69528.0,69546.0,69583.0,69660.0
5090047,67500.0,67585.0,67642.0,67694.0,67737.0,67816.0,67853.0,67911.0,67953.0,67999.0,68101.0,68139.0,68162.0,68199.0,68234.0,68291.0,68317.0,68478.0,68573.0,68651.0,68748.0,68805.0,68909.0,68935.0,68990.0,69104.0
5097995,37800.0,37869.0,37915.0,37957.0,37992.0,38056.0,38086.0,38133.0,38167.0,38204.0,38288.0,38339.0,38359.0,38390.0,38420.0,38469.0,38490.0,38658.0,38768.0,38848.0,39106.0,39132.0,39179.0,39191.0,39216.0,39267.0
5098003,57000.0,57086.0,57144.0,57197.0,57241.0,57321.0,57358.0,57417.0,57460.0,57506.0,57611.0,57665.0,57693.0,57736.0,57777.0,57845.0,57864.0,58027.0,58127.0,58216.0,58523.0,58554.0,58612.0,58627.0,58657.0,58720.0
5098005,61800.0,61886.0,61944.0,61997.0,62041.0,62121.0,62158.0,62217.0,62260.0,62306.0,62411.0,62465.0,62493.0,62536.0,62577.0,62645.0,62664.0,62827.0,62927.0,63016.0,63323.0,63354.0,63412.0,63427.0,63457.0,63520.0
