tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P
0,4108.0,4109.0,4110.0,4111.0,4112.0,4113.0,4095.0,4192.0,4194.0,4196.0,4422.0,7369.0,7295.0,4199.0,4416.0,4417.0,4419.0,4420.0,4421.0,2113.0,4131.0,7294.0,4156.0,4167.0
5006958,69900.0,69949.0,69969.0,69979.0,70021.0,70048.0,70142.0,70208.0,70289.0,70399.0,70424.0,70468.0,70490.0,70527.0,70548.0,70605.0,70631.0,70673.0,70703.0,70736.0,70828.0,70876.0,70956.0,70994.0
5016598,73800.0,73873.0,73903.0,73918.0,73980.0,74007.0,74100.0,74160.0,74280.0,74340.0,74400.0,74426.0,74439.0,74460.0,74464.0,74475.0,74480.0,74488.0,74494.0,74501.0,74520.0,74555.0,74613.0,74640.0
5018712,27600.0,27649.0,27669.0,27679.0,27720.0,27740.0,27808.0,27877.0,27970.0,28070.0,28096.0,28141.0,28163.0,28200.0,28222.0,28280.0,28307.0,28350.0,28381.0,28414.0,28507.0,28541.0,28596.0,28622.0
5018714,32400.0,32447.0,32466.0,32475.0,32516.0,32537.0,32607.0,32678.0,32773.0,32905.0,32933.0,32996.0,33027.0,33078.0,33103.0,33171.0,33203.0,33253.0,33289.0,33328.0,33440.0,33483.0,33554.0,33588.0
5018728,66000.0,66097.0,66137.0,66157.0,66240.0,66267.0,66360.0,66420.0,66540.0,66600.0,66660.0,66686.0,66699.0,66720.0,66728.0,66751.0,66762.0,66779.0,66791.0,66804.0,66840.0,66875.0,66933.0,66960.0
5018730,70800.0,70897.0,70937.0,70957.0,71040.0,71067.0,71160.0,71220.0,71340.0,71400.0,71460.0,71486.0,71499.0,71520.0,71524.0,71535.0,71540.0,71548.0,71554.0,71561.0,71580.0,71615.0,71673.0,71700.0
5090048,69900.0,69947.0,69966.0,69975.0,70016.0,70042.0,70132.0,70195.0,70273.0,70379.0,70403.0,70446.0,70467.0,70502.0,70522.0,70576.0,70601.0,70641.0,70670.0,70701.0,70791.0,70838.0,70915.0,70951.0
5097996,40200.0,40274.0,40304.0,40319.0,40382.0,40410.0,40507.0,40581.0,40683.0,40797.0,40828.0,40891.0,40922.0,40974.0,41003.0,41081.0,41117.0,41174.0,41215.0,41260.0,41387.0,41426.0,41491.0,41522.0
5097998,45000.0,45043.0,45061.0,45070.0,45107.0,45135.0,45229.0,45305.0,45411.0,45547.0,45583.0,45635.0,45661.0,45703.0,45733.0,45815.0,45853.0,45913.0,45956.0,46003.0,46136.0,46215.0,46345.0,46407.0
5098000,49800.0,49843.0,49861.0,49870.0,49907.0,49935.0,50029.0,50105.0,50211.0,50347.0,50383.0,50435.0,50461.0,50503.0,50533.0,50615.0,50653.0,50713.0,50756.0,50803.0,50936.0,51015.0,51145.0,51207.0
5098010,73800.0,73873.0,73903.0,73918.0,73980.0,74007.0,74100.0,74160.0,74280.0,74340.0,74400.0,74426.0,74439.0,74460.0,74464.0,74475.0,74480.0,74488.0,74494.0,74501.0,74520.0,74555.0,74613.0,74640.0
