tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P
0,4359.0,4360.0,4361.0,2202.0,2203.0,2204.0,4888.0,4799.0,2205.0,2687.0,2688.0,2689.0,2696.0,2697.0,2700.0,2701.0,2702.0,2784.0,2785.0,2786.0,2787.0,2181.0,2182.0,2778.0,2185.0,1421.0,2317.0,2318.0,2319.0,2464.0,2465.0,2466.0,2467.0,2494.0,2495.0,2496.0,2497.0,2471.0,2472.0,2473.0,2474.0,2475.0,2476.0,2477.0,2478.0,4527.0,2788.0,2789.0,2790.0,903.0,904.0,779.0,780.0,781.0,2796.0,2797.0,414.0,415.0,416.0,417.0,2800.0,2801.0,7599.0,375.0
5003297,68700.0,68743.0,68777.0,68804.0,68836.0,68896.0,68937.0,68976.0,68998.0,69046.0,69087.0,69132.0,69226.0,69347.0,69442.0,69457.0,69487.0,69527.0,69602.0,69636.0,69677.0,69712.0,69759.0,69797.0,69848.0,69953.0,70050.0,70074.0,70118.0,70148.0,70193.0,70223.0,70266.0,70325.0,70378.0,70419.0,70448.0,70479.0,70545.0,70580.0,70613.0,70649.0,70678.0,70717.0,70776.0,70813.0,70891.0,70960.0,71056.0,71204.0,71245.0,71328.0,71389.0,71432.0,71490.0,71557.0,71605.0,71626.0,71665.0,71688.0,71716.0,71769.0,71794.0,71867.0
5003511,44400.0,44433.0,44460.0,44515.0,44580.0,44624.0,44655.0,44684.0,44700.0,44722.0,44740.0,44760.0,44880.0,45000.0,45180.0,45187.0,45200.0,45218.0,45251.0,45266.0,45284.0,45300.0,45383.0,45449.0,45540.0,45571.0,45600.0,45643.0,45720.0,45744.0,45780.0,45804.0,45840.0,45886.0,45928.0,45960.0,46017.0,46080.0,46150.0,46187.0,46222.0,46260.0,46303.0,46360.0,46446.0,46500.0,46563.0,46620.0,46691.0,46800.0,47040.0,47067.0,47087.0,47100.0,47140.0,47187.0,47220.0,47262.0,47340.0,47393.0,47460.0,47502.0,47522.0,47580.0
5003514,64800.0,64833.0,64860.0,64915.0,64980.0,65024.0,65055.0,65084.0,65100.0,65143.0,65180.0,65220.0,65280.0,65340.0,65460.0,65473.0,65500.0,65536.0,65603.0,65633.0,65670.0,65700.0,65762.0,65812.0,65880.0,65911.0,65940.0,65983.0,66060.0,66084.0,66120.0,66144.0,66180.0,66226.0,66268.0,66300.0,66357.0,66420.0,66490.0,66527.0,66562.0,66600.0,66632.0,66675.0,66740.0,66780.0,66843.0,66900.0,66971.0,67080.0,67260.0,67313.0,67352.0,67380.0,67420.0,67467.0,67500.0,67583.0,67740.0,67846.0,67980.0,68022.0,68042.0,68100.0
5003938,27300.0,27482.0,27627.0,27651.0,27680.0,27750.0,27798.0,27843.0,27869.0,27913.0,27951.0,27992.0,28070.0,28161.0,28260.0,28289.0,28347.0,28425.0,28570.0,28635.0,28714.0,28780.0,28836.0,28881.0,28942.0,29040.0,29129.0,29175.0,29256.0,29285.0,29329.0,29358.0,29402.0,29483.0,29557.0,29614.0,29675.0,29742.0,29865.0,29929.0,29990.0,30056.0,30137.0,30243.0,30405.0,30506.0,30578.0,30643.0,30768.0,30961.0,31145.0,31268.0,31359.0,31422.0,31485.0,31558.0,31609.0,31653.0,31736.0,31819.0,31923.0,32026.0,32074.0,32217.0
5003940,42300.0,42361.0,42410.0,42487.0,42578.0,42650.0,42700.0,42747.0,42773.0,42825.0,42869.0,42916.0,42964.0,43083.0,43173.0,43193.0,43234.0,43289.0,43391.0,43437.0,43493.0,43540.0,43594.0,43637.0,43696.0,43802.0,43899.0,43945.0,44028.0,44057.0,44100.0,44129.0,44171.0,44236.0,44295.0,44342.0,44391.0,44444.0,44503.0,44534.0,44563.0,44594.0,44638.0,44696.0,44784.0,44840.0,44944.0,45037.0,45078.0,45142.0,45199.0,45305.0,45383.0,45438.0,45496.0,45563.0,45611.0,45644.0,45707.0,45766.0,45839.0,45915.0,45950.0,46055.0
5003942,53400.0,53464.0,53514.0,53553.0,53600.0,53689.0,53750.0,53807.0,53839.0,53877.0,53909.0,53943.0,54021.0,54150.0,54264.0,54285.0,54327.0,54383.0,54487.0,54534.0,54591.0,54639.0,54676.0,54706.0,54747.0,54864.0,54971.0,55016.0,55096.0,55130.0,55183.0,55218.0,55269.0,55352.0,55427.0,55486.0,55547.0,55614.0,55683.0,55719.0,55753.0,55790.0,55838.0,55901.0,55996.0,56055.0,56142.0,56219.0,56295.0,56412.0,56447.0,56538.0,56605.0,56651.0,56708.0,56775.0,56822.0,56870.0,56960.0,57009.0,57070.0,57139.0,57171.0,57268.0
5003944,67800.0,67838.0,67869.0,67932.0,68007.0,68070.0,68113.0,68154.0,68177.0,68215.0,68247.0,68282.0,68338.0,68397.0,68501.0,68527.0,68578.0,68647.0,68775.0,68832.0,68902.0,68960.0,68985.0,69005.0,69032.0,69115.0,69191.0,69226.0,69288.0,69311.0,69346.0,69369.0,69403.0,69477.0,69544.0,69597.0,69642.0,69691.0,69753.0,69785.0,69816.0,69849.0,69891.0,69946.0,70030.0,70082.0,70175.0,70258.0,70313.0,70398.0,70449.0,70596.0,70704.0,70780.0,70876.0,70987.0,71065.0,71117.0,71215.0,71251.0,71296.0,71363.0,71394.0,71488.0
5006162,35400.0,35547.0,35664.0,35775.0,35907.0,35989.0,36045.0,36098.0,36127.0,36179.0,36223.0,36270.0,36369.0,36437.0,36530.0,36557.0,36612.0,36686.0,36823.0,36884.0,36959.0,37022.0,37081.0,37129.0,37194.0,37296.0,37389.0,37426.0,37493.0,37521.0,37564.0,37592.0,37635.0,37699.0,37757.0,37801.0,37851.0,37906.0,37973.0,38008.0,38042.0,38078.0,38124.0,38185.0,38278.0,38336.0,38421.0,38498.0,38539.0,38603.0,38635.0,38714.0,38772.0,38813.0,38884.0,38967.0,39026.0,39064.0,39136.0,39181.0,39237.0,39303.0,39334.0,39426.0
5006164,62400.0,62438.0,62469.0,62532.0,62607.0,62670.0,62713.0,62754.0,62777.0,62815.0,62847.0,62882.0,62938.0,62997.0,63101.0,63127.0,63178.0,63247.0,63375.0,63432.0,63502.0,63560.0,63585.0,63605.0,63632.0,63715.0,63791.0,63826.0,63888.0,63911.0,63946.0,63969.0,64003.0,64077.0,64144.0,64197.0,64242.0,64291.0,64353.0,64385.0,64416.0,64449.0,64491.0,64546.0,64630.0,64682.0,64775.0,64858.0,64913.0,64998.0,65049.0,65196.0,65304.0,65380.0,65476.0,65587.0,65665.0,65717.0,65815.0,65851.0,65896.0,65963.0,65994.0,66088.0
