tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P
0,385.0,2806.0,2807.0,2808.0,486.0,487.0,2798.0,2799.0,753.0,754.0,755.0,849.0,850.0,851.0,2791.0,2793.0,2794.0,1077.0,2479.0,2480.0,2481.0,2482.0,2483.0,2484.0,2485.0,2486.0,2487.0,2488.0,2489.0,2448.0,5026.0,2450.0,2328.0,2329.0,2330.0,2331.0,2101.0,2102.0,2726.0,2727.0,2105.0,2780.0,2781.0,2782.0,2783.0,2652.0,2653.0,2654.0,2655.0,2656.0,2668.0,2672.0,2673.0,2206.0,2207.0,2208.0,2210.0,2211.0,2212.0,7165.0,4357.0
5003296,62400.0,62496.0,62533.0,62587.0,62770.0,62872.0,62919.0,63015.0,63055.0,63120.0,63194.0,63297.0,63394.0,63455.0,63514.0,63598.0,63846.0,64062.0,64144.0,64239.0,64315.0,64387.0,64439.0,64494.0,64561.0,64622.0,64699.0,64751.0,64778.0,64843.0,64867.0,64905.0,64999.0,65028.0,65063.0,65208.0,65250.0,65410.0,65468.0,65500.0,65563.0,65658.0,65735.0,65826.0,65977.0,66064.0,66098.0,66123.0,66204.0,66340.0,66437.0,66503.0,66578.0,66654.0,66711.0,66780.0,66830.0,66972.0,67129.0,67165.0,67215.0
5003508,27000.0,27053.0,27074.0,27103.0,27238.0,27266.0,27279.0,27321.0,27339.0,27363.0,27390.0,27428.0,27466.0,27490.0,27514.0,27547.0,27587.0,27622.0,27668.0,27721.0,27763.0,27803.0,27829.0,27857.0,27881.0,27903.0,27932.0,27969.0,27988.0,28033.0,28049.0,28070.0,28122.0,28138.0,28157.0,28220.0,28240.0,28315.0,28351.0,28371.0,28411.0,28471.0,28507.0,28550.0,28620.0,28668.0,28686.0,28700.0,28745.0,28790.0,28831.0,28864.0,28901.0,28939.0,28976.0,29020.0,29052.0,29094.0,29141.0,29168.0,29206.0
5003510,39600.0,39679.0,39710.0,39754.0,39885.0,39967.0,40004.0,40057.0,40079.0,40117.0,40160.0,40220.0,40281.0,40320.0,40357.0,40422.0,40514.0,40594.0,40655.0,40725.0,40781.0,40833.0,40871.0,40911.0,40972.0,41028.0,41099.0,41153.0,41181.0,41248.0,41272.0,41312.0,41409.0,41439.0,41475.0,41564.0,41589.0,41683.0,41728.0,41753.0,41803.0,41878.0,41934.0,42000.0,42110.0,42172.0,42196.0,42214.0,42272.0,42415.0,42472.0,42514.0,42561.0,42608.0,42674.0,42754.0,42813.0,42913.0,43023.0,43095.0,43196.0
5003513,60300.0,60398.0,60436.0,60491.0,60627.0,60703.0,60737.0,60798.0,60823.0,60866.0,60916.0,60985.0,61054.0,61098.0,61141.0,61202.0,61312.0,61407.0,61469.0,61540.0,61597.0,61651.0,61681.0,61713.0,61761.0,61805.0,61860.0,61907.0,61931.0,61989.0,62010.0,62044.0,62127.0,62153.0,62182.0,62253.0,62281.0,62389.0,62435.0,62461.0,62512.0,62587.0,62630.0,62681.0,62764.0,62828.0,62853.0,62872.0,62931.0,63017.0,63081.0,63118.0,63160.0,63203.0,63252.0,63311.0,63354.0,63441.0,63536.0,63564.0,63604.0
5003937,23400.0,23479.0,23510.0,23554.0,23674.0,23733.0,23760.0,23813.0,23835.0,23870.0,23910.0,23965.0,24021.0,24057.0,24092.0,24157.0,24226.0,24286.0,24347.0,24417.0,24473.0,24525.0,24560.0,24597.0,24638.0,24676.0,24724.0,24770.0,24794.0,24851.0,24870.0,24902.0,24979.0,25003.0,25031.0,25159.0,25197.0,25340.0,25387.0,25414.0,25466.0,25544.0,25595.0,25656.0,25757.0,25818.0,25842.0,25860.0,25918.0,25982.0,26031.0,26071.0,26117.0,26163.0,26222.0,26293.0,26345.0,26458.0,26582.0,26609.0,26648.0
5003939,37500.0,37588.0,37622.0,37671.0,37796.0,37885.0,37925.0,37998.0,38029.0,38069.0,38115.0,38180.0,38246.0,38288.0,38329.0,38395.0,38495.0,38582.0,38642.0,38711.0,38766.0,38817.0,38849.0,38883.0,38939.0,38990.0,39054.0,39102.0,39127.0,39186.0,39207.0,39246.0,39341.0,39371.0,39405.0,39474.0,39509.0,39642.0,39698.0,39729.0,39790.0,39882.0,39941.0,40012.0,40129.0,40210.0,40241.0,40265.0,40341.0,40466.0,40523.0,40570.0,40623.0,40677.0,40731.0,40797.0,40845.0,40931.0,41026.0,41063.0,41115.0
5003941,48600.0,48687.0,48721.0,48770.0,48915.0,48990.0,49024.0,49108.0,49143.0,49188.0,49239.0,49310.0,49379.0,49423.0,49465.0,49544.0,49697.0,49830.0,49898.0,49977.0,50040.0,50098.0,50155.0,50215.0,50288.0,50355.0,50440.0,50494.0,50522.0,50589.0,50612.0,50654.0,50757.0,50789.0,50827.0,50920.0,50956.0,51093.0,51157.0,51193.0,51264.0,51370.0,51438.0,51519.0,51654.0,51747.0,51783.0,51810.0,51898.0,52033.0,52108.0,52160.0,52219.0,52278.0,52336.0,52406.0,52456.0,52557.0,52669.0,52700.0,52745.0
5003943,61500.0,61596.0,61633.0,61687.0,61870.0,61972.0,62019.0,62115.0,62155.0,62220.0,62294.0,62397.0,62494.0,62555.0,62614.0,62698.0,62946.0,63162.0,63244.0,63339.0,63415.0,63487.0,63539.0,63594.0,63661.0,63722.0,63799.0,63851.0,63878.0,63943.0,63967.0,64005.0,64099.0,64128.0,64163.0,64308.0,64350.0,64510.0,64568.0,64600.0,64663.0,64758.0,64835.0,64926.0,65077.0,65164.0,65198.0,65223.0,65304.0,65440.0,65537.0,65603.0,65678.0,65754.0,65811.0,65880.0,65930.0,66072.0,66229.0,66265.0,66315.0
5004427,66000.0,66083.0,66115.0,66161.0,66319.0,66395.0,66429.0,66486.0,66510.0,66553.0,66602.0,66669.0,66740.0,66785.0,66828.0,66889.0,66968.0,67037.0,67094.0,67160.0,67212.0,67262.0,67293.0,67326.0,67376.0,67422.0,67479.0,67521.0,67543.0,67596.0,67615.0,67647.0,67726.0,67751.0,67779.0,67840.0,67867.0,67970.0,68012.0,68035.0,68081.0,68149.0,68198.0,68257.0,68354.0,68408.0,68429.0,68445.0,68496.0,68573.0,68618.0,68652.0,68691.0,68730.0,68772.0,68823.0,68861.0,68931.0,69009.0,69036.0,69074.0
