tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P
0,381.0,382.0,4451.0,383.0,384.0,385.0,387.0,388.0,389.0,393.0,371.0,391.0,392.0,395.0,396.0,397.0,398.0,399.0,400.0,319.0,278.0,7615.0,10.0,12.0,14.0,15.0,17.0,18.0,19.0,21.0,7602.0,85.0,203.0,204.0,205.0,1620.0,220.0,221.0,222.0,223.0,224.0,225.0,226.0
5005481,34200.0,34253.0,34273.0,34320.0,34373.0,34397.0,34453.0,34504.0,34525.0,34578.0,34618.0,34654.0,34717.0,34819.0,34874.0,34904.0,34955.0,34997.0,35071.0,35250.0,35492.0,35631.0,35646.0,35750.0,35807.0,35861.0,35924.0,35971.0,35991.0,36037.0,36066.0,36103.0,36145.0,36203.0,36233.0,36262.0,36337.0,36389.0,36425.0,36473.0,36510.0,36557.0,36620.0
5005483,41400.0,41455.0,41476.0,41524.0,41579.0,41604.0,41662.0,41704.0,41721.0,41768.0,41826.0,41878.0,41970.0,42104.0,42176.0,42216.0,42268.0,42311.0,42388.0,42560.0,42792.0,42924.0,42943.0,43070.0,43118.0,43164.0,43233.0,43289.0,43312.0,43366.0,43397.0,43438.0,43481.0,43541.0,43572.0,43605.0,43691.0,43736.0,43768.0,43810.0,43842.0,43884.0,43939.0
5005487,56400.0,56455.0,56476.0,56525.0,56580.0,56605.0,56663.0,56716.0,56737.0,56786.0,56843.0,56894.0,56984.0,57125.0,57201.0,57244.0,57296.0,57339.0,57415.0,57625.0,57908.0,58070.0,58089.0,58215.0,58274.0,58331.0,58421.0,58486.0,58513.0,58575.0,58616.0,58669.0,58730.0,58814.0,58858.0,58897.0,59001.0,59046.0,59078.0,59120.0,59152.0,59193.0,59248.0
5005489,63600.0,63660.0,63683.0,63736.0,63796.0,63824.0,63886.0,63942.0,63965.0,63996.0,64050.0,64099.0,64185.0,64334.0,64414.0,64459.0,64502.0,64537.0,64601.0,64830.0,65139.0,65317.0,65336.0,65463.0,65529.0,65592.0,65642.0,65701.0,65726.0,65784.0,65816.0,65858.0,65907.0,65975.0,66011.0,66050.0,66151.0,66196.0,66227.0,66268.0,66300.0,66341.0,66395.0
5005821,28200.0,28266.0,28291.0,28350.0,28417.0,28448.0,28518.0,28576.0,28599.0,28673.0,28768.0,28854.0,29007.0,29196.0,29298.0,29354.0,29427.0,29487.0,29595.0,29863.0,30224.0,30431.0,30451.0,30586.0,30661.0,30734.0,30814.0,30878.0,30905.0,30967.0,31007.0,31059.0,31114.0,31190.0,31229.0,31266.0,31362.0,31401.0,31428.0,31464.0,31492.0,31528.0,31574.0
5005823,37200.0,37258.0,37280.0,37332.0,37391.0,37418.0,37480.0,37533.0,37554.0,37594.0,37653.0,37706.0,37799.0,37938.0,38013.0,38054.0,38114.0,38163.0,38253.0,38470.0,38763.0,38931.0,38953.0,39102.0,39163.0,39221.0,39300.0,39357.0,39381.0,39437.0,39474.0,39522.0,39572.0,39642.0,39679.0,39715.0,39811.0,39853.0,39883.0,39922.0,39952.0,39991.0,40041.0
5005825,46800.0,46863.0,46887.0,46942.0,47005.0,47034.0,47100.0,47153.0,47174.0,47219.0,47276.0,47327.0,47418.0,47574.0,47658.0,47705.0,47768.0,47819.0,47912.0,48125.0,48413.0,48578.0,48600.0,48745.0,48809.0,48871.0,48945.0,49017.0,49047.0,49117.0,49155.0,49205.0,49263.0,49344.0,49386.0,49430.0,49546.0,49593.0,49626.0,49669.0,49703.0,49746.0,49802.0
5005827,56400.0,56459.0,56481.0,56533.0,56592.0,56619.0,56681.0,56728.0,56747.0,56806.0,56868.0,56924.0,57022.0,57192.0,57284.0,57335.0,57406.0,57464.0,57570.0,57816.0,58147.0,58337.0,58360.0,58513.0,58601.0,58685.0,58806.0,58920.0,58968.0,59078.0,59129.0,59195.0,59266.0,59364.0,59415.0,59458.0,59571.0,59619.0,59653.0,59698.0,59732.0,59776.0,59834.0
5005918,30600.0,30646.0,30663.0,30704.0,30751.0,30772.0,30821.0,30861.0,30877.0,30913.0,30950.0,30983.0,31041.0,31154.0,31215.0,31248.0,31280.0,31307.0,31355.0,31521.0,31744.0,31872.0,31885.0,31973.0,32013.0,32052.0,32098.0,32139.0,32156.0,32197.0,32214.0,32237.0,32273.0,32322.0,32348.0,32373.0,32440.0,32478.0,32505.0,32540.0,32567.0,32602.0,32647.0
