tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P
0,7073.0,7097.0,7098.0,7099.0,7100.0,7101.0,7505.0,5071.0,5072.0,4980.0,2289.0,1835.0,1836.0,1837.0,2338.0,661.0,7026.0,4323.0,1824.0,1825.0,1826.0,1827.0
5002490,35100.0,35179.0,35221.0,35259.0,35315.0,35375.0,35389.0,35569.0,35653.0,35737.0,35782.0,35802.0,35841.0,35879.0,35955.0,36077.0,36263.0,36392.0,36488.0,36525.0,36630.0,36680.0
5002492,38700.0,38766.0,38802.0,38834.0,38881.0,38931.0,38943.0,39094.0,39163.0,39237.0,39277.0,39294.0,39329.0,39363.0,39436.0,39586.0,39815.0,39960.0,40067.0,40100.0,40194.0,40239.0
5002494,42300.0,42366.0,42402.0,42434.0,42481.0,42531.0,42543.0,42694.0,42763.0,42837.0,42877.0,42894.0,42929.0,42963.0,43036.0,43186.0,43415.0,43560.0,43667.0,43700.0,43794.0,43839.0
5002502,63900.0,63967.0,64003.0,64035.0,64082.0,64132.0,64144.0,64296.0,64366.0,64437.0,64475.0,64492.0,64526.0,64558.0,64655.0,64799.0,65018.0,65205.0,65343.0,65375.0,65464.0,65507.0
5004874,45900.0,45969.0,46006.0,46039.0,46088.0,46140.0,46153.0,46310.0,46382.0,46449.0,46485.0,46501.0,46533.0,46563.0,46618.0,46796.0,47067.0,47204.0,47306.0,47333.0,47410.0,47447.0
5004876,49500.0,49569.0,49606.0,49639.0,49688.0,49740.0,49753.0,49910.0,49982.0,50049.0,50085.0,50101.0,50133.0,50163.0,50218.0,50396.0,50667.0,50804.0,50906.0,50933.0,51010.0,51047.0
5004878,53100.0,53169.0,53206.0,53239.0,53288.0,53340.0,53353.0,53510.0,53582.0,53649.0,53685.0,53701.0,53733.0,53763.0,53818.0,53996.0,54267.0,54404.0,54506.0,54533.0,54610.0,54647.0
5005593,42900.0,42968.0,43004.0,43036.0,43084.0,43135.0,43147.0,43301.0,43372.0,43436.0,43470.0,43485.0,43515.0,43544.0,43618.0,43814.0,44113.0,44261.0,44371.0,44397.0,44471.0,44507.0
5005888,27000.0,27137.0,27211.0,27277.0,27374.0,27477.0,27502.0,27815.0,27960.0,28033.0,28072.0,28089.0,28124.0,28158.0,28259.0,28373.0,28547.0,28675.0,28770.0,28793.0,28858.0,28890.0
5005890,31500.0,31579.0,31621.0,31659.0,31715.0,31775.0,31789.0,31969.0,32053.0,32137.0,32182.0,32202.0,32241.0,32279.0,32355.0,32477.0,32663.0,32792.0,32888.0,32925.0,33030.0,33080.0
5005897,56700.0,56767.0,56803.0,56835.0,56882.0,56932.0,56944.0,57096.0,57166.0,57237.0,57275.0,57292.0,57326.0,57358.0,57455.0,57599.0,57818.0,58005.0,58143.0,58175.0,58264.0,58307.0
5005899,60300.0,60367.0,60403.0,60435.0,60482.0,60532.0,60544.0,60696.0,60766.0,60837.0,60875.0,60892.0,60926.0,60958.0,61055.0,61199.0,61418.0,61605.0,61743.0,61775.0,61864.0,61907.0
5005901,67500.0,67567.0,67603.0,67635.0,67682.0,67732.0,67744.0,67896.0,67966.0,68037.0,68075.0,68092.0,68126.0,68158.0,68255.0,68399.0,68618.0,68805.0,68943.0,68975.0,69064.0,69107.0
5005903,71100.0,71154.0,71183.0,71209.0,71247.0,71287.0,71297.0,71419.0,71475.0,71532.0,71562.0,71575.0,71602.0,71628.0,71689.0,71793.0,71952.0,72069.0,72155.0,72180.0,72251.0,72285.0
5005905,74700.0,74754.0,74783.0,74809.0,74847.0,74887.0,74897.0,75019.0,75075.0,75132.0,75162.0,75175.0,75202.0,75228.0,75289.0,75393.0,75552.0,75669.0,75755.0,75780.0,75851.0,75885.0
5011180,57300.0,57354.0,57383.0,57409.0,57447.0,57487.0,57497.0,57619.0,57674.0,57735.0,57768.0,57782.0,57811.0,57839.0,57889.0,57998.0,58165.0,58306.0,58411.0,58437.0,58511.0,58547.0
5014808,35100.0,35161.0,35194.0,35223.0,35266.0,35312.0,35323.0,35461.0,35525.0,35584.0,35616.0,35630.0,35658.0,35684.0,35732.0,35861.0,36057.0,36164.0,36243.0,36259.0,36305.0,36328.0
5014810,38700.0,38768.0,38805.0,38838.0,38886.0,38937.0,38949.0,39104.0,39177.0,39244.0,39280.0,39296.0,39328.0,39358.0,39429.0,39572.0,39789.0,39931.0,40036.0,40062.0,40135.0,40171.0
5014812,42300.0,42368.0,42405.0,42438.0,42486.0,42537.0,42549.0,42704.0,42777.0,42844.0,42880.0,42896.0,42928.0,42958.0,43029.0,43172.0,43389.0,43531.0,43636.0,43662.0,43735.0,43771.0
5014819,63900.0,63959.0,63990.0,64018.0,64059.0,64103.0,64114.0,64247.0,64309.0,64365.0,64395.0,64408.0,64434.0,64460.0,64528.0,64661.0,64864.0,65020.0,65135.0,65160.0,65230.0,65264.0
5016828,45900.0,45968.0,46004.0,46036.0,46084.0,46135.0,46147.0,46301.0,46372.0,46444.0,46483.0,46500.0,46534.0,46567.0,46641.0,46792.0,47021.0,47153.0,47250.0,47280.0,47364.0,47404.0
5016830,49500.0,49568.0,49604.0,49636.0,49684.0,49735.0,49747.0,49901.0,49972.0,50044.0,50083.0,50100.0,50134.0,50167.0,50241.0,50392.0,50621.0,50753.0,50850.0,50880.0,50964.0,51004.0
5016832,53100.0,53168.0,53204.0,53236.0,53284.0,53335.0,53347.0,53501.0,53572.0,53644.0,53683.0,53700.0,53734.0,53767.0,53841.0,53992.0,54221.0,54353.0,54450.0,54480.0,54564.0,54604.0
5017091,56700.0,56759.0,56790.0,56818.0,56859.0,56903.0,56914.0,57047.0,57109.0,57165.0,57195.0,57208.0,57234.0,57260.0,57328.0,57461.0,57664.0,57820.0,57935.0,57960.0,58030.0,58064.0
5017093,60300.0,60359.0,60390.0,60418.0,60459.0,60503.0,60514.0,60647.0,60709.0,60765.0,60795.0,60808.0,60834.0,60860.0,60928.0,61061.0,61264.0,61420.0,61535.0,61560.0,61630.0,61664.0
5017095,67500.0,67559.0,67590.0,67618.0,67659.0,67703.0,67714.0,67847.0,67909.0,67965.0,67995.0,68008.0,68034.0,68060.0,68128.0,68261.0,68464.0,68620.0,68735.0,68760.0,68830.0,68864.0
5017097,71100.0,71180.0,71223.0,71262.0,71319.0,71379.0,71394.0,71577.0,71662.0,71715.0,71744.0,71757.0,71782.0,71806.0,71849.0,71962.0,72135.0,72242.0,72321.0,72338.0,72386.0,72410.0
5017099,74700.0,74750.0,74777.0,74801.0,74837.0,74875.0,74884.0,74999.0,75052.0,75102.0,75129.0,75141.0,75164.0,75186.0,75219.0,75306.0,75439.0,75570.0,75667.0,75685.0,75735.0,75759.0
5018957,27000.0,27043.0,27066.0,27087.0,27117.0,27149.0,27157.0,27255.0,27300.0,27389.0,27437.0,27458.0,27500.0,27540.0,27600.0,27695.0,27840.0,27978.0,28080.0,28138.0,28301.0,28380.0
5018959,31500.0,31561.0,31594.0,31623.0,31666.0,31712.0,31723.0,31861.0,31925.0,31984.0,32016.0,32030.0,32058.0,32084.0,32132.0,32261.0,32457.0,32564.0,32643.0,32659.0,32705.0,32728.0
