tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P
0,1828.0,1829.0,1830.0,1831.0,4747.0,2960.0,1545.0,1816.0,1817.0,1818.0,1819.0,1820.0,2468.0,4978.0,4979.0,4986.0,7107.0,7102.0,7103.0,7104.0,7105.0,7106.0,6005.0,1546.0,7072.0
5002489,33300.0,33334.0,33430.0,33472.0,33771.0,33825.0,33889.0,33982.0,34051.0,34077.0,34115.0,34141.0,34192.0,34265.0,34314.0,34409.0,34434.0,34449.0,34497.0,34528.0,34553.0,34568.0,34593.0,34604.0,34635.0
5002491,36900.0,36928.0,37006.0,37040.0,37292.0,37357.0,37434.0,37547.0,37621.0,37645.0,37681.0,37705.0,37753.0,37819.0,37868.0,37963.0,37988.0,38003.0,38051.0,38082.0,38107.0,38122.0,38147.0,38158.0,38189.0
5002493,40500.0,40528.0,40606.0,40640.0,40892.0,40957.0,41034.0,41147.0,41221.0,41245.0,41281.0,41305.0,41353.0,41419.0,41468.0,41563.0,41588.0,41603.0,41651.0,41682.0,41707.0,41722.0,41747.0,41758.0,41789.0
5002495,44100.0,44128.0,44208.0,44243.0,44525.0,44587.0,44661.0,44770.0,44842.0,44867.0,44904.0,44928.0,44977.0,45047.0,45096.0,45191.0,45216.0,45231.0,45279.0,45310.0,45335.0,45350.0,45375.0,45386.0,45417.0
5002501,62100.0,62129.0,62211.0,62247.0,62655.0,62716.0,62788.0,62894.0,62960.0,62991.0,63036.0,63066.0,63126.0,63210.0,63259.0,63354.0,63379.0,63394.0,63442.0,63473.0,63498.0,63513.0,63538.0,63549.0,63580.0
5004875,47700.0,47726.0,47800.0,47833.0,48087.0,48144.0,48212.0,48313.0,48359.0,48380.0,48410.0,48430.0,48470.0,48526.0,48575.0,48670.0,48695.0,48710.0,48758.0,48789.0,48814.0,48829.0,48854.0,48865.0,48896.0
5004877,51300.0,51326.0,51400.0,51433.0,51687.0,51744.0,51812.0,51913.0,51959.0,51980.0,52010.0,52030.0,52070.0,52126.0,52175.0,52270.0,52295.0,52310.0,52358.0,52389.0,52414.0,52429.0,52454.0,52465.0,52496.0
5005594,44700.0,44725.0,44797.0,44829.0,45117.0,45201.0,45300.0,45446.0,45502.0,45526.0,45561.0,45584.0,45631.0,45696.0,45745.0,45840.0,45865.0,45880.0,45928.0,45959.0,45984.0,45999.0,46024.0,46035.0,46066.0
5005596,48300.0,48325.0,48397.0,48429.0,48717.0,48801.0,48900.0,49046.0,49102.0,49126.0,49161.0,49184.0,49231.0,49296.0,49345.0,49440.0,49465.0,49480.0,49528.0,49559.0,49584.0,49599.0,49624.0,49635.0,49666.0
