tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P
0,7026.0,1882.0,7379.0,4903.0,1883.0,1884.0,7155.0,1887.0,1888.0,1889.0,1890.0,4820.0,6126.0,2226.0,6134.0,2223.0,2224.0,2225.0,4620.0,7563.0,3368.0,4626.0,4627.0,4327.0,4603.0,4604.0,2681.0,4691.0,2682.0,4690.0,4411.0,4715.0,4795.0
5007027,23400.0,23449.0,23481.0,23512.0,23542.0,23561.0,23618.0,23682.0,23693.0,23722.0,23753.0,23925.0,23978.0,24081.0,24178.0,24262.0,24282.0,24385.0,24407.0,24444.0,24484.0,24550.0,24582.0,24616.0,24821.0,24845.0,24930.0,24948.0,24969.0,25012.0,25026.0,25119.0,25122.0
5007029,30600.0,30661.0,30700.0,30739.0,30777.0,30801.0,30872.0,30951.0,30964.0,31000.0,31035.0,31223.0,31281.0,31393.0,31497.0,31615.0,31643.0,31788.0,31824.0,31856.0,31891.0,31991.0,32039.0,32090.0,32325.0,32353.0,32432.0,32448.0,32488.0,32569.0,32596.0,32771.0,32777.0
5007031,48600.0,48686.0,48741.0,48796.0,48849.0,48883.0,48982.0,49093.0,49112.0,49162.0,49211.0,49480.0,49530.0,49627.0,49717.0,49957.0,50013.0,50213.0,50256.0,50297.0,50340.0,50419.0,50457.0,50498.0,50774.0,50806.0,50928.0,50954.0,50999.0,51090.0,51120.0,51317.0,51324.0
5007718,63000.0,63062.0,63102.0,63142.0,63180.0,63205.0,63277.0,63357.0,63371.0,63406.0,63437.0,63606.0,63652.0,63740.0,63823.0,63949.0,63978.0,64196.0,64246.0,64292.0,64342.0,64421.0,64459.0,64500.0,64725.0,64751.0,64835.0,64852.0,64897.0,64988.0,65018.0,65215.0,65222.0
5007720,70200.0,70269.0,70314.0,70358.0,70401.0,70429.0,70509.0,70599.0,70614.0,70655.0,70682.0,70832.0,70881.0,70976.0,71064.0,71208.0,71241.0,71389.0,71425.0,71453.0,71484.0,71574.0,71617.0,71664.0,71908.0,71936.0,72039.0,72060.0,72090.0,72150.0,72170.0,72300.0,72303.0
5013876,23400.0,23467.0,23510.0,23553.0,23594.0,23621.0,23699.0,23786.0,23801.0,23839.0,23878.0,24093.0,24151.0,24263.0,24369.0,24620.0,24678.0,24852.0,24900.0,24948.0,25000.0,25076.0,25113.0,25152.0,25427.0,25459.0,25569.0,25592.0,25634.0,25719.0,25747.0,25931.0,25937.0
5013878,30600.0,30697.0,30759.0,30821.0,30881.0,30919.0,31031.0,31157.0,31178.0,31234.0,31296.0,31632.0,31684.0,31785.0,31880.0,32067.0,32111.0,32361.0,32408.0,32456.0,32507.0,32597.0,32640.0,32687.0,32960.0,32992.0,33110.0,33135.0,33176.0,33257.0,33284.0,33461.0,33466.0
5013880,45000.0,45074.0,45122.0,45169.0,45215.0,45244.0,45330.0,45426.0,45442.0,45486.0,45523.0,45727.0,45779.0,45879.0,45972.0,46166.0,46211.0,46397.0,46448.0,46496.0,46547.0,46628.0,46667.0,46709.0,46988.0,47021.0,47143.0,47169.0,47214.0,47305.0,47335.0,47532.0,47539.0
5013883,59400.0,59488.0,59545.0,59601.0,59655.0,59690.0,59792.0,59906.0,59925.0,59975.0,60015.0,60235.0,60294.0,60407.0,60513.0,60854.0,60933.0,61153.0,61199.0,61252.0,61309.0,61403.0,61448.0,61497.0,61818.0,61856.0,61958.0,61979.0,62022.0,62109.0,62138.0,62326.0,62332.0
5014178,27000.0,27067.0,27110.0,27153.0,27194.0,27221.0,27299.0,27386.0,27401.0,27439.0,27478.0,27693.0,27751.0,27863.0,27969.0,28220.0,28278.0,28452.0,28500.0,28548.0,28600.0,28676.0,28713.0,28752.0,29027.0,29059.0,29169.0,29192.0,29234.0,29319.0,29347.0,29531.0,29537.0
5014180,34200.0,34297.0,34359.0,34421.0,34481.0,34519.0,34631.0,34757.0,34778.0,34834.0,34896.0,35232.0,35284.0,35385.0,35480.0,35667.0,35711.0,35961.0,36008.0,36056.0,36107.0,36197.0,36240.0,36287.0,36560.0,36592.0,36710.0,36735.0,36776.0,36857.0,36884.0,37061.0,37066.0
5014181,48600.0,48674.0,48722.0,48769.0,48815.0,48844.0,48930.0,49026.0,49042.0,49086.0,49123.0,49327.0,49379.0,49479.0,49572.0,49766.0,49811.0,49997.0,50048.0,50096.0,50147.0,50228.0,50267.0,50309.0,50588.0,50621.0,50743.0,50769.0,50814.0,50905.0,50935.0,51132.0,51139.0
5014184,63000.0,63088.0,63145.0,63201.0,63255.0,63290.0,63392.0,63506.0,63525.0,63575.0,63615.0,63835.0,63894.0,64007.0,64113.0,64454.0,64533.0,64753.0,64799.0,64852.0,64909.0,65003.0,65048.0,65097.0,65418.0,65456.0,65558.0,65579.0,65622.0,65709.0,65738.0,65926.0,65932.0
5014186,70200.0,70237.0,70261.0,70284.0,70307.0,70322.0,70364.0,70412.0,70420.0,70440.0,70477.0,70680.0,70731.0,70829.0,70920.0,71115.0,71160.0,71400.0,71640.0,71756.0,71880.0,72000.0,72058.0,72120.0,72335.0,72360.0,72559.0,72600.0,72629.0,72688.0,72707.0,72835.0,72840.0
5014755,77400.0,77459.0,77497.0,77535.0,77571.0,77594.0,77662.0,77739.0,77752.0,77787.0,77822.0,78010.0,78064.0,78168.0,78265.0,78371.0,78395.0,78534.0,78569.0,78608.0,78650.0,78733.0,78773.0,78815.0,79059.0,79088.0,79189.0,79210.0,79251.0,79334.0,79361.0,79541.0,79548.0
5084688,27000.0,27064.0,27106.0,27147.0,27187.0,27213.0,27288.0,27372.0,27386.0,27422.0,27460.0,27666.0,27722.0,27830.0,27931.0,28172.0,28228.0,28395.0,28441.0,28487.0,28537.0,28610.0,28645.0,28683.0,28947.0,28978.0,29084.0,29106.0,29147.0,29228.0,29255.0,29432.0,29438.0
5084690,34200.0,34293.0,34353.0,34413.0,34470.0,34507.0,34615.0,34736.0,34756.0,34810.0,34869.0,35193.0,35243.0,35340.0,35431.0,35611.0,35653.0,35893.0,35938.0,35984.0,36033.0,36120.0,36162.0,36206.0,36468.0,36499.0,36613.0,36637.0,36676.0,36754.0,36780.0,36950.0,36955.0
5084691,48600.0,48671.0,48717.0,48763.0,48807.0,48835.0,48918.0,49010.0,49026.0,49067.0,49103.0,49299.0,49349.0,49445.0,49535.0,49722.0,49765.0,49944.0,49993.0,50039.0,50088.0,50166.0,50204.0,50244.0,50513.0,50544.0,50662.0,50686.0,50730.0,50817.0,50846.0,51036.0,51042.0
5084694,63000.0,63084.0,63138.0,63192.0,63244.0,63277.0,63375.0,63485.0,63504.0,63553.0,63592.0,63803.0,63859.0,63968.0,64070.0,64398.0,64474.0,64686.0,64730.0,64781.0,64836.0,64927.0,64971.0,65017.0,65326.0,65362.0,65460.0,65480.0,65522.0,65605.0,65632.0,65813.0,65819.0
5084696,70200.0,70237.0,70261.0,70284.0,70307.0,70322.0,70364.0,70412.0,70420.0,70440.0,70477.0,70680.0,70731.0,70829.0,70920.0,71115.0,71160.0,71400.0,71640.0,71756.0,71880.0,72000.0,72058.0,72120.0,72335.0,72360.0,72559.0,72600.0,72629.0,72688.0,72707.0,72835.0,72840.0
5098463,23400.0,23464.0,23506.0,23547.0,23587.0,23613.0,23688.0,23772.0,23786.0,23822.0,23860.0,24066.0,24122.0,24230.0,24331.0,24572.0,24628.0,24795.0,24841.0,24887.0,24937.0,25010.0,25045.0,25083.0,25347.0,25378.0,25484.0,25506.0,25547.0,25628.0,25655.0,25832.0,25838.0
5098465,30600.0,30693.0,30753.0,30813.0,30870.0,30907.0,31015.0,31136.0,31156.0,31210.0,31269.0,31593.0,31643.0,31740.0,31831.0,32011.0,32053.0,32293.0,32338.0,32384.0,32433.0,32520.0,32562.0,32606.0,32868.0,32899.0,33013.0,33037.0,33076.0,33154.0,33180.0,33350.0,33355.0
5098467,45000.0,45071.0,45117.0,45163.0,45207.0,45235.0,45318.0,45410.0,45426.0,45467.0,45503.0,45699.0,45749.0,45845.0,45935.0,46122.0,46165.0,46344.0,46393.0,46439.0,46488.0,46566.0,46604.0,46644.0,46913.0,46944.0,47062.0,47086.0,47130.0,47217.0,47246.0,47436.0,47442.0
