tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P
0,4795.0,4715.0,4688.0,4689.0,4410.0,2678.0,4630.0,4631.0,5138.0,4611.0,4612.0,4613.0,3370.0,7168.0,4616.0,2227.0,2229.0,6133.0,2228.0,6127.0,4826.0,1912.0,1895.0,1896.0,1897.0,1844.0,6073.0,4493.0,4362.0,7026.0
5007030,34200.0,34201.0,34365.0,34399.0,34427.0,34449.0,34577.0,34619.0,34785.0,34874.0,34907.0,34948.0,34988.0,35049.0,35105.0,35148.0,35346.0,35438.0,35549.0,35646.0,35702.0,35985.0,36004.0,36023.0,36042.0,36156.0,36210.0,36248.0,36273.0,36355.0
5007032,52200.0,52200.0,52351.0,52382.0,52410.0,52435.0,52582.0,52642.0,52881.0,52960.0,52990.0,53027.0,53062.0,53128.0,53188.0,53256.0,53477.0,53624.0,53726.0,53816.0,53868.0,54054.0,54073.0,54092.0,54111.0,54225.0,54279.0,54317.0,54342.0,54424.0
5007719,66600.0,66600.0,66733.0,66761.0,66785.0,66810.0,66962.0,67000.0,67151.0,67211.0,67234.0,67262.0,67289.0,67347.0,67399.0,67438.0,67675.0,67773.0,67873.0,67961.0,68012.0,68258.0,68277.0,68296.0,68315.0,68429.0,68483.0,68521.0,68546.0,68628.0
5013877,27000.0,27001.0,27183.0,27221.0,27252.0,27275.0,27415.0,27466.0,27670.0,27750.0,27780.0,27817.0,27853.0,27930.0,28000.0,28043.0,28275.0,28493.0,28609.0,28710.0,28769.0,29060.0,29079.0,29098.0,29117.0,29231.0,29285.0,29323.0,29348.0,29430.0
5013879,34200.0,34201.0,34365.0,34399.0,34428.0,34455.0,34619.0,34676.0,34903.0,35018.0,35061.0,35115.0,35166.0,35236.0,35299.0,35390.0,35624.0,35732.0,35836.0,35927.0,35980.0,36220.0,36239.0,36258.0,36277.0,36391.0,36445.0,36483.0,36508.0,36590.0
5013881,48600.0,48601.0,48773.0,48809.0,48838.0,48864.0,49018.0,49080.0,49328.0,49417.0,49450.0,49491.0,49531.0,49642.0,49743.0,49864.0,50164.0,50305.0,50406.0,50494.0,50546.0,50733.0,50752.0,50771.0,50790.0,50904.0,50958.0,50996.0,51021.0,51103.0
5013882,55800.0,55801.0,55996.0,56036.0,56070.0,56098.0,56262.0,56324.0,56573.0,56658.0,56690.0,56730.0,56767.0,56845.0,56916.0,57015.0,57390.0,57563.0,57670.0,57764.0,57819.0,58063.0,58082.0,58101.0,58120.0,58234.0,58288.0,58326.0,58351.0,58433.0
5013884,63000.0,63001.0,63196.0,63236.0,63270.0,63298.0,63462.0,63524.0,63773.0,63858.0,63890.0,63930.0,63967.0,64045.0,64116.0,64215.0,64590.0,64763.0,64870.0,64964.0,65019.0,65263.0,65282.0,65301.0,65320.0,65434.0,65488.0,65526.0,65551.0,65633.0
5014177,23400.0,23401.0,23583.0,23621.0,23652.0,23675.0,23815.0,23866.0,24070.0,24150.0,24180.0,24217.0,24253.0,24330.0,24400.0,24443.0,24675.0,24893.0,25009.0,25110.0,25169.0,25460.0,25479.0,25498.0,25517.0,25631.0,25685.0,25723.0,25748.0,25830.0
