tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P
0,7391.0,493.0,494.0,495.0,400.0,7588.0,7392.0,312.0,1444.0,1445.0,4407.0,2637.0,2721.0,7012.0,2201.0,7239.0,4401.0,2213.0,2214.0,2215.0,2216.0,4599.0,4601.0,5058.0,4602.0,4603.0,4604.0,4605.0,4562.0,7386.0,4607.0,7140.0,7141.0,7138.0,3370.0,7231.0,7128.0,7117.0,7118.0,6289.0
5003752,30720.0,30859.0,31013.0,31150.0,31261.0,31285.0,31508.0,31566.0,31645.0,31718.0,31822.0,31930.0,32102.0,32144.0,32477.0,32503.0,32522.0,32635.0,32671.0,32707.0,32755.0,32806.0,32864.0,32940.0,32993.0,33049.0,33087.0,33145.0,33211.0,33243.0,33264.0,33403.0,33483.0,33520.0,33589.0,33711.0,33793.0,33842.0,33878.0,33935.0
5003754,39720.0,39828.0,39948.0,40063.0,40156.0,40176.0,40362.0,40434.0,40531.0,40594.0,40664.0,40737.0,40884.0,40915.0,41185.0,41206.0,41221.0,41325.0,41366.0,41414.0,41446.0,41491.0,41526.0,41592.0,41638.0,41686.0,41719.0,41769.0,41826.0,41846.0,41859.0,41943.0,41991.0,42029.0,42100.0,42202.0,42270.0,42311.0,42341.0,42389.0
5004447,55920.0,56047.0,56188.0,56358.0,56495.0,56525.0,56801.0,56905.0,57046.0,57129.0,57232.0,57340.0,57493.0,57531.0,57855.0,57880.0,57899.0,58050.0,58105.0,58164.0,58209.0,58270.0,58335.0,58424.0,58486.0,58552.0,58591.0,58651.0,58719.0,58747.0,58766.0,58888.0,58958.0,59000.0,59080.0,59200.0,59281.0,59329.0,59364.0,59422.0
5004449,64020.0,64147.0,64288.0,64458.0,64595.0,64625.0,64901.0,65005.0,65146.0,65229.0,65332.0,65440.0,65593.0,65631.0,65955.0,65980.0,65999.0,66150.0,66205.0,66264.0,66309.0,66370.0,66435.0,66524.0,66586.0,66652.0,66691.0,66751.0,66819.0,66847.0,66866.0,66988.0,67058.0,67100.0,67180.0,67300.0,67381.0,67429.0,67464.0,67522.0
5007250,43320.0,43433.0,43559.0,43697.0,43809.0,43833.0,44059.0,44153.0,44281.0,44373.0,44460.0,44550.0,44674.0,44711.0,45025.0,45049.0,45067.0,45201.0,45248.0,45297.0,45336.0,45401.0,45457.0,45546.0,45608.0,45673.0,45711.0,45769.0,45835.0,45862.0,45880.0,45998.0,46065.0,46103.0,46176.0,46291.0,46369.0,46415.0,46449.0,46504.0
5007614,59220.0,59347.0,59488.0,59658.0,59795.0,59825.0,60101.0,60205.0,60346.0,60429.0,60532.0,60640.0,60793.0,60831.0,61155.0,61180.0,61199.0,61350.0,61405.0,61464.0,61509.0,61570.0,61635.0,61724.0,61786.0,61852.0,61891.0,61951.0,62019.0,62047.0,62066.0,62188.0,62258.0,62300.0,62380.0,62500.0,62581.0,62629.0,62664.0,62722.0
5007616,67320.0,67447.0,67588.0,67758.0,67895.0,67925.0,68201.0,68305.0,68446.0,68529.0,68632.0,68740.0,68893.0,68931.0,69255.0,69280.0,69299.0,69450.0,69505.0,69564.0,69609.0,69670.0,69735.0,69824.0,69886.0,69952.0,69991.0,70051.0,70119.0,70147.0,70166.0,70288.0,70358.0,70400.0,70480.0,70600.0,70681.0,70729.0,70764.0,70822.0
5010846,44220.0,44306.0,44401.0,44552.0,44674.0,44701.0,44948.0,45036.0,45156.0,45218.0,45317.0,45421.0,45572.0,45609.0,45960.0,45987.0,46007.0,46155.0,46208.0,46252.0,46287.0,46338.0,46394.0,46487.0,46552.0,46620.0,46660.0,46722.0,46791.0,46818.0,46836.0,46951.0,47016.0,47056.0,47131.0,47246.0,47323.0,47369.0,47403.0,47458.0
5010848,53220.0,53306.0,53401.0,53552.0,53674.0,53701.0,53948.0,54036.0,54156.0,54218.0,54317.0,54421.0,54572.0,54609.0,54960.0,54987.0,55007.0,55155.0,55208.0,55252.0,55287.0,55338.0,55394.0,55487.0,55552.0,55620.0,55660.0,55722.0,55791.0,55818.0,55836.0,55951.0,56016.0,56056.0,56131.0,56246.0,56323.0,56369.0,56403.0,56458.0
5010850,62220.0,62303.0,62395.0,62536.0,62650.0,62675.0,62905.0,62988.0,63100.0,63174.0,63265.0,63360.0,63487.0,63518.0,63816.0,63839.0,63856.0,64019.0,64077.0,64131.0,64176.0,64227.0,64295.0,64379.0,64438.0,64500.0,64542.0,64606.0,64678.0,64706.0,64725.0,64846.0,64915.0,64958.0,65040.0,65161.0,65242.0,65290.0,65325.0,65384.0
5010852,71220.0,71283.0,71354.0,71527.0,71667.0,71697.0,71979.0,72082.0,72222.0,72276.0,72359.0,72446.0,72569.0,72610.0,72878.0,72899.0,72913.0,73059.0,73111.0,73164.0,73210.0,73271.0,73338.0,73425.0,73485.0,73549.0,73587.0,73646.0,73713.0,73739.0,73756.0,73869.0,73933.0,73974.0,74053.0,74159.0,74230.0,74272.0,74303.0,74354.0
5011402,69420.0,69483.0,69554.0,69727.0,69867.0,69897.0,70179.0,70282.0,70422.0,70476.0,70559.0,70646.0,70769.0,70810.0,71078.0,71099.0,71113.0,71259.0,71311.0,71364.0,71410.0,71471.0,71538.0,71625.0,71685.0,71749.0,71787.0,71846.0,71913.0,71939.0,71956.0,72069.0,72133.0,72174.0,72253.0,72359.0,72430.0,72472.0,72503.0,72554.0
5011435,64020.0,64103.0,64195.0,64336.0,64450.0,64475.0,64705.0,64788.0,64900.0,64974.0,65065.0,65160.0,65287.0,65318.0,65616.0,65639.0,65656.0,65819.0,65877.0,65931.0,65976.0,66027.0,66095.0,66179.0,66238.0,66300.0,66342.0,66406.0,66478.0,66506.0,66525.0,66646.0,66715.0,66758.0,66840.0,66961.0,67042.0,67090.0,67125.0,67184.0
5011437,73020.0,73083.0,73154.0,73327.0,73467.0,73497.0,73779.0,73882.0,74022.0,74076.0,74159.0,74246.0,74369.0,74410.0,74678.0,74699.0,74713.0,74859.0,74911.0,74964.0,75010.0,75071.0,75138.0,75225.0,75285.0,75349.0,75387.0,75446.0,75513.0,75539.0,75556.0,75669.0,75733.0,75774.0,75853.0,75959.0,76030.0,76072.0,76103.0,76154.0
5011439,80220.0,80297.0,80382.0,80487.0,80572.0,80590.0,80761.0,80831.0,80926.0,80992.0,81057.0,81124.0,81225.0,81245.0,81486.0,81505.0,81518.0,81641.0,81684.0,81734.0,81776.0,81824.0,81874.0,81930.0,81969.0,82011.0,82047.0,82102.0,82164.0,82188.0,82204.0,82307.0,82365.0,82406.0,82485.0,82597.0,82672.0,82716.0,82749.0,82802.0
