tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P
0,7391.0,493.0,494.0,495.0,400.0,7588.0,7392.0,312.0,1444.0,1445.0,7078.0,1449.0,1450.0,1451.0,2191.0,2192.0,2193.0,2194.0,2195.0,2196.0,2197.0,2198.0,2200.0,2201.0,7239.0,4401.0,2213.0,2214.0,2215.0,2216.0,4599.0,2217.0,2218.0,2219.0,2220.0,2221.0,2223.0,2224.0,3886.0,3887.0,3888.0,3890.0
5008119,29100.0,29148.0,29202.0,29278.0,29340.0,29353.0,29477.0,29514.0,29565.0,29662.0,29879.0,29914.0,29936.0,29955.0,29983.0,30007.0,30040.0,30060.0,30096.0,30131.0,30175.0,30221.0,30245.0,30354.0,30382.0,30401.0,30482.0,30507.0,30542.0,30567.0,30615.0,30645.0,30670.0,30695.0,30719.0,30749.0,30775.0,30793.0,30839.0,30899.0,30948.0,30999.0
5008121,36300.0,36362.0,36431.0,36552.0,36650.0,36671.0,36869.0,36922.0,36994.0,37069.0,37255.0,37322.0,37354.0,37382.0,37421.0,37446.0,37485.0,37504.0,37539.0,37570.0,37609.0,37650.0,37671.0,37783.0,37812.0,37832.0,37935.0,37992.0,38039.0,38073.0,38143.0,38188.0,38224.0,38253.0,38279.0,38333.0,38380.0,38411.0,38490.0,38531.0,38565.0,38625.0
5008123,43500.0,43559.0,43624.0,43726.0,43808.0,43826.0,43992.0,44094.0,44233.0,44271.0,44449.0,44519.0,44550.0,44578.0,44617.0,44639.0,44672.0,44693.0,44730.0,44777.0,44836.0,44899.0,44932.0,45054.0,45085.0,45107.0,45254.0,45290.0,45327.0,45361.0,45448.0,45503.0,45542.0,45584.0,45623.0,45672.0,45715.0,45743.0,45859.0,45906.0,45945.0,46008.0
5008125,50700.0,50759.0,50824.0,50926.0,51008.0,51026.0,51192.0,51294.0,51433.0,51471.0,51649.0,51719.0,51750.0,51778.0,51817.0,51839.0,51872.0,51893.0,51930.0,51977.0,52036.0,52099.0,52132.0,52254.0,52285.0,52307.0,52454.0,52490.0,52527.0,52561.0,52648.0,52703.0,52742.0,52784.0,52823.0,52872.0,52915.0,52943.0,53059.0,53106.0,53145.0,53208.0
5008127,57900.0,57972.0,58051.0,58143.0,58217.0,58233.0,58382.0,58450.0,58542.0,58570.0,58751.0,58812.0,58835.0,58855.0,58884.0,58906.0,58939.0,58957.0,58989.0,59019.0,59057.0,59097.0,59119.0,59275.0,59315.0,59343.0,59458.0,59497.0,59537.0,59561.0,59634.0,59681.0,59719.0,59744.0,59768.0,59832.0,59888.0,59925.0,59995.0,60066.0,60125.0,60167.0
5008129,65100.0,65172.0,65251.0,65343.0,65417.0,65433.0,65582.0,65650.0,65742.0,65770.0,65951.0,66012.0,66035.0,66055.0,66084.0,66106.0,66139.0,66157.0,66189.0,66219.0,66257.0,66297.0,66319.0,66475.0,66515.0,66543.0,66658.0,66697.0,66737.0,66761.0,66834.0,66881.0,66919.0,66944.0,66968.0,67032.0,67088.0,67125.0,67195.0,67266.0,67325.0,67367.0
5008131,72300.0,72371.0,72450.0,72565.0,72658.0,72678.0,72865.0,72932.0,73023.0,73123.0,73344.0,73388.0,73417.0,73443.0,73479.0,73521.0,73558.0,73576.0,73609.0,73641.0,73682.0,73725.0,73747.0,73925.0,73970.0,74002.0,74088.0,74141.0,74190.0,74231.0,74311.0,74362.0,74404.0,74432.0,74458.0,74497.0,74531.0,74553.0,74590.0,74643.0,74687.0,74812.0
5008133,79500.0,79554.0,79614.0,79695.0,79761.0,79775.0,79908.0,79991.0,80103.0,80139.0,80371.0,80396.0,80418.0,80437.0,80464.0,80489.0,80518.0,80537.0,80571.0,80603.0,80643.0,80685.0,80708.0,80829.0,80860.0,80881.0,80987.0,81023.0,81063.0,81092.0,81157.0,81198.0,81223.0,81248.0,81271.0,81314.0,81352.0,81376.0,81422.0,81469.0,81508.0,81555.0
5015606,25500.0,25543.0,25591.0,25662.0,25719.0,25731.0,25846.0,25879.0,25923.0,25948.0,26114.0,26133.0,26147.0,26160.0,26178.0,26199.0,26226.0,26243.0,26275.0,26306.0,26345.0,26387.0,26409.0,26542.0,26576.0,26599.0,26674.0,26700.0,26735.0,26756.0,26801.0,26830.0,26854.0,26884.0,26911.0,26938.0,26962.0,26977.0,27019.0,27071.0,27113.0,27187.0
