tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P
0,7391.0,493.0,494.0,495.0,400.0,346.0,317.0,312.0,1444.0,1445.0,7078.0,1449.0,1450.0,1451.0,2191.0,2192.0,2193.0,2194.0,2195.0,2196.0,2197.0,2198.0,2200.0,2201.0,7239.0,4401.0,2202.0,2203.0,2210.0
5002956,52620.0,52713.0,52817.0,52942.0,53043.0,53115.0,53214.0,53423.0,53525.0,53588.0,53769.0,53826.0,53872.0,53912.0,53969.0,53994.0,54027.0,54049.0,54090.0,54131.0,54183.0,54238.0,54268.0,54407.0,54442.0,54467.0,54492.0,54533.0,54563.0
5003014,45420.0,45503.0,45595.0,45706.0,45796.0,45860.0,45956.0,46159.0,46233.0,46278.0,46464.0,46523.0,46570.0,46611.0,46669.0,46697.0,46726.0,46746.0,46782.0,46829.0,46888.0,46951.0,46984.0,47153.0,47196.0,47227.0,47255.0,47301.0,47335.0
5003153,47220.0,47313.0,47417.0,47542.0,47643.0,47715.0,47814.0,48023.0,48125.0,48188.0,48369.0,48426.0,48472.0,48512.0,48569.0,48594.0,48627.0,48649.0,48690.0,48731.0,48783.0,48838.0,48868.0,49007.0,49042.0,49067.0,49092.0,49133.0,49163.0
5003364,56220.0,56339.0,56471.0,56630.0,56759.0,56852.0,56969.0,57216.0,57323.0,57389.0,57587.0,57650.0,57700.0,57744.0,57804.0,57831.0,57868.0,57891.0,57933.0,57981.0,58042.0,58106.0,58140.0,58300.0,58341.0,58370.0,58396.0,58439.0,58470.0
5003412,41820.0,41930.0,42052.0,42199.0,42318.0,42404.0,42500.0,42704.0,42792.0,42846.0,43015.0,43069.0,43112.0,43149.0,43202.0,43227.0,43257.0,43278.0,43315.0,43353.0,43401.0,43451.0,43477.0,43600.0,43631.0,43653.0,43676.0,43714.0,43741.0
5003964,65220.0,65339.0,65471.0,65630.0,65759.0,65852.0,65969.0,66216.0,66323.0,66389.0,66587.0,66650.0,66700.0,66744.0,66804.0,66831.0,66868.0,66891.0,66933.0,66981.0,67042.0,67106.0,67140.0,67300.0,67341.0,67370.0,67396.0,67439.0,67470.0
5003970,83700.0,83766.0,83839.0,83927.0,83998.0,84048.0,84138.0,84329.0,84400.0,84444.0,84592.0,84639.0,84676.0,84709.0,84755.0,84781.0,84814.0,84835.0,84873.0,84906.0,84948.0,84992.0,85016.0,85136.0,85166.0,85188.0,85214.0,85257.0,85288.0
5004089,27420.0,27481.0,27548.0,27629.0,27695.0,27742.0,27788.0,27885.0,27963.0,28011.0,28143.0,28185.0,28218.0,28247.0,28289.0,28314.0,28344.0,28366.0,28405.0,28442.0,28489.0,28539.0,28565.0,28692.0,28724.0,28747.0,28764.0,28791.0,28811.0
5004545,61620.0,61739.0,61871.0,62030.0,62159.0,62252.0,62369.0,62616.0,62723.0,62789.0,62987.0,63050.0,63100.0,63144.0,63204.0,63231.0,63268.0,63291.0,63333.0,63381.0,63442.0,63506.0,63540.0,63700.0,63741.0,63770.0,63796.0,63839.0,63870.0
5004549,77820.0,77886.0,77959.0,78047.0,78118.0,78168.0,78258.0,78449.0,78520.0,78564.0,78712.0,78759.0,78796.0,78829.0,78875.0,78901.0,78934.0,78955.0,78993.0,79026.0,79068.0,79112.0,79136.0,79256.0,79286.0,79308.0,79334.0,79377.0,79408.0
5004900,74220.0,74303.0,74395.0,74505.0,74594.0,74658.0,74753.0,74954.0,75031.0,75078.0,75242.0,75294.0,75335.0,75371.0,75423.0,75451.0,75483.0,75505.0,75545.0,75586.0,75638.0,75693.0,75723.0,75855.0,75888.0,75912.0,75934.0,75970.0,75996.0
5007201,81420.0,81488.0,81563.0,81653.0,81726.0,81779.0,81891.0,82130.0,82194.0,82233.0,82385.0,82433.0,82471.0,82505.0,82552.0,82578.0,82612.0,82633.0,82672.0,82708.0,82753.0,82801.0,82826.0,82959.0,82993.0,83016.0,83042.0,83085.0,83116.0
5007564,81420.0,81486.0,81559.0,81647.0,81718.0,81768.0,81858.0,82049.0,82120.0,82164.0,82312.0,82359.0,82396.0,82429.0,82475.0,82501.0,82534.0,82555.0,82593.0,82626.0,82668.0,82712.0,82736.0,82856.0,82886.0,82908.0,82934.0,82977.0,83008.0
5008252,77820.0,77888.0,77963.0,78053.0,78126.0,78179.0,78291.0,78530.0,78594.0,78633.0,78785.0,78833.0,78871.0,78905.0,78952.0,78978.0,79012.0,79033.0,79072.0,79108.0,79153.0,79201.0,79226.0,79359.0,79393.0,79416.0,79442.0,79485.0,79516.0
5008366,38220.0,38330.0,38452.0,38599.0,38718.0,38804.0,38900.0,39104.0,39192.0,39246.0,39415.0,39469.0,39512.0,39549.0,39602.0,39627.0,39657.0,39678.0,39715.0,39753.0,39801.0,39851.0,39877.0,40000.0,40031.0,40053.0,40076.0,40114.0,40141.0
5009275,34620.0,34678.0,34742.0,34819.0,34881.0,34927.0,34976.0,35081.0,35132.0,35164.0,35304.0,35348.0,35383.0,35414.0,35458.0,35483.0,35519.0,35540.0,35578.0,35623.0,35680.0,35740.0,35771.0,35911.0,35946.0,35971.0,35990.0,36022.0,36045.0
5010235,70620.0,70752.0,70899.0,71076.0,71219.0,71322.0,71441.0,71694.0,71787.0,71845.0,72016.0,72070.0,72113.0,72151.0,72204.0,72229.0,72264.0,72292.0,72342.0,72386.0,72442.0,72501.0,72533.0,72687.0,72726.0,72754.0,72775.0,72809.0,72833.0
5010914,27420.0,27497.0,27582.0,27684.0,27767.0,27827.0,27902.0,28060.0,28131.0,28175.0,28364.0,28424.0,28471.0,28513.0,28571.0,28596.0,28627.0,28651.0,28694.0,28747.0,28814.0,28885.0,28922.0,29046.0,29078.0,29100.0,29156.0,29249.0,29316.0
5011253,25620.0,25697.0,25782.0,25884.0,25967.0,26027.0,26102.0,26260.0,26331.0,26375.0,26564.0,26624.0,26671.0,26713.0,26771.0,26796.0,26827.0,26851.0,26894.0,26947.0,27014.0,27085.0,27122.0,27246.0,27278.0,27300.0,27356.0,27449.0,27516.0
5011259,50820.0,50913.0,51017.0,51142.0,51243.0,51315.0,51414.0,51623.0,51725.0,51788.0,51969.0,52026.0,52072.0,52112.0,52169.0,52194.0,52227.0,52249.0,52290.0,52331.0,52383.0,52438.0,52468.0,52607.0,52642.0,52667.0,52692.0,52733.0,52763.0
5011610,67020.0,67139.0,67271.0,67430.0,67559.0,67652.0,67769.0,68016.0,68123.0,68189.0,68387.0,68450.0,68500.0,68544.0,68604.0,68631.0,68668.0,68691.0,68733.0,68781.0,68842.0,68906.0,68940.0,69100.0,69141.0,69170.0,69196.0,69239.0,69270.0
5011713,49020.0,49113.0,49217.0,49342.0,49443.0,49515.0,49614.0,49823.0,49925.0,49988.0,50169.0,50226.0,50272.0,50312.0,50369.0,50394.0,50427.0,50449.0,50490.0,50531.0,50583.0,50638.0,50668.0,50807.0,50842.0,50867.0,50892.0,50933.0,50963.0
5013318,36420.0,36530.0,36652.0,36799.0,36918.0,37004.0,37100.0,37304.0,37392.0,37446.0,37615.0,37669.0,37712.0,37749.0,37802.0,37827.0,37857.0,37878.0,37915.0,37953.0,38001.0,38051.0,38077.0,38200.0,38231.0,38253.0,38276.0,38314.0,38341.0
5013845,29220.0,29348.0,29490.0,29661.0,29799.0,29898.0,29978.0,30147.0,30248.0,30310.0,30507.0,30569.0,30618.0,30662.0,30724.0,30750.0,30787.0,30809.0,30849.0,30900.0,30964.0,31032.0,31068.0,31189.0,31220.0,31242.0,31264.0,31301.0,31327.0
5013848,63420.0,63539.0,63671.0,63830.0,63959.0,64052.0,64169.0,64416.0,64523.0,64589.0,64787.0,64850.0,64900.0,64944.0,65004.0,65031.0,65068.0,65091.0,65133.0,65181.0,65242.0,65306.0,65340.0,65500.0,65541.0,65570.0,65596.0,65639.0,65670.0
5013850,68820.0,68903.0,68995.0,69105.0,69194.0,69258.0,69353.0,69554.0,69631.0,69678.0,69842.0,69894.0,69935.0,69971.0,70023.0,70051.0,70083.0,70105.0,70145.0,70186.0,70238.0,70293.0,70323.0,70455.0,70488.0,70512.0,70534.0,70570.0,70596.0
5014256,58020.0,58139.0,58271.0,58430.0,58559.0,58652.0,58769.0,59016.0,59123.0,59189.0,59387.0,59450.0,59500.0,59544.0,59604.0,59631.0,59668.0,59691.0,59733.0,59781.0,59842.0,59906.0,59940.0,60100.0,60141.0,60170.0,60196.0,60239.0,60270.0
5016153,54420.0,54539.0,54671.0,54830.0,54959.0,55052.0,55169.0,55416.0,55523.0,55589.0,55787.0,55850.0,55900.0,55944.0,56004.0,56031.0,56068.0,56091.0,56133.0,56181.0,56242.0,56306.0,56340.0,56500.0,56541.0,56570.0,56596.0,56639.0,56670.0
5016425,43620.0,43713.0,43817.0,43942.0,44043.0,44115.0,44214.0,44423.0,44525.0,44588.0,44769.0,44826.0,44872.0,44912.0,44969.0,44994.0,45027.0,45049.0,45090.0,45131.0,45183.0,45238.0,45268.0,45407.0,45442.0,45467.0,45492.0,45533.0,45563.0
5017646,40020.0,40130.0,40252.0,40399.0,40518.0,40604.0,40700.0,40904.0,40992.0,41046.0,41215.0,41269.0,41312.0,41349.0,41402.0,41427.0,41457.0,41478.0,41515.0,41553.0,41601.0,41651.0,41677.0,41800.0,41831.0,41853.0,41876.0,41914.0,41941.0
5017648,45420.0,45513.0,45617.0,45742.0,45843.0,45915.0,46014.0,46223.0,46325.0,46388.0,46569.0,46626.0,46672.0,46712.0,46769.0,46794.0,46827.0,46849.0,46890.0,46931.0,46983.0,47038.0,47068.0,47207.0,47242.0,47267.0,47292.0,47333.0,47363.0
5017650,59820.0,59939.0,60071.0,60230.0,60359.0,60452.0,60569.0,60816.0,60923.0,60989.0,61187.0,61250.0,61300.0,61344.0,61404.0,61431.0,61468.0,61491.0,61533.0,61581.0,61642.0,61706.0,61740.0,61900.0,61941.0,61970.0,61996.0,62039.0,62070.0
5019135,41820.0,41933.0,42059.0,42210.0,42332.0,42420.0,42439.0,42480.0,42554.0,42600.0,42800.0,42863.0,42913.0,42957.0,43020.0,43080.0,43140.0,43161.0,43200.0,43214.0,43232.0,43251.0,43260.0,43469.0,43522.0,43560.0,43607.0,43684.0,43740.0
5019137,49020.0,49103.0,49195.0,49306.0,49396.0,49460.0,49556.0,49759.0,49833.0,49878.0,50064.0,50123.0,50170.0,50211.0,50269.0,50297.0,50326.0,50346.0,50382.0,50429.0,50488.0,50551.0,50584.0,50753.0,50796.0,50827.0,50855.0,50901.0,50935.0
5019528,34620.0,34748.0,34890.0,35061.0,35199.0,35298.0,35378.0,35547.0,35648.0,35710.0,35907.0,35969.0,36018.0,36062.0,36124.0,36150.0,36187.0,36209.0,36249.0,36300.0,36364.0,36432.0,36468.0,36589.0,36620.0,36642.0,36664.0,36701.0,36727.0
5083451,74220.0,74299.0,74387.0,74493.0,74579.0,74641.0,74732.0,74926.0,75000.0,75045.0,75203.0,75253.0,75293.0,75328.0,75377.0,75404.0,75435.0,75456.0,75495.0,75535.0,75585.0,75638.0,75666.0,75793.0,75825.0,75848.0,75869.0,75904.0,75929.0
5084538,25620.0,25694.0,25776.0,25874.0,25954.0,26011.0,26083.0,26235.0,26304.0,26346.0,26527.0,26584.0,26630.0,26670.0,26727.0,26751.0,26781.0,26804.0,26845.0,26896.0,26960.0,27028.0,27064.0,27183.0,27213.0,27235.0,27289.0,27378.0,27443.0
5084544,50820.0,50910.0,51010.0,51130.0,51227.0,51296.0,51391.0,51592.0,51690.0,51751.0,51925.0,51980.0,52024.0,52062.0,52117.0,52141.0,52173.0,52195.0,52234.0,52274.0,52324.0,52377.0,52405.0,52538.0,52572.0,52596.0,52620.0,52660.0,52688.0
5085185,52620.0,52710.0,52810.0,52930.0,53027.0,53096.0,53191.0,53392.0,53490.0,53551.0,53725.0,53780.0,53824.0,53862.0,53917.0,53941.0,53973.0,53995.0,54034.0,54074.0,54124.0,54177.0,54205.0,54338.0,54372.0,54396.0,54420.0,54460.0,54488.0
5085789,54420.0,54535.0,54662.0,54815.0,54939.0,55028.0,55140.0,55378.0,55481.0,55544.0,55734.0,55794.0,55842.0,55884.0,55943.0,55969.0,56005.0,56027.0,56068.0,56114.0,56173.0,56235.0,56267.0,56421.0,56460.0,56488.0,56513.0,56554.0,56584.0
5086537,49020.0,49110.0,49210.0,49330.0,49427.0,49496.0,49591.0,49792.0,49890.0,49951.0,50125.0,50180.0,50224.0,50262.0,50317.0,50341.0,50373.0,50395.0,50434.0,50474.0,50524.0,50577.0,50605.0,50738.0,50772.0,50796.0,50820.0,50860.0,50888.0
5086553,56220.0,56335.0,56462.0,56615.0,56739.0,56828.0,56940.0,57178.0,57281.0,57344.0,57534.0,57594.0,57642.0,57684.0,57743.0,57769.0,57805.0,57827.0,57868.0,57914.0,57973.0,58035.0,58067.0,58221.0,58260.0,58288.0,58313.0,58354.0,58384.0
5087107,61620.0,61735.0,61862.0,62015.0,62139.0,62228.0,62340.0,62578.0,62681.0,62744.0,62934.0,62994.0,63042.0,63084.0,63143.0,63169.0,63205.0,63227.0,63268.0,63314.0,63373.0,63435.0,63467.0,63621.0,63660.0,63688.0,63713.0,63754.0,63784.0
5087111,77820.0,77883.0,77953.0,78037.0,78105.0,78155.0,78242.0,78425.0,78494.0,78536.0,78678.0,78723.0,78759.0,78790.0,78835.0,78860.0,78892.0,78912.0,78949.0,78981.0,79022.0,79065.0,79087.0,79202.0,79231.0,79252.0,79277.0,79318.0,79348.0
5087572,38220.0,38326.0,38444.0,38585.0,38699.0,38782.0,38874.0,39070.0,39155.0,39207.0,39370.0,39422.0,39463.0,39499.0,39549.0,39573.0,39602.0,39622.0,39658.0,39694.0,39740.0,39788.0,39814.0,39932.0,39962.0,39983.0,40005.0,40042.0,40068.0
5087674,65220.0,65335.0,65462.0,65615.0,65739.0,65828.0,65940.0,66178.0,66281.0,66344.0,66534.0,66594.0,66642.0,66684.0,66743.0,66769.0,66805.0,66827.0,66868.0,66914.0,66973.0,67035.0,67067.0,67221.0,67260.0,67288.0,67313.0,67354.0,67384.0
