tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P
0,7026.0,4323.0,4324.0,4769.0,4770.0,4765.0,4766.0,4767.0,4768.0,4325.0,3328.0,3329.0,3330.0,3331.0,3351.0,3332.0,3333.0
5002497,51300.0,51434.0,51743.0,51763.0,51795.0,51819.0,51856.0,51887.0,51905.0,51980.0,52084.0,52141.0,52156.0,52205.0,52252.0,52365.0,52461.0
5002499,54900.0,55075.0,55390.0,55410.0,55442.0,55466.0,55504.0,55535.0,55555.0,55639.0,55740.0,55811.0,55826.0,55873.0,55922.0,56052.0,56163.0
5002504,69300.0,69408.0,69692.0,69710.0,69739.0,69761.0,69795.0,69823.0,69840.0,69912.0,69987.0,70040.0,70055.0,70102.0,70145.0,70262.0,70362.0
5002506,72900.0,73008.0,73292.0,73310.0,73339.0,73361.0,73395.0,73423.0,73440.0,73512.0,73587.0,73640.0,73655.0,73702.0,73745.0,73862.0,73962.0
5004866,27120.0,27201.0,27460.0,27477.0,27504.0,27524.0,27555.0,27581.0,27596.0,27662.0,27749.0,27801.0,27815.0,27861.0,27905.0,28104.0,28275.0
5004868,30720.0,30806.0,31068.0,31085.0,31112.0,31132.0,31164.0,31190.0,31205.0,31277.0,31362.0,31413.0,31428.0,31475.0,31521.0,31720.0,31891.0
5004870,34320.0,34406.0,34668.0,34685.0,34712.0,34732.0,34764.0,34790.0,34805.0,34877.0,34962.0,35013.0,35028.0,35075.0,35121.0,35320.0,35491.0
5004872,37920.0,38031.0,38326.0,38345.0,38375.0,38397.0,38432.0,38461.0,38480.0,38560.0,38636.0,38687.0,38701.0,38744.0,38778.0,38977.0,39148.0
5004880,59520.0,59667.0,59972.0,59992.0,60023.0,60046.0,60083.0,60113.0,60132.0,60223.0,60316.0,60371.0,60385.0,60430.0,60470.0,60562.0,60641.0
5004882,63120.0,63267.0,63572.0,63592.0,63623.0,63646.0,63683.0,63713.0,63732.0,63823.0,63916.0,63971.0,63985.0,64030.0,64070.0,64162.0,64241.0
5005891,40500.0,40613.0,40899.0,40918.0,40947.0,40969.0,41003.0,41031.0,41048.0,41113.0,41188.0,41241.0,41255.0,41301.0,41339.0,41461.0,41566.0
5005893,44100.0,44234.0,44543.0,44563.0,44595.0,44619.0,44656.0,44687.0,44705.0,44780.0,44884.0,44941.0,44956.0,45005.0,45052.0,45165.0,45261.0
5005895,47700.0,47834.0,48143.0,48163.0,48195.0,48219.0,48256.0,48287.0,48305.0,48380.0,48484.0,48541.0,48556.0,48605.0,48652.0,48765.0,48861.0
5014815,52320.0,52474.0,52816.0,52838.0,52873.0,52899.0,52940.0,52974.0,52994.0,53078.0,53152.0,53204.0,53218.0,53262.0,53300.0,53410.0,53505.0
5014817,55920.0,56067.0,56372.0,56392.0,56423.0,56446.0,56483.0,56513.0,56532.0,56623.0,56716.0,56771.0,56785.0,56830.0,56870.0,56962.0,57041.0
5016820,26100.0,26205.0,26459.0,26475.0,26501.0,26520.0,26550.0,26575.0,26591.0,26665.0,26732.0,26789.0,26803.0,26846.0,26873.0,27072.0,27243.0
5016822,29700.0,29822.0,30154.0,30176.0,30210.0,30235.0,30275.0,30308.0,30328.0,30428.0,30523.0,30582.0,30596.0,30641.0,30710.0,30882.0,31030.0
5016824,33300.0,33422.0,33754.0,33776.0,33810.0,33835.0,33875.0,33908.0,33928.0,34028.0,34123.0,34182.0,34196.0,34241.0,34310.0,34482.0,34630.0
5016826,36900.0,37013.0,37299.0,37318.0,37347.0,37369.0,37403.0,37431.0,37448.0,37513.0,37588.0,37641.0,37655.0,37701.0,37739.0,37861.0,37966.0
5016833,58500.0,58675.0,58990.0,59010.0,59042.0,59066.0,59104.0,59135.0,59155.0,59239.0,59340.0,59411.0,59426.0,59473.0,59522.0,59652.0,59763.0
5016835,62100.0,62275.0,62590.0,62610.0,62642.0,62666.0,62704.0,62735.0,62755.0,62839.0,62940.0,63011.0,63026.0,63073.0,63122.0,63252.0,63363.0
5016837,65700.0,65875.0,66190.0,66210.0,66242.0,66266.0,66304.0,66335.0,66355.0,66439.0,66540.0,66611.0,66626.0,66673.0,66722.0,66852.0,66963.0
5016839,76500.0,76590.0,76862.0,76880.0,76908.0,76929.0,76962.0,76989.0,77004.0,77069.0,77140.0,77187.0,77202.0,77251.0,77291.0,77348.0,77397.0
5016841,80100.0,80190.0,80462.0,80480.0,80508.0,80529.0,80562.0,80589.0,80604.0,80669.0,80740.0,80787.0,80802.0,80851.0,80891.0,80948.0,80997.0
5016843,83700.0,83790.0,84062.0,84080.0,84108.0,84129.0,84162.0,84189.0,84204.0,84269.0,84340.0,84387.0,84402.0,84451.0,84491.0,84548.0,84597.0
5018289,69000.0,69130.0,69428.0,69447.0,69478.0,69501.0,69537.0,69567.0,69584.0,69660.0,69733.0,69783.0,69797.0,69842.0,69882.0,69935.0,69981.0
5088174,43800.0,43910.0,44185.0,44203.0,44231.0,44252.0,44285.0,44312.0,44329.0,44401.0,44476.0,44524.0,44539.0,44587.0,44618.0,44810.0,44974.0
5088176,47400.0,47510.0,47785.0,47803.0,47831.0,47852.0,47885.0,47912.0,47929.0,48001.0,48076.0,48124.0,48139.0,48187.0,48218.0,48410.0,48574.0
5088178,51000.0,51110.0,51385.0,51403.0,51431.0,51452.0,51485.0,51512.0,51529.0,51601.0,51676.0,51724.0,51739.0,51787.0,51818.0,52010.0,52174.0
5088180,58200.0,58364.0,58633.0,58650.0,58678.0,58698.0,58730.0,58757.0,58773.0,58858.0,58939.0,58985.0,58999.0,59042.0,59084.0,59276.0,59440.0
5088182,61800.0,61964.0,62233.0,62250.0,62278.0,62298.0,62330.0,62357.0,62373.0,62458.0,62539.0,62585.0,62599.0,62642.0,62684.0,62876.0,63040.0
5088184,65400.0,65564.0,65833.0,65850.0,65878.0,65898.0,65930.0,65957.0,65973.0,66058.0,66139.0,66185.0,66199.0,66242.0,66284.0,66476.0,66640.0
5088186,69000.0,69125.0,69412.0,69431.0,69460.0,69482.0,69517.0,69546.0,69562.0,69635.0,69705.0,69753.0,69767.0,69810.0,69848.0,69899.0,69943.0
5088188,79800.0,79881.0,80167.0,80186.0,80215.0,80237.0,80271.0,80299.0,80316.0,80377.0,80443.0,80486.0,80500.0,80546.0,80587.0,80690.0,80779.0
5088190,83400.0,83481.0,83767.0,83786.0,83815.0,83837.0,83871.0,83899.0,83916.0,83977.0,84043.0,84086.0,84100.0,84146.0,84187.0,84290.0,84379.0
5089710,26100.0,26201.0,26445.0,26461.0,26486.0,26505.0,26534.0,26558.0,26572.0,26643.0,26707.0,26762.0,26775.0,26817.0,26843.0,27035.0,27199.0
5089712,29700.0,29817.0,30137.0,30158.0,30191.0,30215.0,30253.0,30285.0,30304.0,30400.0,30491.0,30548.0,30562.0,30605.0,30671.0,30837.0,30979.0
5089714,33300.0,33417.0,33737.0,33758.0,33791.0,33815.0,33853.0,33885.0,33904.0,34000.0,34091.0,34148.0,34162.0,34205.0,34271.0,34437.0,34579.0
5089716,36900.0,37009.0,37284.0,37302.0,37330.0,37351.0,37384.0,37411.0,37427.0,37490.0,37562.0,37613.0,37627.0,37671.0,37708.0,37825.0,37926.0
5089723,58500.0,58668.0,58971.0,58991.0,59022.0,59045.0,59081.0,59111.0,59130.0,59211.0,59308.0,59376.0,59390.0,59436.0,59483.0,59608.0,59715.0
5089725,62100.0,62268.0,62571.0,62591.0,62622.0,62645.0,62681.0,62711.0,62730.0,62811.0,62908.0,62976.0,62990.0,63036.0,63083.0,63208.0,63315.0
5089727,65700.0,65868.0,66171.0,66191.0,66222.0,66245.0,66281.0,66311.0,66330.0,66411.0,66508.0,66576.0,66590.0,66636.0,66683.0,66808.0,66915.0
5089729,76500.0,76587.0,76848.0,76865.0,76892.0,76912.0,76943.0,76969.0,76985.0,77048.0,77116.0,77161.0,77176.0,77223.0,77261.0,77316.0,77363.0
5089731,80100.0,80187.0,80448.0,80465.0,80492.0,80512.0,80543.0,80569.0,80585.0,80648.0,80716.0,80761.0,80776.0,80823.0,80861.0,80916.0,80963.0
5089733,83700.0,83787.0,84048.0,84065.0,84092.0,84112.0,84143.0,84169.0,84185.0,84248.0,84316.0,84361.0,84376.0,84423.0,84461.0,84516.0,84563.0
5091480,40500.0,40609.0,40884.0,40902.0,40930.0,40951.0,40984.0,41011.0,41027.0,41090.0,41162.0,41213.0,41227.0,41271.0,41308.0,41425.0,41526.0
5091482,44100.0,44229.0,44527.0,44546.0,44577.0,44600.0,44636.0,44666.0,44682.0,44754.0,44854.0,44909.0,44924.0,44971.0,45016.0,45124.0,45217.0
5091484,47700.0,47829.0,48127.0,48146.0,48177.0,48200.0,48236.0,48266.0,48282.0,48354.0,48454.0,48509.0,48524.0,48571.0,48616.0,48724.0,48817.0
5095499,54600.0,54764.0,55033.0,55050.0,55078.0,55098.0,55130.0,55157.0,55173.0,55258.0,55339.0,55385.0,55399.0,55442.0,55484.0,55676.0,55840.0
5096325,51300.0,51429.0,51727.0,51746.0,51777.0,51800.0,51836.0,51866.0,51882.0,51954.0,52054.0,52109.0,52124.0,52171.0,52216.0,52324.0,52417.0
5096327,54900.0,55068.0,55371.0,55391.0,55422.0,55445.0,55481.0,55511.0,55530.0,55611.0,55708.0,55776.0,55790.0,55836.0,55883.0,56008.0,56115.0
5096333,69300.0,69404.0,69677.0,69695.0,69723.0,69744.0,69777.0,69804.0,69819.0,69888.0,69960.0,70011.0,70025.0,70071.0,70112.0,70225.0,70321.0
