tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P
0,3333.0,3334.0,3352.0,3335.0,3336.0,3337.0,3338.0,3339.0,3340.0,4324.0,4769.0,4770.0,4765.0,4766.0,4767.0,4768.0,4326.0,7026.0
5002496,49500.0,49550.0,49596.0,49639.0,49675.0,49701.0,49773.0,49809.0,49863.0,49938.0,49963.0,50003.0,50033.0,50080.0,50119.0,50142.0,50532.0,50693.0
5002498,53100.0,53150.0,53196.0,53239.0,53275.0,53301.0,53373.0,53409.0,53463.0,53538.0,53563.0,53603.0,53633.0,53680.0,53719.0,53742.0,54132.0,54293.0
5002500,56700.0,56777.0,56849.0,56894.0,56930.0,56968.0,57070.0,57111.0,57208.0,57297.0,57327.0,57374.0,57409.0,57464.0,57510.0,57537.0,57997.0,58154.0
5002503,67500.0,67577.0,67649.0,67694.0,67730.0,67768.0,67870.0,67911.0,68008.0,68097.0,68127.0,68174.0,68209.0,68264.0,68310.0,68337.0,68797.0,68954.0
5002505,71100.0,71143.0,71183.0,71223.0,71257.0,71279.0,71337.0,71357.0,71432.0,71498.0,71520.0,71555.0,71581.0,71622.0,71656.0,71676.0,72016.0,72219.0
5004865,25320.0,25382.0,25440.0,25560.0,25620.0,25636.0,25680.0,25740.0,25800.0,25840.0,25854.0,25875.0,25891.0,25916.0,25937.0,25949.0,26160.0,26280.0
5004867,28920.0,28959.0,28995.0,29036.0,29069.0,29088.0,29141.0,29163.0,29216.0,29284.0,29307.0,29343.0,29370.0,29412.0,29447.0,29468.0,29822.0,30192.0
5004869,32520.0,32559.0,32595.0,32636.0,32669.0,32688.0,32741.0,32763.0,32816.0,32884.0,32907.0,32943.0,32970.0,33012.0,33047.0,33068.0,33422.0,33792.0
5004871,36120.0,36162.0,36202.0,36241.0,36278.0,36304.0,36375.0,36419.0,36468.0,36544.0,36570.0,36610.0,36640.0,36687.0,36726.0,36749.0,37146.0,37383.0
5004873,39720.0,39762.0,39802.0,39841.0,39878.0,39904.0,39975.0,40019.0,40068.0,40144.0,40170.0,40210.0,40240.0,40287.0,40326.0,40349.0,40746.0,40983.0
5004881,61320.0,61373.0,61422.0,61464.0,61499.0,61524.0,61592.0,61625.0,61700.0,61775.0,61800.0,61839.0,61868.0,61914.0,61952.0,61975.0,62364.0,62583.0
5005892,42300.0,42349.0,42394.0,42437.0,42474.0,42499.0,42567.0,42607.0,42667.0,42736.0,42759.0,42795.0,42822.0,42865.0,42900.0,42921.0,43280.0,43445.0
5005894,45900.0,45950.0,45996.0,46039.0,46075.0,46101.0,46173.0,46209.0,46263.0,46338.0,46363.0,46403.0,46433.0,46480.0,46519.0,46542.0,46932.0,47093.0
5014814,50520.0,50589.0,50654.0,50694.0,50728.0,50751.0,50813.0,50848.0,50907.0,50978.0,51002.0,51040.0,51068.0,51112.0,51149.0,51171.0,51542.0,51717.0
5016819,24300.0,24349.0,24394.0,24432.0,24463.0,24493.0,24576.0,24609.0,24671.0,24745.0,24770.0,24809.0,24838.0,24884.0,24922.0,24944.0,25326.0,25597.0
5016821,27900.0,27949.0,27994.0,28032.0,28063.0,28093.0,28176.0,28209.0,28271.0,28345.0,28370.0,28409.0,28438.0,28484.0,28522.0,28544.0,28926.0,29197.0
5016823,31500.0,31552.0,31601.0,31643.0,31677.0,31702.0,31769.0,31804.0,31877.0,31953.0,31978.0,32018.0,32048.0,32095.0,32134.0,32157.0,32552.0,32777.0
5016825,35100.0,35152.0,35201.0,35243.0,35277.0,35302.0,35369.0,35404.0,35477.0,35553.0,35578.0,35618.0,35648.0,35695.0,35734.0,35757.0,36152.0,36377.0
5016827,38700.0,38749.0,38794.0,38837.0,38874.0,38899.0,38967.0,39007.0,39067.0,39136.0,39159.0,39195.0,39222.0,39265.0,39300.0,39321.0,39680.0,39845.0
5016834,60300.0,60377.0,60449.0,60494.0,60530.0,60568.0,60670.0,60711.0,60808.0,60897.0,60927.0,60974.0,61009.0,61064.0,61110.0,61137.0,61597.0,61754.0
5016836,63900.0,63977.0,64049.0,64094.0,64130.0,64168.0,64270.0,64311.0,64408.0,64497.0,64527.0,64574.0,64609.0,64664.0,64710.0,64737.0,65197.0,65354.0
5016840,78300.0,78324.0,78346.0,78386.0,78420.0,78442.0,78501.0,78518.0,78576.0,78637.0,78657.0,78689.0,78713.0,78751.0,78782.0,78800.0,79116.0,79363.0
5016842,81900.0,81924.0,81946.0,81986.0,82020.0,82042.0,82101.0,82118.0,82176.0,82237.0,82257.0,82289.0,82313.0,82351.0,82382.0,82400.0,82716.0,82963.0
5018288,67200.0,67235.0,67268.0,67305.0,67334.0,67355.0,67413.0,67438.0,67508.0,67569.0,67589.0,67621.0,67645.0,67683.0,67714.0,67733.0,68051.0,68254.0
5088173,42000.0,42053.0,42103.0,42138.0,42175.0,42200.0,42265.0,42289.0,42338.0,42394.0,42413.0,42442.0,42464.0,42499.0,42528.0,42545.0,42833.0,42979.0
5088175,45600.0,45658.0,45712.0,45761.0,45798.0,45824.0,45891.0,45929.0,45973.0,46048.0,46073.0,46113.0,46143.0,46190.0,46229.0,46252.0,46643.0,46942.0
5088177,49200.0,49258.0,49312.0,49361.0,49398.0,49424.0,49491.0,49529.0,49573.0,49648.0,49673.0,49713.0,49743.0,49790.0,49829.0,49852.0,50243.0,50542.0
