tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P
0,1791.0,1792.0,1793.0,962.0,635.0,636.0,637.0,638.0,639.0,640.0,641.0,642.0,643.0,644.0,645.0,1796.0,1797.0,1798.0,1799.0,1800.0,1801.0,1277.0,1219.0,1220.0,1221.0,664.0,665.0,666.0,667.0,668.0,614.0,615.0,616.0,617.0,618.0,619.0,675.0,620.0,7568.0
5005055,27000.0,27093.0,27131.0,27193.0,27239.0,27268.0,27315.0,27338.0,27362.0,27403.0,27421.0,27452.0,27484.0,27512.0,27561.0,27617.0,27648.0,27693.0,27724.0,27755.0,27790.0,27839.0,27865.0,27911.0,27969.0,28028.0,28060.0,28093.0,28126.0,28203.0,28258.0,28310.0,28354.0,28406.0,28457.0,28519.0,28552.0,28663.0,28878.0
5005057,32400.0,32508.0,32552.0,32625.0,32677.0,32710.0,32764.0,32790.0,32818.0,32865.0,32886.0,32921.0,32958.0,32990.0,33046.0,33111.0,33147.0,33199.0,33235.0,33271.0,33355.0,33475.0,33511.0,33576.0,33663.0,33750.0,33795.0,33840.0,33886.0,33995.0,34073.0,34148.0,34210.0,34287.0,34364.0,34444.0,34486.0,34609.0,34846.0
5005059,37800.0,37889.0,37925.0,37984.0,38032.0,38062.0,38112.0,38136.0,38161.0,38204.0,38223.0,38255.0,38288.0,38317.0,38369.0,38424.0,38454.0,38498.0,38528.0,38559.0,38602.0,38663.0,38694.0,38749.0,38813.0,38878.0,38917.0,38956.0,38995.0,39066.0,39118.0,39169.0,39211.0,39255.0,39299.0,39351.0,39379.0,39501.0,39737.0
5005061,43200.0,43294.0,43332.0,43395.0,43439.0,43467.0,43513.0,43535.0,43558.0,43598.0,43616.0,43646.0,43677.0,43704.0,43752.0,43806.0,43836.0,43879.0,43909.0,43940.0,44001.0,44088.0,44116.0,44167.0,44232.0,44297.0,44332.0,44367.0,44402.0,44483.0,44542.0,44594.0,44637.0,44680.0,44723.0,44771.0,44796.0,44917.0,45151.0
5005063,48600.0,48694.0,48732.0,48795.0,48839.0,48867.0,48913.0,48935.0,48958.0,48998.0,49016.0,49046.0,49077.0,49104.0,49152.0,49206.0,49236.0,49279.0,49309.0,49340.0,49401.0,49488.0,49516.0,49567.0,49632.0,49697.0,49732.0,49767.0,49802.0,49883.0,49942.0,49994.0,50037.0,50080.0,50123.0,50171.0,50196.0,50317.0,50551.0
5005065,54000.0,54091.0,54128.0,54190.0,54231.0,54257.0,54299.0,54320.0,54342.0,54379.0,54395.0,54423.0,54452.0,54477.0,54520.0,54567.0,54593.0,54630.0,54656.0,54682.0,54733.0,54805.0,54838.0,54896.0,54946.0,54997.0,55031.0,55065.0,55100.0,55174.0,55228.0,55282.0,55326.0,55367.0,55407.0,55447.0,55469.0,55589.0,55820.0
5005067,59400.0,59491.0,59528.0,59590.0,59631.0,59657.0,59699.0,59720.0,59742.0,59779.0,59795.0,59823.0,59852.0,59877.0,59920.0,59967.0,59993.0,60030.0,60056.0,60082.0,60133.0,60205.0,60238.0,60296.0,60346.0,60397.0,60431.0,60465.0,60500.0,60574.0,60628.0,60682.0,60726.0,60767.0,60807.0,60847.0,60869.0,60989.0,61220.0
5005069,64800.0,64891.0,64928.0,64990.0,65031.0,65057.0,65099.0,65120.0,65142.0,65179.0,65195.0,65223.0,65252.0,65277.0,65320.0,65367.0,65393.0,65430.0,65456.0,65482.0,65533.0,65605.0,65638.0,65696.0,65746.0,65797.0,65831.0,65865.0,65900.0,65974.0,66028.0,66082.0,66126.0,66167.0,66207.0,66247.0,66269.0,66389.0,66620.0
5005071,70200.0,70285.0,70319.0,70376.0,70412.0,70435.0,70473.0,70491.0,70510.0,70543.0,70557.0,70581.0,70606.0,70628.0,70669.0,70710.0,70733.0,70766.0,70789.0,70811.0,70842.0,70885.0,70911.0,70958.0,71012.0,71067.0,71098.0,71129.0,71160.0,71224.0,71270.0,71316.0,71355.0,71392.0,71429.0,71464.0,71482.0,71585.0,71784.0
5005073,77400.0,77482.0,77515.0,77570.0,77604.0,77625.0,77660.0,77677.0,77695.0,77726.0,77739.0,77762.0,77786.0,77807.0,77843.0,77887.0,77912.0,77947.0,77972.0,77997.0,78024.0,78063.0,78085.0,78123.0,78166.0,78209.0,78234.0,78259.0,78284.0,78347.0,78392.0,78427.0,78456.0,78484.0,78511.0,78541.0,78557.0,78660.0,78858.0
5005075,83700.0,83782.0,83815.0,83870.0,83904.0,83925.0,83960.0,83977.0,83995.0,84026.0,84039.0,84062.0,84086.0,84107.0,84143.0,84187.0,84212.0,84247.0,84272.0,84297.0,84324.0,84363.0,84385.0,84423.0,84466.0,84509.0,84534.0,84559.0,84584.0,84647.0,84692.0,84727.0,84756.0,84784.0,84811.0,84841.0,84857.0,84960.0,85158.0
5008135,37800.0,37897.0,37936.0,38002.0,38049.0,38078.0,38126.0,38149.0,38174.0,38216.0,38235.0,38266.0,38299.0,38328.0,38379.0,38432.0,38462.0,38504.0,38534.0,38564.0,38605.0,38664.0,38695.0,38750.0,38817.0,38884.0,38924.0,38964.0,39005.0,39076.0,39128.0,39178.0,39219.0,39262.0,39305.0,39353.0,39379.0,39493.0,39711.0
5008137,43200.0,43302.0,43343.0,43411.0,43460.0,43491.0,43541.0,43565.0,43591.0,43635.0,43654.0,43687.0,43721.0,43751.0,43802.0,43856.0,43886.0,43929.0,43959.0,43991.0,44043.0,44118.0,44151.0,44209.0,44273.0,44338.0,44373.0,44408.0,44444.0,44529.0,44590.0,44649.0,44698.0,44743.0,44787.0,44835.0,44860.0,44981.0,45215.0
5008141,54000.0,54097.0,54136.0,54201.0,54242.0,54268.0,54310.0,54331.0,54353.0,54390.0,54406.0,54434.0,54463.0,54488.0,54531.0,54578.0,54604.0,54642.0,54668.0,54696.0,54727.0,54771.0,54798.0,54845.0,54903.0,54962.0,54988.0,55015.0,55042.0,55110.0,55159.0,55215.0,55262.0,55301.0,55340.0,55382.0,55405.0,55522.0,55748.0
5008145,64800.0,64897.0,64936.0,65001.0,65042.0,65068.0,65110.0,65131.0,65153.0,65190.0,65206.0,65234.0,65263.0,65288.0,65331.0,65378.0,65404.0,65442.0,65468.0,65496.0,65527.0,65571.0,65598.0,65645.0,65703.0,65762.0,65788.0,65815.0,65842.0,65910.0,65959.0,66015.0,66062.0,66101.0,66140.0,66182.0,66205.0,66322.0,66548.0
5008147,70200.0,70307.0,70350.0,70422.0,70459.0,70482.0,70521.0,70540.0,70560.0,70594.0,70609.0,70634.0,70660.0,70683.0,70723.0,70766.0,70790.0,70825.0,70849.0,70874.0,70899.0,70935.0,70953.0,70986.0,71046.0,71106.0,71144.0,71183.0,71222.0,71267.0,71300.0,71325.0,71345.0,71380.0,71415.0,71472.0,71502.0,71592.0,71764.0
5008149,77400.0,77477.0,77508.0,77560.0,77594.0,77615.0,77650.0,77667.0,77685.0,77715.0,77728.0,77751.0,77774.0,77795.0,77830.0,77877.0,77903.0,77940.0,77966.0,77993.0,78018.0,78054.0,78079.0,78122.0,78163.0,78204.0,78231.0,78259.0,78287.0,78373.0,78435.0,78479.0,78516.0,78543.0,78570.0,78618.0,78644.0,78745.0,78939.0
5008151,83700.0,83777.0,83808.0,83860.0,83894.0,83915.0,83950.0,83967.0,83985.0,84015.0,84028.0,84051.0,84074.0,84095.0,84130.0,84177.0,84203.0,84240.0,84266.0,84293.0,84318.0,84354.0,84379.0,84422.0,84463.0,84504.0,84531.0,84559.0,84587.0,84673.0,84735.0,84779.0,84816.0,84843.0,84870.0,84918.0,84944.0,85045.0,85239.0
5008947,25200.0,25293.0,25331.0,25393.0,25439.0,25468.0,25515.0,25538.0,25562.0,25603.0,25621.0,25652.0,25684.0,25712.0,25761.0,25817.0,25848.0,25893.0,25924.0,25955.0,25990.0,26039.0,26065.0,26111.0,26169.0,26228.0,26260.0,26293.0,26326.0,26403.0,26458.0,26510.0,26554.0,26606.0,26657.0,26719.0,26752.0,26863.0,27078.0
5008949,30600.0,30708.0,30752.0,30825.0,30877.0,30910.0,30964.0,30990.0,31018.0,31065.0,31086.0,31121.0,31158.0,31190.0,31246.0,31311.0,31347.0,31399.0,31435.0,31471.0,31555.0,31675.0,31711.0,31776.0,31863.0,31950.0,31995.0,32040.0,32086.0,32195.0,32273.0,32348.0,32410.0,32487.0,32564.0,32644.0,32686.0,32809.0,33046.0
5008951,36000.0,36089.0,36125.0,36184.0,36232.0,36262.0,36312.0,36336.0,36361.0,36404.0,36423.0,36455.0,36488.0,36517.0,36569.0,36624.0,36654.0,36698.0,36728.0,36759.0,36802.0,36863.0,36894.0,36949.0,37013.0,37078.0,37117.0,37156.0,37195.0,37266.0,37318.0,37369.0,37411.0,37455.0,37499.0,37551.0,37579.0,37701.0,37937.0
5008953,41400.0,41489.0,41525.0,41584.0,41632.0,41662.0,41712.0,41736.0,41761.0,41804.0,41823.0,41855.0,41888.0,41917.0,41969.0,42024.0,42054.0,42098.0,42128.0,42159.0,42202.0,42263.0,42294.0,42349.0,42413.0,42478.0,42517.0,42556.0,42595.0,42666.0,42718.0,42769.0,42811.0,42855.0,42899.0,42951.0,42979.0,43101.0,43337.0
5008955,46800.0,46894.0,46932.0,46995.0,47039.0,47067.0,47113.0,47135.0,47158.0,47198.0,47216.0,47246.0,47277.0,47304.0,47352.0,47406.0,47436.0,47479.0,47509.0,47540.0,47601.0,47688.0,47716.0,47767.0,47832.0,47897.0,47932.0,47967.0,48002.0,48083.0,48142.0,48194.0,48237.0,48280.0,48323.0,48371.0,48396.0,48517.0,48751.0
5008957,52200.0,52294.0,52332.0,52395.0,52439.0,52467.0,52513.0,52535.0,52558.0,52598.0,52616.0,52646.0,52677.0,52704.0,52752.0,52806.0,52836.0,52879.0,52909.0,52940.0,53001.0,53088.0,53116.0,53167.0,53232.0,53297.0,53332.0,53367.0,53402.0,53483.0,53542.0,53594.0,53637.0,53680.0,53723.0,53771.0,53796.0,53917.0,54151.0
5008959,57600.0,57691.0,57728.0,57790.0,57831.0,57857.0,57899.0,57920.0,57942.0,57979.0,57995.0,58023.0,58052.0,58077.0,58120.0,58167.0,58193.0,58230.0,58256.0,58282.0,58333.0,58405.0,58438.0,58496.0,58546.0,58597.0,58631.0,58665.0,58700.0,58774.0,58828.0,58882.0,58926.0,58967.0,59007.0,59047.0,59069.0,59189.0,59420.0
5008961,63000.0,63091.0,63128.0,63190.0,63231.0,63257.0,63299.0,63320.0,63342.0,63379.0,63395.0,63423.0,63452.0,63477.0,63520.0,63567.0,63593.0,63630.0,63656.0,63682.0,63733.0,63805.0,63838.0,63896.0,63946.0,63997.0,64031.0,64065.0,64100.0,64174.0,64228.0,64282.0,64326.0,64367.0,64407.0,64447.0,64469.0,64589.0,64820.0
