tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P
0,300.0,7490.0,497.0,515.0,516.0,4384.0,519.0,521.0,522.0,7659.0,523.0,669.0,670.0,671.0,672.0,4382.0,1196.0,1197.0,1198.0,1222.0,1223.0,1224.0,1225.0,1226.0,1227.0,1228.0,1244.0,254.0,1246.0,1229.0,1231.0,1232.0,1233.0,1234.0,7358.0,5174.0,6078.0,7112.0,972.0,1625.0,1626.0,1627.0,1628.0,1629.0,6234.0,332.0
5002850,32400.0,32650.0,32676.0,32762.0,32828.0,32871.0,32924.0,32948.0,32982.0,33003.0,33019.0,33068.0,33115.0,33141.0,33182.0,33202.0,33267.0,33298.0,33364.0,33398.0,33421.0,33451.0,33492.0,33539.0,33603.0,33651.0,33688.0,33827.0,33974.0,34014.0,34049.0,34072.0,34088.0,34110.0,34150.0,34204.0,34231.0,34293.0,34351.0,34498.0,34556.0,34629.0,34671.0,34702.0,34923.0,34934.0
5002852,39900.0,40012.0,40035.0,40110.0,40168.0,40208.0,40257.0,40285.0,40325.0,40350.0,40366.0,40416.0,40465.0,40491.0,40532.0,40552.0,40620.0,40652.0,40723.0,40757.0,40780.0,40811.0,40853.0,40901.0,40965.0,41013.0,41050.0,41188.0,41331.0,41369.0,41406.0,41430.0,41448.0,41468.0,41505.0,41555.0,41580.0,41637.0,41690.0,41824.0,41871.0,41930.0,41969.0,42005.0,42223.0,42233.0
5002854,62700.0,62844.0,62881.0,63004.0,63098.0,63150.0,63213.0,63248.0,63298.0,63329.0,63364.0,63469.0,63571.0,63606.0,63662.0,63691.0,63777.0,63818.0,63897.0,63946.0,63979.0,64023.0,64079.0,64142.0,64209.0,64259.0,64298.0,64444.0,64584.0,64622.0,64667.0,64696.0,64718.0,64746.0,64798.0,64868.0,64903.0,64983.0,65058.0,65249.0,65306.0,65378.0,65418.0,65453.0,65676.0,65687.0
5002856,69600.0,69686.0,69711.0,69794.0,69857.0,69898.0,69949.0,69978.0,70019.0,70044.0,70064.0,70124.0,70182.0,70210.0,70255.0,70277.0,70347.0,70380.0,70439.0,70477.0,70503.0,70537.0,70581.0,70631.0,70687.0,70729.0,70762.0,70883.0,70996.0,71026.0,71066.0,71092.0,71112.0,71132.0,71169.0,71219.0,71244.0,71301.0,71354.0,71489.0,71529.0,71579.0,71614.0,71639.0,71839.0,71849.0
5002858,77400.0,77480.0,77502.0,77574.0,77629.0,77668.0,77716.0,77743.0,77781.0,77804.0,77820.0,77868.0,77914.0,77938.0,77976.0,77996.0,78062.0,78093.0,78157.0,78191.0,78214.0,78243.0,78288.0,78340.0,78395.0,78436.0,78468.0,78585.0,78685.0,78712.0,78754.0,78782.0,78803.0,78821.0,78855.0,78901.0,78924.0,78976.0,79025.0,79148.0,79182.0,79225.0,79261.0,79286.0,79487.0,79497.0
5004999,35100.0,35212.0,35235.0,35310.0,35368.0,35408.0,35457.0,35485.0,35525.0,35550.0,35566.0,35616.0,35665.0,35691.0,35732.0,35752.0,35820.0,35852.0,35923.0,35957.0,35980.0,36011.0,36053.0,36101.0,36165.0,36213.0,36250.0,36388.0,36531.0,36569.0,36606.0,36630.0,36648.0,36668.0,36705.0,36755.0,36780.0,36837.0,36890.0,37024.0,37071.0,37130.0,37169.0,37205.0,37423.0,37433.0
5005001,49800.0,49911.0,49938.0,50026.0,50094.0,50143.0,50203.0,50233.0,50275.0,50300.0,50321.0,50383.0,50443.0,50476.0,50528.0,50554.0,50637.0,50677.0,50765.0,50810.0,50840.0,50881.0,50940.0,51007.0,51081.0,51136.0,51179.0,51339.0,51485.0,51525.0,51569.0,51598.0,51620.0,51646.0,51694.0,51759.0,51791.0,51866.0,51936.0,52113.0,52169.0,52238.0,52281.0,52318.0,52553.0,52564.0
5005007,75600.0,75680.0,75702.0,75774.0,75829.0,75868.0,75916.0,75943.0,75981.0,76004.0,76020.0,76068.0,76114.0,76138.0,76176.0,76196.0,76262.0,76293.0,76357.0,76391.0,76414.0,76443.0,76488.0,76540.0,76595.0,76636.0,76668.0,76785.0,76885.0,76912.0,76954.0,76982.0,77003.0,77021.0,77055.0,77101.0,77124.0,77176.0,77225.0,77348.0,77382.0,77425.0,77461.0,77486.0,77687.0,77697.0
5005761,28200.0,28272.0,28290.0,28349.0,28395.0,28427.0,28465.0,28483.0,28508.0,28523.0,28537.0,28580.0,28622.0,28642.0,28673.0,28689.0,28742.0,28767.0,28811.0,28836.0,28853.0,28876.0,28914.0,28957.0,29006.0,29042.0,29070.0,29175.0,29269.0,29294.0,29329.0,29352.0,29369.0,29389.0,29426.0,29476.0,29501.0,29558.0,29611.0,29747.0,29788.0,29838.0,29877.0,29904.0,30122.0,30132.0
5005765,40200.0,40282.0,40302.0,40368.0,40419.0,40456.0,40501.0,40525.0,40559.0,40580.0,40593.0,40633.0,40673.0,40698.0,40737.0,40757.0,40845.0,40888.0,40952.0,40984.0,41005.0,41033.0,41076.0,41125.0,41173.0,41209.0,41237.0,41340.0,41449.0,41479.0,41515.0,41539.0,41556.0,41576.0,41612.0,41661.0,41685.0,41741.0,41793.0,41927.0,41980.0,42047.0,42086.0,42124.0,42347.0,42358.0
5005767,46500.0,46608.0,46634.0,46718.0,46782.0,46820.0,46867.0,46893.0,46929.0,46951.0,46972.0,47037.0,47100.0,47126.0,47168.0,47189.0,47267.0,47304.0,47379.0,47420.0,47447.0,47483.0,47522.0,47567.0,47625.0,47668.0,47702.0,47826.0,47941.0,47972.0,48014.0,48041.0,48061.0,48082.0,48120.0,48171.0,48196.0,48254.0,48308.0,48444.0,48492.0,48551.0,48590.0,48615.0,48828.0,48838.0
5005771,59700.0,59818.0,59845.0,59934.0,60002.0,60044.0,60096.0,60123.0,60162.0,60186.0,60203.0,60254.0,60303.0,60327.0,60365.0,60383.0,60451.0,60484.0,60563.0,60599.0,60623.0,60656.0,60707.0,60766.0,60823.0,60865.0,60898.0,61021.0,61138.0,61170.0,61211.0,61238.0,61257.0,61277.0,61313.0,61362.0,61386.0,61442.0,61494.0,61627.0,61668.0,61719.0,61754.0,61784.0,61975.0,61984.0
5005773,65700.0,65818.0,65845.0,65934.0,66002.0,66044.0,66096.0,66123.0,66162.0,66186.0,66203.0,66254.0,66303.0,66327.0,66365.0,66383.0,66451.0,66484.0,66563.0,66599.0,66623.0,66656.0,66707.0,66766.0,66823.0,66865.0,66898.0,67021.0,67138.0,67170.0,67211.0,67238.0,67257.0,67277.0,67313.0,67362.0,67386.0,67442.0,67494.0,67627.0,67668.0,67719.0,67754.0,67784.0,67975.0,67984.0
5006524,29400.0,29472.0,29490.0,29549.0,29595.0,29627.0,29665.0,29683.0,29708.0,29723.0,29737.0,29780.0,29822.0,29842.0,29873.0,29889.0,29942.0,29967.0,30011.0,30036.0,30053.0,30076.0,30114.0,30157.0,30206.0,30242.0,30270.0,30375.0,30469.0,30494.0,30529.0,30552.0,30569.0,30589.0,30626.0,30676.0,30701.0,30758.0,30811.0,30947.0,30988.0,31038.0,31077.0,31104.0,31322.0,31332.0
5006526,35400.0,35482.0,35502.0,35568.0,35619.0,35656.0,35701.0,35725.0,35759.0,35780.0,35793.0,35833.0,35873.0,35898.0,35937.0,35957.0,36045.0,36088.0,36152.0,36184.0,36205.0,36233.0,36276.0,36325.0,36373.0,36409.0,36437.0,36540.0,36649.0,36679.0,36715.0,36739.0,36756.0,36776.0,36812.0,36861.0,36885.0,36941.0,36993.0,37127.0,37180.0,37247.0,37286.0,37324.0,37547.0,37558.0
5006530,47700.0,47808.0,47834.0,47918.0,47982.0,48020.0,48067.0,48093.0,48129.0,48151.0,48172.0,48237.0,48300.0,48326.0,48368.0,48389.0,48467.0,48504.0,48579.0,48620.0,48647.0,48683.0,48722.0,48767.0,48825.0,48868.0,48902.0,49026.0,49141.0,49172.0,49214.0,49241.0,49261.0,49282.0,49320.0,49371.0,49396.0,49454.0,49508.0,49644.0,49692.0,49751.0,49790.0,49815.0,50028.0,50038.0
5006532,54300.0,54418.0,54445.0,54534.0,54602.0,54644.0,54696.0,54723.0,54762.0,54786.0,54803.0,54854.0,54903.0,54927.0,54965.0,54983.0,55051.0,55084.0,55163.0,55199.0,55223.0,55256.0,55307.0,55366.0,55423.0,55465.0,55498.0,55621.0,55738.0,55770.0,55811.0,55838.0,55857.0,55877.0,55913.0,55962.0,55986.0,56042.0,56094.0,56227.0,56268.0,56319.0,56354.0,56384.0,56575.0,56584.0
5006534,60600.0,60718.0,60745.0,60834.0,60902.0,60944.0,60996.0,61023.0,61062.0,61086.0,61103.0,61154.0,61203.0,61227.0,61265.0,61283.0,61351.0,61384.0,61463.0,61499.0,61523.0,61556.0,61607.0,61666.0,61723.0,61765.0,61798.0,61921.0,62038.0,62070.0,62111.0,62138.0,62157.0,62177.0,62213.0,62262.0,62286.0,62342.0,62394.0,62527.0,62568.0,62619.0,62654.0,62684.0,62875.0,62884.0
5006540,78900.0,78992.0,79013.0,79082.0,79134.0,79172.0,79218.0,79239.0,79268.0,79286.0,79300.0,79342.0,79382.0,79406.0,79444.0,79462.0,79537.0,79573.0,79639.0,79673.0,79696.0,79725.0,79748.0,79775.0,79820.0,79853.0,79879.0,79975.0,80056.0,80078.0,80113.0,80136.0,80152.0,80169.0,80201.0,80243.0,80264.0,80313.0,80358.0,80474.0,80508.0,80551.0,80585.0,80610.0,80802.0,80811.0
5007580,26100.0,26174.0,26192.0,26251.0,26297.0,26318.0,26343.0,26358.0,26379.0,26392.0,26402.0,26432.0,26460.0,26475.0,26499.0,26512.0,26561.0,26584.0,26629.0,26651.0,26666.0,26685.0,26715.0,26750.0,26795.0,26828.0,26854.0,26951.0,27038.0,27061.0,27096.0,27119.0,27136.0,27151.0,27179.0,27217.0,27236.0,27279.0,27319.0,27422.0,27458.0,27503.0,27539.0,27560.0,27787.0,27798.0
5007584,37800.0,37882.0,37902.0,37968.0,38019.0,38056.0,38101.0,38125.0,38159.0,38180.0,38193.0,38233.0,38273.0,38298.0,38337.0,38357.0,38445.0,38488.0,38552.0,38584.0,38605.0,38633.0,38676.0,38725.0,38773.0,38809.0,38837.0,38940.0,39049.0,39079.0,39115.0,39139.0,39156.0,39176.0,39212.0,39261.0,39285.0,39341.0,39393.0,39527.0,39580.0,39647.0,39686.0,39724.0,39947.0,39958.0
5007586,44100.0,44208.0,44234.0,44318.0,44382.0,44420.0,44467.0,44493.0,44529.0,44551.0,44572.0,44637.0,44700.0,44726.0,44768.0,44789.0,44867.0,44904.0,44979.0,45020.0,45047.0,45083.0,45122.0,45167.0,45225.0,45268.0,45302.0,45426.0,45541.0,45572.0,45614.0,45641.0,45661.0,45682.0,45720.0,45771.0,45796.0,45854.0,45908.0,46044.0,46092.0,46151.0,46190.0,46215.0,46428.0,46438.0
5007590,57300.0,57418.0,57445.0,57534.0,57602.0,57644.0,57696.0,57723.0,57762.0,57786.0,57803.0,57854.0,57903.0,57927.0,57965.0,57983.0,58051.0,58084.0,58163.0,58199.0,58223.0,58256.0,58307.0,58366.0,58423.0,58465.0,58498.0,58621.0,58738.0,58770.0,58811.0,58838.0,58857.0,58877.0,58913.0,58962.0,58986.0,59042.0,59094.0,59227.0,59268.0,59319.0,59354.0,59384.0,59575.0,59584.0
