tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P
0,324.0,1634.0,1635.0,1636.0,1637.0,1638.0,992.0,7044.0,993.0,5060.0,5061.0,1231.0,1232.0,1233.0,1234.0,7358.0,1235.0,1251.0,253.0,5033.0,7130.0,1237.0,1238.0,1239.0,247.0,1240.0,1241.0,1242.0,1277.0,1219.0,1220.0,1221.0,664.0,665.0,666.0,667.0,668.0,614.0,615.0,616.0,617.0,618.0,619.0,675.0,4415.0,303.0
5002851,35400.0,35683.0,35694.0,35742.0,35798.0,35841.0,35917.0,35998.0,36027.0,36082.0,36104.0,36137.0,36160.0,36176.0,36203.0,36253.0,36310.0,36374.0,36519.0,36547.0,36709.0,36735.0,36801.0,36843.0,36897.0,36934.0,36965.0,37002.0,37057.0,37088.0,37142.0,37220.0,37298.0,37335.0,37373.0,37411.0,37482.0,37533.0,37584.0,37627.0,37666.0,37705.0,37759.0,37788.0,37899.0,38117.0
5002853,59100.0,59416.0,59428.0,59481.0,59556.0,59608.0,59701.0,59801.0,59836.0,59904.0,59931.0,59971.0,59999.0,60019.0,60045.0,60092.0,60146.0,60210.0,60354.0,60382.0,60548.0,60575.0,60642.0,60681.0,60732.0,60767.0,60808.0,60856.0,60927.0,60957.0,61011.0,61067.0,61123.0,61159.0,61195.0,61232.0,61311.0,61368.0,61423.0,61469.0,61510.0,61551.0,61605.0,61634.0,61757.0,61999.0
5002855,66000.0,66316.0,66328.0,66381.0,66456.0,66508.0,66601.0,66701.0,66736.0,66804.0,66831.0,66871.0,66899.0,66919.0,66945.0,66992.0,67046.0,67110.0,67254.0,67282.0,67448.0,67475.0,67542.0,67581.0,67632.0,67667.0,67708.0,67756.0,67827.0,67857.0,67911.0,67967.0,68023.0,68059.0,68095.0,68132.0,68211.0,68268.0,68323.0,68369.0,68410.0,68451.0,68505.0,68534.0,68657.0,68899.0
5002857,74100.0,74369.0,74380.0,74426.0,74489.0,74530.0,74603.0,74682.0,74710.0,74763.0,74784.0,74816.0,74838.0,74855.0,74878.0,74919.0,74967.0,75016.0,75128.0,75150.0,75279.0,75300.0,75353.0,75385.0,75427.0,75455.0,75482.0,75514.0,75561.0,75588.0,75636.0,75689.0,75742.0,75772.0,75802.0,75832.0,75903.0,75955.0,76005.0,76046.0,76081.0,76115.0,76155.0,76177.0,76296.0,76530.0
5002859,80400.0,80650.0,80659.0,80696.0,80751.0,80787.0,80851.0,80920.0,80944.0,80991.0,81010.0,81038.0,81058.0,81073.0,81093.0,81129.0,81171.0,81212.0,81304.0,81322.0,81434.0,81452.0,81498.0,81525.0,81561.0,81585.0,81605.0,81629.0,81665.0,81688.0,81730.0,81774.0,81819.0,81845.0,81871.0,81897.0,81959.0,82004.0,82045.0,82079.0,82110.0,82140.0,82179.0,82200.0,82311.0,82529.0
5005000,46200.0,46527.0,46538.0,46579.0,46654.0,46701.0,46784.0,46873.0,46905.0,46966.0,46990.0,47026.0,47051.0,47070.0,47095.0,47140.0,47193.0,47261.0,47414.0,47443.0,47609.0,47636.0,47703.0,47743.0,47795.0,47831.0,47865.0,47905.0,47967.0,47999.0,48055.0,48112.0,48170.0,48205.0,48240.0,48275.0,48350.0,48404.0,48458.0,48503.0,48544.0,48584.0,48637.0,48665.0,48787.0,49027.0
5005002,53400.0,53716.0,53728.0,53781.0,53856.0,53908.0,54001.0,54101.0,54136.0,54204.0,54231.0,54271.0,54299.0,54319.0,54345.0,54392.0,54446.0,54510.0,54654.0,54682.0,54848.0,54875.0,54942.0,54981.0,55032.0,55067.0,55108.0,55156.0,55227.0,55257.0,55311.0,55367.0,55423.0,55459.0,55495.0,55532.0,55611.0,55668.0,55723.0,55769.0,55810.0,55851.0,55905.0,55934.0,56057.0,56299.0
5005006,72000.0,72269.0,72280.0,72326.0,72389.0,72430.0,72503.0,72582.0,72610.0,72663.0,72684.0,72716.0,72738.0,72755.0,72778.0,72819.0,72867.0,72916.0,73028.0,73050.0,73179.0,73200.0,73253.0,73285.0,73327.0,73355.0,73382.0,73414.0,73461.0,73488.0,73536.0,73589.0,73642.0,73672.0,73702.0,73732.0,73803.0,73855.0,73905.0,73946.0,73981.0,74015.0,74055.0,74077.0,74196.0,74430.0
5005008,78900.0,79150.0,79159.0,79196.0,79251.0,79287.0,79351.0,79420.0,79444.0,79491.0,79510.0,79538.0,79558.0,79573.0,79593.0,79629.0,79671.0,79712.0,79804.0,79822.0,79934.0,79952.0,79998.0,80025.0,80061.0,80085.0,80105.0,80129.0,80165.0,80188.0,80230.0,80274.0,80319.0,80345.0,80371.0,80397.0,80459.0,80504.0,80545.0,80579.0,80610.0,80640.0,80679.0,80700.0,80811.0,81029.0
