tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P
0,950.0,915.0,916.0,917.0,918.0,919.0,7551.0,4800.0,5157.0,5154.0,4804.0,738.0,739.0,740.0,741.0,742.0,743.0,744.0,745.0,600.0,654.0,655.0,656.0,657.0,658.0,659.0,604.0,605.0,606.0,607.0,608.0,609.0,610.0,611.0,612.0,613.0,614.0,615.0,616.0,617.0,618.0,619.0,675.0,620.0,621.0,291.0
5004687,27600.0,27628.0,27648.0,27674.0,27710.0,27747.0,27807.0,27874.0,27965.0,28009.0,28054.0,28108.0,28204.0,28303.0,28345.0,28415.0,28475.0,28551.0,28651.0,28698.0,28764.0,28834.0,28886.0,28925.0,28999.0,29044.0,29123.0,29164.0,29244.0,29317.0,29361.0,29448.0,29511.0,29613.0,29682.0,29762.0,29927.0,30024.0,30105.0,30185.0,30265.0,30359.0,30409.0,30537.0,30621.0,30744.0
5004689,34800.0,34828.0,34848.0,34878.0,34919.0,34962.0,35006.0,35056.0,35124.0,35157.0,35191.0,35231.0,35315.0,35393.0,35427.0,35491.0,35546.0,35615.0,35707.0,35747.0,35803.0,35863.0,35907.0,35940.0,36003.0,36041.0,36101.0,36132.0,36179.0,36234.0,36267.0,36312.0,36344.0,36404.0,36445.0,36492.0,36589.0,36639.0,36681.0,36730.0,36779.0,36834.0,36863.0,36981.0,37058.0,37171.0
5004691,45600.0,45645.0,45679.0,45709.0,45751.0,45796.0,45843.0,45895.0,45966.0,46001.0,46036.0,46078.0,46168.0,46244.0,46277.0,46343.0,46399.0,46470.0,46565.0,46607.0,46666.0,46729.0,46775.0,46810.0,46875.0,46914.0,46973.0,47004.0,47064.0,47121.0,47155.0,47207.0,47245.0,47308.0,47350.0,47394.0,47486.0,47539.0,47583.0,47628.0,47673.0,47722.0,47748.0,47874.0,47956.0,48077.0
5004693,52800.0,52835.0,52861.0,52893.0,52938.0,52986.0,53041.0,53103.0,53187.0,53228.0,53270.0,53320.0,53414.0,53530.0,53580.0,53653.0,53715.0,53794.0,53898.0,53944.0,54010.0,54080.0,54131.0,54170.0,54243.0,54288.0,54342.0,54370.0,54422.0,54487.0,54525.0,54577.0,54615.0,54674.0,54714.0,54757.0,54847.0,54897.0,54939.0,54980.0,55020.0,55075.0,55105.0,55240.0,55328.0,55457.0
5004694,61200.0,61251.0,61289.0,61317.0,61357.0,61398.0,61453.0,61515.0,61599.0,61640.0,61682.0,61732.0,61810.0,61888.0,61921.0,61983.0,62036.0,62103.0,62191.0,62229.0,62282.0,62339.0,62381.0,62413.0,62472.0,62507.0,62556.0,62581.0,62620.0,62667.0,62695.0,62740.0,62773.0,62836.0,62878.0,62922.0,63012.0,63064.0,63108.0,63149.0,63190.0,63234.0,63257.0,63395.0,63485.0,63616.0
5004696,68400.0,68435.0,68461.0,68484.0,68516.0,68548.0,68586.0,68629.0,68687.0,68715.0,68744.0,68777.0,68852.0,68922.0,68952.0,69004.0,69048.0,69104.0,69178.0,69211.0,69258.0,69308.0,69345.0,69373.0,69425.0,69455.0,69505.0,69531.0,69585.0,69635.0,69665.0,69709.0,69741.0,69802.0,69843.0,69886.0,69974.0,70023.0,70063.0,70098.0,70133.0,70172.0,70193.0,70314.0,70393.0,70508.0
5004698,78300.0,78328.0,78348.0,78369.0,78398.0,78428.0,78458.0,78492.0,78538.0,78560.0,78583.0,78609.0,78656.0,78696.0,78713.0,78752.0,78785.0,78827.0,78882.0,78910.0,78950.0,78993.0,79024.0,79048.0,79093.0,79120.0,79165.0,79189.0,79230.0,79271.0,79295.0,79328.0,79352.0,79400.0,79433.0,79472.0,79554.0,79594.0,79628.0,79657.0,79685.0,79718.0,79735.0,79835.0,79900.0,79996.0
5004700,83700.0,83728.0,83748.0,83769.0,83798.0,83828.0,83858.0,83892.0,83938.0,83960.0,83983.0,84009.0,84056.0,84096.0,84113.0,84152.0,84185.0,84227.0,84282.0,84310.0,84350.0,84393.0,84424.0,84448.0,84493.0,84520.0,84565.0,84589.0,84630.0,84671.0,84695.0,84728.0,84752.0,84800.0,84833.0,84872.0,84954.0,84994.0,85028.0,85057.0,85085.0,85118.0,85135.0,85235.0,85300.0,85396.0
5005419,26700.0,26728.0,26748.0,26774.0,26810.0,26847.0,26907.0,26974.0,27065.0,27109.0,27154.0,27208.0,27304.0,27403.0,27445.0,27515.0,27575.0,27651.0,27751.0,27798.0,27864.0,27934.0,27986.0,28025.0,28099.0,28144.0,28223.0,28264.0,28344.0,28417.0,28461.0,28548.0,28611.0,28713.0,28782.0,28862.0,29027.0,29124.0,29205.0,29285.0,29365.0,29459.0,29509.0,29637.0,29721.0,29844.0
5005421,33600.0,33628.0,33648.0,33678.0,33719.0,33762.0,33806.0,33856.0,33924.0,33957.0,33991.0,34031.0,34115.0,34193.0,34227.0,34291.0,34346.0,34415.0,34507.0,34547.0,34603.0,34663.0,34707.0,34740.0,34803.0,34841.0,34901.0,34932.0,34979.0,35034.0,35067.0,35112.0,35144.0,35204.0,35245.0,35292.0,35389.0,35439.0,35481.0,35530.0,35579.0,35634.0,35663.0,35781.0,35858.0,35971.0
5005423,40800.0,40845.0,40879.0,40909.0,40951.0,40996.0,41043.0,41095.0,41166.0,41201.0,41236.0,41278.0,41368.0,41444.0,41477.0,41543.0,41599.0,41670.0,41765.0,41807.0,41866.0,41929.0,41975.0,42010.0,42075.0,42114.0,42173.0,42204.0,42264.0,42321.0,42355.0,42407.0,42445.0,42508.0,42550.0,42594.0,42686.0,42739.0,42783.0,42828.0,42873.0,42922.0,42948.0,43074.0,43156.0,43277.0
5005424,51600.0,51635.0,51661.0,51693.0,51738.0,51786.0,51841.0,51903.0,51987.0,52028.0,52070.0,52120.0,52214.0,52330.0,52380.0,52453.0,52515.0,52594.0,52698.0,52744.0,52810.0,52880.0,52931.0,52970.0,53043.0,53088.0,53142.0,53170.0,53222.0,53287.0,53325.0,53377.0,53415.0,53474.0,53514.0,53557.0,53647.0,53697.0,53739.0,53780.0,53820.0,53875.0,53905.0,54040.0,54128.0,54257.0
5005426,58800.0,58851.0,58889.0,58917.0,58957.0,58998.0,59053.0,59115.0,59199.0,59240.0,59282.0,59332.0,59410.0,59488.0,59521.0,59583.0,59636.0,59703.0,59791.0,59829.0,59882.0,59939.0,59981.0,60013.0,60072.0,60107.0,60156.0,60181.0,60220.0,60267.0,60295.0,60340.0,60373.0,60436.0,60478.0,60522.0,60612.0,60664.0,60708.0,60749.0,60790.0,60834.0,60857.0,60995.0,61085.0,61216.0
5005428,67500.0,67535.0,67561.0,67584.0,67616.0,67648.0,67686.0,67729.0,67787.0,67815.0,67844.0,67877.0,67952.0,68022.0,68052.0,68104.0,68148.0,68204.0,68278.0,68311.0,68358.0,68408.0,68445.0,68473.0,68525.0,68555.0,68605.0,68631.0,68685.0,68735.0,68765.0,68809.0,68841.0,68902.0,68943.0,68986.0,69074.0,69123.0,69163.0,69198.0,69233.0,69272.0,69293.0,69414.0,69493.0,69608.0
5005430,74700.0,74728.0,74748.0,74769.0,74798.0,74828.0,74858.0,74892.0,74938.0,74960.0,74983.0,75009.0,75056.0,75096.0,75113.0,75152.0,75185.0,75227.0,75282.0,75310.0,75350.0,75393.0,75424.0,75448.0,75493.0,75520.0,75565.0,75589.0,75630.0,75671.0,75695.0,75728.0,75752.0,75800.0,75833.0,75872.0,75954.0,75994.0,76028.0,76057.0,76085.0,76118.0,76135.0,76235.0,76300.0,76396.0
5005432,80100.0,80128.0,80148.0,80169.0,80198.0,80228.0,80258.0,80292.0,80338.0,80360.0,80383.0,80409.0,80456.0,80496.0,80513.0,80552.0,80585.0,80627.0,80682.0,80710.0,80750.0,80793.0,80824.0,80848.0,80893.0,80920.0,80965.0,80989.0,81030.0,81071.0,81095.0,81128.0,81152.0,81200.0,81233.0,81272.0,81354.0,81394.0,81428.0,81457.0,81485.0,81518.0,81535.0,81635.0,81700.0,81796.0
5005742,29700.0,29740.0,29770.0,29807.0,29859.0,29913.0,29985.0,30066.0,30176.0,30229.0,30284.0,30348.0,30436.0,30569.0,30626.0,30713.0,30787.0,30880.0,31003.0,31044.0,31102.0,31164.0,31210.0,31245.0,31310.0,31350.0,31413.0,31445.0,31510.0,31580.0,31622.0,31687.0,31734.0,31816.0,31871.0,31934.0,32064.0,32133.0,32190.0,32245.0,32300.0,32364.0,32398.0,32511.0,32585.0,32693.0
5005744,37200.0,37245.0,37279.0,37309.0,37351.0,37396.0,37443.0,37495.0,37566.0,37601.0,37636.0,37678.0,37768.0,37844.0,37877.0,37943.0,37999.0,38070.0,38165.0,38207.0,38266.0,38329.0,38375.0,38410.0,38475.0,38514.0,38573.0,38604.0,38664.0,38721.0,38755.0,38807.0,38845.0,38908.0,38950.0,38994.0,39086.0,39139.0,39183.0,39228.0,39273.0,39322.0,39348.0,39474.0,39556.0,39677.0
5005746,44400.0,44445.0,44479.0,44509.0,44551.0,44596.0,44643.0,44695.0,44766.0,44801.0,44836.0,44878.0,44968.0,45044.0,45077.0,45143.0,45199.0,45270.0,45365.0,45407.0,45466.0,45529.0,45575.0,45610.0,45675.0,45714.0,45773.0,45804.0,45864.0,45921.0,45955.0,46007.0,46045.0,46108.0,46150.0,46194.0,46286.0,46339.0,46383.0,46428.0,46473.0,46522.0,46548.0,46674.0,46756.0,46877.0
5005749,60000.0,60051.0,60089.0,60117.0,60157.0,60198.0,60253.0,60315.0,60399.0,60440.0,60482.0,60532.0,60610.0,60688.0,60721.0,60783.0,60836.0,60903.0,60991.0,61029.0,61082.0,61139.0,61181.0,61213.0,61272.0,61307.0,61356.0,61381.0,61420.0,61467.0,61495.0,61540.0,61573.0,61636.0,61678.0,61722.0,61812.0,61864.0,61908.0,61949.0,61990.0,62034.0,62057.0,62195.0,62285.0,62416.0
5006340,74700.0,74726.0,74745.0,74766.0,74795.0,74826.0,74859.0,74896.0,74946.0,74970.0,74995.0,75023.0,75067.0,75120.0,75142.0,75192.0,75235.0,75289.0,75360.0,75396.0,75447.0,75501.0,75541.0,75571.0,75627.0,75661.0,75712.0,75738.0,75788.0,75829.0,75853.0,75894.0,75924.0,75977.0,76012.0,76057.0,76149.0,76188.0,76221.0,76252.0,76283.0,76323.0,76345.0,76463.0,76540.0,76652.0
