tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P
0,621.0,289.0,496.0,7490.0,515.0,516.0,4384.0,519.0,521.0,522.0,7659.0,523.0,525.0,526.0,527.0,528.0,529.0,530.0,531.0,709.0,532.0,533.0,534.0,535.0,536.0,537.0,538.0,539.0,540.0,541.0,542.0,543.0,544.0,545.0,546.0,547.0,548.0,549.0,550.0,551.0,552.0,553.0,554.0,555.0,557.0,558.0,559.0,560.0,562.0,563.0,564.0,565.0,566.0,707.0,708.0,731.0,710.0,711.0,712.0,713.0,714.0,715.0,716.0,717.0,718.0,719.0,720.0,680.0,681.0,682.0,683.0,684.0,685.0,686.0
5003515,43500.0,43590.0,43666.0,43680.0,43793.0,43860.0,43914.0,43980.0,44017.0,44069.0,44100.0,44114.0,44160.0,44209.0,44280.0,44321.0,44360.0,44405.0,44460.0,44520.0,44580.0,44640.0,44702.0,44760.0,44799.0,44853.0,44892.0,44940.0,44975.0,45000.0,45072.0,45120.0,45179.0,45240.0,45360.0,45405.0,45449.0,45480.0,45557.0,45600.0,45632.0,45720.0,45780.0,45846.0,45900.0,45939.0,46020.0,46080.0,46141.0,46161.0,46182.0,46217.0,46237.0,46260.0,46297.0,46309.0,46320.0,46324.0,46334.0,46340.0,46346.0,46354.0,46369.0,46380.0,46476.0,46560.0,46575.0,46594.0,46610.0,46620.0,46640.0,46654.0,46669.0,46680.0
5003559,37200.0,37485.0,37724.0,37768.0,37813.0,37839.0,37871.0,37911.0,37929.0,37955.0,37970.0,37984.0,38028.0,38061.0,38108.0,38135.0,38161.0,38190.0,38226.0,38251.0,38331.0,38389.0,38426.0,38460.0,38494.0,38541.0,38575.0,38617.0,38637.0,38651.0,38706.0,38743.0,38790.0,38838.0,38884.0,38922.0,38959.0,38986.0,39081.0,39135.0,39155.0,39210.0,39225.0,39356.0,39465.0,39499.0,39571.0,39625.0,39698.0,39721.0,39746.0,39787.0,39810.0,39839.0,39920.0,39946.0,39970.0,39979.0,40000.0,40013.0,40026.0,40042.0,40074.0,40093.0,40113.0,40131.0,40158.0,40194.0,40224.0,40244.0,40278.0,40302.0,40327.0,40347.0
5004604,61200.0,61401.0,61569.0,61600.0,61694.0,61749.0,61785.0,61828.0,61841.0,61859.0,61869.0,61892.0,61967.0,62021.0,62099.0,62137.0,62172.0,62212.0,62262.0,62298.0,62350.0,62411.0,62464.0,62514.0,62550.0,62600.0,62636.0,62680.0,62701.0,62716.0,62783.0,62828.0,62868.0,62909.0,62963.0,63006.0,63048.0,63077.0,63175.0,63230.0,63260.0,63344.0,63365.0,63408.0,63443.0,63479.0,63554.0,63610.0,63685.0,63709.0,63735.0,63778.0,63802.0,63832.0,63909.0,63934.0,63957.0,63967.0,63990.0,64004.0,64018.0,64035.0,64069.0,64089.0,64109.0,64127.0,64158.0,64198.0,64232.0,64254.0,64282.0,64302.0,64323.0,64339.0
5005160,29400.0,29538.0,29654.0,29676.0,29782.0,29845.0,29900.0,29967.0,30008.0,30066.0,30100.0,30145.0,30293.0,30343.0,30417.0,30455.0,30490.0,30531.0,30581.0,30624.0,30698.0,30746.0,30808.0,30865.0,30907.0,30966.0,31008.0,31062.0,31102.0,31131.0,31188.0,31227.0,31262.0,31298.0,31338.0,31419.0,31498.0,31553.0,31650.0,31704.0,31729.0,31798.0,31823.0,31873.0,31915.0,31946.0,32010.0,32058.0,32141.0,32168.0,32196.0,32243.0,32270.0,32303.0,32389.0,32416.0,32442.0,32455.0,32485.0,32504.0,32522.0,32545.0,32590.0,32619.0,32643.0,32665.0,32695.0,32734.0,32767.0,32788.0,32829.0,32858.0,32889.0,32913.0
5010262,55800.0,56079.0,56313.0,56357.0,56449.0,56504.0,56539.0,56582.0,56602.0,56631.0,56649.0,56672.0,56748.0,56805.0,56888.0,56928.0,56965.0,57008.0,57061.0,57099.0,57156.0,57191.0,57221.0,57249.0,57286.0,57337.0,57374.0,57420.0,57452.0,57476.0,57548.0,57596.0,57626.0,57657.0,57705.0,57755.0,57803.0,57837.0,57920.0,57967.0,57984.0,58031.0,58048.0,58095.0,58134.0,58170.0,58246.0,58303.0,58381.0,58406.0,58433.0,58478.0,58503.0,58534.0,58601.0,58623.0,58643.0,58653.0,58676.0,58691.0,58705.0,58723.0,58758.0,58780.0,58800.0,58817.0,58845.0,58881.0,58912.0,58932.0,58977.0,59009.0,59043.0,59069.0
5014673,36900.0,37060.0,37194.0,37219.0,37315.0,37371.0,37414.0,37467.0,37488.0,37518.0,37536.0,37557.0,37627.0,37666.0,37722.0,37753.0,37782.0,37815.0,37855.0,37885.0,37935.0,37977.0,38024.0,38067.0,38097.0,38139.0,38170.0,38209.0,38240.0,38263.0,38313.0,38347.0,38377.0,38408.0,38436.0,38475.0,38513.0,38540.0,38635.0,38689.0,38711.0,38771.0,38796.0,38850.0,38894.0,38921.0,38978.0,39020.0,39102.0,39128.0,39156.0,39203.0,39229.0,39263.0,39335.0,39358.0,39379.0,39390.0,39417.0,39434.0,39450.0,39470.0,39510.0,39535.0,39564.0,39589.0,39639.0,39704.0,39760.0,39796.0,39831.0,39856.0,39882.0,39902.0
5014675,47700.0,47863.0,48000.0,48025.0,48107.0,48156.0,48197.0,48248.0,48277.0,48318.0,48343.0,48366.0,48441.0,48484.0,48547.0,48578.0,48607.0,48641.0,48683.0,48730.0,48778.0,48828.0,48877.0,48922.0,48960.0,49013.0,49051.0,49099.0,49126.0,49145.0,49204.0,49244.0,49277.0,49312.0,49353.0,49396.0,49438.0,49467.0,49545.0,49589.0,49612.0,49676.0,49701.0,49757.0,49803.0,49837.0,49908.0,49960.0,50046.0,50074.0,50103.0,50152.0,50180.0,50214.0,50283.0,50305.0,50325.0,50335.0,50359.0,50374.0,50388.0,50406.0,50442.0,50464.0,50492.0,50517.0,50543.0,50577.0,50606.0,50625.0,50677.0,50714.0,50754.0,50786.0
5015049,40500.0,40663.0,40800.0,40825.0,40907.0,40956.0,40997.0,41048.0,41077.0,41118.0,41143.0,41166.0,41241.0,41284.0,41347.0,41378.0,41407.0,41441.0,41483.0,41530.0,41578.0,41628.0,41677.0,41722.0,41760.0,41813.0,41851.0,41899.0,41926.0,41945.0,42004.0,42044.0,42077.0,42112.0,42153.0,42196.0,42238.0,42267.0,42345.0,42389.0,42412.0,42476.0,42501.0,42557.0,42603.0,42637.0,42708.0,42760.0,42846.0,42874.0,42903.0,42952.0,42980.0,43014.0,43083.0,43105.0,43125.0,43135.0,43159.0,43174.0,43188.0,43206.0,43242.0,43264.0,43292.0,43317.0,43343.0,43377.0,43406.0,43425.0,43477.0,43514.0,43554.0,43586.0
5015051,51300.0,51469.0,51611.0,51637.0,51703.0,51742.0,51790.0,51848.0,51879.0,51923.0,51949.0,51971.0,52045.0,52096.0,52170.0,52204.0,52236.0,52272.0,52316.0,52412.0,52500.0,52561.0,52622.0,52678.0,52730.0,52803.0,52855.0,52922.0,52954.0,52977.0,53050.0,53099.0,53132.0,53167.0,53217.0,53269.0,53319.0,53354.0,53463.0,53525.0,53547.0,53607.0,53629.0,53673.0,53710.0,53744.0,53816.0,53869.0,53952.0,53979.0,54007.0,54054.0,54081.0,54113.0,54175.0,54195.0,54213.0,54222.0,54244.0,54257.0,54270.0,54286.0,54318.0,54339.0,54363.0,54384.0,54409.0,54441.0,54468.0,54486.0,54541.0,54580.0,54621.0,54654.0
