tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P
0,686.0,688.0,689.0,690.0,5062.0,691.0,692.0,695.0,696.0,697.0,698.0,699.0,700.0,701.0,702.0,703.0,704.0,705.0,706.0,567.0,568.0,569.0,570.0,571.0,572.0,573.0,574.0,575.0,576.0,577.0,579.0,580.0,581.0,582.0,583.0,584.0,585.0,586.0,587.0,588.0,589.0,590.0,591.0,592.0,593.0,594.0,595.0,596.0,597.0,598.0,599.0,600.0,601.0,602.0,603.0,604.0,605.0,606.0,607.0,608.0,609.0,610.0,611.0,612.0,613.0,614.0,615.0,616.0,617.0,618.0,619.0,675.0,620.0,7569.0
5002615,53700.0,53738.0,53763.0,53787.0,53815.0,53838.0,53864.0,53884.0,53920.0,53953.0,53982.0,54008.0,54038.0,54069.0,54079.0,54096.0,54134.0,54159.0,54187.0,54259.0,54284.0,54304.0,54323.0,54337.0,54356.0,54378.0,54417.0,54440.0,54496.0,54530.0,54569.0,54598.0,54624.0,54658.0,54716.0,54753.0,54931.0,54972.0,55026.0,55045.0,55086.0,55109.0,55166.0,55201.0,55223.0,55244.0,55261.0,55272.0,55302.0,55349.0,55390.0,55423.0,55449.0,55475.0,55504.0,55532.0,55553.0,55629.0,55671.0,55696.0,55736.0,55765.0,55821.0,55859.0,55906.0,56005.0,56064.0,56113.0,56148.0,56183.0,56222.0,56243.0,56364.0,56436.0
5003516,47400.0,47460.0,47490.0,47520.0,47546.0,47567.0,47591.0,47610.0,47643.0,47674.0,47700.0,47710.0,47722.0,47734.0,47738.0,47745.0,47760.0,47772.0,47785.0,47820.0,47848.0,47871.0,47893.0,47908.0,47930.0,47955.0,48000.0,48036.0,48124.0,48178.0,48240.0,48271.0,48300.0,48360.0,48433.0,48480.0,48600.0,48652.0,48720.0,48739.0,48780.0,48815.0,48900.0,48937.0,48960.0,48985.0,49006.0,49020.0,49056.0,49112.0,49160.0,49200.0,49238.0,49276.0,49320.0,49354.0,49380.0,49440.0,49478.0,49500.0,49570.0,49620.0,49692.0,49740.0,49779.0,49860.0,49926.0,49980.0,50010.0,50040.0,50079.0,50100.0,50250.0,50340.0
5003560,40800.0,40843.0,40866.0,40888.0,40925.0,40956.0,40991.0,41018.0,41066.0,41111.0,41149.0,41180.0,41215.0,41251.0,41263.0,41283.0,41328.0,41349.0,41372.0,41433.0,41460.0,41481.0,41502.0,41516.0,41537.0,41560.0,41601.0,41630.0,41701.0,41745.0,41794.0,41824.0,41851.0,41888.0,41937.0,41968.0,42102.0,42141.0,42192.0,42203.0,42226.0,42258.0,42336.0,42371.0,42393.0,42415.0,42433.0,42444.0,42467.0,42502.0,42533.0,42558.0,42577.0,42596.0,42619.0,42647.0,42668.0,42704.0,42803.0,42862.0,42891.0,42912.0,42950.0,42975.0,42999.0,43049.0,43123.0,43184.0,43216.0,43247.0,43349.0,43404.0,43506.0,43567.0
5004602,51600.0,51626.0,51647.0,51667.0,51692.0,51713.0,51737.0,51755.0,51787.0,51817.0,51843.0,51868.0,51896.0,51925.0,51935.0,51951.0,51986.0,52007.0,52031.0,52093.0,52119.0,52140.0,52161.0,52175.0,52196.0,52219.0,52260.0,52303.0,52407.0,52471.0,52543.0,52573.0,52600.0,52641.0,52682.0,52708.0,52929.0,52989.0,53067.0,53083.0,53117.0,53146.0,53216.0,53264.0,53295.0,53320.0,53341.0,53354.0,53385.0,53434.0,53476.0,53511.0,53539.0,53567.0,53601.0,53633.0,53658.0,53752.0,53781.0,53799.0,53870.0,53921.0,53972.0,54006.0,54044.0,54124.0,54165.0,54199.0,54248.0,54297.0,54366.0,54403.0,54589.0,54700.0
5004605,65400.0,65483.0,65510.0,65537.0,65563.0,65584.0,65608.0,65627.0,65660.0,65691.0,65717.0,65746.0,65780.0,65815.0,65827.0,65847.0,65889.0,65917.0,65949.0,66031.0,66065.0,66092.0,66118.0,66136.0,66162.0,66192.0,66244.0,66298.0,66429.0,66510.0,66602.0,66632.0,66659.0,66693.0,66730.0,66753.0,66822.0,66874.0,66942.0,66961.0,67001.0,67030.0,67102.0,67154.0,67188.0,67206.0,67221.0,67231.0,67269.0,67328.0,67379.0,67420.0,67439.0,67458.0,67479.0,67524.0,67558.0,67638.0,67681.0,67707.0,67752.0,67785.0,67834.0,67867.0,67900.0,67969.0,68003.0,68032.0,68081.0,68129.0,68182.0,68211.0,68328.0,68398.0
5005161,34200.0,34239.0,34276.0,34313.0,34343.0,34368.0,34397.0,34419.0,34458.0,34494.0,34525.0,34551.0,34581.0,34612.0,34623.0,34641.0,34679.0,34705.0,34734.0,34811.0,34835.0,34855.0,34874.0,34887.0,34906.0,34927.0,34965.0,34989.0,35048.0,35085.0,35126.0,35154.0,35179.0,35218.0,35264.0,35293.0,35371.0,35407.0,35453.0,35472.0,35513.0,35542.0,35614.0,35658.0,35687.0,35720.0,35748.0,35766.0,35801.0,35855.0,35902.0,35941.0,35970.0,35999.0,36033.0,36066.0,36091.0,36158.0,36211.0,36243.0,36285.0,36315.0,36365.0,36399.0,36447.0,36547.0,36597.0,36638.0,36677.0,36716.0,36763.0,36788.0,36915.0,36990.0
5006569,67200.0,67235.0,67256.0,67277.0,67301.0,67321.0,67344.0,67362.0,67393.0,67422.0,67447.0,67469.0,67495.0,67522.0,67531.0,67546.0,67578.0,67599.0,67623.0,67685.0,67709.0,67728.0,67747.0,67760.0,67779.0,67800.0,67837.0,67862.0,67924.0,67962.0,68005.0,68029.0,68052.0,68086.0,68126.0,68151.0,68254.0,68298.0,68355.0,68372.0,68409.0,68435.0,68500.0,68537.0,68561.0,68585.0,68605.0,68619.0,68643.0,68680.0,68712.0,68739.0,68760.0,68781.0,68807.0,68829.0,68845.0,68922.0,68958.0,68979.0,69010.0,69033.0,69084.0,69118.0,69164.0,69260.0,69301.0,69335.0,69369.0,69403.0,69436.0,69454.0,69573.0,69644.0
5010263,60300.0,60368.0,60400.0,60431.0,60465.0,60493.0,60525.0,60550.0,60593.0,60634.0,60668.0,60695.0,60726.0,60758.0,60769.0,60787.0,60825.0,60850.0,60878.0,60950.0,60973.0,60992.0,61010.0,61022.0,61040.0,61060.0,61095.0,61188.0,61414.0,61554.0,61711.0,61736.0,61759.0,61792.0,61843.0,61876.0,61944.0,61991.0,62053.0,62068.0,62102.0,62121.0,62169.0,62221.0,62255.0,62284.0,62308.0,62324.0,62353.0,62398.0,62437.0,62469.0,62503.0,62537.0,62578.0,62599.0,62615.0,62682.0,62733.0,62764.0,62809.0,62842.0,62883.0,62910.0,62953.0,63043.0,63076.0,63103.0,63152.0,63201.0,63239.0,63260.0,63438.0,63544.0
5014674,43200.0,43255.0,43285.0,43314.0,43343.0,43367.0,43395.0,43417.0,43455.0,43490.0,43520.0,43548.0,43580.0,43614.0,43625.0,43644.0,43686.0,43714.0,43746.0,43830.0,43856.0,43877.0,43897.0,43911.0,43931.0,43954.0,43996.0,44022.0,44086.0,44126.0,44171.0,44199.0,44225.0,44262.0,44318.0,44354.0,44478.0,44521.0,44576.0,44593.0,44630.0,44655.0,44716.0,44762.0,44792.0,44822.0,44847.0,44864.0,44901.0,44958.0,45007.0,45047.0,45075.0,45103.0,45135.0,45166.0,45190.0,45252.0,45310.0,45345.0,45399.0,45438.0,45500.0,45542.0,45586.0,45678.0,45729.0,45772.0,45818.0,45864.0,45912.0,45938.0,46071.0,46150.0
