tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P
0,621.0,289.0,496.0,7490.0,515.0,516.0,4384.0,519.0,521.0,522.0,7659.0,523.0,525.0,526.0,527.0,528.0,529.0,530.0,531.0,709.0,532.0,533.0,534.0,535.0,536.0,537.0,538.0,539.0,540.0,541.0,542.0,543.0,544.0,545.0,546.0,547.0,548.0,549.0,677.0,678.0,679.0,680.0,681.0,682.0,683.0,684.0,685.0,686.0,688.0,689.0,690.0,5062.0,691.0,692.0,694.0,695.0,696.0,697.0,698.0,699.0,700.0,701.0,702.0,703.0,704.0,705.0,706.0,707.0
5002616,57900.0,58035.0,58148.0,58170.0,58248.0,58294.0,58339.0,58394.0,58432.0,58486.0,58518.0,58544.0,58631.0,58681.0,58753.0,58797.0,58838.0,58885.0,58943.0,58978.0,59049.0,59098.0,59153.0,59205.0,59247.0,59305.0,59347.0,59399.0,59431.0,59455.0,59518.0,59561.0,59593.0,59626.0,59665.0,59706.0,59746.0,59773.0,59817.0,59851.0,59882.0,59926.0,59966.0,59992.0,60030.0,60057.0,60086.0,60109.0,60148.0,60178.0,60208.0,60247.0,60279.0,60317.0,60325.0,60339.0,60369.0,60397.0,60421.0,60447.0,60477.0,60508.0,60518.0,60535.0,60573.0,60602.0,60635.0,60718.0
5006568,62400.0,62605.0,62777.0,62809.0,62955.0,63041.0,63097.0,63165.0,63203.0,63257.0,63290.0,63323.0,63430.0,63503.0,63610.0,63654.0,63696.0,63744.0,63802.0,63849.0,63935.0,64221.0,64271.0,64318.0,64357.0,64411.0,64450.0,64499.0,64527.0,64547.0,64614.0,64660.0,64697.0,64735.0,64768.0,64805.0,64841.0,64867.0,64923.0,64966.0,65005.0,65061.0,65112.0,65145.0,65192.0,65226.0,65262.0,65291.0,65340.0,65378.0,65416.0,65465.0,65506.0,65553.0,65560.0,65573.0,65601.0,65627.0,65650.0,65676.0,65706.0,65737.0,65747.0,65764.0,65802.0,65824.0,65848.0,65910.0
5018440,65400.0,65576.0,65724.0,65752.0,65871.0,65941.0,65996.0,66063.0,66097.0,66145.0,66174.0,66206.0,66311.0,66370.0,66455.0,66495.0,66533.0,66576.0,66629.0,66715.0,66794.0,66848.0,66895.0,66938.0,66975.0,67026.0,67063.0,67110.0,67140.0,67162.0,67227.0,67270.0,67306.0,67344.0,67377.0,67426.0,67473.0,67506.0,67553.0,67590.0,67623.0,67670.0,67713.0,67741.0,67781.0,67810.0,67841.0,67865.0,67907.0,67939.0,67971.0,68013.0,68048.0,68088.0,68096.0,68112.0,68146.0,68177.0,68204.0,68232.0,68264.0,68298.0,68309.0,68328.0,68370.0,68392.0,68416.0,68478.0
5086431,57900.0,58030.0,58139.0,58160.0,58235.0,58279.0,58322.0,58375.0,58411.0,58463.0,58494.0,58520.0,58603.0,58651.0,58720.0,58762.0,58802.0,58847.0,58903.0,58937.0,59005.0,59052.0,59105.0,59155.0,59195.0,59251.0,59291.0,59342.0,59373.0,59396.0,59457.0,59498.0,59529.0,59561.0,59599.0,59638.0,59676.0,59703.0,59746.0,59779.0,59809.0,59852.0,59891.0,59916.0,59952.0,59978.0,60005.0,60027.0,60064.0,60093.0,60122.0,60160.0,60191.0,60227.0,60234.0,60248.0,60277.0,60304.0,60326.0,60351.0,60379.0,60409.0,60419.0,60436.0,60472.0,60500.0,60531.0,60611.0
5091709,62400.0,62597.0,62762.0,62793.0,62933.0,63016.0,63070.0,63135.0,63172.0,63224.0,63255.0,63287.0,63390.0,63460.0,63563.0,63606.0,63646.0,63692.0,63748.0,63793.0,63876.0,64151.0,64199.0,64244.0,64281.0,64333.0,64370.0,64418.0,64445.0,64464.0,64529.0,64573.0,64608.0,64645.0,64677.0,64713.0,64748.0,64772.0,64825.0,64866.0,64903.0,64956.0,65005.0,65036.0,65082.0,65114.0,65148.0,65175.0,65222.0,65258.0,65294.0,65341.0,65380.0,65425.0,65438.0,65451.0,65478.0,65503.0,65525.0,65550.0,65578.0,65608.0,65618.0,65635.0,65671.0,65692.0,65715.0,65775.0
5096162,65400.0,65569.0,65711.0,65738.0,65853.0,65920.0,65973.0,66037.0,66070.0,66116.0,66144.0,66175.0,66276.0,66332.0,66414.0,66452.0,66488.0,66529.0,66581.0,66664.0,66740.0,66792.0,66837.0,66879.0,66914.0,66963.0,66998.0,67044.0,67073.0,67094.0,67156.0,67198.0,67233.0,67269.0,67301.0,67348.0,67394.0,67425.0,67471.0,67506.0,67538.0,67584.0,67626.0,67653.0,67692.0,67720.0,67749.0,67772.0,67812.0,67843.0,67874.0,67914.0,67947.0,67986.0,67992.0,68007.0,68039.0,68069.0,68096.0,68123.0,68154.0,68186.0,68197.0,68215.0,68256.0,68277.0,68300.0,68360.0
5106278,57900.0,58030.0,58139.0,58160.0,58235.0,58279.0,58322.0,58375.0,58411.0,58463.0,58494.0,58520.0,58603.0,58651.0,58720.0,58762.0,58802.0,58847.0,58903.0,58937.0,59005.0,59052.0,59105.0,59155.0,59195.0,59251.0,59291.0,59342.0,59373.0,59396.0,59457.0,59498.0,59529.0,59561.0,59599.0,59638.0,59676.0,59703.0,59746.0,59779.0,59809.0,59852.0,59891.0,59916.0,59952.0,59978.0,60005.0,60027.0,60064.0,60093.0,60122.0,60160.0,60191.0,60227.0,60234.0,60248.0,60277.0,60304.0,60326.0,60351.0,60379.0,60409.0,60419.0,60436.0,60472.0,60500.0,60531.0,60611.0
5109129,62400.0,62597.0,62762.0,62793.0,62933.0,63016.0,63070.0,63135.0,63172.0,63224.0,63255.0,63287.0,63390.0,63460.0,63563.0,63606.0,63646.0,63692.0,63748.0,63793.0,63876.0,64151.0,64199.0,64244.0,64281.0,64333.0,64370.0,64418.0,64445.0,64464.0,64529.0,64573.0,64608.0,64645.0,64677.0,64713.0,64748.0,64772.0,64825.0,64866.0,64903.0,64956.0,65005.0,65036.0,65082.0,65114.0,65148.0,65175.0,65222.0,65258.0,65294.0,65341.0,65380.0,65425.0,65438.0,65451.0,65478.0,65503.0,65525.0,65550.0,65578.0,65608.0,65618.0,65635.0,65671.0,65692.0,65715.0,65775.0
5110195,65400.0,65569.0,65711.0,65738.0,65853.0,65920.0,65973.0,66037.0,66070.0,66116.0,66144.0,66175.0,66276.0,66332.0,66414.0,66452.0,66488.0,66529.0,66581.0,66664.0,66740.0,66792.0,66837.0,66879.0,66914.0,66963.0,66998.0,67044.0,67073.0,67094.0,67156.0,67198.0,67233.0,67269.0,67301.0,67348.0,67394.0,67425.0,67471.0,67506.0,67538.0,67584.0,67626.0,67653.0,67692.0,67720.0,67749.0,67772.0,67812.0,67843.0,67874.0,67914.0,67947.0,67986.0,67992.0,68007.0,68039.0,68069.0,68096.0,68123.0,68154.0,68186.0,68197.0,68215.0,68256.0,68277.0,68300.0,68360.0
