tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P
0,567.0,568.0,569.0,570.0,571.0,572.0,573.0,574.0,575.0,576.0,577.0,579.0,580.0,581.0,582.0,583.0,584.0,585.0,586.0,587.0,588.0,589.0,590.0,591.0,592.0,593.0,594.0,595.0,596.0,597.0,598.0,599.0,600.0,601.0,602.0,603.0,604.0,605.0,606.0,607.0,608.0,609.0,610.0,611.0,612.0,613.0,614.0,615.0,616.0,617.0,618.0,619.0,675.0,620.0,7569.0
5003518,55200.0,55230.0,55254.0,55277.0,55293.0,55316.0,55342.0,55390.0,55474.0,55677.0,55803.0,55944.0,55978.0,56010.0,56051.0,56100.0,56132.0,56198.0,56250.0,56319.0,56341.0,56388.0,56414.0,56476.0,56527.0,56559.0,56583.0,56603.0,56615.0,56655.0,56717.0,56770.0,56814.0,56838.0,56862.0,56891.0,56919.0,56940.0,57029.0,57085.0,57118.0,57166.0,57201.0,57254.0,57289.0,57331.0,57417.0,57465.0,57505.0,57539.0,57572.0,57632.0,57664.0,57797.0,57877.0
5003520,62100.0,62125.0,62145.0,62164.0,62178.0,62197.0,62219.0,62258.0,62344.0,62553.0,62682.0,62828.0,62858.0,62885.0,62921.0,62962.0,62988.0,63113.0,63153.0,63206.0,63230.0,63283.0,63317.0,63401.0,63447.0,63476.0,63506.0,63531.0,63547.0,63583.0,63638.0,63686.0,63725.0,63751.0,63777.0,63807.0,63843.0,63871.0,63904.0,63985.0,64033.0,64073.0,64101.0,64149.0,64182.0,64215.0,64283.0,64328.0,64365.0,64407.0,64449.0,64503.0,64532.0,64645.0,64713.0
5003522,69600.0,69627.0,69649.0,69670.0,69685.0,69706.0,69730.0,69770.0,69803.0,69884.0,69934.0,69991.0,70025.0,70057.0,70097.0,70142.0,70170.0,70249.0,70287.0,70337.0,70359.0,70406.0,70432.0,70497.0,70552.0,70587.0,70615.0,70638.0,70653.0,70681.0,70724.0,70762.0,70793.0,70817.0,70841.0,70868.0,70891.0,70909.0,70950.0,70994.0,71020.0,71057.0,71083.0,71133.0,71167.0,71209.0,71297.0,71330.0,71357.0,71394.0,71430.0,71474.0,71498.0,71620.0,71693.0
5003524,76800.0,76826.0,76847.0,76867.0,76881.0,76901.0,76923.0,76962.0,77021.0,77165.0,77254.0,77354.0,77381.0,77406.0,77444.0,77505.0,77544.0,77610.0,77652.0,77707.0,77730.0,77779.0,77803.0,77861.0,77901.0,77927.0,77956.0,77980.0,77995.0,78021.0,78061.0,78096.0,78124.0,78148.0,78172.0,78199.0,78224.0,78243.0,78283.0,78329.0,78356.0,78395.0,78423.0,78481.0,78520.0,78557.0,78633.0,78670.0,78700.0,78727.0,78753.0,78793.0,78815.0,78910.0,78967.0
5003526,83400.0,83426.0,83447.0,83467.0,83481.0,83501.0,83523.0,83562.0,83621.0,83765.0,83854.0,83954.0,83981.0,84006.0,84044.0,84105.0,84144.0,84210.0,84252.0,84307.0,84330.0,84379.0,84403.0,84461.0,84501.0,84527.0,84556.0,84580.0,84595.0,84621.0,84661.0,84696.0,84724.0,84748.0,84772.0,84799.0,84824.0,84843.0,84883.0,84929.0,84956.0,84995.0,85023.0,85081.0,85120.0,85157.0,85233.0,85270.0,85300.0,85327.0,85353.0,85393.0,85415.0,85510.0,85567.0
5003556,26400.0,26425.0,26446.0,26466.0,26480.0,26500.0,26522.0,26561.0,26583.0,26636.0,26669.0,26705.0,26730.0,26753.0,26785.0,26825.0,26851.0,26903.0,26939.0,26987.0,27004.0,27040.0,27071.0,27146.0,27208.0,27248.0,27283.0,27313.0,27332.0,27379.0,27452.0,27515.0,27567.0,27583.0,27599.0,27617.0,27641.0,27659.0,27723.0,27759.0,27780.0,27802.0,27818.0,27851.0,27874.0,27912.0,27990.0,28036.0,28075.0,28108.0,28141.0,28193.0,28220.0,28343.0,28417.0
5003558,33600.0,33630.0,33654.0,33678.0,33694.0,33718.0,33744.0,33791.0,33825.0,33907.0,33958.0,34014.0,34042.0,34067.0,34107.0,34150.0,34177.0,34274.0,34326.0,34393.0,34418.0,34471.0,34517.0,34629.0,34678.0,34710.0,34753.0,34789.0,34811.0,34854.0,34920.0,34977.0,35024.0,35065.0,35106.0,35155.0,35193.0,35222.0,35280.0,35329.0,35358.0,35405.0,35438.0,35497.0,35537.0,35589.0,35696.0,35727.0,35753.0,35797.0,35840.0,35893.0,35922.0,36067.0,36154.0
5003562,49200.0,49230.0,49254.0,49277.0,49293.0,49316.0,49342.0,49389.0,49424.0,49509.0,49562.0,49621.0,49655.0,49686.0,49735.0,49800.0,49841.0,50010.0,50058.0,50120.0,50142.0,50191.0,50228.0,50317.0,50381.0,50422.0,50460.0,50492.0,50512.0,50550.0,50609.0,50661.0,50704.0,50736.0,50768.0,50806.0,50837.0,50861.0,50929.0,50987.0,51021.0,51068.0,51102.0,51153.0,51188.0,51240.0,51347.0,51386.0,51419.0,51466.0,51513.0,51575.0,51608.0,51756.0,51844.0
5003564,59400.0,59421.0,59438.0,59454.0,59465.0,59481.0,59499.0,59530.0,59578.0,59695.0,59767.0,59849.0,59886.0,59921.0,59958.0,60021.0,60061.0,60189.0,60231.0,60285.0,60303.0,60342.0,60369.0,60436.0,60481.0,60510.0,60552.0,60587.0,60610.0,60643.0,60695.0,60740.0,60777.0,60804.0,60831.0,60863.0,60896.0,60921.0,60980.0,61031.0,61062.0,61110.0,61145.0,61193.0,61226.0,61273.0,61371.0,61417.0,61456.0,61491.0,61526.0,61557.0,61573.0,61715.0,61799.0
5003566,66600.0,66627.0,66649.0,66670.0,66685.0,66706.0,66730.0,66770.0,66803.0,66884.0,66934.0,66991.0,67025.0,67057.0,67097.0,67142.0,67170.0,67249.0,67287.0,67337.0,67359.0,67406.0,67432.0,67497.0,67552.0,67587.0,67615.0,67638.0,67653.0,67681.0,67724.0,67762.0,67793.0,67817.0,67841.0,67868.0,67891.0,67909.0,67950.0,67994.0,68020.0,68057.0,68083.0,68133.0,68167.0,68209.0,68297.0,68330.0,68357.0,68394.0,68430.0,68474.0,68498.0,68620.0,68693.0
5003568,73200.0,73226.0,73247.0,73267.0,73281.0,73301.0,73323.0,73362.0,73421.0,73565.0,73654.0,73754.0,73781.0,73806.0,73844.0,73905.0,73944.0,74010.0,74052.0,74107.0,74130.0,74179.0,74203.0,74261.0,74301.0,74327.0,74356.0,74380.0,74395.0,74421.0,74461.0,74496.0,74524.0,74548.0,74572.0,74599.0,74624.0,74643.0,74683.0,74729.0,74756.0,74795.0,74823.0,74881.0,74920.0,74957.0,75033.0,75070.0,75100.0,75127.0,75153.0,75193.0,75215.0,75310.0,75367.0
5003570,80400.0,80426.0,80447.0,80467.0,80481.0,80501.0,80523.0,80562.0,80621.0,80765.0,80854.0,80954.0,80981.0,81006.0,81044.0,81105.0,81144.0,81210.0,81252.0,81307.0,81330.0,81379.0,81403.0,81461.0,81501.0,81527.0,81556.0,81580.0,81595.0,81621.0,81661.0,81696.0,81724.0,81748.0,81772.0,81799.0,81824.0,81843.0,81883.0,81929.0,81956.0,81995.0,82023.0,82081.0,82120.0,82157.0,82233.0,82270.0,82300.0,82327.0,82353.0,82393.0,82415.0,82510.0,82567.0
5004603,57600.0,57630.0,57654.0,57677.0,57693.0,57716.0,57742.0,57790.0,57874.0,58077.0,58203.0,58344.0,58378.0,58410.0,58451.0,58500.0,58532.0,58598.0,58650.0,58719.0,58741.0,58788.0,58814.0,58876.0,58927.0,58959.0,58983.0,59003.0,59015.0,59055.0,59117.0,59170.0,59214.0,59238.0,59262.0,59291.0,59319.0,59340.0,59429.0,59485.0,59518.0,59566.0,59601.0,59654.0,59689.0,59731.0,59817.0,59865.0,59905.0,59939.0,59972.0,60032.0,60064.0,60197.0,60277.0
5005163,48600.0,48627.0,48649.0,48670.0,48685.0,48706.0,48730.0,48774.0,48802.0,48870.0,48912.0,48959.0,48987.0,49013.0,49054.0,49109.0,49144.0,49252.0,49296.0,49353.0,49373.0,49416.0,49442.0,49504.0,49549.0,49578.0,49615.0,49646.0,49666.0,49703.0,49760.0,49810.0,49851.0,49881.0,49911.0,49945.0,49978.0,50004.0,50062.0,50117.0,50150.0,50200.0,50235.0,50291.0,50329.0,50373.0,50464.0,50513.0,50554.0,50593.0,50631.0,50685.0,50714.0,50849.0,50929.0
5005165,55800.0,55831.0,55856.0,55880.0,55897.0,55921.0,55949.0,55999.0,56032.0,56113.0,56163.0,56219.0,56252.0,56282.0,56326.0,56405.0,56455.0,56606.0,56658.0,56725.0,56745.0,56788.0,56815.0,56880.0,56925.0,56954.0,56990.0,57020.0,57039.0,57072.0,57124.0,57169.0,57206.0,57235.0,57264.0,57299.0,57333.0,57359.0,57429.0,57489.0,57524.0,57575.0,57611.0,57674.0,57717.0,57762.0,57854.0,57897.0,57933.0,57969.0,58005.0,58049.0,58073.0,58238.0,58337.0
5005167,63600.0,63628.0,63651.0,63673.0,63688.0,63710.0,63735.0,63778.0,63810.0,63887.0,63934.0,63987.0,64012.0,64035.0,64073.0,64121.0,64151.0,64254.0,64310.0,64383.0,64404.0,64450.0,64480.0,64552.0,64603.0,64636.0,64667.0,64693.0,64710.0,64744.0,64797.0,64843.0,64882.0,64906.0,64930.0,64957.0,64994.0,65022.0,65094.0,65159.0,65197.0,65247.0,65283.0,65345.0,65386.0,65432.0,65527.0,65592.0,65645.0,65684.0,65722.0,65763.0,65785.0,65945.0,66040.0
5006557,23100.0,23124.0,23143.0,23161.0,23174.0,23192.0,23213.0,23250.0,23268.0,23312.0,23339.0,23371.0,23394.0,23416.0,23458.0,23515.0,23551.0,23599.0,23633.0,23677.0,23692.0,23724.0,23752.0,23819.0,23865.0,23894.0,23926.0,23953.0,23969.0,23994.0,24032.0,24065.0,24093.0,24119.0,24145.0,24176.0,24203.0,24224.0,24265.0,24312.0,24340.0,24385.0,24417.0,24471.0,24508.0,24552.0,24644.0,24692.0,24731.0,24783.0,24835.0,24887.0,24915.0,25026.0,25092.0
5006559,30300.0,30337.0,30367.0,30396.0,30416.0,30445.0,30478.0,30536.0,30560.0,30618.0,30654.0,30694.0,30718.0,30741.0,30782.0,30851.0,30895.0,31007.0,31061.0,31131.0,31153.0,31201.0,31231.0,31306.0,31360.0,31395.0,31433.0,31465.0,31485.0,31522.0,31579.0,31628.0,31669.0,31698.0,31727.0,31761.0,31790.0,31812.0,31881.0,31945.0,31983.0,32042.0,32084.0,32166.0,32222.0,32280.0,32402.0,32475.0,32535.0,32597.0,32658.0,32730.0,32769.0,32876.0,32939.0
5006561,37800.0,37829.0,37852.0,37874.0,37890.0,37912.0,37937.0,37981.0,38008.0,38073.0,38113.0,38158.0,38183.0,38206.0,38245.0,38297.0,38330.0,38407.0,38450.0,38507.0,38525.0,38564.0,38589.0,38649.0,38694.0,38723.0,38753.0,38778.0,38795.0,38831.0,38887.0,38935.0,38975.0,39003.0,39031.0,39063.0,39093.0,39115.0,39172.0,39235.0,39272.0,39324.0,39361.0,39421.0,39462.0,39503.0,39589.0,39648.0,39697.0,39741.0,39784.0,39833.0,39859.0,39976.0,40045.0
5006563,45000.0,45027.0,45049.0,45070.0,45085.0,45106.0,45130.0,45174.0,45202.0,45270.0,45312.0,45359.0,45387.0,45413.0,45454.0,45509.0,45544.0,45652.0,45696.0,45753.0,45773.0,45816.0,45842.0,45904.0,45949.0,45978.0,46015.0,46046.0,46066.0,46103.0,46160.0,46210.0,46251.0,46281.0,46311.0,46345.0,46378.0,46404.0,46462.0,46517.0,46550.0,46600.0,46635.0,46691.0,46729.0,46773.0,46864.0,46913.0,46954.0,46993.0,47031.0,47085.0,47114.0,47249.0,47329.0
5006565,52200.0,52222.0,52240.0,52257.0,52269.0,52286.0,52306.0,52341.0,52373.0,52451.0,52499.0,52554.0,52581.0,52605.0,52644.0,52703.0,52740.0,52865.0,52912.0,52974.0,52994.0,53037.0,53062.0,53123.0,53175.0,53208.0,53239.0,53265.0,53282.0,53318.0,53373.0,53421.0,53460.0,53492.0,53524.0,53560.0,53588.0,53609.0,53670.0,53725.0,53758.0,53808.0,53844.0,53901.0,53939.0,53988.0,54091.0,54140.0,54181.0,54226.0,54270.0,54316.0,54340.0,54480.0,54563.0
5006567,59400.0,59425.0,59445.0,59465.0,59479.0,59499.0,59521.0,59560.0,59593.0,59673.0,59722.0,59778.0,59806.0,59831.0,59871.0,59922.0,59955.0,60064.0,60110.0,60170.0,60187.0,60223.0,60250.0,60316.0,60368.0,60401.0,60440.0,60473.0,60493.0,60527.0,60580.0,60626.0,60665.0,60690.0,60715.0,60745.0,60777.0,60802.0,60860.0,60927.0,60967.0,61017.0,61052.0,61125.0,61175.0,61233.0,61353.0,61421.0,61478.0,61523.0,61567.0,61611.0,61634.0,61791.0,61884.0
5006571,75600.0,75623.0,75642.0,75660.0,75673.0,75691.0,75711.0,75746.0,75769.0,75826.0,75861.0,75901.0,75929.0,75954.0,75993.0,76039.0,76068.0,76122.0,76158.0,76204.0,76219.0,76253.0,76271.0,76315.0,76349.0,76371.0,76394.0,76413.0,76426.0,76447.0,76479.0,76507.0,76529.0,76547.0,76565.0,76587.0,76609.0,76625.0,76660.0,76701.0,76725.0,76758.0,76782.0,76825.0,76854.0,76885.0,76950.0,76991.0,77025.0,77056.0,77086.0,77124.0,77145.0,77242.0,77299.0
5006573,81300.0,81323.0,81342.0,81360.0,81373.0,81391.0,81411.0,81446.0,81469.0,81526.0,81561.0,81601.0,81629.0,81654.0,81693.0,81739.0,81768.0,81822.0,81858.0,81904.0,81919.0,81953.0,81971.0,82015.0,82049.0,82071.0,82094.0,82113.0,82126.0,82147.0,82179.0,82207.0,82229.0,82247.0,82265.0,82287.0,82309.0,82325.0,82360.0,82401.0,82425.0,82458.0,82482.0,82525.0,82554.0,82585.0,82650.0,82691.0,82725.0,82756.0,82786.0,82824.0,82845.0,82942.0,82999.0
5009716,28200.0,28241.0,28274.0,28306.0,28328.0,28360.0,28396.0,28460.0,28486.0,28549.0,28588.0,28633.0,28660.0,28685.0,28740.0,28813.0,28859.0,28934.0,28981.0,29043.0,29062.0,29104.0,29132.0,29199.0,29252.0,29286.0,29333.0,29373.0,29398.0,29438.0,29499.0,29552.0,29596.0,29633.0,29670.0,29712.0,29756.0,29789.0,29858.0,29931.0,29975.0,30060.0,30121.0,30233.0,30309.0,30382.0,30534.0,30607.0,30668.0,30750.0,30831.0,30920.0,30967.0,31095.0,31172.0
5009718,35700.0,35729.0,35752.0,35774.0,35790.0,35812.0,35837.0,35881.0,35908.0,35973.0,36013.0,36058.0,36083.0,36106.0,36145.0,36197.0,36230.0,36307.0,36350.0,36407.0,36425.0,36464.0,36489.0,36549.0,36594.0,36623.0,36653.0,36678.0,36695.0,36731.0,36787.0,36835.0,36875.0,36903.0,36931.0,36963.0,36993.0,37015.0,37072.0,37135.0,37172.0,37224.0,37261.0,37321.0,37362.0,37403.0,37489.0,37548.0,37597.0,37641.0,37684.0,37733.0,37759.0,37876.0,37945.0
