tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P
0,3624.0,3587.0,3588.0,3590.0,3589.0,3591.0,3592.0,3593.0,3594.0,3595.0,3596.0,3597.0,3598.0,4465.0,944.0,945.0,947.0,948.0,949.0,928.0,929.0,930.0,931.0,587.0,588.0,589.0,590.0,591.0,592.0,593.0,594.0,595.0,596.0,597.0,598.0,599.0,600.0,601.0,602.0,603.0,604.0,605.0,606.0,607.0,608.0,609.0,610.0,611.0,612.0,613.0,614.0,615.0,616.0,617.0,618.0,619.0,675.0,620.0,7569.0
5002614,30000.0,30044.0,30075.0,30097.0,30138.0,30169.0,30235.0,30327.0,30370.0,30422.0,30457.0,30498.0,30550.0,30591.0,30620.0,30646.0,30703.0,30725.0,30750.0,30852.0,30930.0,31082.0,31135.0,31198.0,31217.0,31259.0,31284.0,31344.0,31385.0,31411.0,31439.0,31462.0,31477.0,31509.0,31559.0,31602.0,31638.0,31663.0,31688.0,31717.0,31750.0,31775.0,31836.0,31889.0,31920.0,31975.0,32015.0,32075.0,32116.0,32168.0,32277.0,32339.0,32391.0,32451.0,32510.0,32569.0,32600.0,32712.0,32778.0
5005169,70800.0,70840.0,70867.0,70885.0,70919.0,70945.0,71003.0,71055.0,71087.0,71116.0,71135.0,71158.0,71188.0,71218.0,71242.0,71263.0,71310.0,71329.0,71351.0,71412.0,71432.0,71472.0,71511.0,71557.0,71573.0,71608.0,71626.0,71670.0,71704.0,71725.0,71749.0,71769.0,71782.0,71804.0,71838.0,71867.0,71891.0,71910.0,71929.0,71952.0,71971.0,71986.0,72027.0,72062.0,72083.0,72114.0,72136.0,72178.0,72207.0,72242.0,72315.0,72351.0,72380.0,72410.0,72439.0,72469.0,72485.0,72600.0,72668.0
5005171,78000.0,78040.0,78067.0,78085.0,78119.0,78145.0,78203.0,78255.0,78287.0,78316.0,78335.0,78358.0,78388.0,78418.0,78442.0,78463.0,78510.0,78529.0,78551.0,78612.0,78632.0,78672.0,78711.0,78757.0,78773.0,78808.0,78826.0,78870.0,78904.0,78925.0,78949.0,78969.0,78982.0,79004.0,79038.0,79067.0,79091.0,79110.0,79129.0,79152.0,79171.0,79186.0,79227.0,79262.0,79283.0,79314.0,79336.0,79378.0,79407.0,79442.0,79515.0,79551.0,79580.0,79610.0,79639.0,79669.0,79685.0,79800.0,79868.0
5005173,84600.0,84640.0,84667.0,84685.0,84719.0,84745.0,84803.0,84855.0,84887.0,84916.0,84935.0,84958.0,84988.0,85018.0,85042.0,85063.0,85110.0,85129.0,85151.0,85212.0,85232.0,85272.0,85311.0,85357.0,85373.0,85408.0,85426.0,85470.0,85504.0,85525.0,85549.0,85569.0,85582.0,85604.0,85638.0,85667.0,85691.0,85710.0,85729.0,85752.0,85771.0,85786.0,85827.0,85862.0,85883.0,85914.0,85936.0,85978.0,86007.0,86042.0,86115.0,86151.0,86180.0,86210.0,86239.0,86269.0,86285.0,86400.0,86468.0
5005187,27000.0,27060.0,27101.0,27123.0,27163.0,27194.0,27259.0,27327.0,27360.0,27400.0,27427.0,27459.0,27501.0,27532.0,27557.0,27580.0,27629.0,27649.0,27671.0,27739.0,27764.0,27813.0,27863.0,27923.0,27944.0,27989.0,28015.0,28077.0,28122.0,28151.0,28186.0,28215.0,28233.0,28268.0,28322.0,28368.0,28406.0,28432.0,28458.0,28489.0,28528.0,28558.0,28622.0,28680.0,28715.0,28791.0,28846.0,28933.0,28992.0,29055.0,29186.0,29257.0,29316.0,29372.0,29428.0,29501.0,29540.0,29664.0,29738.0
5005189,34800.0,34844.0,34875.0,34897.0,34938.0,34969.0,35035.0,35127.0,35170.0,35222.0,35257.0,35298.0,35350.0,35391.0,35420.0,35446.0,35503.0,35525.0,35550.0,35652.0,35730.0,35882.0,35935.0,35998.0,36017.0,36059.0,36084.0,36144.0,36185.0,36211.0,36239.0,36262.0,36277.0,36309.0,36359.0,36402.0,36438.0,36463.0,36488.0,36517.0,36550.0,36575.0,36636.0,36689.0,36720.0,36775.0,36815.0,36875.0,36916.0,36968.0,37077.0,37139.0,37191.0,37251.0,37310.0,37369.0,37400.0,37512.0,37578.0
5005190,51000.0,51052.0,51089.0,51112.0,51155.0,51188.0,51252.0,51331.0,51378.0,51421.0,51450.0,51484.0,51529.0,51573.0,51599.0,51623.0,51676.0,51696.0,51721.0,51814.0,51880.0,52008.0,52082.0,52171.0,52190.0,52231.0,52253.0,52308.0,52350.0,52377.0,52402.0,52423.0,52437.0,52469.0,52518.0,52561.0,52596.0,52623.0,52650.0,52682.0,52712.0,52735.0,52785.0,52833.0,52861.0,52911.0,52947.0,53002.0,53039.0,53082.0,53171.0,53225.0,53269.0,53314.0,53359.0,53407.0,53433.0,53551.0,53621.0
5005192,58200.0,58249.0,58283.0,58306.0,58349.0,58383.0,58449.0,58524.0,58567.0,58612.0,58642.0,58677.0,58722.0,58762.0,58792.0,58820.0,58881.0,58903.0,58928.0,59009.0,59088.0,59242.0,59313.0,59399.0,59419.0,59462.0,59486.0,59543.0,59586.0,59614.0,59641.0,59663.0,59677.0,59709.0,59758.0,59801.0,59836.0,59866.0,59896.0,59930.0,59962.0,59987.0,60047.0,60110.0,60147.0,60193.0,60226.0,60288.0,60330.0,60376.0,60471.0,60528.0,60575.0,60614.0,60652.0,60711.0,60742.0,60937.0,61053.0
5005194,67200.0,67248.0,67281.0,67303.0,67344.0,67375.0,67439.0,67498.0,67528.0,67562.0,67585.0,67612.0,67648.0,67679.0,67705.0,67729.0,67782.0,67804.0,67827.0,67913.0,67951.0,68024.0,68093.0,68177.0,68198.0,68244.0,68264.0,68312.0,68350.0,68374.0,68401.0,68424.0,68438.0,68466.0,68509.0,68546.0,68577.0,68601.0,68625.0,68653.0,68684.0,68708.0,68772.0,68828.0,68861.0,68897.0,68923.0,68995.0,69044.0,69091.0,69188.0,69240.0,69284.0,69325.0,69366.0,69413.0,69438.0,69561.0,69635.0
