tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P
0,3677.0,3678.0,3679.0,3711.0,3712.0,3713.0,3714.0,3715.0,5175.0,3755.0,3756.0,3757.0,3758.0,3759.0,3760.0,3761.0,3762.0,3763.0,3764.0,3765.0,3766.0,3767.0,3768.0,3770.0,3769.0,3771.0,3772.0,3773.0,3774.0,7172.0,3775.0,3777.0,3778.0,3781.0,3782.0,3783.0,3784.0,3785.0,3786.0,3787.0,3788.0,3789.0,3790.0,3791.0,3792.0,3793.0,3794.0,3795.0,3797.0,3798.0,3799.0,6076.0,6077.0,3569.0,3571.0,3801.0,3802.0,3805.0,7175.0,3806.0,3807.0,3808.0,3809.0,7174.0
5002315,54000.0,54042.0,54090.0,54122.0,54156.0,54232.0,54279.0,54396.0,54527.0,54588.0,54699.0,54736.0,54779.0,54830.0,54853.0,54918.0,54966.0,55032.0,55071.0,55108.0,55155.0,55182.0,55198.0,55206.0,55242.0,55287.0,55317.0,55333.0,55380.0,55426.0,55444.0,55474.0,55500.0,55558.0,55589.0,55630.0,55678.0,55743.0,55784.0,55847.0,55887.0,55929.0,55981.0,56025.0,56067.0,56112.0,56150.0,56179.0,56223.0,56241.0,56268.0,56298.0,56354.0,56375.0,56407.0,56455.0,56475.0,56597.0,56638.0,56749.0,56769.0,56800.0,56810.0,56845.0
5002317,61200.0,61242.0,61290.0,61322.0,61356.0,61432.0,61479.0,61596.0,61727.0,61788.0,61899.0,61936.0,61979.0,62030.0,62053.0,62118.0,62166.0,62232.0,62271.0,62308.0,62355.0,62382.0,62398.0,62406.0,62442.0,62487.0,62517.0,62533.0,62580.0,62626.0,62644.0,62674.0,62700.0,62758.0,62789.0,62830.0,62878.0,62943.0,62984.0,63047.0,63087.0,63129.0,63181.0,63225.0,63267.0,63312.0,63350.0,63379.0,63423.0,63441.0,63468.0,63498.0,63554.0,63575.0,63607.0,63655.0,63675.0,63797.0,63838.0,63949.0,63969.0,64000.0,64010.0,64045.0
5003887,46800.0,46842.0,46890.0,46922.0,46956.0,47032.0,47079.0,47196.0,47327.0,47388.0,47499.0,47536.0,47579.0,47630.0,47653.0,47718.0,47766.0,47832.0,47871.0,47908.0,47955.0,47982.0,47998.0,48006.0,48042.0,48087.0,48117.0,48133.0,48180.0,48226.0,48244.0,48274.0,48300.0,48358.0,48389.0,48430.0,48478.0,48543.0,48584.0,48647.0,48687.0,48729.0,48781.0,48825.0,48867.0,48912.0,48950.0,48979.0,49023.0,49041.0,49068.0,49098.0,49154.0,49175.0,49207.0,49255.0,49275.0,49397.0,49438.0,49549.0,49569.0,49600.0,49610.0,49645.0
5008574,67500.0,67542.0,67590.0,67622.0,67656.0,67732.0,67779.0,67896.0,68027.0,68088.0,68199.0,68236.0,68279.0,68330.0,68353.0,68418.0,68466.0,68532.0,68571.0,68608.0,68655.0,68682.0,68698.0,68706.0,68742.0,68787.0,68817.0,68833.0,68880.0,68926.0,68944.0,68974.0,69000.0,69058.0,69089.0,69130.0,69178.0,69243.0,69284.0,69347.0,69387.0,69429.0,69481.0,69525.0,69567.0,69612.0,69650.0,69679.0,69723.0,69741.0,69768.0,69798.0,69854.0,69875.0,69907.0,69955.0,69975.0,70097.0,70138.0,70249.0,70269.0,70300.0,70310.0,70345.0
5012472,43200.0,43242.0,43290.0,43322.0,43356.0,43432.0,43479.0,43596.0,43727.0,43788.0,43899.0,43936.0,43979.0,44030.0,44053.0,44118.0,44166.0,44232.0,44271.0,44308.0,44355.0,44382.0,44398.0,44406.0,44442.0,44487.0,44517.0,44533.0,44580.0,44626.0,44644.0,44674.0,44700.0,44758.0,44789.0,44830.0,44878.0,44943.0,44984.0,45047.0,45087.0,45129.0,45181.0,45225.0,45267.0,45312.0,45350.0,45379.0,45423.0,45441.0,45468.0,45498.0,45554.0,45575.0,45607.0,45655.0,45675.0,45797.0,45838.0,45949.0,45969.0,46000.0,46010.0,46045.0
5018791,57600.0,57642.0,57690.0,57722.0,57756.0,57832.0,57879.0,57996.0,58127.0,58188.0,58299.0,58336.0,58379.0,58430.0,58453.0,58518.0,58566.0,58632.0,58671.0,58708.0,58755.0,58782.0,58798.0,58806.0,58842.0,58887.0,58917.0,58933.0,58980.0,59026.0,59044.0,59074.0,59100.0,59158.0,59189.0,59230.0,59278.0,59343.0,59384.0,59447.0,59487.0,59529.0,59581.0,59625.0,59667.0,59712.0,59750.0,59779.0,59823.0,59841.0,59868.0,59898.0,59954.0,59975.0,60007.0,60055.0,60075.0,60197.0,60238.0,60349.0,60369.0,60400.0,60410.0,60445.0
5019163,43200.0,43242.0,43290.0,43322.0,43356.0,43432.0,43479.0,43596.0,43727.0,43788.0,43899.0,43936.0,43979.0,44030.0,44053.0,44118.0,44166.0,44232.0,44271.0,44308.0,44355.0,44382.0,44398.0,44406.0,44442.0,44487.0,44517.0,44533.0,44580.0,44626.0,44644.0,44674.0,44700.0,44758.0,44789.0,44830.0,44878.0,44943.0,44984.0,45047.0,45087.0,45129.0,45181.0,45225.0,45267.0,45312.0,45350.0,45379.0,45423.0,45441.0,45468.0,45498.0,45554.0,45575.0,45607.0,45655.0,45675.0,45797.0,45838.0,45949.0,45969.0,46000.0,46010.0,46045.0
5019165,50400.0,50442.0,50490.0,50522.0,50556.0,50632.0,50679.0,50796.0,50927.0,50988.0,51099.0,51136.0,51179.0,51230.0,51253.0,51318.0,51366.0,51432.0,51471.0,51508.0,51555.0,51582.0,51598.0,51606.0,51642.0,51687.0,51717.0,51733.0,51780.0,51826.0,51844.0,51874.0,51900.0,51958.0,51989.0,52030.0,52078.0,52143.0,52184.0,52247.0,52287.0,52329.0,52381.0,52425.0,52467.0,52512.0,52550.0,52579.0,52623.0,52641.0,52668.0,52698.0,52754.0,52775.0,52807.0,52855.0,52875.0,52997.0,53038.0,53149.0,53169.0,53200.0,53210.0,53245.0
5085291,45000.0,45040.0,45086.0,45117.0,45150.0,45223.0,45269.0,45380.0,45506.0,45564.0,45671.0,45706.0,45748.0,45798.0,45821.0,45884.0,45930.0,45994.0,46032.0,46065.0,46110.0,46136.0,46151.0,46158.0,46193.0,46236.0,46265.0,46280.0,46325.0,46369.0,46386.0,46415.0,46442.0,46497.0,46527.0,46567.0,46613.0,46676.0,46715.0,46775.0,46814.0,46855.0,46905.0,46948.0,46988.0,47032.0,47068.0,47096.0,47138.0,47156.0,47182.0,47211.0,47264.0,47284.0,47315.0,47361.0,47380.0,47497.0,47536.0,47643.0,47662.0,47692.0,47701.0,47736.0
