tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P
0,6048.0,7173.0,3811.0,3812.0,3664.0,3813.0,3814.0,7592.0,3815.0,3816.0,3566.0,3567.0,7292.0,3818.0,3819.0,3820.0,3822.0,3823.0,3824.0,3565.0,3825.0,3826.0,3827.0,3828.0,3829.0,3831.0,3832.0,3833.0,3834.0,3835.0,3836.0,3837.0,3838.0,3840.0,3842.0,3843.0,3844.0,3845.0,3846.0,3848.0,3849.0,3850.0,3851.0,3852.0,3853.0,3854.0,3855.0,3856.0,3857.0,3858.0,3859.0,3860.0,3861.0,3862.0,3863.0,3748.0,3749.0,3750.0,3752.0,3751.0,3689.0,3692.0
5011780,73800.0,73839.0,73863.0,73887.0,73907.0,74028.0,74092.0,74228.0,74243.0,74265.0,74310.0,74349.0,74411.0,74439.0,74470.0,74494.0,74523.0,74557.0,74592.0,74624.0,74672.0,74716.0,74765.0,74809.0,74838.0,74900.0,74942.0,75005.0,75035.0,75058.0,75117.0,75141.0,75166.0,75192.0,75223.0,75245.0,75287.0,75309.0,75348.0,75409.0,75429.0,75452.0,75463.0,75494.0,75534.0,75559.0,75574.0,75595.0,75614.0,75634.0,75642.0,75660.0,75671.0,75688.0,75724.0,75752.0,75839.0,75851.0,75886.0,75892.0,75902.0,75927.0
5018710,63000.0,63039.0,63063.0,63087.0,63107.0,63228.0,63292.0,63428.0,63443.0,63465.0,63510.0,63549.0,63611.0,63639.0,63670.0,63694.0,63723.0,63757.0,63792.0,63824.0,63872.0,63916.0,63965.0,64009.0,64038.0,64100.0,64142.0,64205.0,64235.0,64258.0,64317.0,64341.0,64366.0,64392.0,64423.0,64445.0,64487.0,64509.0,64548.0,64609.0,64629.0,64652.0,64663.0,64694.0,64734.0,64759.0,64774.0,64795.0,64814.0,64834.0,64842.0,64860.0,64871.0,64888.0,64924.0,64952.0,65039.0,65051.0,65086.0,65092.0,65102.0,65127.0
5019162,39600.0,39642.0,39668.0,39694.0,39716.0,39845.0,39914.0,40059.0,40075.0,40099.0,40148.0,40190.0,40256.0,40286.0,40319.0,40345.0,40376.0,40412.0,40450.0,40484.0,40535.0,40582.0,40634.0,40681.0,40712.0,40779.0,40824.0,40891.0,40923.0,40947.0,41010.0,41036.0,41063.0,41088.0,41123.0,41148.0,41195.0,41220.0,41264.0,41333.0,41356.0,41382.0,41394.0,41429.0,41474.0,41502.0,41517.0,41538.0,41557.0,41577.0,41585.0,41604.0,41615.0,41632.0,41668.0,41696.0,41783.0,41795.0,41830.0,41836.0,41846.0,41871.0
5019164,46800.0,46842.0,46868.0,46894.0,46916.0,47045.0,47114.0,47259.0,47275.0,47299.0,47348.0,47390.0,47456.0,47486.0,47519.0,47545.0,47576.0,47612.0,47650.0,47684.0,47735.0,47782.0,47834.0,47881.0,47912.0,47979.0,48024.0,48091.0,48123.0,48147.0,48210.0,48236.0,48263.0,48288.0,48323.0,48348.0,48395.0,48420.0,48464.0,48533.0,48556.0,48582.0,48594.0,48629.0,48674.0,48702.0,48717.0,48738.0,48757.0,48777.0,48785.0,48804.0,48815.0,48832.0,48868.0,48896.0,48983.0,48995.0,49030.0,49036.0,49046.0,49071.0
5083397,73800.0,73837.0,73860.0,73883.0,73902.0,74016.0,74076.0,74212.0,74217.0,74239.0,74283.0,74321.0,74381.0,74409.0,74439.0,74462.0,74490.0,74523.0,74557.0,74588.0,74635.0,74677.0,74724.0,74767.0,74795.0,74856.0,74897.0,74958.0,74987.0,75009.0,75066.0,75090.0,75115.0,75139.0,75169.0,75191.0,75231.0,75253.0,75291.0,75350.0,75369.0,75391.0,75401.0,75431.0,75469.0,75492.0,75506.0,75526.0,75544.0,75564.0,75572.0,75590.0,75601.0,75617.0,75652.0,75679.0,75762.0,75773.0,75806.0,75812.0,75821.0,75846.0
5088721,39600.0,39640.0,39665.0,39689.0,39709.0,39831.0,39895.0,40041.0,40046.0,40069.0,40116.0,40157.0,40221.0,40250.0,40282.0,40307.0,40337.0,40372.0,40409.0,40442.0,40492.0,40537.0,40587.0,40633.0,40663.0,40728.0,40772.0,40837.0,40868.0,40892.0,40953.0,40978.0,41004.0,41030.0,41064.0,41088.0,41133.0,41157.0,41200.0,41266.0,41288.0,41313.0,41325.0,41359.0,41402.0,41428.0,41442.0,41463.0,41481.0,41501.0,41509.0,41527.0,41538.0,41554.0,41589.0,41616.0,41699.0,41710.0,41744.0,41750.0,41759.0,41783.0
5088723,46800.0,46840.0,46865.0,46889.0,46909.0,47031.0,47095.0,47241.0,47246.0,47269.0,47316.0,47357.0,47421.0,47450.0,47482.0,47507.0,47537.0,47572.0,47609.0,47642.0,47692.0,47737.0,47787.0,47833.0,47863.0,47928.0,47972.0,48037.0,48068.0,48092.0,48153.0,48178.0,48204.0,48230.0,48264.0,48288.0,48333.0,48357.0,48400.0,48466.0,48488.0,48513.0,48525.0,48559.0,48602.0,48628.0,48642.0,48663.0,48681.0,48701.0,48709.0,48727.0,48738.0,48754.0,48789.0,48816.0,48899.0,48910.0,48944.0,48950.0,48959.0,48983.0
5089657,43200.0,43240.0,43265.0,43289.0,43309.0,43431.0,43495.0,43641.0,43646.0,43669.0,43716.0,43757.0,43821.0,43850.0,43882.0,43907.0,43937.0,43972.0,44009.0,44042.0,44092.0,44137.0,44187.0,44233.0,44263.0,44328.0,44372.0,44437.0,44468.0,44492.0,44553.0,44578.0,44604.0,44630.0,44664.0,44688.0,44733.0,44757.0,44800.0,44866.0,44888.0,44913.0,44925.0,44959.0,45002.0,45028.0,45042.0,45063.0,45081.0,45101.0,45109.0,45127.0,45138.0,45154.0,45189.0,45216.0,45299.0,45310.0,45344.0,45350.0,45359.0,45383.0
5090129,63000.0,63037.0,63060.0,63083.0,63102.0,63216.0,63276.0,63412.0,63417.0,63439.0,63483.0,63521.0,63581.0,63609.0,63639.0,63662.0,63690.0,63723.0,63757.0,63788.0,63835.0,63877.0,63924.0,63967.0,63995.0,64056.0,64097.0,64158.0,64187.0,64209.0,64266.0,64290.0,64315.0,64339.0,64369.0,64391.0,64431.0,64453.0,64491.0,64550.0,64569.0,64591.0,64601.0,64631.0,64669.0,64692.0,64706.0,64726.0,64744.0,64764.0,64772.0,64790.0,64801.0,64817.0,64852.0,64879.0,64962.0,64973.0,65006.0,65012.0,65021.0,65046.0
