tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P
0,4330.0,3679.0,3711.0,3712.0,3713.0,3714.0,3719.0,3718.0,3720.0,3721.0,3722.0,5069.0,3723.0,3724.0,3725.0,3726.0,7039.0,7204.0,3728.0,3729.0,3730.0,3732.0
5008332,64800.0,64988.0,65059.0,65094.0,65173.0,65196.0,65407.0,65479.0,65570.0,65627.0,65724.0,65772.0,65823.0,65859.0,65886.0,65935.0,65980.0,66032.0,66155.0,66181.0,66220.0,66245.0
5008334,68400.0,68640.0,68700.0,68718.0,68760.0,68820.0,69000.0,69060.0,69120.0,69147.0,69193.0,69216.0,69240.0,69308.0,69360.0,69600.0,69617.0,69637.0,69685.0,69695.0,69710.0,69720.0
5009437,41400.0,41640.0,41700.0,41718.0,41760.0,41820.0,42000.0,42060.0,42120.0,42133.0,42156.0,42167.0,42180.0,42214.0,42240.0,42480.0,42497.0,42517.0,42565.0,42575.0,42590.0,42600.0
5009443,61200.0,61388.0,61459.0,61494.0,61573.0,61596.0,61807.0,61879.0,61970.0,62027.0,62124.0,62172.0,62223.0,62259.0,62286.0,62335.0,62380.0,62432.0,62555.0,62581.0,62620.0,62645.0
5009445,66600.0,66788.0,66859.0,66894.0,66973.0,66996.0,67207.0,67279.0,67370.0,67427.0,67524.0,67572.0,67623.0,67659.0,67686.0,67735.0,67780.0,67832.0,67955.0,67981.0,68020.0,68045.0
5011096,41400.0,41611.0,41665.0,41691.0,41751.0,41772.0,41967.0,42035.0,42116.0,42167.0,42254.0,42297.0,42344.0,42382.0,42411.0,42469.0,42511.0,42560.0,42676.0,42701.0,42737.0,42761.0
5011098,45000.0,45202.0,45249.0,45284.0,45362.0,45384.0,45616.0,45686.0,45784.0,45843.0,45943.0,45992.0,46045.0,46084.0,46114.0,46175.0,46211.0,46253.0,46352.0,46373.0,46404.0,46424.0
5011100,48600.0,48802.0,48849.0,48884.0,48962.0,48984.0,49216.0,49286.0,49384.0,49443.0,49543.0,49592.0,49645.0,49684.0,49714.0,49775.0,49811.0,49853.0,49952.0,49973.0,50004.0,50024.0
5011103,63000.0,63232.0,63292.0,63333.0,63424.0,63449.0,63694.0,63756.0,63840.0,63899.0,63999.0,64048.0,64101.0,64141.0,64171.0,64225.0,64263.0,64307.0,64411.0,64433.0,64466.0,64488.0
5011105,66600.0,66832.0,66892.0,66933.0,67024.0,67049.0,67294.0,67356.0,67440.0,67499.0,67599.0,67648.0,67701.0,67741.0,67771.0,67825.0,67863.0,67907.0,68011.0,68033.0,68066.0,68088.0
5017274,52200.0,52402.0,52449.0,52484.0,52562.0,52584.0,52816.0,52886.0,52984.0,53043.0,53143.0,53192.0,53245.0,53284.0,53314.0,53375.0,53411.0,53453.0,53552.0,53573.0,53604.0,53624.0
5017276,55800.0,56032.0,56092.0,56133.0,56224.0,56249.0,56494.0,56556.0,56640.0,56699.0,56799.0,56848.0,56901.0,56941.0,56971.0,57025.0,57063.0,57107.0,57211.0,57233.0,57266.0,57288.0
5017278,68400.0,68525.0,68569.0,68601.0,68674.0,68697.0,68895.0,68952.0,69026.0,69076.0,69161.0,69203.0,69248.0,69284.0,69312.0,69367.0,69411.0,69463.0,69586.0,69612.0,69651.0,69676.0
5017280,72000.0,72125.0,72169.0,72201.0,72274.0,72297.0,72495.0,72552.0,72626.0,72676.0,72761.0,72803.0,72848.0,72884.0,72912.0,72967.0,73011.0,73063.0,73186.0,73212.0,73251.0,73276.0
5017513,30600.0,30759.0,30794.0,30828.0,30903.0,30923.0,31140.0,31201.0,31288.0,31334.0,31412.0,31450.0,31491.0,31527.0,31555.0,31595.0,31636.0,31684.0,31798.0,31822.0,31858.0,31883.0
5017515,34200.0,34359.0,34394.0,34428.0,34503.0,34523.0,34740.0,34801.0,34888.0,34934.0,35012.0,35050.0,35091.0,35127.0,35155.0,35195.0,35236.0,35284.0,35398.0,35422.0,35458.0,35483.0
5017517,37800.0,38011.0,38065.0,38091.0,38151.0,38172.0,38367.0,38435.0,38516.0,38567.0,38654.0,38697.0,38744.0,38782.0,38811.0,38869.0,38911.0,38960.0,39076.0,39101.0,39137.0,39161.0
5017520,50400.0,50602.0,50649.0,50684.0,50762.0,50784.0,51016.0,51086.0,51184.0,51243.0,51343.0,51392.0,51445.0,51484.0,51514.0,51575.0,51611.0,51653.0,51752.0,51773.0,51804.0,51824.0
5017521,57600.0,57832.0,57892.0,57933.0,58024.0,58049.0,58294.0,58356.0,58440.0,58499.0,58599.0,58648.0,58701.0,58741.0,58771.0,58825.0,58863.0,58907.0,59011.0,59033.0,59066.0,59088.0
5017523,61200.0,61432.0,61492.0,61533.0,61624.0,61649.0,61894.0,61956.0,62040.0,62099.0,62199.0,62248.0,62301.0,62341.0,62371.0,62425.0,62463.0,62507.0,62611.0,62633.0,62666.0,62688.0
5017525,64800.0,65032.0,65092.0,65133.0,65224.0,65249.0,65494.0,65556.0,65640.0,65699.0,65799.0,65848.0,65901.0,65941.0,65971.0,66025.0,66063.0,66107.0,66211.0,66233.0,66266.0,66288.0
5017526,73800.0,73925.0,73969.0,74001.0,74074.0,74097.0,74295.0,74352.0,74426.0,74476.0,74561.0,74603.0,74648.0,74684.0,74712.0,74767.0,74811.0,74863.0,74986.0,75012.0,75051.0,75076.0
5017528,77400.0,77510.0,77565.0,77594.0,77659.0,77682.0,77889.0,77948.0,78020.0,78073.0,78164.0,78209.0,78258.0,78295.0,78323.0,78380.0,78421.0,78469.0,78582.0,78606.0,78642.0,78666.0
5017530,81000.0,81110.0,81165.0,81194.0,81259.0,81282.0,81489.0,81548.0,81620.0,81673.0,81764.0,81809.0,81858.0,81895.0,81923.0,81980.0,82021.0,82069.0,82182.0,82206.0,82242.0,82266.0
5017532,85500.0,85610.0,85665.0,85694.0,85759.0,85782.0,85989.0,86048.0,86120.0,86173.0,86264.0,86309.0,86358.0,86395.0,86423.0,86480.0,86521.0,86569.0,86682.0,86706.0,86742.0,86766.0
5084299,41400.0,41640.0,41700.0,41718.0,41760.0,41820.0,42060.0,42120.0,42180.0,42193.0,42216.0,42227.0,42240.0,42308.0,42360.0,42480.0,42497.0,42517.0,42565.0,42575.0,42590.0,42600.0
5084303,57600.0,57759.0,57806.0,57840.0,57917.0,57937.0,58144.0,58209.0,58301.0,58350.0,58433.0,58474.0,58518.0,58559.0,58591.0,58635.0,58676.0,58724.0,58837.0,58861.0,58896.0,58919.0
5084307,66600.0,66759.0,66806.0,66840.0,66917.0,66937.0,67144.0,67209.0,67301.0,67350.0,67433.0,67474.0,67518.0,67559.0,67591.0,67635.0,67676.0,67724.0,67837.0,67861.0,67896.0,67919.0
5084309,77400.0,77640.0,77700.0,77718.0,77760.0,77820.0,78060.0,78120.0,78300.0,78327.0,78373.0,78396.0,78420.0,78488.0,78540.0,78660.0,78677.0,78697.0,78745.0,78755.0,78770.0,78780.0
5085127,46800.0,47040.0,47100.0,47118.0,47160.0,47220.0,47460.0,47520.0,47640.0,47667.0,47713.0,47736.0,47760.0,47828.0,47880.0,48000.0,48017.0,48037.0,48085.0,48095.0,48110.0,48120.0
5085133,64800.0,64959.0,65006.0,65040.0,65117.0,65137.0,65344.0,65409.0,65501.0,65550.0,65633.0,65674.0,65718.0,65759.0,65791.0,65835.0,65876.0,65924.0,66037.0,66061.0,66096.0,66119.0
5085137,72000.0,72168.0,72204.0,72240.0,72321.0,72342.0,72543.0,72611.0,72698.0,72746.0,72828.0,72869.0,72913.0,72948.0,72974.0,73034.0,73080.0,73134.0,73261.0,73288.0,73328.0,73354.0
5087593,52200.0,52440.0,52500.0,52518.0,52560.0,52620.0,52860.0,52920.0,53040.0,53067.0,53113.0,53136.0,53160.0,53228.0,53280.0,53400.0,53417.0,53437.0,53485.0,53495.0,53510.0,53520.0
5087597,59400.0,59559.0,59606.0,59640.0,59717.0,59737.0,59944.0,60009.0,60101.0,60150.0,60233.0,60274.0,60318.0,60359.0,60391.0,60435.0,60476.0,60524.0,60637.0,60661.0,60696.0,60719.0
5087599,70200.0,70368.0,70404.0,70440.0,70521.0,70542.0,70743.0,70811.0,70898.0,70946.0,71028.0,71069.0,71113.0,71148.0,71174.0,71234.0,71280.0,71334.0,71461.0,71488.0,71528.0,71554.0
5087601,73800.0,73968.0,74004.0,74040.0,74121.0,74142.0,74343.0,74411.0,74498.0,74546.0,74628.0,74669.0,74713.0,74748.0,74774.0,74834.0,74880.0,74934.0,75061.0,75088.0,75128.0,75154.0
5087856,52200.0,52394.0,52439.0,52473.0,52548.0,52569.0,52792.0,52859.0,52953.0,53009.0,53105.0,53152.0,53204.0,53241.0,53270.0,53329.0,53363.0,53403.0,53498.0,53518.0,53548.0,53568.0
5087858,55800.0,56023.0,56081.0,56120.0,56208.0,56232.0,56468.0,56528.0,56609.0,56665.0,56761.0,56808.0,56860.0,56898.0,56927.0,56979.0,57015.0,57057.0,57157.0,57178.0,57210.0,57232.0
