tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P
0,7340.0,783.0,784.0,785.0,786.0,793.0,7576.0,7586.0,7587.0,7588.0,329.0,1443.0,1444.0,1445.0,1647.0,1648.0,1649.0,1911.0,802.0,1654.0,1655.0,1656.0,1657.0,4458.0,1658.0,1659.0,1660.0,1661.0,1662.0,1664.0,1665.0,1666.0,1667.0,1668.0,1669.0,1670.0,1671.0,1672.0,1673.0,1674.0,1675.0,7380.0,1676.0,1517.0,1678.0,1679.0,4520.0,4825.0,7233.0,4573.0,4893.0,4894.0,4895.0,7217.0,7227.0,6172.0,4493.0,4362.0,2959.0
5002610,52500.0,52503.0,52540.0,52604.0,52724.0,52902.0,52915.0,53123.0,53286.0,53351.0,53601.0,53704.0,53816.0,53939.0,54147.0,54279.0,54342.0,54512.0,54566.0,54616.0,54655.0,54682.0,54745.0,54835.0,54886.0,54965.0,55094.0,55201.0,55320.0,55396.0,55443.0,55464.0,55505.0,55541.0,55569.0,55693.0,55895.0,55990.0,56120.0,56181.0,56218.0,56291.0,56328.0,56390.0,56419.0,56450.0,56513.0,56554.0,56596.0,56637.0,56694.0,56749.0,56792.0,56928.0,56957.0,57001.0,57056.0,57092.0,57162.0
5002612,63300.0,63303.0,63344.0,63414.0,63523.0,63685.0,63697.0,64001.0,64240.0,64334.0,64700.0,64837.0,64902.0,64973.0,65093.0,65169.0,65236.0,65415.0,65476.0,65532.0,65575.0,65605.0,65677.0,65717.0,65748.0,65795.0,65945.0,66024.0,66113.0,66162.0,66193.0,66226.0,66261.0,66296.0,66323.0,66372.0,66452.0,66490.0,66542.0,66589.0,66637.0,66733.0,66782.0,66840.0,66867.0,66896.0,66954.0,66992.0,67048.0,67102.0,67178.0,67251.0,67306.0,67442.0,67471.0,67515.0,67570.0,67606.0,67676.0
5003894,24900.0,24903.0,24923.0,24957.0,25019.0,25111.0,25117.0,25263.0,25378.0,25423.0,25600.0,25674.0,25731.0,25794.0,25900.0,25966.0,25990.0,26056.0,26097.0,26135.0,26164.0,26184.0,26233.0,26272.0,26302.0,26347.0,26408.0,26444.0,26484.0,26526.0,26553.0,26578.0,26625.0,26658.0,26683.0,26719.0,26777.0,26804.0,26841.0,26897.0,26921.0,26969.0,26993.0,27030.0,27047.0,27065.0,27102.0,27128.0,27167.0,27205.0,27258.0,27309.0,27349.0,27473.0,27500.0,27540.0,27591.0,27624.0,27687.0
5003897,50100.0,50104.0,50153.0,50236.0,50359.0,50542.0,50555.0,50739.0,50883.0,50940.0,51161.0,51307.0,51378.0,51456.0,51587.0,51670.0,51715.0,51834.0,51878.0,51918.0,51949.0,51971.0,52022.0,52069.0,52104.0,52158.0,52361.0,52438.0,52524.0,52600.0,52647.0,52688.0,52738.0,52777.0,52807.0,52869.0,52970.0,53018.0,53083.0,53145.0,53176.0,53239.0,53271.0,53341.0,53373.0,53408.0,53478.0,53525.0,53573.0,53620.0,53686.0,53749.0,53798.0,53931.0,53960.0,54003.0,54058.0,54094.0,54162.0
5005644,28800.0,28860.0,28905.0,28980.0,29050.0,29153.0,29160.0,29251.0,29322.0,29350.0,29460.0,29640.0,29698.0,29762.0,29870.0,29940.0,29973.0,30060.0,30102.0,30140.0,30170.0,30191.0,30240.0,30300.0,30324.0,30360.0,30420.0,30477.0,30540.0,30614.0,30660.0,30720.0,30780.0,30814.0,30840.0,30881.0,30947.0,30978.0,31020.0,31080.0,31110.0,31170.0,31200.0,31250.0,31273.0,31298.0,31348.0,31380.0,31412.0,31443.0,31486.0,31528.0,31560.0,31670.0,31694.0,31729.0,31774.0,31803.0,31860.0
5006095,30600.0,30780.0,30802.0,30840.0,30910.0,31013.0,31020.0,31093.0,31150.0,31173.0,31260.0,31380.0,31438.0,31502.0,31610.0,31680.0,31713.0,31800.0,31842.0,31880.0,31910.0,31931.0,31980.0,32040.0,32064.0,32100.0,32160.0,32188.0,32220.0,32294.0,32340.0,32400.0,32460.0,32494.0,32520.0,32561.0,32627.0,32658.0,32700.0,32760.0,32790.0,32850.0,32880.0,32930.0,32953.0,32978.0,33028.0,33060.0,33102.0,33143.0,33201.0,33257.0,33300.0,33432.0,33461.0,33503.0,33557.0,33592.0,33660.0
5006353,23700.0,23703.0,23723.0,23757.0,23819.0,23911.0,23917.0,24063.0,24178.0,24223.0,24400.0,24474.0,24531.0,24594.0,24700.0,24766.0,24790.0,24856.0,24897.0,24935.0,24964.0,24984.0,25033.0,25072.0,25102.0,25147.0,25208.0,25244.0,25284.0,25326.0,25353.0,25378.0,25425.0,25458.0,25483.0,25519.0,25577.0,25604.0,25641.0,25697.0,25721.0,25769.0,25793.0,25830.0,25847.0,25865.0,25902.0,25928.0,25967.0,26005.0,26058.0,26109.0,26149.0,26273.0,26300.0,26340.0,26391.0,26424.0,26487.0
5006355,34500.0,34503.0,34533.0,34585.0,34711.0,34897.0,34910.0,35089.0,35230.0,35286.0,35502.0,35625.0,35677.0,35734.0,35830.0,35891.0,35923.0,36008.0,36046.0,36081.0,36108.0,36127.0,36171.0,36209.0,36237.0,36281.0,36357.0,36401.0,36450.0,36496.0,36524.0,36560.0,36599.0,36631.0,36655.0,36693.0,36755.0,36784.0,36824.0,36880.0,36905.0,36955.0,36980.0,37023.0,37043.0,37064.0,37107.0,37136.0,37174.0,37211.0,37262.0,37311.0,37348.0,37474.0,37501.0,37542.0,37594.0,37628.0,37693.0
5008395,27000.0,27060.0,27105.0,27180.0,27250.0,27353.0,27360.0,27451.0,27522.0,27550.0,27660.0,27840.0,27898.0,27962.0,28070.0,28140.0,28173.0,28260.0,28302.0,28340.0,28370.0,28391.0,28440.0,28500.0,28524.0,28560.0,28620.0,28677.0,28740.0,28814.0,28860.0,28920.0,28980.0,29014.0,29040.0,29081.0,29147.0,29178.0,29220.0,29280.0,29310.0,29370.0,29400.0,29450.0,29473.0,29498.0,29548.0,29580.0,29612.0,29643.0,29686.0,29728.0,29760.0,29870.0,29894.0,29929.0,29974.0,30003.0,30060.0
