tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P
0,4747.0,1882.0,7379.0,4903.0,7219.0,7218.0,7031.0,4897.0,4898.0,4574.0,4575.0,1680.0,1681.0,1682.0,1683.0,1684.0,1685.0,1686.0,1687.0,1688.0,1689.0,1690.0,1691.0,1692.0,1693.0,1694.0,1695.0,1696.0,1697.0,1698.0,1699.0,1700.0,1701.0,1702.0,1703.0,1704.0,1705.0,1706.0,1707.0,1708.0,1709.0,1528.0,1710.0,1711.0,1712.0,1713.0,1714.0,1715.0,7453.0,1478.0,1479.0,315.0,313.0,349.0,404.0,747.0,843.0,845.0,846.0,7340.0
5002305,61500.0,61634.0,61684.0,61734.0,61786.0,61823.0,62001.0,62039.0,62092.0,62142.0,62174.0,62255.0,62297.0,62341.0,62370.0,62403.0,62464.0,62498.0,62570.0,62628.0,62717.0,62770.0,62832.0,62875.0,62909.0,62945.0,63000.0,63132.0,63149.0,63180.0,63206.0,63246.0,63289.0,63319.0,63359.0,63428.0,63460.0,63510.0,63562.0,63596.0,63611.0,63663.0,63703.0,63745.0,63801.0,63856.0,63890.0,63956.0,64033.0,64189.0,64295.0,64512.0,64562.0,64832.0,64948.0,65078.0,65159.0,65203.0,65252.0,65374.0
5002551,25500.0,25597.0,25633.0,25669.0,25707.0,25735.0,25873.0,25908.0,25957.0,26004.0,26034.0,26109.0,26148.0,26188.0,26215.0,26246.0,26302.0,26333.0,26399.0,26456.0,26534.0,26576.0,26625.0,26659.0,26685.0,26713.0,26756.0,26823.0,26842.0,26876.0,26902.0,26942.0,26976.0,26999.0,27030.0,27082.0,27117.0,27172.0,27228.0,27269.0,27286.0,27335.0,27373.0,27414.0,27473.0,27530.0,27573.0,27655.0,27749.0,27868.0,27949.0,28115.0,28153.0,28331.0,28411.0,28500.0,28588.0,28637.0,28680.0,28785.0
5002605,27120.0,27239.0,27283.0,27327.0,27374.0,27413.0,27603.0,27646.0,27706.0,27763.0,27800.0,27886.0,27930.0,27976.0,28007.0,28042.0,28106.0,28141.0,28217.0,28313.0,28438.0,28496.0,28564.0,28610.0,28645.0,28682.0,28738.0,28832.0,28859.0,28907.0,28941.0,28994.0,29043.0,29076.0,29124.0,29206.0,29246.0,29309.0,29374.0,29420.0,29439.0,29508.0,29561.0,29619.0,29715.0,29809.0,29871.0,29991.0,30130.0,30350.0,30500.0,30807.0,30877.0,31185.0,31287.0,31400.0,31536.0,31611.0,31668.0,31809.0
5002611,57900.0,58025.0,58072.0,58119.0,58168.0,58200.0,58355.0,58398.0,58458.0,58515.0,58552.0,58627.0,58666.0,58707.0,58734.0,58765.0,58821.0,58852.0,58920.0,58977.0,59075.0,59133.0,59200.0,59246.0,59277.0,59310.0,59361.0,59501.0,59523.0,59561.0,59585.0,59621.0,59659.0,59685.0,59724.0,59791.0,59822.0,59871.0,59921.0,59963.0,59981.0,60028.0,60064.0,60103.0,60163.0,60221.0,60253.0,60314.0,60384.0,60538.0,60643.0,60858.0,60908.0,61183.0,61278.0,61383.0,61474.0,61524.0,61577.0,61707.0
5003303,77400.0,77493.0,77528.0,77562.0,77598.0,77621.0,77735.0,77766.0,77809.0,77850.0,77875.0,77938.0,77971.0,78005.0,78028.0,78054.0,78101.0,78127.0,78182.0,78229.0,78298.0,78333.0,78374.0,78403.0,78427.0,78453.0,78491.0,78552.0,78567.0,78595.0,78616.0,78647.0,78674.0,78692.0,78721.0,78769.0,78794.0,78834.0,78874.0,78905.0,78918.0,78948.0,78971.0,78996.0,79038.0,79079.0,79108.0,79165.0,79230.0,79303.0,79353.0,79455.0,79479.0,79640.0,79707.0,79781.0,79839.0,79871.0,79913.0,80017.0
5003828,57600.0,57791.0,57862.0,57933.0,58008.0,58041.0,58205.0,58244.0,58298.0,58349.0,58382.0,58453.0,58490.0,58528.0,58553.0,58582.0,58635.0,58664.0,58728.0,58781.0,58841.0,58894.0,58955.0,58997.0,59026.0,59057.0,59103.0,59179.0,59200.0,59238.0,59276.0,59334.0,59384.0,59419.0,59466.0,59547.0,59580.0,59633.0,59687.0,59733.0,59752.0,59811.0,59856.0,59906.0,59947.0,59987.0,60024.0,60096.0,60178.0,60310.0,60400.0,60584.0,60626.0,60838.0,60929.0,61030.0,61107.0,61150.0,61198.0,61318.0
5003895,29700.0,29851.0,29908.0,29964.0,30023.0,30078.0,30347.0,30392.0,30454.0,30513.0,30551.0,30633.0,30676.0,30721.0,30751.0,30785.0,30847.0,30881.0,30953.0,31032.0,31129.0,31182.0,31244.0,31287.0,31315.0,31345.0,31391.0,31462.0,31482.0,31519.0,31549.0,31594.0,31647.0,31684.0,31725.0,31795.0,31828.0,31880.0,31932.0,31968.0,31983.0,32036.0,32076.0,32120.0,32189.0,32257.0,32312.0,32418.0,32540.0,32776.0,32937.0,33265.0,33339.0,33655.0,33751.0,33858.0,33965.0,34024.0,34067.0,34173.0
5003896,44100.0,44211.0,44252.0,44293.0,44337.0,44365.0,44502.0,44542.0,44598.0,44651.0,44685.0,44758.0,44796.0,44836.0,44862.0,44892.0,44947.0,44977.0,45042.0,45097.0,45189.0,45239.0,45297.0,45337.0,45363.0,45391.0,45432.0,45507.0,45534.0,45582.0,45608.0,45648.0,45687.0,45714.0,45754.0,45822.0,45854.0,45904.0,45956.0,45992.0,46007.0,46054.0,46090.0,46129.0,46187.0,46244.0,46283.0,46358.0,46445.0,46573.0,46660.0,46838.0,46880.0,47087.0,47186.0,47296.0,47380.0,47426.0,47474.0,47592.0
5005357,52800.0,52921.0,52966.0,53011.0,53059.0,53088.0,53230.0,53263.0,53309.0,53353.0,53382.0,53453.0,53490.0,53528.0,53553.0,53582.0,53635.0,53664.0,53726.0,53811.0,53882.0,53924.0,53973.0,54007.0,54028.0,54050.0,54083.0,54204.0,54220.0,54248.0,54277.0,54321.0,54355.0,54379.0,54430.0,54517.0,54552.0,54608.0,54666.0,54698.0,54712.0,54764.0,54804.0,54846.0,54899.0,54950.0,54990.0,55067.0,55156.0,55266.0,55341.0,55494.0,55530.0,55692.0,55802.0,55925.0,55988.0,56022.0,56057.0,56144.0
