tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P
0,7333.0,783.0,784.0,785.0,786.0,793.0,7576.0,7586.0,7587.0,7588.0,274.0,2.0,192.0,795.0,796.0,57.0,58.0,59.0,60.0,1802.0,1795.0,1806.0,1660.0,1661.0,1662.0,1664.0,1665.0,1666.0,1807.0,7167.0,1808.0,1813.0,1814.0,1816.0,1817.0,1818.0,1819.0,1822.0,4994.0,4995.0,4996.0,1826.0,1827.0,7382.0,7381.0,4742.0,4743.0,4745.0
5002569,31200.0,31379.0,31416.0,31480.0,31601.0,31780.0,31792.0,31968.0,32107.0,32162.0,32434.0,32586.0,32740.0,32810.0,32851.0,33011.0,33067.0,33111.0,33164.0,33228.0,33256.0,33332.0,33425.0,33477.0,33536.0,33592.0,33627.0,33674.0,33750.0,33780.0,33887.0,34129.0,34185.0,34302.0,34371.0,34403.0,34449.0,34488.0,34594.0,34630.0,34659.0,34711.0,34749.0,34806.0,34848.0,34871.0,34888.0,34999.0
5002917,30600.0,30660.0,30705.0,30780.0,30873.0,31010.0,31020.0,31119.0,31197.0,31228.0,31380.0,31500.0,31541.0,31560.0,31597.0,31740.0,31810.0,31866.0,31933.0,32013.0,32049.0,32144.0,32261.0,32327.0,32400.0,32474.0,32520.0,32640.0,32760.0,32820.0,32874.0,32997.0,33026.0,33085.0,33120.0,33193.0,33300.0,33339.0,33445.0,33481.0,33510.0,33562.0,33600.0,33669.0,33720.0,33748.0,33769.0,33900.0
5005096,28200.0,28305.0,28320.0,28346.0,28405.0,28492.0,28498.0,28684.0,28830.0,28888.0,29174.0,29216.0,29291.0,29325.0,29350.0,29450.0,29492.0,29525.0,29565.0,29613.0,29634.0,29691.0,29761.0,29800.0,29845.0,29887.0,29913.0,29929.0,29977.0,29998.0,30065.0,30216.0,30251.0,30324.0,30368.0,30392.0,30428.0,30457.0,30535.0,30561.0,30582.0,30620.0,30648.0,30713.0,30761.0,30787.0,30806.0,30929.0
5006756,25800.0,25905.0,25920.0,25946.0,26005.0,26092.0,26098.0,26284.0,26430.0,26488.0,26774.0,26816.0,26891.0,26925.0,26950.0,27050.0,27092.0,27125.0,27165.0,27213.0,27234.0,27291.0,27361.0,27400.0,27445.0,27487.0,27513.0,27529.0,27577.0,27598.0,27665.0,27816.0,27851.0,27924.0,27968.0,27992.0,28028.0,28057.0,28135.0,28161.0,28182.0,28220.0,28248.0,28313.0,28361.0,28387.0,28406.0,28529.0
5009470,39600.0,39750.0,39785.0,39845.0,39942.0,40085.0,40095.0,40249.0,40370.0,40418.0,40656.0,40867.0,41013.0,41079.0,41119.0,41276.0,41338.0,41388.0,41447.0,41518.0,41550.0,41635.0,41739.0,41798.0,41862.0,41927.0,41967.0,42010.0,42077.0,42114.0,42232.0,42500.0,42562.0,42692.0,42768.0,42804.0,42857.0,42897.0,43006.0,43043.0,43072.0,43125.0,43164.0,43232.0,43282.0,43309.0,43329.0,43459.0
5010014,37800.0,37950.0,37985.0,38045.0,38142.0,38285.0,38295.0,38449.0,38570.0,38618.0,38856.0,39067.0,39213.0,39279.0,39319.0,39476.0,39538.0,39588.0,39647.0,39718.0,39750.0,39835.0,39939.0,39998.0,40062.0,40127.0,40167.0,40210.0,40277.0,40314.0,40432.0,40700.0,40762.0,40892.0,40968.0,41004.0,41057.0,41097.0,41206.0,41243.0,41272.0,41325.0,41364.0,41432.0,41482.0,41509.0,41529.0,41659.0
5010386,49200.0,49260.0,49305.0,49380.0,49450.0,49553.0,49560.0,49725.0,49855.0,49906.0,50160.0,50340.0,50505.0,50580.0,50617.0,50760.0,50836.0,50897.0,50970.0,51057.0,51096.0,51200.0,51328.0,51400.0,51480.0,51554.0,51600.0,51720.0,51840.0,51960.0,52068.0,52314.0,52371.0,52490.0,52560.0,52609.0,52680.0,52727.0,52855.0,52898.0,52932.0,52994.0,53040.0,53109.0,53160.0,53188.0,53209.0,53340.0
5010921,29400.0,29579.0,29616.0,29680.0,29801.0,29980.0,29992.0,30168.0,30307.0,30362.0,30634.0,30786.0,30940.0,31010.0,31051.0,31211.0,31267.0,31311.0,31364.0,31428.0,31456.0,31532.0,31625.0,31677.0,31736.0,31792.0,31827.0,31874.0,31950.0,31980.0,32087.0,32329.0,32385.0,32502.0,32571.0,32603.0,32649.0,32688.0,32794.0,32830.0,32859.0,32911.0,32949.0,33006.0,33048.0,33071.0,33088.0,33199.0
5013764,40200.0,40260.0,40305.0,40380.0,40473.0,40610.0,40620.0,40752.0,40856.0,40897.0,41100.0,41280.0,41321.0,41340.0,41377.0,41520.0,41558.0,41588.0,41624.0,41668.0,41687.0,41739.0,41803.0,41839.0,41880.0,41917.0,41940.0,42000.0,42060.0,42120.0,42174.0,42297.0,42326.0,42385.0,42420.0,42469.0,42540.0,42587.0,42715.0,42758.0,42792.0,42854.0,42900.0,42969.0,43020.0,43048.0,43069.0,43200.0
