tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P
0,7333.0,783.0,784.0,785.0,786.0,793.0,7576.0,7586.0,7587.0,7588.0,274.0,2.0,192.0,795.0,796.0,57.0,58.0,59.0,60.0,1802.0,1795.0,1806.0,1660.0,1661.0,1662.0,1664.0,1665.0,1666.0,1807.0,7167.0,1808.0,1816.0,6171.0,4974.0,4976.0,7126.0,7124.0,7343.0,7318.0,4980.0,2289.0,1822.0,4994.0,4995.0,4996.0,1826.0,1827.0,7382.0,7381.0,4742.0,4743.0,4745.0
5003144,26400.0,26502.0,26522.0,26555.0,26619.0,26713.0,26720.0,26836.0,26927.0,26963.0,27143.0,27245.0,27345.0,27390.0,27423.0,27552.0,27587.0,27615.0,27649.0,27689.0,27707.0,27755.0,27814.0,27847.0,27885.0,27931.0,27959.0,28001.0,28062.0,28087.0,28169.0,28465.0,28507.0,28565.0,28612.0,28697.0,28740.0,28800.0,28892.0,28975.0,29020.0,29049.0,29133.0,29161.0,29184.0,29225.0,29256.0,29323.0,29373.0,29400.0,29420.0,29549.0
5012915,24000.0,24102.0,24122.0,24155.0,24219.0,24313.0,24320.0,24436.0,24527.0,24563.0,24743.0,24845.0,24945.0,24990.0,25023.0,25152.0,25187.0,25215.0,25249.0,25289.0,25307.0,25355.0,25414.0,25447.0,25485.0,25531.0,25559.0,25601.0,25662.0,25687.0,25769.0,26065.0,26107.0,26165.0,26212.0,26297.0,26340.0,26400.0,26492.0,26575.0,26620.0,26649.0,26733.0,26761.0,26784.0,26825.0,26856.0,26923.0,26973.0,27000.0,27020.0,27149.0
5014587,22800.0,22902.0,22922.0,22955.0,23019.0,23113.0,23120.0,23236.0,23327.0,23363.0,23543.0,23645.0,23745.0,23790.0,23823.0,23952.0,23987.0,24015.0,24049.0,24089.0,24107.0,24155.0,24214.0,24247.0,24285.0,24331.0,24359.0,24401.0,24462.0,24487.0,24569.0,24865.0,24907.0,24965.0,25012.0,25097.0,25140.0,25200.0,25292.0,25375.0,25420.0,25449.0,25533.0,25561.0,25584.0,25625.0,25656.0,25723.0,25773.0,25800.0,25820.0,25949.0
5015356,25200.0,25302.0,25322.0,25355.0,25419.0,25513.0,25520.0,25636.0,25727.0,25763.0,25943.0,26045.0,26145.0,26190.0,26223.0,26352.0,26387.0,26415.0,26449.0,26489.0,26507.0,26555.0,26614.0,26647.0,26685.0,26731.0,26759.0,26801.0,26862.0,26887.0,26969.0,27265.0,27307.0,27365.0,27412.0,27497.0,27540.0,27600.0,27692.0,27775.0,27820.0,27849.0,27933.0,27961.0,27984.0,28025.0,28056.0,28123.0,28173.0,28200.0,28220.0,28349.0
5084375,24000.0,24098.0,24117.0,24149.0,24210.0,24301.0,24308.0,24420.0,24508.0,24543.0,24715.0,24813.0,24908.0,24952.0,24984.0,25108.0,25142.0,25169.0,25201.0,25240.0,25257.0,25303.0,25360.0,25392.0,25428.0,25472.0,25499.0,25539.0,25598.0,25622.0,25701.0,25986.0,26027.0,26082.0,26128.0,26210.0,26251.0,26309.0,26397.0,26477.0,26521.0,26549.0,26630.0,26657.0,26679.0,26718.0,26746.0,26811.0,26859.0,26885.0,26904.0,27028.0
5088401,25200.0,25298.0,25317.0,25349.0,25410.0,25501.0,25508.0,25620.0,25708.0,25743.0,25915.0,26013.0,26108.0,26152.0,26184.0,26308.0,26342.0,26369.0,26401.0,26440.0,26457.0,26503.0,26560.0,26592.0,26628.0,26672.0,26699.0,26739.0,26798.0,26822.0,26901.0,27186.0,27227.0,27282.0,27328.0,27410.0,27451.0,27509.0,27597.0,27677.0,27721.0,27749.0,27830.0,27857.0,27879.0,27918.0,27946.0,28011.0,28059.0,28085.0,28104.0,28228.0
5088691,26400.0,26498.0,26517.0,26549.0,26610.0,26701.0,26708.0,26820.0,26908.0,26943.0,27115.0,27213.0,27308.0,27352.0,27384.0,27508.0,27542.0,27569.0,27601.0,27640.0,27657.0,27703.0,27760.0,27792.0,27828.0,27872.0,27899.0,27939.0,27998.0,28022.0,28101.0,28386.0,28427.0,28482.0,28528.0,28610.0,28651.0,28709.0,28797.0,28877.0,28921.0,28949.0,29030.0,29057.0,29079.0,29118.0,29146.0,29211.0,29259.0,29285.0,29304.0,29428.0
5092929,22800.0,22898.0,22917.0,22949.0,23010.0,23101.0,23108.0,23220.0,23308.0,23343.0,23515.0,23613.0,23708.0,23752.0,23784.0,23908.0,23942.0,23969.0,24001.0,24040.0,24057.0,24103.0,24160.0,24192.0,24228.0,24272.0,24299.0,24339.0,24398.0,24422.0,24501.0,24786.0,24827.0,24882.0,24928.0,25010.0,25051.0,25109.0,25197.0,25277.0,25321.0,25349.0,25430.0,25457.0,25479.0,25518.0,25546.0,25611.0,25659.0,25685.0,25704.0,25828.0
5096734,21600.0,21698.0,21717.0,21749.0,21810.0,21901.0,21908.0,22020.0,22108.0,22143.0,22315.0,22413.0,22508.0,22552.0,22584.0,22708.0,22742.0,22769.0,22801.0,22840.0,22857.0,22903.0,22960.0,22992.0,23028.0,23072.0,23099.0,23139.0,23198.0,23222.0,23301.0,23586.0,23627.0,23682.0,23728.0,23810.0,23851.0,23909.0,23997.0,24077.0,24121.0,24149.0,24230.0,24257.0,24279.0,24318.0,24346.0,24411.0,24459.0,24485.0,24504.0,24628.0
5102534,26400.0,26498.0,26517.0,26549.0,26610.0,26701.0,26708.0,26820.0,26908.0,26943.0,27115.0,27213.0,27308.0,27352.0,27384.0,27508.0,27542.0,27569.0,27601.0,27640.0,27657.0,27703.0,27760.0,27792.0,27828.0,27872.0,27899.0,27939.0,27998.0,28022.0,28101.0,28386.0,28427.0,28482.0,28528.0,28610.0,28651.0,28709.0,28797.0,28877.0,28921.0,28949.0,29030.0,29057.0,29079.0,29118.0,29146.0,29211.0,29259.0,29285.0,29304.0,29428.0
5107075,25200.0,25298.0,25317.0,25349.0,25410.0,25501.0,25508.0,25620.0,25708.0,25743.0,25915.0,26013.0,26108.0,26152.0,26184.0,26308.0,26342.0,26369.0,26401.0,26440.0,26457.0,26503.0,26560.0,26592.0,26628.0,26672.0,26699.0,26739.0,26798.0,26822.0,26901.0,27186.0,27227.0,27282.0,27328.0,27410.0,27451.0,27509.0,27597.0,27677.0,27721.0,27749.0,27830.0,27857.0,27879.0,27918.0,27946.0,28011.0,28059.0,28085.0,28104.0,28228.0
