tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P
0,7333.0,783.0,784.0,785.0,786.0,793.0,7576.0,7586.0,7587.0,7588.0,274.0,2.0,192.0,795.0,796.0,57.0,58.0,59.0,60.0,1802.0,1795.0,1806.0,1660.0,1661.0,1662.0,1664.0,1665.0,1666.0,1807.0,7167.0,1808.0,2961.0,4901.0,4902.0,1672.0,1673.0,1674.0,1675.0,1849.0,1851.0,1813.0,1814.0,1816.0,6171.0,4974.0,4976.0,7126.0,7124.0,7343.0,4980.0,2289.0,1822.0,4994.0,4995.0,4996.0,1826.0,1827.0,7382.0,7381.0,4742.0,4743.0,4744.0,4745.0
5009468,28200.0,28299.0,28326.0,28373.0,28447.0,28556.0,28564.0,28701.0,28808.0,28850.0,29061.0,29190.0,29308.0,29362.0,29400.0,29551.0,29596.0,29632.0,29675.0,29727.0,29750.0,29811.0,29886.0,29928.0,29976.0,30041.0,30081.0,30122.0,30188.0,30220.0,30319.0,30390.0,30431.0,30473.0,30503.0,30546.0,30618.0,30665.0,30712.0,30807.0,30849.0,30903.0,31014.0,31067.0,31139.0,31198.0,31303.0,31356.0,31431.0,31649.0,31705.0,31741.0,31846.0,31881.0,31909.0,31960.0,31998.0,32075.0,32132.0,32163.0,32186.0,32314.0,32338.0
5010012,25800.0,25899.0,25926.0,25973.0,26047.0,26156.0,26164.0,26301.0,26408.0,26450.0,26661.0,26790.0,26908.0,26962.0,27000.0,27151.0,27196.0,27232.0,27275.0,27327.0,27350.0,27411.0,27486.0,27528.0,27576.0,27641.0,27681.0,27722.0,27788.0,27820.0,27919.0,27990.0,28031.0,28073.0,28103.0,28146.0,28218.0,28265.0,28312.0,28407.0,28449.0,28503.0,28614.0,28667.0,28739.0,28798.0,28903.0,28956.0,29031.0,29249.0,29305.0,29341.0,29446.0,29481.0,29509.0,29560.0,29598.0,29675.0,29732.0,29763.0,29786.0,29914.0,29938.0
5013612,24600.0,24699.0,24726.0,24773.0,24847.0,24956.0,24964.0,25101.0,25208.0,25250.0,25461.0,25590.0,25708.0,25762.0,25800.0,25951.0,25996.0,26032.0,26075.0,26127.0,26150.0,26211.0,26286.0,26328.0,26376.0,26441.0,26481.0,26522.0,26588.0,26620.0,26719.0,26790.0,26831.0,26873.0,26903.0,26946.0,27018.0,27065.0,27112.0,27207.0,27249.0,27303.0,27414.0,27467.0,27539.0,27598.0,27703.0,27756.0,27831.0,28049.0,28105.0,28141.0,28246.0,28281.0,28309.0,28360.0,28398.0,28475.0,28532.0,28563.0,28586.0,28714.0,28738.0
5019121,23400.0,23499.0,23526.0,23573.0,23647.0,23756.0,23764.0,23901.0,24008.0,24050.0,24261.0,24390.0,24508.0,24562.0,24600.0,24751.0,24796.0,24832.0,24875.0,24927.0,24950.0,25011.0,25086.0,25128.0,25176.0,25241.0,25281.0,25322.0,25388.0,25420.0,25519.0,25590.0,25631.0,25673.0,25703.0,25746.0,25818.0,25865.0,25912.0,26007.0,26049.0,26103.0,26214.0,26267.0,26339.0,26398.0,26503.0,26556.0,26631.0,26849.0,26905.0,26941.0,27046.0,27081.0,27109.0,27160.0,27198.0,27275.0,27332.0,27363.0,27386.0,27514.0,27538.0
5085371,25800.0,25895.0,25921.0,25966.0,26037.0,26142.0,26150.0,26281.0,26384.0,26425.0,26628.0,26752.0,26865.0,26917.0,26954.0,27099.0,27142.0,27177.0,27218.0,27268.0,27290.0,27349.0,27421.0,27462.0,27508.0,27570.0,27609.0,27648.0,27711.0,27742.0,27837.0,27905.0,27944.0,27984.0,28013.0,28055.0,28124.0,28169.0,28214.0,28306.0,28346.0,28398.0,28505.0,28556.0,28625.0,28682.0,28783.0,28834.0,28906.0,29116.0,29170.0,29205.0,29306.0,29340.0,29367.0,29416.0,29451.0,29525.0,29580.0,29610.0,29632.0,29755.0,29778.0
5085750,22200.0,22295.0,22321.0,22366.0,22437.0,22542.0,22550.0,22681.0,22784.0,22825.0,23028.0,23152.0,23265.0,23317.0,23354.0,23499.0,23542.0,23577.0,23618.0,23668.0,23690.0,23749.0,23821.0,23862.0,23908.0,23970.0,24009.0,24048.0,24111.0,24142.0,24237.0,24305.0,24344.0,24384.0,24413.0,24455.0,24524.0,24569.0,24614.0,24706.0,24746.0,24798.0,24905.0,24956.0,25025.0,25082.0,25183.0,25234.0,25306.0,25516.0,25570.0,25605.0,25706.0,25740.0,25767.0,25816.0,25851.0,25925.0,25980.0,26010.0,26032.0,26155.0,26178.0
5090965,23400.0,23495.0,23521.0,23566.0,23637.0,23742.0,23750.0,23881.0,23984.0,24025.0,24228.0,24352.0,24465.0,24517.0,24554.0,24699.0,24742.0,24777.0,24818.0,24868.0,24890.0,24949.0,25021.0,25062.0,25108.0,25170.0,25209.0,25248.0,25311.0,25342.0,25437.0,25505.0,25544.0,25584.0,25613.0,25655.0,25724.0,25769.0,25814.0,25906.0,25946.0,25998.0,26105.0,26156.0,26225.0,26282.0,26383.0,26434.0,26506.0,26716.0,26770.0,26805.0,26906.0,26940.0,26967.0,27016.0,27051.0,27125.0,27180.0,27210.0,27232.0,27355.0,27378.0
5093063,27300.0,27395.0,27421.0,27466.0,27537.0,27642.0,27650.0,27781.0,27884.0,27925.0,28128.0,28252.0,28365.0,28417.0,28454.0,28599.0,28642.0,28677.0,28718.0,28768.0,28790.0,28849.0,28921.0,28962.0,29008.0,29070.0,29109.0,29148.0,29211.0,29242.0,29337.0,29405.0,29444.0,29484.0,29513.0,29555.0,29624.0,29669.0,29714.0,29806.0,29846.0,29898.0,30005.0,30056.0,30125.0,30182.0,30283.0,30334.0,30406.0,30616.0,30670.0,30705.0,30806.0,30840.0,30867.0,30916.0,30951.0,31025.0,31080.0,31110.0,31132.0,31255.0,31278.0
5095671,28200.0,28295.0,28321.0,28366.0,28437.0,28542.0,28550.0,28681.0,28784.0,28825.0,29028.0,29152.0,29265.0,29317.0,29354.0,29499.0,29542.0,29577.0,29618.0,29668.0,29690.0,29749.0,29821.0,29862.0,29908.0,29970.0,30009.0,30048.0,30111.0,30142.0,30237.0,30305.0,30344.0,30384.0,30413.0,30455.0,30524.0,30569.0,30614.0,30706.0,30746.0,30798.0,30905.0,30956.0,31025.0,31082.0,31183.0,31234.0,31306.0,31516.0,31570.0,31605.0,31706.0,31740.0,31767.0,31816.0,31851.0,31925.0,31980.0,32010.0,32032.0,32155.0,32178.0
